name,score,address,img_url,reviews,open_hour
와세다의원,4.2,강남구 논현로 30 와세다빌딩 2층,,"[{'작성자': '전현주', '별점': '5.0', '날짜': '2023.06.30.', '내용': '2017년 갑자기 왼쪽 좌골부터 시작된\n통증은 한바작도  움직일수  없는 극심한  통증으로  업혀서 차로 ... 더보기', '좋아요': '1'}, {'작성자': '금둥이', '별점': '5.0', '날짜': '2021.11.22.', '내용': '저희 엄마는 여기서 허리 무릎 팔꿈치 치료받으셨는데 정말많이 좋아지셨어요..\n약간 피부 탈색은 3개월정도  지나니깐 다시 원래색으로 돌아오던데요..  정말 저희엄마는 잠못잘정도로 아프셨는데 여기다니시곤 너무 편해하세요~~', '좋아요': '0'}, {'작성자': 'ROH  LIN  SEON', '별점': '5.0', '날짜': '2021.11.18.', '내용': '어머니가 elbow를 다치셔서 저의 병원에서 1년정도치료를 하였으나 호전이 되질않고 있는 사이에 지인분의 소개로 와세다의원의 홍원장님에게 치료를 받으면 좋아질거니 한번 가봐라해서 홍원장님께 치료를 10회정도 ... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날'}"
이원경내과의원,3.3,강남구 개포로 303 현대1차아파트 상가 203호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDC14AE3EF6434B49AEE95A5367201F1F,"[{'작성자': '김준서', '별점': '5.0', '날짜': '2025.03.12.', '내용': '식사 후 혈당 스파이크가 너무 심해서 병원 다녀왔는데 설명을 잘해주셔서 좋았어요.\n집에서는 펩티드요법을 병행하면서 관리하니 혈당이 확실히 안정되는 느낌... 더보기', '좋아요': '0'}, {'작성자': '마요찡', '별점': '5.0', '날짜': '2024.02.20.', '내용': '소개받고 한달만에 -10키로이상 효과 본 1인 !!\n주변 지인들에게도 소개하고 다들 -10키로 이상씩\n다욧성공 !! 안일하게 생활습관... 더보기', '좋아요': '0'}, {'작성자': '은여우님', '별점': '5.0', '날짜': '2023.08.17.', '내용': '빠짐 무조건 빠짐 안가본 병원없고 안먹은 약없음 근데 여기만 조증 저혈압증상 없음. 약만먹고 살빠진다는 생각 자체가 정신병.식단하고 하니 ... 더보기', '좋아요': '5'}]","{'수': '09:30 ~ 13:00', '목': '09:30 ~ 17:00', '금': '09:30 ~ 17:00', '토': '휴무일', '일': '휴무일', '월': '09:30 ~ 17:00', '화': '09:30 ~ 17:00', '휴무일': '공휴일'}"
큰사랑요양병원,0.0,"강남구 논현로2길 30 지하1~2층, 지상1~6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjJfMjc5%2FMDAxNzMyMjAxOTE1MjAy.7zmb9NwktMU9HOjR-pHX8PVRHJ_ZUrv0PyKdvGCOAK0g.fMsdKuvvFhPjxmpADorS4lUU0VsbaHjjxYTwOZQJK-sg.PNG%2Fimage.png%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
양재바른정형외과의원,,"강남구 개포로 205 양재빌딩 지하1층,1-2층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDZfMTA2%2FMDAxNzMzNDUxOTM4Njk4.WaUN4m6HgNUl8O1K14CuDdiPXQYvFOLDK8gbjv_rU5cg.C-i-ZzIxikoLAAt6ktxP8MYQnAJ8gHcRusJa8VWxflAg.JPEG%2FSE-b5d5ca0c-3f95-4122-80f5-229c6e79dc8c.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
연세퍼스트 이비인후과의원,,강남구 선릉로 34 마커스나인빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTFfMjMx%2FMDAxNzMzODkxOTg3OTU5.kWupBLedNJvpM1GDSN3pywJ1fmCJ2ZtN_cd0FoWwlTMg.ZNNDomHlYO6SABwbjxWGphcG_gvkfG24qsQ4i3j-Z-Yg.PNG%2F0.png%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 22:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 14:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 19:00'}"
소우주한방병원,3.0,강남구 논현로16길 15,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDJfMjE1%2FMDAxNzM1NzQ1NTAxMzY2.K_IuOwXfHLz2tsNET1AdEW8Eiy8BLs2umA6B-Mn_ePIg.bfzy7k1HVcUmPqSs-LSD41I53OTaXyHrfb2C-g9-4l8g.JPEG%2F2.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
아델산부인과,4.1,강남구 논현로 64 4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F020fd38463dcd226c66e98e2fb3d66fa03a7d9ff%3Foriginal,"[{'작성자': '블루베리', '별점': '1.0', '날짜': '2024.11.04.', '내용': '저는 해당 병원에서 가다실9 주사를 맞고, 3차 접종만 남겨둔 상태였습니다. 2차 접종 후 3개월 이내에 3차 접종을 맞아야 했지만, 간호사분이 제대로 된 연락을 주지 않... 더보기', '좋아요': '1'}, {'작성자': 'Ji eun', '별점': '5.0', '날짜': '2024.05.03.', '내용': '여성 질환 초음파 엄청 잘 봐주십니당\n진짜 친절하시구 하나하나 다 설명해줘... 더보기', '좋아요': '0'}, {'작성자': '골라', '별점': '1.0', '날짜': '2024.01.17.', '내용': '다시는 방문하고 싶지 않음. 너무 친절하다는 리뷰는 신기할 정도ㅎㅎ\n나이많은 간호사 두분다 너무x100000 불친절하시고 무엇보다 병원 시간이 ... 더보기', '좋아요': '2'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00'}"
연세도우리소아청소년과의원,4.3,"강남구 삼성로 14 자이프레지던스 상가 S동 216, 312호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F045FC9024D4F41EF9EEE10EF4FB6ADC0,"[{'작성자': 'HS', '별점': '5.0', '날짜': '2024.08.19.', '내용': '아픈 아이에 대해 궁금하고 걱정스러운것이 많아서 논문이나 의학 관련 자료를 찾아보는편인데 궁금한것을 여쭤보면 친절하게 잘 답변해주십니다. 다른 스텝분들도 친절합니다. 주... 더보기', '좋아요': '1'}, {'작성자': '굿굿', '별점': '5.0', '날짜': '2024.03.15.', '내용': '여기 엄청 좋아요. 수액실도 있고 의사쌤 간호사쌤 다 친절하고, 시설도 잘 되어있어요. 집 가까운데 이런데가 생겨서 아주 좋군요! 밤 11시까지 하는 강남 소아과!', '좋아요': '2'}]","{'수': '08:30 ~ 23:00', '목': '08:30 ~ 23:00', '금': '08:30 ~ 23:00', '토': '09:00 ~ 18:00', '일': '09:00 ~ 18:00', '월': '08:30 ~ 23:00', '화': '08:30 ~ 23:00', '휴무일': '추석당일, 설당일'}"
지리산쌍계한의원,3.8,강남구 선릉로 26 JS빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9B097C120F844C3CB023D7C3321AA0DD,"[{'작성자': '홍옥기', '별점': '3.0', '날짜': '2025.01.06.', '내용': '개포동으로 이사하고 찾은 한의원 입니다.\n원장님도,직원들도 친절하고 침효과도 좋아요.', '좋아요': '0'}, {'작성자': '버버리맨', '별점': '5.0', '날짜': '2024.12.19.', '내용': '정말 정성껏 진료봐주시는 원장님.\n친절하신 직원분들도 좋아요👍', '좋아요': '0'}, {'작성자': 'J', '별점': '5.0', '날짜': '2024.06.27.', '내용': '스포츠 활동으로 인한 부상이 많아 거의 1년 내내 다닙니다. 약침이 저렴하고 효과가 좋아서 중요한 경기전에는 근육을 풀기 위해 방문하기도 합니다. 원장님과 직원분들이 친절하고 시설도 좋습니다.', '좋아요': '0'}]","{'수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 14:30', '일': '09:00 ~ 14:30', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '휴무일': '추석당일, 설당일'}"
갤러리아피부과의원 개포도곡점,,강남구 선릉로 34 마커스나인빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6FEAAE2B022F48CC819D4A63969E4212,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '휴무일': '공휴일'}"
