name,score,address,img_url,reviews,open_hour
석플란트치과병원,4.0,강남구 도산대로 238 석플란트치과병원 1층~14층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2C7709D0C7E04DCB953665559CCB2260,"[{'작성자': '혁', '별점': '5.0', '날짜': '2022.07.15.', '내용': '리뷰보다가 주관적인 경험이 많은거같아서 저도 몇자 남겨봅니다 서울 강남에 치과 정말 많은데 한장소에서 16년째 진료하고 있는 병원이라던데 그래서 그런가 원장님들 정말 진료 잘하시는거같아요 이번에 경험해보니 요즘... 더보기', '좋아요': '2'}, {'작성자': '조현종', '별점': '5.0', '날짜': '2022.06.04.', '내용': '아버지가 최근에 이가 불편해서 밥도 잘 못드셨는데 동네 치과도 가보고 강남 여기저기 가보고도 치료는 안받으시고 시간만 버리길래 답답했는데 친한 형이 여기 소개 하길래... 더보기', '좋아요': '2'}, {'작성자': '양세창', '별점': '5.0', '날짜': '2022.03.31.', '내용': '친절하고 임프란트시술의오랜경험과\n 수준높은 의료진들의 시술과 의료장비등 에 믿음이갑니다 ... 더보기', '좋아요': '2'}]","{'수': '09:50 ~ 21:00', '목': '09:50 ~ 21:00', '금': '09:50 ~ 18:30', '토': '09:50 ~ 17:00', '일': '휴무일', '월': '09:50 ~ 21:00', '화': '09:50 ~ 21:00', '휴무일': '공휴일'}"
아이디병원,3.9,강남구 도산대로 142 아이디병원빌딩,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5f12225d663f2b527d7cd1f74520dc17236128b1%3Foriginal,"[{'작성자': '문예빈', '별점': '5.0', '날짜': '2025.03.25.', '내용': '주변에서 눈이 너무 답답해보인다고 해서 고민하다가 수술을 결심하고 상담을 받았습니다\n원장님도 되게 친절해서 바로 수술 받고 나... 더보기', '좋아요': '0'}, {'작성자': '임채원', '별점': '5.0', '날짜': '2025.03.25.', '내용': '큰맘먹고 수술 결정했는데 꼼꼼하셔서 잘 된것 같아여! 친절하시고 ㅠ\n맘에 들어요!', '좋아요': '0'}, {'작성자': '오지원', '별점': '5.0', '날짜': '2025.03.25.', '내용': '상담 친절하게 해주시고 해주시고 제게 어울리는 라인으로 추천 해주셨어요! \n원장님도 아버지 같은 스타일이셔서 너무 감사했습니다 수술하고\n예뻐졌다는 말 많이 들었어요 ㅎㅎ', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '휴무일': '공휴일'}"
자생한방병원,4.5,강남구 강남대로 536,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa3831f635fbccb76cad4d71c4a8eea9a51891c78%3Foriginal,"[{'작성자': '이지은', '별점': '5.0', '날짜': '2025.03.23.', '내용': '세심한 진료와 친절한 의료진 덕분에 회복에 많은 도움이 되었습니다.  특히, 수시로 이상을 체크해주는 간호사분들과 전문의 치료를 통해 안정을 가지는 데 큰 도움이 되었습니다. 향후 사고가 생긴다면 치료를 위해 다시 방문예정입니다.', '좋아요': '0'}, {'작성자': '한승빈', '별점': '1.0', '날짜': '2025.03.21.', '내용': '가벼운 교통사고로 인해 방문하고 자생에서 느낀점.\n\n1. 목에 침 맞고 목이랑 어깨... 더보기', '좋아요': '0'}, {'작성자': '날양', '별점': '5.0', '날짜': '2025.03.19.', '내용': '교통사고 후 지인분 추천으로 옴!!\n자생병원 이미지는 과다친절!!\n간호사님 의사분들 안친절한 분들이 없네요.얼굴 찡그... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 18:00', '일': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날'}"
강남나누리병원,3.4,강남구 언주로 731,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FcM0Q1Y%2Fbtr5BUmmra9%2FnuK1cRHit2JjefsczW1ceK%2Fimg.jpg,"[{'작성자': '박세훈', '별점': '5.0', '날짜': '2025.01.08.', '내용': '유합수술 직후사진입니다 지금은 아주좋아요 수술 할만합니다 꼼꼼하게 잘봐주세요 간호사님도 친절 하시구요 수술 잘했다고 생각합니다', '좋아요': '0'}, {'작성자': '평가왕', '별점': '5.0', '날짜': '2024.10.09.', '내용': '형욱이가 처음에 KZ의 위치를 나누리병원 맞은 편이라고 알려주었으면 좋았는데 임페리얼팔레스 근처라고 그래서 생고생한 기억이 있다 정성준 과장한테 좋은 추억을 선사해서 그게 기억난다', '좋아요': '0'}, {'작성자': '혁수', '별점': '5.0', '날짜': '2023.02.24.', '내용': '다른 척추병원과는 좀 다르네요\n이부원장님께서 엑스레이 사진부터 세심하게 봐주시고\n못 ... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '석가탄신일, 추석전날, 추석당일, 설전날, 설당일, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
무이재 한방병원,4.9,"강남구 학동로 117 지하1층,1~8층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F21E1DAD2EA2344459FDDCD03A18EB564,"[{'작성자': '1011010110', '별점': '5.0', '날짜': '2025.03.25.', '내용': '1인실에서 지냈는데 정말 편안했고 밥도 맛있어서 편안하게 잘 있을 수 있었어요~ 다들 친절하게 신경써주셔서 감사합니다', '좋아요': '0'}, {'작성자': '이정민', '별점': '5.0', '날짜': '2025.03.21.', '내용': '어머니 항암 치료 위해 입원하셨는데 식단과 치료, 힐링 프로그램도 체계적이고 의료진 분들도 엄청 친절하셔서 만족하셨습니다 감사합니다', '좋아요': '0'}, {'작성자': '하늘', '별점': '5.0', '날짜': '2025.03.17.', '내용': '항암으로 입원을 하게 됐는데 시설도 굉장히 깔끔하고 선생님들도 친절하게 대해주시고 밥도 너무 맛있어서 정말 잘 치료 받다 가는 것 같네요 감사드려요~', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
나나성형외과의원,3.6,"강남구 강남대로 492 한맥빌딩 2~6,8,10,13층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F8A012FCAC16642E6B9941F51F76247BD,"[{'작성자': '혀니', '별점': '5.0', '날짜': '2025.03.24.', '내용': 'Writing for my foreign friends. \nIf you can’t speak Korean contact the English Department. They are kinder and more attentive than the Korean consultants and they recommend, explain... 더보기', '좋아요': '0'}, {'작성자': '둠칫두둠칫', '별점': '4.0', '날짜': '2025.03.12.', '내용': '후기에 일회용 아이디가 많아보여서 별 기대 안하고 왔는데, 평일 낮은 외국인정도만 있고 한산하네요\n공장형 병원과 개인특화 병... 더보기', '좋아요': '0'}, {'작성자': 'ㅂㅇㅅ', '별점': '5.0', '날짜': '2025.02.14.', '내용': '신논현이라 위치도 괜찮고 대기 시간도 짧았어요~\n상담도 친절하고 디테일하게 잘 해주셔서 대만... 더보기', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 19:00', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00'}"
강남지인병원,,"강남구 언주로 631 강남웨딩홀 지하2층,2~6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F6F3B256FB1D44297B42FF63A059677F1,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:00 ~ 13:00', '목': '08:00 ~ 13:00', '금': '08:00 ~ 16:30', '토': '08:00 ~ 13:00', '월': '08:00 ~ 16:30', '화': '08:00 ~ 13:00', '휴무일': '2025년 5월 1일 휴무, 석가탄신일, 추석전날, 추석당일, 추석다음날, 2025년 10월 8일 휴무, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 성탄절'}"
메드렉스병원,3.6,강남구 논현로 705,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMTBfODAg%2FMDAxNjc4NDA5NTg5ODY5.4LGmeK4UJSc5lw9UCb8Le4sFN9_s8tn02zUS_6SUSSkg.WakruXyY8DFPdIz_tHJiiFikr9siR7bToNd-tlUj9V8g.JPEG.medrex%2F%25EC%259A%25B0%25EB%25A6%25AC%25EB%25A7%2598_42%25ED%259A%258C-%25EC%258B%259C%25EC%2582%25AC%25EC%259A%25A9.mxf_20230310_095155.283.jpg%3Ftype%3Dw966,"[{'작성자': '다미🍒', '별점': '5.0', '날짜': '2025.03.17.', '내용': '동네 병원 중에 재일 친절해요~\n무릎 때문에 처음 방문했던 병원인데\n칼에 베어서 진료 받았을 때도 친절하게 진료해 주셨어요~!!', '좋아요': '0'}, {'작성자': 'hps', '별점': '5.0', '날짜': '2025.01.14.', '내용': '오늘 길에 살얼음이 끼었는데 출근하다가 넘어졌네요.\n심하게 넘어져서 손바닥도 까지고, 골반도 너무 아파서 병원에 왔습니다. 손 다친거 치료하고, 검사 ... 더보기', '좋아요': '0'}, {'작성자': '실비아', '별점': '1.0', '날짜': '2025.01.05.', '내용': '김*현 의사에게 택시에 발깔려서 진료갔는데 불친절과 고압적인태도, 환자말 무시까지, 몸아픈데 맘까지 상처받았네요. 다른병원 응급실에서 골절이라해서 찍어온 ct를 좀 ... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
이태규신경과의원,,강남구 논현로 648 선기빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F88C28FF0A0D849DA89A5A924F67CD20D,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '08:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날'}"
새로운병원,4.2,강남구 학동로 121,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F417FFC3F04C8433983D6E371B65BF387,"[{'작성자': '카푸치', '별점': '5.0', '날짜': '2022.07.20.', '내용': '집근처 큰병원 너무 좋아요', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
