name,score,address,img_url,reviews,open_hour
누네안과병원 서울병원,3.8,강남구 테헤란로 408 대치빌딩 15층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F74394073363B474990CB81F99156F151,"[{'작성자': '호리', '별점': '5.0', '날짜': '2025.03.20.', '내용': '검사 장비 다양하고 다른 병원들 많이 가봤지만 제일 꼼꼼하게 봐준 유일한 곳.. 원장님 진료까지 대기는 발생했지만 그정도야 뭐 괜찮았어요', '좋아요': '0'}, {'작성자': 'asdf', '별점': '1.0', '날짜': '2025.03.13.', '내용': '라식 당일수술로 예약했다가 일정생겨서 예약변경했고, 라식 처음해보는거고 잘 모르니까 수술진행이 어떻게 되고 얼마나 내원해야되는지 물어봤는데 그걸 말을 안해주고 자꾸 짜증만 내요;; 진짜 더러워서 예약 취소했고 ... 더보기', '좋아요': '0'}, {'작성자': '세일마켓', '별점': '4.0', '날짜': '2025.03.05.', '내용': '병원급이라 진료비는 동네의원보다 조금 더 비싼건 사실입니다 하지만 안과전문병원이라 믿음이 가서 안과하면 여기만 갈려고 합니다', '좋아요': '0'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '추석당일, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 개천절, 한글날, 성탄절'}"
더드림병원,,강남구 선릉로 404 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAC91B018A8774EA78D5312351088AC39,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '석가탄신일, 추석전날, 추석당일, 설당일, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
광혜병원,2.5,강남구 영동대로86길 9,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMSAg%2FMDAxNzM1MjIyNjA4MDAw.JebWaRYSsq7jnV3a03W_KgAM8Rwnh6UEivatzIL_jPAg.Sm6pfdg-NIubpcAHAB8kuRDR769Ci2rKVIg6WSccM8Qg.JPEG%2FCK_cm080837843.jpg%3Ftype%3Dw966,"[{'작성자': '리~', '별점': '2.0', '날짜': '2024.12.28.', '내용': '박경우 원장님에게 직접 추간공확장술 시술받은지 6개월이 지난는데도 아직도 허리가 아프다 약도 계속적으로 처방받고 먹고있지만 뭐 별로 그때뿐이고\n암튼, 시술했지만  완전히 완쾌되지 않고있으니 뭐... 더보기', '좋아요': '0'}, {'작성자': '청송', '별점': '1.0', '날짜': '2024.09.06.', '내용': '접수 창구 직원 인상쓰고, 병원시설 동네의원 보다\n엄청 열악하고\n원장진료도 엄청 성의없고 다른 병... 더보기', '좋아요': '2'}, {'작성자': '아이엠', '별점': '1.0', '날짜': '2024.08.26.', '내용': '중환자실에 환자가 있어 물품좀\n전달해달라고 했는데\n싫다거나 안된다는 말도... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
함익병피부과의원,2.4,강남구 도곡로 408 D마크빌딩 409호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAxMDhfMjU5%2FMDAxNjczMTY3NjExNDIw.gCxucEScI174emA3okydG0ocZxa7cuVh5q1reNnahNkg.HZ_hPcT7sAjhcM17cGy7-2d7WZDqG_4Rw6gPXGImu8Ug.JPEG.feelmong7%2F20230107%25EF%25BC%25BF114337.jpg%3Ftype%3Dw966,"[{'작성자': '안도현', '별점': '1.0', '날짜': '2025.03.22.', '내용': '불친절,대책도 없음. 돈만 가져다 버림. 강남역 아이러브피부과 같은 느낌', '좋아요': '0'}, {'작성자': 'ukm', '별점': '1.0', '날짜': '2025.03.04.', '내용': '나는 이 병원을 이해하고 싫어하지 않는다. 과잉진료가 없고 아주 실력이 없는것도 아니기 때문이다. 하지만 매우 하기 싫은 일을 억지로 하는듯한 표정과 말투이고 환자의 말을 듣는 시간을 아까워하는것은 큰 문제이다. 과... 더보기', '좋아요': '21'}, {'작성자': '으깬감자', '별점': '1.0', '날짜': '2025.02.26.', '내용': '불친절한데 진료가 정확하지도 않습니다 진료 보는 시간이 길어야 2분 정도고 질문을 해도 중간에 말을 끊고 불친절하게 대합니다\n간혹 리뷰나 유튜브 댓글에 정확하고 빠른 진단 ... 더보기', '좋아요': '10'}]","{'수': '휴무일', '목': '휴무일', '금': '09:00 ~ 18:00', '토': '08:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 18:00', '화': '휴무일', '휴무일': '매주 화요일, 수요일, 목요일, 일요일'}"
땡큐서울의원,4.4,강남구 테헤란로 408 대치빌딩 4~6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDFD03DEB125846F5A299380C6BBF07E9,"[{'작성자': '김쌀', '별점': '5.0', '날짜': '2025.02.24.', '내용': '저는 침샘에 혹이 생겨 부산에 있는 대학병원의 수술권유를 받았어요. 세컨오피니언 얻으러 땡큐서울의원을 찾아 왔었고 결정은 이 곳에서 수술까지 받기로 했어요. 선생님들의... 더보기', '좋아요': '0'}, {'작성자': 'kiki', '별점': '4.0', '날짜': '2025.02.20.', '내용': '카운터 직원 한분이 너무 불친절해요. 아픈 사람들 오는 건데 친절은 바라지않아도 까칠함은 좀 그렇네요. 그외 의료진분들은 진료도 명확하고 친절하시고 좋습니다.', '좋아요': '0'}, {'작성자': 'ㅇㅈ', '별점': '5.0', '날짜': '2025.01.24.', '내용': '땡큐서울의원 정말 땡큐입니다. 오늘부로 하정훈 원장님 팬이 되었습니다. 20년 전에 볼쪽에 조그맣게 뭐가 생겼는데, 그게 피곤하거나 스트레스 받을 때는 땡땡하게 ... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 17:50', '목': '09:00 ~ 17:50', '금': '09:00 ~ 17:50', '토': '09:00 ~ 12:50', '일': '휴무일', '월': '09:00 ~ 17:50', '화': '09:00 ~ 17:50', '휴무일': '공휴일'}"
위담한방병원,4.1,"강남구 삼성로 402 티아빌딩 지하2층, 2-7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjBfMjQ2%2FMDAxNzM0Njc1OTQ0NTAx.8Lpa9LlJLpBlY8FoATMmUcFE9Qy5Y31HP40QCGo8a0Qg.gt3JkXkcwi5YkRZ4Jt34t7YhlemOz5fTorMd7wzXOzkg.JPEG%2FEAV_(4).jpg%3Ftype%3Dw386,"[{'작성자': '이현주', '별점': '5.0', '날짜': '2024.08.31.', '내용': '80대 엄마가 가슴답답, 속쓰림, 어지럼증, 불안, 지속적인 만성위장질환으로 고생하시다가 위담한방병원에서 담적 진단을 받고 한달째 치료 중임.\n가슴답답 ... 더보기', '좋아요': '0'}, {'작성자': 'ㆍ', '별점': '5.0', '날짜': '2024.08.31.', '내용': '엄마가 담적으로 입원하여 가족력으로 검사를 하였더니 위가 안좋아서 2주째 치료중\n 속쓰... 더보기', '좋아요': '0'}, {'작성자': 'Joy01(Gilhyun)', '별점': '4.0', '날짜': '2024.08.21.', '내용': '위장 장애로 6개월간 고생하며 여러 한의원 전전하다 이곳에 오게 되었습니다. 입원 치료중이고 트림 딸꾹질 더부룩함이 호전되고 있습니다. 이제 2주 되어 아직 평... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '휴무일': '공휴일'}"
연세메이저내과의원,4.0,강남구 도곡로 431 2~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDlfMjY1%2FMDAxNzMzNzA4OTcyMTU5.BrT071ng6lymuaGNHWKMised4JzNGO8rEcMvjC3gvh0g.BztTMcp0zadPxOB4Q768XedUrMjekW4XBMVv0r2ckCYg.JPEG%2Fc800749e-7d45-4528-864d-22afd22841d3.jpg%3Ftype%3Dw966,"[{'작성자': '오리', '별점': '5.0', '날짜': '2025.02.25.', '내용': '원장님께서 너무 진료를 잘봐주신덕분에 행복했슴다\n직원분들 다들넘 친절히시더라구요~', '좋아요': '0'}, {'작성자': '인생2막', '별점': '5.0', '날짜': '2025.02.20.', '내용': '안좋은 리뷰가 있어 걱정했는데... 친절하게 잘봐주시네요~^^ 간호사분들도 수납하시는 분도 친절하셔요~~', '좋아요': '1'}, {'작성자': '유혜정', '별점': '5.0', '날짜': '2025.02.20.', '내용': '통증으로 당일 진료, 초음파, 국가검진 시행했는데 너무 친절하게 알려주시고 안내, 설명 너무 감사히 잘 받았어요~^^ 깨끗하고 의료진, 직원 모두 상냥해서 다음에도 가고 싶은 병원입니다.', '좋아요': '1'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 13:30', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30'}"
혜안서울안과의원,4.5,강남구 테헤란로 528 슈페리어타워 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F280CCE333C324E448141B208490C4522,"[{'작성자': 'qqqlppp', '별점': '5.0', '날짜': '2025.01.09.', '내용': '눈에 갑자기 이물감 들어서 늦게방문. \n각막에 뭐가 박혔다니?!!; 갑분 시술분위기;;\n눈커플 안쪽 비립종기름?도 제거하고(이거는옛날부... 더보기', '좋아요': '0'}, {'작성자': '뽀풀이', '별점': '5.0', '날짜': '2024.12.02.', '내용': '설명 너무 잘해주세요. 직원들도 너무 친절하네요.\n굿', '좋아요': '0'}, {'작성자': 'ㅎㅎ', '별점': '1.0', '날짜': '2024.10.23.', '내용': '불친절하고 포도막염을 결막염이라 처방함', '좋아요': '0'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 15:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00'}"
정진상신경과의원,3.9,강남구 남부순환로 2909,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEyMDNfMjI4%2FMDAxNzAxNTg3MjE0MzQ2.ddu4ETRm-mXu1AFlnVeILa1fqTls2rpP7DZqdixATYQg.CdpFDis1PJwgp5VfkJ65ZU_TDJBZzgO8kaKQmAabmQMg.JPEG.nogada1025%2FKakaoTalk_20231203_155122085.jpg%3Ftype%3Dw966,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.03.13.', '내용': '비보험되는 기구면 비보험이라고 미리 말해주던가. 다 하고나서 비보험이라니까 20만원 결제해가는데 아무런 증상이 없다고 하네? 이럴줄 알았으면 의사 말 무시하고 약만 지어달라고 했죠 진단도 뭐 애들 장난하는거로만 보고 뭐하자는건지', '좋아요': '0'}, {'작성자': '이종화', '별점': '5.0', '날짜': '2024.09.16.', '내용': '몇 일전부터 두뇌왼편에 혈관이 부어오른 \n듯한 약한 주기적 통증이 낫지 않아 걱정이 ... 더보기', '좋아요': '4'}, {'작성자': '분당악기 기타공작실', '별점': '5.0', '날짜': '2023.04.25.', '내용': '어머님이 두통 엄청 심하셔서 정진상 박사님 삼성병원 계실때 부터 10 년 다니셨는데 항상 친절 하셨다고 하시더라구요 정말 감사 합니다 !', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
푸른하늘이비인후과,4.0,강남구 선릉로86길 17 선릉MT빌딩 5층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F8036699DAD4F4DAFB8135EE2F824A28C,"[{'작성자': '그루타깅', '별점': '1.0', '날짜': '2024.12.26.', '내용': '진료는 친절하게 봐주셨는데 처방전에 약 개수를 잘못 적는건 좀 너무한거 아닌가요…??', '좋아요': '1'}, {'작성자': 'economy89', '별점': '4.0', '날짜': '2024.10.18.', '내용': '원장님 전문적이고 과잉진료 없음. 데스크는 좀 아쉽지만 진료만 잘 받으면되니 괜찮네요.', '좋아요': '0'}, {'작성자': '미니맨', '별점': '5.0', '날짜': '2024.08.27.', '내용': '친절하시고 꼼꼼하게 진료봐주세요!', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '휴무일': '공휴일'}"
