name,score,address,img_url,reviews,open_hour
강남세브란스병원,2.2,강남구 언주로 211,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMjNfMzIg%2FMDAxNjc3MTU3MzIyNzIy.O6LHYFh9FfsdaLZeBaZ6e1sTeU9c1JESSqRC8j76Fe8g.8JH7m2C6LZSmdZHqtORVGXg1C3LS45nltLlaMtNn7Vwg.JPEG.got29%2F1677157321896.jpg%3Ftype%3Dw966,"[{'작성자': 'tx', '별점': '5.0', '날짜': '2025.03.22.', '내용': '의사 간호사 선생님들 모두다 친절하시고 감사합니다 덕분에 건강회복 잘 회복합니다', '좋아요': '0'}, {'작성자': '포롱포롱', '별점': '1.0', '날짜': '2025.03.03.', '내용': '좋은 직원보다 인성 안좋은 직원이 훨씬 많은 곳. 그리고 언제와도 또라이 환자나 방문자들이 존재하는 곳.분위기 완전 개판에 엉망이어서 그래서 안가고 싶지만 또 질병 치료하려면 어쩔 수 ... 더보기', '좋아요': '4'}, {'작성자': '순두부', '별점': '1.0', '날짜': '2025.02.25.', '내용': '직원들 보다는 교수들이 진심 싸가지가 너무 없으세요\n티비나오려고 의사하나 외래 환자들한테는 싸가지싸가지개싸가지\n1점도 아깝다', '좋아요': '2'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '공휴일'}"
강남베드로병원 신관,,강남구 남부순환로 2633,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F30C6FBDC546D40FDB798280794F209C4,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
CNP차앤박피부과 도곡양재점,2.7,강남구 강남대로 248 목원빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_811912933,"[{'작성자': '김기홍', '별점': '1.0', '날짜': '2025.02.21.', '내용': '아래 글쓴분 말이 맞네요 예약없이 갓더니 30분기다리고 얼마나 더 기다려야하냐고하니 앞에 1명잇다고 그래서 얼마나 걸리냐고 하니까 한 15분 하길래 그냥 나왓네요 예약이라고는... 더보기', '좋아요': '0'}, {'작성자': 'merry marry', '별점': '1.0', '날짜': '2024.10.23.', '내용': '예약 없이 갔더니 약 50분 기다리면 된다고 해서 기다렸는데, 중간에 40분쯤 기다리다 확인차 물어봐도 앞에 1분 있다고 20분정도만 기다리라 하시더니 다른 예약손님들이 더 먼저 들어가 결론적으로 1시간... 더보기', '좋아요': '3'}, {'작성자': 'H 🍦', '별점': '1.0', '날짜': '2024.08.27.', '내용': '평일 오후에 갔는데 원장님 1명만 있고 한시간짜리 시술들어가서 그냥 진료 받는데 1시간 30분은 기다려야한다고 하네요. 미안한 기색 없이, 진료받는 거는 예약도 못하고 우리는 원래 ... 더보기', '좋아요': '1'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '11:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '11:00 ~ 20:00', '화': '10:00 ~ 19:00', '휴무일': '공휴일'}"
CNP차앤박피부과 양재점,2.7,강남구 강남대로 240 SK허브프리모 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2767AE495537664D1D,"[{'작성자': '바나나', '별점': '5.0', '날짜': '2025.02.17.', '내용': '여드름 압출하러 여기저기 다녔었는데\n여기만큼 꼼꼼하고 잘 하는 곳이 없어요ㅠㅠ\n다른 곳은 압출해도 일주일이면 다시 트러블... 더보기', '좋아요': '0'}, {'작성자': '이영경', '별점': '5.0', '날짜': '2024.10.31.', '내용': '빠르고 정확한 진료를 해 주시네요\n늘 친절하세요', '좋아요': '0'}, {'작성자': 'Ryul', '별점': '5.0', '날짜': '2024.09.12.', '내용': '아주 기깔남 좀 비싼 거같긴하지만 좋음!! 효과도 좋음!!! 그리고 짱 친절함', '좋아요': '0'}]","{'수': '11:00 ~ 19:30', '목': '11:00 ~ 19:30', '금': '11:00 ~ 19:30', '토': '09:00 ~ 14:30', '월': '11:00 ~ 19:30', '화': '11:00 ~ 19:30'}"
서울본브릿지병원,,강남구 도곡로 214,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE7E0D069BAEF4F8DA275B499F1921C8F,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 17:30', '휴무일': '매주 일요일'}"
강남베드로병원 본관,,강남구 남부순환로 2649 1-2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5B8536CD234346C4B4EB85F9F51C4916,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
강남제이에스병원,,강남구 도곡로 122 제이에스빌딩,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F674397DF466F4553B3FEA1E6419D8D0E,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '공휴일'}"
치휴한방병원 강남점,,강남구 도곡로 216,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F835A0F25AD7642E8AAAB46550DF22FA0,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
프레쉬이비인후과 강남본원,3.7,"강남구 남부순환로 2615 극동스타클래스 2,3층 203~207,209,304호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC5097421C5AA474DB69004E61BF4E94B,"[{'작성자': '그러므로', '별점': '1.0', '날짜': '2025.03.03.', '내용': '여기에서 수술하고 진물나고 염증생겨서 재수술함\n재수술한 병원에서 수술사진 보여줬는데\n이상한 실이 필요이상으로 덕지덕지 ... 더보기', '좋아요': '0'}, {'작성자': '이승기', '별점': '5.0', '날짜': '2025.02.11.', '내용': '선생님들이 사람들이 많아 바쁘신데도 친절하게 잘 응대 해주셨음', '좋아요': '0'}, {'작성자': 'J.S.H', '별점': '5.0', '날짜': '2025.02.10.', '내용': '감기때문에 갔는데, 직원들도 다 친절하시고, 의사쌤도 진료 너무 잘 봐주셨어요.\n다른병원에서 감기약 먹고도 계속 기침하고 힘들었는데, 여기서 진료보고 약타먹고\n많이 좋아졌어요!!! 집에서도 가까워서 자주 올께요!', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '휴무일': '공휴일'}"
연세라미슈의원,4.5,강남구 남부순환로 2609 하늘빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F205C223B4EC3252529,"[{'작성자': '낭낭', '별점': '5.0', '날짜': '2025.03.16.', '내용': '일단 실장님께서 상담도 꼼꼼하게 잘 해주시고\n원장님도 시술을 완전 꼼꼼하게 걱정인 부분\n완전 잘 해주셔요!!! 슈링크 ... 더보기', '좋아요': '0'}, {'작성자': 'Syoug', '별점': '5.0', '날짜': '2025.03.07.', '내용': '직원 분들이 친절하시고, 상담도 잘 해주셨습니다.\n시술실엔 주사가 담겨있는 통들이 많아서 믿음도 가고 눈 앞에서 직접 개봉해주... 더보기', '좋아요': '0'}, {'작성자': '서진', '별점': '5.0', '날짜': '2025.02.25.', '내용': '병원직원분들도 친절하고 무엇보다 원장님이 친절하고 꼼꼼하게 시술해주셔서 좋았습니당! 윤곽주사랑 슈링크둘다 용량 인증해주시고 컴플렉스인 부위 위주로 시술해주셔서... 더보기', '좋아요': '0'}]","{'수': '휴무일', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '휴무일': '공휴일'}"
