name,score,address,img_url,reviews,open_hour
백세튼튼정형외과의원,4.1,관악구 호암로 605 1.2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDFfMTEy%2FMDAxNzM1Njk4Mzc1MDYw.GVvcUvTVILxKQucOjzA7HJPx5LyRt8_aqScgC8liyGcg.UOGn4H2Ze220GoceIsmAVftRzlEpjmj5Lf9IDuY8z3sg.JPEG%2F%25EB%258B%25A4%25EC%259A%25B4%25EB%25A1%259C%25EB%2593%259C_(21).jpg%3Ftype%3Dw966,"[{'작성자': '기분이조크든요', '별점': '5.0', '날짜': '2025.03.25.', '내용': '완전 시원시원하게 아픈거랑 긍금증 해결해 주셨습니다\n감사합니다!!!', '좋아요': '0'}, {'작성자': '서훈', '별점': '5.0', '날짜': '2025.03.17.', '내용': '회전근개 문제로 방문. 최고네요 !', '좋아요': '0'}, {'작성자': 'y', '별점': '5.0', '날짜': '2024.10.31.', '내용': '여기 진짜 최곱니다', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 20:00'}"
송치과의원,4.5,관악구 신림로 141 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fcbf87da0f109eb8a8f170c547639c7aa45326149%3Foriginal,"[{'작성자': '빵지순례', '별점': '5.0', '날짜': '2025.03.19.', '내용': '후기 왜 안 좋지....?? 평일 오전에 왔구, 과잉 진료 절대 없고 최대한 좋은 방향 추천해주시고, 심지어 다른 큰 병원 가볼 일이라면서 치료를 밀어붙이지 않으셔요 이만한 곳 없습니당.... 앞으로도 쭉 올 예정이에요!!', '좋아요': '0'}, {'작성자': '아라', '별점': '5.0', '날짜': '2024.12.28.', '내용': '이전보다 환자가 많진 않은 느낌이지만 \n여전히 의사선생님 친절하시고 과잉진료없고 깔끔해서 좋음', '좋아요': '0'}, {'작성자': '깔깔', '별점': '5.0', '날짜': '2024.12.14.', '내용': '스케일링 하러 가서 충치치료까지 받고 왔습니다\n\n다른 치과에선 스케일링 받을 때 제 동의도 안 받소 사진찍... 더보기', '좋아요': '1'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 21:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:30', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '휴무일': '공휴일'}"
세인경희한의원,5.0,관악구 신림로 141 아산빌딩 3층 302호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ffff906f76356efd697cc75c109f13e863fef6e72%3Foriginal,"[{'작성자': 'hr', '별점': '5.0', '날짜': '2023.08.18.', '내용': '허리 삐끗해서 왔는데 너무 편하고 실력도 좋으신것 같아용 시설도 좋고', '좋아요': '0'}, {'작성자': '고독을 사랑하자', '별점': '5.0', '날짜': '2023.03.04.', '내용': '친절해요 선생님이쁘고\n실력대단해요 명의👍💘', '좋아요': '0'}, {'작성자': 'August', '별점': '5.0', '날짜': '2022.09.13.', '내용': '근육통 \n물리치료 좋아요', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00'}"
경희삼성한의원,5.0,관악구 신림로 151,,"[{'작성자': 'Sally', '별점': '5.0', '날짜': '2024.08.01.', '내용': '원장 선생님 및 간호사 선생님들 모두 친절하세요 \n주기적으로 방문해서 침 맞고 물리치료 받고 있는데\n조금씩 나아지는서 같아요', '좋아요': '0'}, {'작성자': '으악새', '별점': '5.0', '날짜': '2021.09.13.', '내용': '친절하고 간호사대응이빠름.', '좋아요': '0'}, {'작성자': '탄빵', '별점': '5.0', '날짜': '2021.01.26.', '내용': '점심시간 1시~2시', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00'}"
우리들치과의원,5.0,관악구 호암로 399 107호,,"[{'작성자': 'SY', '별점': '5.0', '날짜': '2022.07.25.', '내용': '20년 넘게 다닌 치과인데 선생님도 너무 친절하시고 과잉진료 않으시고 신뢰가 가는 치과에요', '좋아요': '0'}]","{'수': '09:30 ~ 18:00', '목': '14:00 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00'}"
우리가정의원,3.7,관악구 호암로 530 3층,,"[{'작성자': '시나브로', '별점': '1.0', '날짜': '2024.10.10.', '내용': '안경쓴 나이있으신 카운터 간호사 굉장히 날카롭고 왜 이렇게 화나있으세요? \n어르신들이나 저희 어머니한테 짜증섞... 더보기', '좋아요': '1'}, {'작성자': '인생 여행자', '별점': '4.0', '날짜': '2024.08.07.', '내용': '의사 선생님의 진료가 진심으로 느껴져서 좋다.환자가 많아 대기 시간이 길다는 것이 단점.\n(올 때마다 1시간 대기는 기본인듯)', '좋아요': '0'}, {'작성자': 'R', '별점': '1.0', '날짜': '2024.07.27.', '내용': '너무 오래 기다려요 기본 대기시간 1시간 이상..', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
참사랑한의원,5.0,관악구 신림로 149 2층,,"[{'작성자': '냐호', '별점': '5.0', '날짜': '2022.06.28.', '내용': '믿고 가는 한의원!!! 최고최고', '좋아요': '0'}, {'작성자': '방구', '별점': '5.0', '날짜': '2022.05.14.', '내용': '친절 그자체', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
강경훈의원,3.3,관악구 신림로 141,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBE21FA0DBA9C4725A675EE14B74948A0,"[{'작성자': '룬', '별점': '5.0', '날짜': '2024.12.23.', '내용': '저는 진짜 ㅠㅠ 너무 감사해요 쌤한테 ㅠㅠㅠ 애둘 여기 가면 늘 알맞게 약 잘 써주셔서 금방 낫는거 같아요. 이번에는 중이염으로 갔는데 아기 귀지 잘 빼주셔서 덕분에 잘 치료중이네요..!! 애둘... 더보기', '좋아요': '0'}, {'작성자': '신림동 역세권 주민', '별점': '1.0', '날짜': '2024.08.24.', '내용': '별로에요~ \n아무 시설도 없고~ \n침대만 있어요~ \n손님은 많은데\n카운터... 더보기', '좋아요': '5'}, {'작성자': '허걱', '별점': '2.0', '날짜': '2023.09.08.', '내용': '대학동에 애기 봐주는 병원이 없어서 가는거지 킹경훈이라고? ㅋㅋㅋㅋ 감기같은 경증에만 가고 한두번 갔는데 병에 차도가 없다 싶으면 다른 병원가세요. 딱 그정도임.', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '휴무일', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
김&안치과의원,2.3,관악구 호암로 605,,"[{'작성자': '동그라미', '별점': '1.0', '날짜': '2023.12.04.', '내용': '비급여 타병원이랑 비교해보고 가세요', '좋아요': '0'}, {'작성자': '꼬북', '별점': '5.0', '날짜': '2022.01.05.', '내용': '원장님이랑 직원분들 다 잘해주셔서\n편안하게 진료받고 왔어요\n앞으로 여기만 다닐것 같네요', '좋아요': '2'}, {'작성자': '.', '별점': '1.0', '날짜': '2019.10.17.', '내용': '스케일링 할 때 너무 아프게 쑤시고 떼운거 다 떨어져서\n다른 치과 갔는데 여기서 한 게 잘못됐다는 걸 알았네요', '좋아요': '0'}]","{'수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00'}"
삼성탑의원,4.0,관악구 광신길 217 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2676923555E7F85A1A,"[{'작성자': '반짝반짝', '별점': '5.0', '날짜': '2023.08.17.', '내용': '예방접종 비용이 저렴해요.', '좋아요': '0'}, {'작성자': '바쁩니다', '별점': '1.0', '날짜': '2021.12.13.', '내용': '의사선생님께서\n\n예민하... 더보기', '좋아요': '0'}, {'작성자': '야옹', '별점': '5.0', '날짜': '2018.11.10.', '내용': '의사선생님이 친절하시구\n과한 치료를 권하지않으셔서 좋아여', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
