name,score,address,img_url,reviews,open_hour
네이처요양병원,5.0,강남구 헌릉로569길 21-40,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjJfODcg%2FMDAxNzMyMjAxMjcxNjMw.UaWJ3ZiLLxvg90SHO0b9GoDluiiPa4BGzzu7PAdKe3Mg.p81V7knYozlU543qDQUPD5phKhTfVlXUU6JJUv1yxG8g.PNG%2Fimage.png%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
자곡365의원,4.2,강남구 자곡로 172 강남엑슬루프라임 1층 123~124호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7680E49895A641779B4417D5940B1EE0,"[{'작성자': '최성훈', '별점': '5.0', '날짜': '2025.03.10.', '내용': '식단을 바꿔도 혈당이 잘 조절되지 않아서 병원 다녀왔는데 검사 꼼꼼히 해주셨어요.\n집에서 펩티드요법을 꾸준히 하면서 관리하니 효과가 확실히 나타나네... 더보기', '좋아요': '0'}, {'작성자': '호밀빝', '별점': '5.0', '날짜': '2025.02.23.', '내용': '택시타고 왔는데…', '좋아요': '0'}, {'작성자': '예일', '별점': '1.0', '날짜': '2025.02.02.', '내용': '야간 및 공휴일 진료가 있어서 자주 방문하였으나, 오늘은 기분이 별로 안 좋으신가 말도 끊고 이상하시네요. 장모님 모시고 왔다가 제 기분이 매우 안 좋아지는 경험을 했습니다. 급할 땐 어쩔 수 없이 또 오겠지만, 대안이 있을 땐 여긴 안 올 것 같네요.', '좋아요': '0'}]","{'수': '13:00 ~ 23:00', '목': '13:00 ~ 23:00', '금': '휴무일', '토': '09:00 ~ 23:00', '일': '09:00 ~ 23:00', '월': '13:00 ~ 23:00', '화': '13:00 ~ 23:00', '휴무일': '매주 금요일'}"
강남구립행복요양병원,5.0,강남구 헌릉로590길 60,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjJfNzMg%2FMDAxNzMyMjM5MzkxMjM3.ZupQPrNPS-mrsRB69QEI28rVcLJps1pOdsNaiZv0raQg.ziRyndebVILxKqZoGsTaxppFx00L7lwzgaNvS8mjluAg.PNG%2Fimage.png%3Ftype%3Dw773,"[{'작성자': '고양이는범샛기갓지', '별점': '5.0', '날짜': '2020.02.20.', '내용': '강남구민이 아니었는데도 이용할수있어 좋았습니다', '좋아요': '0'}]",{}
강남드림내과의원,,강남구 자곡로 120 세곡드림시티프라자 1동 4층 403~405호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA106DEE084374ADA940E84387878AC21,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:30 ~ 17:55', '목': '08:30 ~ 17:55', '금': '08:30 ~ 17:55', '토': '08:30 ~ 12:55', '일': '휴무일', '월': '08:30 ~ 17:55', '화': '08:30 ~ 17:55', '휴무일': '공휴일, 5월 1일 휴무'}"
수아로피부과의원,3.7,강남구 헌릉로 569 3층 303~304호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMThfMjA4%2FMDAxNzM5ODI4MjY4MjMx.czlilfi4i1g_nVGyTbpt58D1zc5sSWin3r7qFTHc7XQg.eZ0FhyP0dsXyIIZD1oeiUisNGeQNIlO9qvZNma_O3eEg.PNG%2Fimage_6.png%3Ftype%3Dw966,"[{'작성자': '영방', '별점': '5.0', '날짜': '2025.03.07.', '내용': '친절해요', '좋아요': '0'}, {'작성자': '옴', '별점': '5.0', '날짜': '2024.10.11.', '내용': '기미가 심해서 갔는데 피부상태\n도 꼼꼼히 봐주시고 설명도 자세하게 해주시네요  신뢰가 가서 여기서 꾸준히 치료 해보려구요~', '좋아요': '0'}, {'작성자': '지예', '별점': '5.0', '날짜': '2024.10.11.', '내용': '시설이 깔끔하고 상담도 자세히 해주셔서 더 좋았어요!', '좋아요': '0'}]","{'수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '휴무일': '공휴일'}"
새서울정형외과의원,2.0,강남구 헌릉로 569 4층,,"[{'작성자': 'W.W.', '별점': '1.0', '날짜': '2025.01.05.', '내용': '오진 오진다', '좋아요': '1'}, {'작성자': 'J.Y.H', '별점': '5.0', '날짜': '2023.11.16.', '내용': '후기가 안좋아서 걱정했는데 경험상 정형외과는  물리치료도 받으러 다녀야하고 가까이로가는게 최고인거같아서 갔는데 과잉진료도... 더보기', '좋아요': '0'}, {'작성자': '은혜상', '별점': '5.0', '날짜': '2023.09.19.', '내용': '리뷰가 안좋아서 고민하다 방문했는데  깔끔하고 조용하게 물리치료받기 좋아요..간호사분들도 인사잘하시고 잘 받아주고 친절하던데요..저는 치료 잘 받고 왔어요', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
강남365치과의원,4.5,"강남구 자곡로 201 강남 더샵 라르고 상가 206, 207, 209호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjdfMjUw%2FMDAxNzM1Mjc5MjgwNzQ5.gR_dg4uc8oTC6UAiIT8dlJ4kbW-UHbjG_y9AvLZ35P8g.kuP59Txfpav80JxL0ztwfZwYhTy_kbyHz6n6MEYBnvYg.JPEG%2Fmosque-5773586_002.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '5.0', '날짜': '2024.09.23.', '내용': '임플란트 as받으러 몇년만에 갔는데 원장님과 간호사분들 물흐르듯이 편하게 진료해주셨어요  너무 기분 좋은 하루였습니다', '좋아요': '0'}, {'작성자': '포뇨', '별점': '5.0', '날짜': '2024.05.22.', '내용': '다들 엄청 친절하시고 설명도 너무 잘해주셔서 좋았어요! 치아 착색이 심해서 오래걸리고 힘드셨을텐데 끝까지 잘해주셔서 너무 만족하고 나왔습니다. 🤍', '좋아요': '0'}, {'작성자': 'szzy', '별점': '5.0', '날짜': '2024.05.16.', '내용': '원장선생님도 친절하시고 진료실 선생님들도 설명 잘 해주셔서 좋았어요!!\n스케일링할때 가글마취도 해주셔서 안 아프게 잘 받았어요!!👍🏻\n정기검진 앞... 더보기', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 16:00', '일': '10:00 ~ 16:00', '월': '10:00 ~ 19:00', '화': '10:00 ~ 21:00'}"
세곡달빛의원,3.7,"강남구 헌릉로569길 27 천석빌딩 2층 201-2호,202호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8102a2d1bf1f4b557c891db21ef424a48685a8c9%3Foriginal,"[{'작성자': '뽕빠', '별점': '5.0', '날짜': '2025.03.08.', '내용': '애들아플때 꼭 가는 병원이에요. 약도 잘듣고 좋습니다.', '좋아요': '0'}, {'작성자': '요점부터말해요', '별점': '1.0', '날짜': '2024.09.13.', '내용': '여기 간호사분들 정말 불친절하세요.. 어르신들한테도 퉁명스러우셔서 당황스러울 정도에요. 병원 문 앞에 키오스크로 접수하고 들어오라고 하는데 나이 있으신 분들이 헷갈려 하시는데도요..', '좋아요': '1'}, {'작성자': '❤민혁채원맘❤', '별점': '1.0', '날짜': '2024.09.09.', '내용': '아ᆢ의사가 어찌 쫌 별로임.\n공부 잘해서 의사되서 돈이나 벌려고 하는ᆢ\n진심을 담아... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 23:00', '목': '09:00 ~ 23:00', '금': '09:00 ~ 23:00', '토': '09:00 ~ 20:50', '일': '09:00 ~ 20:50', '월': '09:00 ~ 23:00', '화': '09:00 ~ 23:00'}"
세곡밝은안과의원,,강남구 헌릉로 569 강남리더스프라자 4층 405호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F063EB026E8324EE48639A23BA17B0132,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:20', '목': '09:00 ~ 13:00', '금': '09:00 ~ 18:20', '토': '09:00 ~ 13:50', '월': '09:00 ~ 18:20', '화': '09:00 ~ 18:20', '휴무일': '공휴일'}"
세곡어린이치과의원,2.8,강남구 밤고개로21길 73,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbB0u4K%2FbtrLiB1U6aS%2FWFBYalHEHkM8rJdsVLaae1%2Fimg.jpg,"[{'작성자': '경동이 아빠', '별점': '5.0', '날짜': '2022.10.26.', '내용': '아이 잇몸까지 염증이 침투해서 빨리 수술을 해야 했었는데\n이 병원에서 빠르게 잘 치료했습니다.\n치아가 여러게 썩어서 많이 빼고 ... 더보기', '좋아요': '0'}, {'작성자': '정택현', '별점': '5.0', '날짜': '2021.06.04.', '내용': '친절하고 원장님 꼼꼼합니다 \n치료시에도 잘 기다려주시고 양치법도 잘 알려주셔서 치과 트라우마도 없어졌어요', '좋아요': '0'}, {'작성자': '미나리', '별점': '1.0', '날짜': '2021.01.15.', '내용': '원장님은 좋으신데 실장님(?)은 글쎄요.. 어린이치과인데 아이들 케어가 너무 서툽니다. 아이를 힘들게 하면서 운다 제대로 못한다 윽박지르고.... 아이가 그걸 잘하면 어른이죠. 주변에 다른 치과 알아봐야할듯요.', '좋아요': '0'}]","{'목': '14:00 ~ 20:30', '금': '09:30 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:30 ~ 15:00', '화': '09:30 ~ 18:30'}"
