name,score,address,img_url,reviews,open_hour
김대중내과의원,3.9,"강남구 광평로 280 로즈데일오피스텔 2층 201호, 202-1호",,"[{'작성자': '정현준', '별점': '5.0', '날짜': '2025.02.28.', '내용': '운동도 하고 식단 조절도 하는데 혈당이 잘 잡히지 않아서 상담받았어요.\n집에서 펩티드요법을 하면서 관리하니 수치가 점점 좋아지고 있어요. 감사합니다.', '좋아요': '0'}, {'작성자': 'BRS', '별점': '1.0', '날짜': '2024.07.17.', '내용': '유튜브에서 유명하기도 하고 진료를 긴시간 할애하여 본다고 홈페이지에 나와 있어서 내원했습니다. \n과거병력과 어떤 증상으로 왔는지 의사선생님께 설명하려하니 접... 더보기', '좋아요': '1'}, {'작성자': '이세원', '별점': '5.0', '날짜': '2024.07.05.', '내용': '경험이 많으신 서울삼성병원에서 오랫동안 근무하시고 최근에 퇴직하시고 개업하신 저명하신 김대중 박사님의 병원입니다.... 더보기', '좋아요': '1'}]","{'수': '08:00 ~ 14:00', '금': '08:00 ~ 14:00', '월': '08:00 ~ 14:00', '화': '08:00 ~ 14:00'}"
삼성서울유외과의원,4.2,강남구 광평로 280 수서타워 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMTFfMjQ1%2FMDAxNjY1NDc1Njc4MTY2.dF20xyTffBLKRXWczIfHY4t6gbGPWDMElIigncdr5aIg.sublxtvsBB2ZjqKiM9JF6teA5FeqI9YXiKRac8cM2zgg.JPEG.zer0th%2FSMT04.jpg.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '5.0', '날짜': '2025.03.20.', '내용': '삼성서울병원에서 검진받다가\n삼성서울병원 추천으로 검사받았습니다.\n검색해보니 유방외과 전문... 더보기', '좋아요': '0'}, {'작성자': '로또당첨기원핑', '별점': '5.0', '날짜': '2024.09.30.', '내용': '유방암 검진 받고왔어요~ 다들 친절하고 좋아요', '좋아요': '0'}, {'작성자': '김꾸마', '별점': '5.0', '날짜': '2024.09.30.', '내용': '유방암 검진 받았어요. 되게 걱정했는데 유방암은 아니어서 다행이네요.. 설명도 잘해주시고 안내도 잘 해주시니 더욱 안심되었습니다', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 18:00'}"
문희승내과의원,4.8,강남구 광평로51길 6-11 문암빌딩 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8c40c56428dc9e56146fd1fbf0b287df82bc638a%3Foriginal,"[{'작성자': '亨運', '별점': '5.0', '날짜': '2024.09.14.', '내용': '의사 선생님께서 아주 친절하고 자세하고 전문적으로 진단해주십니다!!!', '좋아요': '1'}, {'작성자': 'Donut', '별점': '5.0', '날짜': '2024.06.01.', '내용': '아마 이곳이 언젠가 문을 닫게 되면 \n앞으로 살면서 이분같은 의사를 또 만날 수 있을까 싶네요.', '좋아요': '0'}, {'작성자': 'jyb', '별점': '5.0', '날짜': '2023.07.08.', '내용': '연세드시고 친절한 의사분이 계심.  추천', '좋아요': '1'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 13:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00'}"
수서바른정형외과의원,,강남구 광평로 280 로즈데일오피스텔 2층 206호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDlfMjgx%2FMDAxNzMzNzA5ODQzMzU3.QEtqtyrw-nBKufdCe1hR4LIh3jsw3rwVYtANdpforbMg.YQBfLhxMk9Bj6Iel7O50UpYGHHKXeUaevG4gNCmCSN4g.JPEG%2FSE-b24bb452-90d4-4885-8426-d509d93998db.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '휴무일': '공휴일'}"
참든든내과의원,3.9,강남구 광평로56길 8-13 수서타워 2층 208~209호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1677469602,"[{'작성자': '신봉금', '별점': '5.0', '날짜': '2023.06.24.', '내용': '암병동 중에서 최고의 권위자라고\n추천받았습니다\n감사합니다', '좋아요': '1'}]","{'수': '09:30 ~ 17:30', '목': '휴무일', '금': '09:30 ~ 17:30', '토': '11:00 ~ 12:50', '일': '휴무일', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '휴무일': '매주 목요일, 일요일'}"
수서서울이비인후과의원,,강남구 밤고개로1길 10 수서현대벤쳐빌오피스텔 2층 218호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA937E7651D9745D09098DE0907C4A169,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:00 ~ 19:30', '목': '08:00 ~ 19:30', '금': '08:00 ~ 19:30', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '08:00 ~ 19:30', '화': '08:00 ~ 19:30', '휴무일': '매주 일요일'}"
강남베스트내과의원 강남수서,2.2,강남구 광평로 281 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMjVfMjk5%2FMDAxNjc3MjU4NDc0NTY5.E8V7yUE_85WQyEfsbajF5ec_3wueDE58gOEnVttIt3Ig.pXYXN6Fc505ZCi6x9yv7MkXaLPxRQ_ttWv_waZGjIbYg.JPEG.kbestclinic%2FIMG_8324.jpg%3Ftype%3Dw966,"[{'작성자': 'Tatyana', '별점': '1.0', '날짜': '2024.04.15.', '내용': '처방 잘 못 줬고 검사 매개월 마다 하래요 ..가지마세요', '좋아요': '0'}, {'작성자': '김준영', '별점': '1.0', '날짜': '2023.09.08.', '내용': '불친절에 끝 뭐 좀 물어보면 혼내는 곳 돈내고 혼나고싶으면 가세요', '좋아요': '0'}, {'작성자': '매의눈', '별점': '5.0', '날짜': '2023.04.06.', '내용': '새로오신 이선생님이 참 친절하시고, 검사도 잘 해주신 덕분에 아픈것도 금방나았고, 마음도 편해졌습니다. 좋은분 오셔서 정말 자주가고 싶습니다. 가족과 지인에게 이 병원오라고 추천 중.', '좋아요': '0'}]","{'수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:30', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
연세굿데이치과의원 수서점,4.5,강남구 광평로 281 수서오피스빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBF7BF377BDF34F70B9086E501DB05B89,"[{'작성자': '김지혜', '별점': '5.0', '날짜': '2025.02.13.', '내용': '어머니 임플란트 때문에 여기저기 다녀보다가 여기 연세굿데이치과 수서역점에서 최세경 원장님 상담하고 너무나 인상도 좋으시고 설명도 잘해주셔서 신뢰감이 가서 바로... 더보기', '좋아요': '0'}, {'작성자': '초초', '별점': '5.0', '날짜': '2025.02.12.', '내용': '집과 회사 근처로 방문하기 편한 곳을 찾다가 평점이 높아서 선택하게 되었어요. 의사 및 직원분들 정말 친절하시네요. 환자가 많아서 대기 시간이 길지만 진료 잘 받았습니다. 동료들한테도 추천할게요.', '좋아요': '0'}, {'작성자': '윤정하', '별점': '5.0', '날짜': '2025.02.11.', '내용': '선생님들 항상 너무 친절하시고 치료도 과하지 않게 잘해주세요 여기로 정착한지 오래 됐습니다', '좋아요': '1'}]","{'수': '10:00 ~ 21:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 21:00', '화': '10:00 ~ 19:00', '휴무일': '석가탄신일, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 성탄절'}"
오체안피부과의원 강남본점,,강남구 광평로 281 효성노틸러스 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMThfMjY3%2FMDAxNzM0NTA0OTc3ODY4.-SUlI7RK9xTm_F6Cl15RkRTreTSDsqro7tKUA-aLo0og.CKr9tJRX9gaJm5QoCaO6CaAKATCD96FzbPFE7Llxx1Yg.JPEG%2Fsdfsdfsdf_002.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 14:30', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '휴무일': '매주 일요일'}"
수서나을산부인과의원,4.7,강남구 광평로 280 로즈데일오피스텔 2층 204호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F306B3A24629B4A20B0367F16F4D78111,"[{'작성자': 'continue', '별점': '5.0', '날짜': '2024.11.08.', '내용': '엄마가 다니던 곳이 멀어서 근처 산부인과 찾다가 이곳으로 한 번 가보라고 했는데 다녀오더니 원래 다니던 곳보다 더 좋았다고 합니다. 친절하고 꼼꼼하게 진료해 주시니 후기가 좋았나 봅니다.', '좋아요': '0'}, {'작성자': '강남憲', '별점': '5.0', '날짜': '2024.08.27.', '내용': '박혜나 선생님 친절하심.\n직원들도 친절.', '좋아요': '0'}, {'작성자': '딸기바나나', '별점': '4.0', '날짜': '2024.08.06.', '내용': '임신 후기에 받아주는 동네병원이 별로없는데, 초음파도 봐주시고 영양수액도 놔주셔서 감사했어요. 다만 주차장 냄새가 좀 심해서 입덧약 받을때는 힘들었네요', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '휴무일': '공휴일'}"
