name,score,address,img_url,reviews,open_hour
서울밝은세상안과,4.8,"강남구 선릉로 823 한양타운 2층, 5층, 6층일부, 7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCAD12FB99D5B4EA19A241850B5CDE39D,"[{'작성자': '전미희', '별점': '5.0', '날짜': '2025.01.24.', '내용': '대학때시작한 안경 40년\n이젠 그만 안경을 벗고 싶다는 단순한 생각으로 안과 검진을 했는데 덜컥 백내장 판정이네요... 더보기', '좋아요': '0'}, {'작성자': '제이쮸', '별점': '5.0', '날짜': '2024.10.04.', '내용': '수술후 일주일차라 이제명원장님 진료받고갑니다\n오늘은 수술후에 안구건조증관리에 대해서 상세하게 설명해주셨어요. 그리고 안구건조증에 효과가 있다는 자가혈청으로 만든 안약까... 더보기', '좋아요': '1'}, {'작성자': '허종윤', '별점': '5.0', '날짜': '2024.08.09.', '내용': '오늘 스마일라식프로, 정일영 원장님께 진행했습니다.\n 검사진행하신 간호사 선생님과 정일영원장님께서\n... 더보기', '좋아요': '1'}]","{'수': '휴무일', '목': '09:30 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '휴무일': '석가탄신일, 2025년 5월 6일 휴무, 추석당일, 추석다음날, 설당일, 설다음날, 1월1일, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
두발로병원,4.3,강남구 압구정로30길 45 2~4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8124A7B8932F49889796EFB88D5F786D,"[{'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2023.11.17.', '내용': '중족골 골절수술과 전거비인대 재건술을 김지범원장님께 받았습니다. 과잉진료는 하지 않으시는것 같고 소신것 치료방법을 결정하고 추천해주십니다. 수술 후 통증에 ... 더보기', '좋아요': '0'}, {'작성자': '보은', '별점': '5.0', '날짜': '2023.10.04.', '내용': '발목을 자주 접지르고 평지에서 걷다가 넘어지다가 해서 다른병원에서 인대가 없어서 수술해야 한다고 해서 병원 찾아보다가 족부전문 병원으로 유명해서 이곳에 가게되었어... 더보기', '좋아요': '0'}, {'작성자': '오늘은 여행', '별점': '5.0', '날짜': '2023.08.21.', '내용': '이강 원장님 정말 추천합니다. 대기시간이 긴데 환자한테 친절하십니다. 무지외반증이랑 발바닥 뒤꿈치 혹 같은게 생겨서 발을 못 딛었는데 엑스레이 찍고 초음파 찍고 자세히 설명해주셨어요. 제가 묻기 전에 미리... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
호산여성병원,3.2,강남구 언주로 871,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTJfNDAg%2FMDAxNzM0MDA0MTY1OTIy.FY78eXdxIjTrcPBdE7anwn7nUtyoHFFt_vvuEkPn57cg.ZMd7utRrLStT97Kx7ePnCuR7mSDu7SqTeV01RvKZ8aAg.JPEG%2FIMG_1767.jpg%3Ftype%3Dw966,"[{'작성자': 'zizizizi', '별점': '1.0', '날짜': '2025.03.26.', '내용': '환자앞에서 다른 환자 욕하는 간호사와 의사. \n다른환자 처치와 캐릭터까지 ... 더보기', '좋아요': '0'}, {'작성자': '그레이파스타', '별점': '1.0', '날짜': '2024.11.06.', '내용': 'ㅇ유산 후 재임신해서 진료보러 간건데 큰소리로 0월에 임신하셨는데 출산하신거냐고ㅋㅋㅋㅋㅋㅋㅋ 칠삭둥이인가요? 유독 일못하는 조무사1명 있음 \nㅇ예... 더보기', '좋아요': '1'}, {'작성자': '지후맘', '별점': '4.0', '날짜': '2024.03.15.', '내용': '출산 후 요실금으로 고생하다 추천받아서 호산병원 다니고 있어요. 수술하고나니 진작에 수술할 걸 싶더라구요. 외출하거나 겨울엔 너무 힘들었는데 말이죠 ㅠㅠ 선생님들이 친절하게 해주셔서 몸도 마음도 편해졌네요. 감사합니다!!!', '좋아요': '0'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '휴무일': '공휴일'}"
압구정비앤미의원,4.0,강남구 압구정로46길 5-10 로데오스타빌딩 B동 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD47D647061384F0D87C2F1EBD4949C5B,"[{'작성자': '민성', '별점': '5.0', '날짜': '2024.09.27.', '내용': '눈썹이 비대칭이라서 항상 신경 쓰였는데 이번에 여자친구 따라서 비앤미 방문했다가 시술했어요.\r\n너무 눈썹이 진해서 누가봐도 눈썹반영구 한... 더보기', '좋아요': '2'}, {'작성자': '움하하하', '별점': '5.0', '날짜': '2023.07.25.', '내용': '수영장🙈 가면\n허옇고, 또 물놀이 오래하면\n퍼래져서 ... 더보기', '좋아요': '3'}, {'작성자': '김은영', '별점': '5.0', '날짜': '2022.11.24.', '내용': '콤보눈썹 시술 받았어요. \n디자인 이쁘게 해주시고, 어떤지 의견 체크해주시고 좋았어요. \n리터치 때도 이 디자인 유지해서 하려고요', '좋아요': '1'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 17:00', '월': '10:00 ~ 21:00', '화': '10:00 ~ 21:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 성탄절'}"
압구정성모안과의원,4.3,강남구 언주로 859,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc25abcd96fdadf42426ea109905f591caa6de927%3Foriginal,"[{'작성자': '김병수', '별점': '5.0', '날짜': '2024.11.29.', '내용': '요즘 대학병원에서 진료받기 힘들어서 지인추천으로 내원했습니다.\n솔직히 대학병원보다 빠르고 친절하시고 너무 좋습니다.\n거리는 좀 멀지만 앞으로 압구정성모안과만 찾을거 같네요', '좋아요': '0'}, {'작성자': 'KBS', '별점': '5.0', '날짜': '2024.11.14.', '내용': '라식 준비하다가 녹내장 잔단받고 압구정성모안과에서 재검 받았습니다 눈질환쪽으로 전문이라서 그런지 검사장비가 엄청 다양하네요. 원장 선생님께서도 너무 친절하고 직원분들도 엄청 친절하십니다. 여기서 꾸준히 치료 잘 받을께요', '좋아요': '0'}, {'작성자': '노엘♡성하', '별점': '5.0', '날짜': '2024.10.31.', '내용': '라섹할려고 검사받고 진행했었습니다. 걱정 많이 했는데 간호사분들하고 의사선생님께서\n친절히 잘 알려주시고 해주셔서 수술 잘 받았습니다^^ 천국이 따... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
에이트성형외과의원,4.3,"강남구 논현로 828 국제빌딩 지하1-2층, 1-2층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6E10F795BD1E43AABA0A6B2334AA87E3,"[{'작성자': '갱쓰', '별점': '5.0', '날짜': '2025.03.22.', '내용': '찾아가기 쉬웠고 직원분들도 친절해서 좋았어용 상담 첨이라 좀 어색하고 민망하고 그랬는데 원장님께서 하나하나 자세하게 봐주셔서 편하게 상담받았어요! 몰랐던 제 문제도 알게됐습니당 정직하게... 더보기', '좋아요': '0'}, {'작성자': '치치치', '별점': '5.0', '날짜': '2025.03.21.', '내용': '상담때문만이라도 발품팔아볼만해요. 이때까지 간 곳들 중 젤 상담이 도움 많이 됐음', '좋아요': '0'}, {'작성자': '로카', '별점': '5.0', '날짜': '2025.03.21.', '내용': '상담 갔던 곳들 중 한곳.\n아직 병원 정하진 않았는데 상담도 성의 있게 해줘서 여기도 갈까 말까 고민 되는 곳들 중 하나임.\n상담 실장... 더보기', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '휴무일': '공휴일'}"
모제림성형외과의원,4.0,"강남구 논현로 842 압구정빌딩 5,7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MTVfNjUg%2FMDAxNjgxNTQ1NzM4MjU4.Tqw9tjkiqV1aRm3uugm6VtbMm-xFtMJTMKRRr1zJzXsg.sh9HI4XVJuX9uXHqDeN4i1hDacm9OVmnJIVH4ge-SaAg.JPEG.jihee5517%2Foutput_75018141.jpg%3Ftype%3Dw773,"[{'작성자': '어니스티', '별점': '5.0', '날짜': '2023.08.29.', '내용': 'LJY 원장님 덕분에 새삶을 삽니다 ㅠㅠ', '좋아요': '0'}, {'작성자': '배지숙', '별점': '5.0', '날짜': '2022.10.29.', '내용': '신랑 상담 후 믿음이 가서 수술 받았는데 너무나 만족스러워서 비포애프터 후기 올려봐요\n선생님과 실장님께서 꼼꼼하게... 더보기', '좋아요': '1'}, {'작성자': 'sss', '별점': '5.0', '날짜': '2022.09.07.', '내용': '오늘 상담 받았습니다 지인이 여기서 수술한 결과 보고 갔지만 응대도 잘 해주셔서 좋았습니다 직원분들 다 친절하시고 원장님 실장님도 꽤 오랜 시간 동안 궁금한점 더 없는지 여쭤봐 주시고 자세히 ... 더보기', '좋아요': '0'}]","{'수': '휴무일', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 17:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 광복절, 개천절, 한글날, 성탄절'}"
이담외과의원,3.6,"강남구 도산대로 235 평화빌딩 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDC76CA3CD0BA4A81B5571BE65EBD7AA9,"[{'작성자': '웅', '별점': '1.0', '날짜': '2024.12.07.', '내용': '카운터분 사람상대하는데 좀 그딴식으로 말하지마세요. 병원원장님은 잘보고시고 사람교육좀시키세요', '좋아요': '1'}, {'작성자': 'SiLENT', '별점': '5.0', '날짜': '2024.06.12.', '내용': '다른 동네 OS로컬에서 코뼈 골절 및 외상 소견으로 대학병원 PS 전원 소견 받았지만 의료파업으로 수술가능한 곳을 구하지 못해 발만 동동 구르다가 평소 다니던... 더보기', '좋아요': '0'}, {'작성자': '유희진', '별점': '5.0', '날짜': '2024.03.26.', '내용': '넘어져서 상처가 꽤 크게 났는데요ㅠㅠ 한동안 손목, 무릎 다 시큰시큰해서 방문했었어요! 정형외과 진료 받고 있는데 흉도 져서ㅠㅠ 성형외과도 있길래 흉터 관리도 같이하고 있습니당..! 같이 한... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
압구정사랑이아프니구강악안면외과치과의원,4.3,강남구 선릉로161길 22 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8406B2AB46574C87A07DE6AB8BD5595A,"[{'작성자': '♡', '별점': '4.0', '날짜': '2025.03.06.', '내용': '고딩 아들 사랑니..동네 치과에서 못한다고 사랑니 전문병원 소개해주셔서 방문..4개 한번에 뽑았어요~ 비용이 생각보다 좀 나왔어요', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2025.02.27.', '내용': '불친절... 발치한 사랑니 상태확인이랑 드레싱만 부탁드렸는데 본 의원에서 뽑은게 아니면 안해준다고 이상한 사람 보듯 봄...\n결국 5초만에 검진 보... 더보기', '좋아요': '0'}, {'작성자': '리뷰 안써요', '별점': '5.0', '날짜': '2024.12.05.', '내용': '의사선생님은 친절하고 2~3분만에 매복 발치 잘 해주셔서 안아프고 좋았고 위생사분도 친절하고 좋았어요 환자들이 많으셔서인지 데스크 직원분이 많이 바쁘십니다', '좋아요': '0'}]","{'수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00'}"
김성윤내과의원,3.3,강남구 논현로176길 14 압구정증권빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2F20151203_37%2Feditorteam_1449114093204QtXp0_PNG%2Fgolden-bar.png,"[{'작성자': 'fkrnejs', '별점': '3.0', '날짜': '2025.03.09.', '내용': 'ㅇㅇ', '좋아요': '0'}, {'작성자': 'Jude', '별점': '5.0', '날짜': '2023.10.28.', '내용': '원장님 친절 하심.... 초진 뒤 부터 다른 여자 의사분 계셨는데, 이분도 상냥하고 친절하게 안내 해 주심.... 저는 추천합니다. 원장님은 류머티스 학계 권위자라고 하시네요. 안심하고 다녀왔어요.', '좋아요': '0'}, {'작성자': 'kkk', '별점': '2.0', '날짜': '2023.07.05.', '내용': '김일 선생님 계실때는 좋았는데 후임 김예리 선생님 너무 불친절 하시네요..', '좋아요': '0'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '휴무일', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '공휴일'}"
