name,score,address,img_url,reviews,open_hour
강남차병원,2.3,"강남구 논현로 566 지하1-7층, 2-7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F037F03D6F76B400A92C4521B4F27F914,"[{'작성자': '도리곰', '별점': '1.0', '날짜': '2025.03.24.', '내용': '치료를 받을 일이 있어서, 2-3차 병원 몇군데를 가보고 있는데.. 가본 중에 가장 엉망이고 불친절했습니다.\n\n1. 홈페이지로 ... 더보기', '좋아요': '0'}, {'작성자': '오후', '별점': '2.0', '날짜': '2025.03.06.', '내용': '주차장이 너무너무 좁아요.\n통로가 너무 협소하고 한번에 커브를 돌 수 없어서 백 한번씩 해야하고.. 결국 차 긁었네... 더보기', '좋아요': '0'}, {'작성자': 'abcdefg', '별점': '1.0', '날짜': '2025.02.12.', '내용': '으 상담원 진짜 개멍청함. \n수술 1년 후 통증 있다고 연락했더니, 환자가 자가로 판단해서 아무 병원이나 선택해서 가보면 되지 왜 연락했냐는 식. \n병원 쇼핑하라는건가. 어... 더보기', '좋아요': '0'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '공휴일'}"
하나이비인후과병원,,강남구 역삼로 245,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F50D7A6A0F84647DEABFDE296543091F6,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 한글날, 성탄절'}"
이지함피부과 청담점,0.0,강남구 봉은사로 302 역삼sk리더스뷰 2층 203~204호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F23577C355450402834,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '휴무일': '공휴일'}"
디에이성형외과의원,3.2,강남구 테헤란로 125,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMzFfMTA4%2FMDAxNzM1NjMzMTc4MTMy.Tr3NbptgEdChrBZXwnWs0ipIuOFsM-5avvr96EzsPoMg.2Ymw387RClx-idpTP7HIF3grd9_UoRXzfm7-_7kEgFgg.JPEG%2F1_(7).jpg%3Ftype%3Dw966,"[{'작성자': '넷플보는카피바라', '별점': '5.0', '날짜': '2025.03.18.', '내용': 'good 👍', '좋아요': '0'}, {'작성자': '하요링', '별점': '5.0', '날짜': '2025.03.14.', '내용': '인기 많은 곳이라 예약후 방문해도 약간의 대기는 있었어요. 상담은 친절~~~ 원장님도 매우 친절!! 필요없는 수술은 권하지 않더라구요 그래서인지 견적도 적당하게 나왔어요 :)', '좋아요': '0'}, {'작성자': '힐링1987', '별점': '5.0', '날짜': '2025.03.12.', '내용': '대형병원은 처음인데 대학병원 느낌나요', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 18:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '휴무일': '매주 일요일'}"
밝은성모안과의원 강남점,4.4,"강남구 테헤란로 110 캠브리지빌딩 3,16,17,18층 301,1601,1701,1801호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1A4D0F7D5FB94B8FBF4C99679A9BF149,"[{'작성자': '아트라스제네카', '별점': '5.0', '날짜': '2023.08.05.', '내용': '여기 의사님들 전문성이 있고 꽤나 친절하게 설명 잘 해주세요. 이름이 생각 안나지만 여자원장님이 굉장히 친절했던 기억. 대신 이 병원은 사람이 많아서 예약 및 진료받기 힘듦', '좋아요': '1'}, {'작성자': '최경화', '별점': '5.0', '날짜': '2023.03.27.', '내용': '지인 추천으로 스마일 라식 하러 왔어요. 직원분들\n모두 친절 하셔서 최고입니다. 소중한 눈 수술 세심하고 정교하게 🙏 감사합니다 ♡', '좋아요': '0'}, {'작성자': '준비되셨슈?', '별점': '5.0', '날짜': '2023.02.22.', '내용': '2012년에 라섹했습니다 \n22년 기준 1.7.1.7 유지중입니다 이상 \n11년 됬네요 ~\n21년... 더보기', '좋아요': '1'}]","{'수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 19:30', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '휴무일': '공휴일'}"
하나로의료재단 강남센터,3.1,강남구 테헤란로 326 7-11층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MzBfODkg%2FMDAxNzI0OTgzMzY4MDM5.0UhdkpI6MSH4U217NiNUJUDH7aIwtxGP3gG_SGWFrg4g.zwrYb1I7hX17gpjRMvdUaHs65WEQEzgrTQtpTxAuwUgg.JPEG%2FSE-f4bf3d65-443b-4ca5-91b4-1844a05ccfc4.jpg%3Ftype%3Dw966,"[{'작성자': '맛집사냥똥강아지', '별점': '5.0', '날짜': '2025.02.10.', '내용': '직원도 엄청 많고 체계적입니다. 25년 2월 기준 안내부터 검사해주시는 전직원분 모두 친절했고 가운도 비닐에 있어 깨끗하게 잘했습니다.', '좋아요': '0'}, {'작성자': '유민지', '별점': '2.0', '날짜': '2024.12.16.', '내용': '건강검진 여기서 했는데요.. 위 내시경 당일부터 목이프더니 3일 지난 후 귀까지 아파서 병원가보니까 식도 옆에 신경 지나가는 자리에 구내염이 생겼다하더라구요.. ㅋㅎㅋㅎㅋㅎㅎㅋ 그래서 귀까지 아... 더보기', '좋아요': '0'}, {'작성자': 'Chloe', '별점': '5.0', '날짜': '2024.12.13.', '내용': '우선 여기 죽 맛있어요! 위내시경까지 했는데 2시간도 안걸렸고 기다리는 시간도 거의 없이 바로바로 검사 다 받은것 같아요. 내년에도 여기로 올것같네요!', '좋아요': '0'}]","{'수': '07:00 ~ 17:00', '목': '07:00 ~ 17:00', '금': '07:00 ~ 17:00', '토': '07:00 ~ 12:00', '일': '휴무일', '월': '07:00 ~ 17:00', '화': '07:00 ~ 17:00', '휴무일': '매주 일요일'}"
바노바기 웰니스 클리닉,5.0,강남구 논현로 523 노바빌딩 4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F29F6B8E502E942B5B7B17E69E0242829,"[{'작성자': '벡신맞지마세요', '별점': '5.0', '날짜': '2025.02.06.', '내용': '벡신부작용 밝힌 참의사샘', '좋아요': '1'}, {'작성자': 'Jo', '별점': '5.0', '날짜': '2023.09.24.', '내용': '서울대 의왕재교수님 이젠 가까이서 편하게 뵐수있게됐네요. 기대됩니다.', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
눈에미소안과의원,,"강남구 강남대로 364 미왕빌딩 3,7,8층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDFfMjA4%2FMDAxNzM1NzMzOTQwMjA1.1T7wrKWlTyKIKPKMwoeevfV-7tSy9rhSJ1t4mLIuMK8g.m4rJW90bm22iDC_z-Bnib_WQGwa1CCD26GQ1OowlLWgg.JPEG%2FIMG_6460.JPG%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '휴무일', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
바노바기성형외과의원,3.7,"강남구 논현로 517 지하 1층,1~6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDJfMTQy%2FMDAxNzM1Nzk0MzY0ODE2.Cu5cCFF1b6wJJ8yxvw-DOPW2cSPowr5_hyiJgiQRyOUg.3CniXTJQRnx93D1KH8Aw0FZNB3BzY13YKd4yyu7ano4g.JPEG%2F1_(7).jpg%3Ftype%3Dw773,"[{'작성자': '김지원', '별점': '1.0', '날짜': '2025.03.18.', '내용': '공장형입니다.\n가격은 바가지구요. \n직원들은 환자의 시간이 소중하다는 관념이 아예 없습... 더보기', '좋아요': '0'}, {'작성자': '후엔', '별점': '1.0', '날짜': '2024.10.02.', '내용': '상담하려고 문자 보냈는데 직원이 답장을 안 해?', '좋아요': '0'}, {'작성자': '유진', '별점': '5.0', '날짜': '2024.09.06.', '내용': '권희연 원장님께 얼굴지흡 상담 받았는데 고민했던 턱밑 지방 부분 딱 잘 집어서 이해 하기 쉽게 설명 잘해 주셨음. 의외로 병원느낌도 나고 편했다능', '좋아요': '0'}]","{'수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
예젤의원,,강남구 언주로 538 대웅빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDJfMjQ1%2FMDAxNzM1ODEwNzE4NTA4.WZGplW6Jy4_M-AmaMvqGLdBFDCxoqQTS2_heKUjxtYMg.9wxDAig1ipzL7BjIPGbNnUVnXXoeimEeMY0klu6ra1og.PNG%2Fimage.png%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '13:00 ~ 21:00', '토': '10:00 ~ 15:00', '월': '13:00 ~ 21:00', '화': '10:00 ~ 19:00', '휴무일': '공휴일'}"
