name,score,address,img_url,reviews,open_hour
삼성서울병원,2.7,강남구 일원로 81,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F25557F425577F6A506,"[{'작성자': '심플리', '별점': '3.0', '날짜': '2025.03.19.', '내용': '의료수준은 꽤 좋을지몰라도 서울 메이저 병원이라 다들 친절하지않냐 주변 지인들이 물어보는데 교수마다 간호사마다 달라요 어떤 교수는 집 가까운 곳으로 전원하겠다 말 꺼내자마... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2025.03.18.', '내용': '서비스 복불복은 있음', '좋아요': '0'}, {'작성자': 'skdi928', '별점': '2.0', '날짜': '2025.03.16.', '내용': '여기 의료진들 제외하고 히스테리 집단 뽑아놓은듯 해요 특히 전화받는 여자 상담사분들 대게는 친절한데 주말에 근무하는분은 한숨을 푹푹 쉬시고 물어볼때마다 묻는거에 대답을 안하고 되게 불친절하시... 더보기', '좋아요': '1'}]","{'수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 12:00', '일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '휴무일': '공휴일'}"
삼성서울병원 암병원,3.8,강남구 일원로 81,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMzFfMjQw%2FMDAxNzM1NjQ3NTY2Njg4.Z9fJSksVe8WcFMhTegXAi-ns4T1-KQ9uNi3lhmNmSNwg.Db1LOH2M9ikKDFXJeftdGzMrZxh9mMx5dXquuceeIEAg.JPEG%2FSE-774c1184-b4ee-4861-9c95-4971d676a293.jpg%3Ftype%3Dw386,"[{'작성자': 's', '별점': '1.0', '날짜': '2024.12.19.', '내용': '정말 그지같음 간호사도 말귀 못알아 먹고 불친절', '좋아요': '0'}, {'작성자': 'goldstar', '별점': '1.0', '날짜': '2024.10.14.', '내용': '분명 친절하고 마음 따뜻한 교수님도 많으십니다. 하지만 대장항문외과 ㅎ교수는 절대적 예외입니다. 영구장루를 달았는데도 섭취한 음식이 원형그대로 항문으로 새어나와 외래진료를 갔는데 왜 왔냐며 먼저 ... 더보기', '좋아요': '1'}, {'작성자': '드럼스틱', '별점': '4.0', '날짜': '2023.09.29.', '내용': '의료진들은 정말 친절하고 전문성이 뛰어납니다. 과잉진료도 없고, 굳이 하지 않아도 되는건 이유도 친절하게 다 설명해... 더보기', '좋아요': '1'}]","{'수': '11:00 ~ 20:30', '목': '11:00 ~ 20:30', '금': '11:00 ~ 20:30', '토': '11:00 ~ 15:00', '일': '휴무일', '월': '11:00 ~ 20:30', '화': '11:00 ~ 20:30', '휴무일': '공휴일'}"
삼성서울병원 응급실,1.9,강남구 일원로 81,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDlfMTMg%2FMDAxNzMzNzQxNzY3NDQy.J4agWeaJlYqmzXWxkLfhBK3MaiwWWySiJf8bHpEZYPgg.F3OvGcyxQW3g70q0AJGnREEzstS7BTwI6wIvLpXZ6hsg.JPEG%2F900%25EF%25BC%25BFbeauty%25EF%25BC%25BF20241208005842.jpg%3Ftype%3Dw773,"[{'작성자': '♣諸 行 無 常(김혜숙)', '별점': '1.0', '날짜': '2025.01.21.', '내용': '지방에서 몇달만에 정기검사차 진료차 약처방차 방문을 했는데 갑자기 실신에 가까운\n상황이 발생해서 진료받을과간호사가 응급실을\n가라... 더보기', '좋아요': '0'}, {'작성자': '김희선', '별점': '1.0', '날짜': '2024.11.22.', '내용': '밤세 토하고 택시타고 갔더니 딴병원 가란다 그럼 전화했을때 미리 말하던가 덕분에 집가는 택시안에서 또 토함ㅋ 봉지 챙겼기에 망정이지\n기사님이 물어보... 더보기', '좋아요': '1'}, {'작성자': '양심핑', '별점': '1.0', '날짜': '2024.11.10.', '내용': '복통 호소하면서 방문했는데 문진표 쓰고 앞에서 기다리라더니 간단한 혈압, 온도 체크 후 또 기다림. 이 후 중증환자가 아니라 진료가 안된다고 함. 애초에 사람 가려 받을거면 미리 안내하고 문진표며 ... 더보기', '좋아요': '2'}]",{}
남서울정형외과,2.6,강남구 일원로 33,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fefe85b08e9c7c7fe4bee3dd7c538971d803ad2b6afec7793496fcf2dc9222a99,"[{'작성자': '프로맛집러', '별점': '1.0', '날짜': '2024.11.26.', '내용': '불친절.', '좋아요': '1'}, {'작성자': '마히🌻', '별점': '1.0', '날짜': '2024.10.04.', '내용': '살다가 이렇게 불친절하고 기분 상하게 하는 의사 처음 봤습니다. 고령의 엄마 모시고 갔는데 사람 면박 주고 눈물 날 뻔했습니다 환자 많은 시간 피해서 오라고 토요일은 환자 많고 금요일 오후에는... 더보기', '좋아요': '3'}, {'작성자': '성환', '별점': '1.0', '날짜': '2024.09.07.', '내용': 'ㅎㅎㅎㅎ 잘못 진단 받아서 한 달 동안 엄청 고생했네요.\n어지간하면 바로 옆 한의원을 추천합니다.', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '08:30 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
소망이비인후과,0.0,강남구 일원로 39,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
참고은치과의원,5.0,강남구 일원로 37 3층,,"[{'작성자': 'Z.HYON', '별점': '5.0', '날짜': '2024.11.06.', '내용': '데스크 선생님, 의사 선생님 정말 친절하시고 너무 감사해요. 집 근처에 이렇게 좋은 치과가 있었다니 앞으로는 많이 이용하려구요!\n다른 치과에서 치료하던 임시치아가 떨어졌는데, 육아하느라 그까지 ... 더보기', '좋아요': '0'}, {'작성자': 'peterpan', '별점': '5.0', '날짜': '2018.09.17.', '내용': '다른곳에서 충치 치료받은게 떨어져 이곳을 방문했는데 \n간호사분들 친절하시고 의사선생님도 차분하고 친절하고 꼼꼼히 봐주셨어요.  비용도 착합니다.', '좋아요': '0'}]","{'수': '10:00 ~ 18:30', '목': '휴무일', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '휴무일': '매주 목요일, 일요일'}"
소망치과의원,,"강남구 일원로 49 2,3층",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 18:00', '목': '휴무일', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:30', '일': '휴무일', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '휴무일': '매주 목요일, 일요일'}"
심신경외과의원,2.3,강남구 양재대로55길 15 개암빌딩 2층,,"[{'작성자': 'Jm', '별점': '1.0', '날짜': '2021.07.18.', '내용': '가자마자 훈계질 늘어놓고 진료는 제대로봐주지도않고 지 훈계질만 늘어놓다가 6천얼마 받아감. ㅁㅌㄴ', '좋아요': '0'}, {'작성자': '박하늘', '별점': '1.0', '날짜': '2020.08.22.', '내용': '무릎아퍼서 갔더니 10분동안 대학어디냐 과가 뭐냐 장래희망이 뭐냐 그러고 사진1분 보고 끝. 뭐 상견례나 고등학교 진로상담하는줄ㄷㄷ', '좋아요': '0'}, {'작성자': 'Koh', '별점': '5.0', '날짜': '2020.04.17.', '내용': '다른 병원에서 추천 받아 방문하게 되었는데 친절하시고 설명도 잘 해주세요.', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 13:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
이관우 내과의원,4.3,강남구 일원로 35 2층,,"[{'작성자': '이창윤', '별점': '5.0', '날짜': '2025.01.14.', '내용': '원장님 친절하십니다.', '좋아요': '0'}, {'작성자': '저스틴', '별점': '5.0', '날짜': '2024.12.13.', '내용': '친절하고 좋아요', '좋아요': '0'}, {'작성자': '늘해랑', '별점': '5.0', '날짜': '2024.08.30.', '내용': '여기 정말 추천합니다.\n원장님 이하 전 의료진분들  너무 친절하시고  해박하십니다.\n10여년동안 다녔었는데 이사때문에 부득이 옮길수밖에  없어서 서운하네요.', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 12:30', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
이석형치과의원,4.3,"강남구 일원로 53 소림빌딩 5,6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Feba532656cd2b75ce8cc1d4fcc7114962f1733aa%3Foriginal,"[{'작성자': '곽정현', '별점': '5.0', '날짜': '2025.01.17.', '내용': '동네치과에서 매복사랑니가 신경이랑 가까워서 대학병원 가라고 했는데 대학병원은 예약 대기가 3개월 뒤여서 검색해보니 이석형치과에 삼성병원에서 근무하신... 더보기', '좋아요': '0'}, {'작성자': 'icebear', '별점': '5.0', '날짜': '2024.07.05.', '내용': '스케일링 받을려고 갔는데 치위생사분들이 매우 친절해서 좋았어요. 안아프고 꼼꼼하게 잘 해주더라구요.\n원장님도 설명을 하나하나 신경써서 해주시는 느... 더보기', '좋아요': '1'}, {'작성자': '쨩쨩', '별점': '5.0', '날짜': '2024.06.29.', '내용': '이가 깨져서 다른 곳에서는 발치해야된다했는데 발치는 너무 싫어서 검색하다가 이석형치과 후기가 좋아서 내원했는데 발치하지 않고 치아를 최대한 살려서 치료해... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '휴무일': '공휴일'}"
삼성유외과의원,3.7,강남구 일원로 37 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjlfMTE0%2FMDAxNzM1NDYwNDEyNzM3.1oJ-dYDy_ehpkTWPweJnNy8PZHPx3CWk6YaUZyZbUoMg.5CPyoOj2hZUJET_3gt7kyY14qkcmtRMY7SnSLyt6QoIg.JPEG%2Fsub27_2_005.jpg%3Ftype%3Dw966,"[{'작성자': '마히🌻', '별점': '1.0', '날짜': '2023.08.03.', '내용': '간호사들 엄청 불친절함\n다시 가기싫은곳', '좋아요': '3'}, {'작성자': '먼지', '별점': '5.0', '날짜': '2023.01.13.', '내용': '표피낭종으로 방문했는데 의사선생님을 비롯해서 초음파실 선생님, 간호사 선생님 모두 엄청 친절하세요! 처음에 겁먹고 갔었는데 선생님들께서 안심시켜주시고, 어려울 수 있는데 설명도 쉽게 해주셔서 큰 걱정없이 마무리했습니다 👍🏻', '좋아요': '2'}, {'작성자': '행복', '별점': '5.0', '날짜': '2022.09.06.', '내용': '실력있고 자상하시고 인품있으신\n원장님 최고에요\n간호사님들도 무지 친... 더보기', '좋아요': '2'}]","{'수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
