name,score,address,img_url,reviews,open_hour
튼튼병원 청담본원,,강남구 영동대로 713 튼튼병원빌딩,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F217B7A455121B8392B,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
제일정형외과병원,,강남구 영동대로 726,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDhfNzYg%2FMDAxNzMzNjM1NDkzODg4.qbmrPKSCHdrockaqW4axVgqWsCnf3kbikPtlwgLpF_4g.iELYpXGTAwBHTe4CFM5q30gsTBTPP-O4ZTLLLmyJHT8g.JPEG%2F001.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '공휴일'}"
우리들병원 청담,,강남구 학동로 445,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F65C684BF89774BB5BCEDF091DB53212D,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:30 ~ 17:00', '목': '09:30 ~ 17:00', '금': '09:30 ~ 17:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 17:00', '화': '09:30 ~ 17:00', '휴무일': '공휴일'}"
차움의원,3.7,강남구 도산대로 442 피엔폴루스오피스텔 2-3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MjRfMjQ2%2FMDAxNzE5MjA3ODI4NDk3.uHaNl_quQUEMCmXh5DacTHLYDs-fkbz8RvovFlGikJwg.6kdABq2qKTKEUw43ABmARSx7ZBq3_4ixt-vxiLKzLIYg.JPEG%2F05.jpg%3Ftype%3Dw966,"[{'작성자': '대치맘', '별점': '1.0', '날짜': '2024.10.02.', '내용': '모든 면에서 돈값 못하는 병원', '좋아요': '1'}, {'작성자': 'soleil', '별점': '5.0', '날짜': '2021.11.17.', '내용': '괜히 이슈 내세워 무조건 안좋게 평가하는 경우도 많은데, 개인적으로는 비싼 값 제대로 하는 곳이라 생각이 듭니다. 다른곳에서는 수년동안 잡지못하는 것을 좀더 정밀한 검진으로 원인을 찾을수 ... 더보기', '좋아요': '1'}, {'작성자': '고숫', '별점': '1.0', '날짜': '2021.07.01.', '내용': '절대안간다', '좋아요': '2'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30'}"
청담병원,3.0,강남구 삼성로147길 46,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC03DFD467E3E40E499F27979BDC90E71,"[{'작성자': '아몬드크랜베리시리얼', '별점': '5.0', '날짜': '2022.11.05.', '내용': '舊. 방주병원.\n생전 최진실씨가 방문했던 병원', '좋아요': '2'}, {'작성자': '재활난민', '별점': '1.0', '날짜': '2020.05.12.', '내용': '재활병원이라도 입원했는데 1인실에 입원한 환자만 치료사들이 좀 괜찮고 다인실 입원한 환자 치료하는 치료사는 요양병원 수준임. 잘하는 치료사는 다 퇴직하고 신참들만 있어 ... 더보기', '좋아요': '4'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '매주 토요일, 일요일'}"
엠레드의원,4.8,"강남구 삼성로 731 청진빌딩 지하1층, 2층, 4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA8C0C83F72464C9899295EF68831E26F,"[{'작성자': 'hskk', '별점': '5.0', '날짜': '2025.03.13.', '내용': '인테리어 굿 직원들도 너무친절하시고 특히 관리해주신 김하경관리사님 너무 잘해주셔서 감사햇습니다 단점은 찾아볼수없고 마지막 까지 케어 잘해주셔서 염증반응없이 말끔햇어요', '좋아요': '0'}, {'작성자': '윤성준', '별점': '5.0', '날짜': '2025.03.12.', '내용': '12회차 이용중입니다.\n항상 친절하시고 설명도 잘해주셔서 감사합니다 \n이젠 적응되었는지 조금 아주~~조금 참을만하네요~', '좋아요': '0'}, {'작성자': '뮤뮤', '별점': '5.0', '날짜': '2025.03.11.', '내용': '울쎄라 비수면으로 받고 만족했어요 인테리어도 좋고 친절하고 간식도 챙겨주고 힐링하고 이뻐졌습니다 중요한일을 앞두신분들에게 추천합니다!', '좋아요': '1'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 16:00', '일': '10:00 ~ 18:00', '월': '10:00 ~ 19:00', '화': '10:00 ~ 21:00', '휴무일': '추석당일, 설당일, 1월1일'}"
소리이비인후과 본원,2.4,강남구 학동로 435,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDFfMTYw%2FMDAxNzMzMDA4MTI1NDE1.CXELADfWm1k8NP0T97uDNA3eKp1CwlQra9AXZVMSRTkg.82UFRdd2jlt_3y63oUOrJGOxGvCVG0CbniKYLNoRgDEg.JPEG%2FIMG_2155.jpg%3Ftype%3Dw966,"[{'작성자': 'silmang', '별점': '1.0', '날짜': '2025.02.13.', '내용': '최악. 몇년간 다녀본 병원 중에 가장 최악이었습니다. 밑의 리뷰와 같은 생각입니다. 의사란 사람이 하는 일이 뭔질 모르겠네요. 진료라는\n걸 보는 건지 마는 건지. 환자가 증상에 시달리다가 찾아 와서 왜... 더보기', '좋아요': '0'}, {'작성자': 'seoulbus', '별점': '1.0', '날짜': '2025.01.28.', '내용': '여의사한테 진료 받았는데\n왜 굳이 환자가 먼 길 면대면으로 진료 받으러 오는지 모르는 사람임\n사람 적은 시간이고 인기있는 의사도 아니었는데... 더보기', '좋아요': '1'}, {'작성자': '아', '별점': '1.0', '날짜': '2024.10.30.', '내용': '글쎄요.. 환자말은 듣지도 않고 치료나 검사나 마음대로 하네요. 의료사고는 보통 이러다 나던데.. 내원하실 분들 참고하세요', '좋아요': '1'}]","{'수': '09:30 ~ 17:00', '목': '09:30 ~ 17:00', '금': '09:30 ~ 17:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 17:00', '화': '09:30 ~ 17:00', '휴무일': '공휴일'}"
라프린의원,3.5,"강남구 삼성로 709 명보빌딩 지하1층,1,6-7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDRfMjcz%2FMDAxNzMzMjg0NTQ1MDU1.DkgkvY8Saar2bWG9O7-7OrkgaKe4jrgp9ckQ3kDaBlEg.fb8RkNN2sUC313zB0fKzbaXasA6Fi5GLTrRDnTsfSOIg.JPEG%2FIMG_0121.JPG%3Ftype%3Dw466,"[{'작성자': 'Claire', '별점': '5.0', '날짜': '2025.02.04.', '내용': '피부에서 광이 나요 💕 청담동에서 오랫동안 다니고 있는데. 친절하고 정확하고 너무 좋아요.', '좋아요': '0'}, {'작성자': '미영🌸', '별점': '1.0', '날짜': '2021.03.08.', '내용': '별하나도아까워요 저밑에 어떤분글 읽으니 저랑 거의 똑같은일을 당하셨더군요 어이없는곳', '좋아요': '2'}, {'작성자': '뚜벅초', '별점': '5.0', '날짜': '2020.06.13.', '내용': '허벅지 지방흡입했어요 \n실장님 상담부터 원장님까지 친절하고 수술효과도 만족스럽습니다^^', '좋아요': '2'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '휴무일': '공휴일'}"
청담힐요양병원,2.5,강남구 영동대로 713 9~14층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMTgw%2FMDAxNzM1MTk0MTMwOTI1.eTjLdqwnTfGZsdpAWdnl2tAD7ItS15IsdGAvckj-YyAg.rpTwEZVH8cMfPbiOrjgUv-bhebRRPQBSHCI_4ZbjYOgg.JPEG%2Fd_(1).jpg%3Ftype%3Dw966,"[{'작성자': 'su', '별점': '1.0', '날짜': '2024.08.21.', '내용': '아나  이런 어이 없는 요양병원은   첨보네  층층  몃명 인원이   다인실  텃세가  엄청 심합니다 삼삼 오오  지들끼리 모여  아픈 환자한테 면박을 주지를 않나  은따 비슷 하게 하며  병원 측은 알고 있어도  보호자... 더보기', '좋아요': '4'}, {'작성자': '신통', '별점': '4.0', '날짜': '2023.06.03.', '내용': '깔끔해요~ 데스크직원들도 친절해요', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
와이퀸산부인과의원,3.1,"강남구 선릉로 820 1층,지하1층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA8230024EF3E4BBFA91A592132F67AD4,"[{'작성자': '오로지', '별점': '5.0', '날짜': '2022.06.03.', '내용': '너무나 친절하고 ㅠㅠ 외국 가는 것만 아니면 진료 또 받으러 가는 건데 ㅠㅜ 나중에 중간에 입국하면 또 와야할 정도로 설명과 걱정 ㅜㅜ감사합니다', '좋아요': '2'}, {'작성자': '혜경', '별점': '5.0', '날짜': '2022.04.02.', '내용': '여러 산부인과 다니다가 추천으로 와봤는데 원장님 친절하시고, 진료도 잘 봐주셔서 좋았어요. 병원오는것 보다 가벼운 마음으로 다녀갔습니다~', '좋아요': '2'}]","{'수': '10:00 ~ 19:00', '목': '휴무일', '금': '10:00 ~ 19:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '휴무일': '매주 목요일, 일요일'}"
