name,score,address,img_url,reviews,open_hour
서울건우정형외과의원,,강동구 고덕로 429 2-3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7F0D83F553174B05A7306F46D23A556C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
강동이엠365의원,4.4,강동구 아리수로93나길 76 SB메디컬타워 2-5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjVfMTA0%2FMDAxNzM1MTMwMjA1NzUx.E_sX-0BEggmIDeLjys-wNvE1F05WLxbwJKfK9q15Np8g.zs4Ps2t9DKTSKx1szfHQjpeGygNppUrH3tq9yQhL2DUg.JPEG%2FKakaoTalk_20240906_155059369_06.jpg%3Ftype%3Dw966,"[{'작성자': '옆집아저씨', '별점': '5.0', '날짜': '2025.02.15.', '내용': '약이 잘 듣는다 기침감기으로 정말 고생해서 갔는데 많이 좋아짐  늦은 시간과 휴일까지도 진료하기 때문에 아무래도이 병원으로 이지역 아동 밎 성인의  치료에 기여하는 바가 큰것 같다 많은 덕을 보고 있다', '좋아요': '0'}, {'작성자': 'smart0420', '별점': '5.0', '날짜': '2025.01.21.', '내용': '옛날에  아파서 갔는데 친절하게 대해주는 선생님이  있어요 추천해요', '좋아요': '0'}, {'작성자': 'rjdhsjejd', '별점': '1.0', '날짜': '2024.03.04.', '내용': '장염 걸려서 갔는데 20만원짜리 수액추천해주시네요', '좋아요': '1'}]",{}
이레정형외과의원,3.1,강동구 고덕로 433 이레빌딩 4-5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9EF22E55602E4A1BAAAA4D1E1572BBDF,"[{'작성자': 'i_if_i', '별점': '1.0', '날짜': '2025.03.21.', '내용': '나아지질 않아요..', '좋아요': '0'}, {'작성자': '중이큰누나', '별점': '5.0', '날짜': '2025.03.18.', '내용': '후기가 왜이래요 내 주변 사람들은 오로지 이레정형 인데요 선생님이 가족처럼 허물없이 대해주시고 쓸데없는 과잉 진료 없고 그만큼 문턱 낮게 드나들 수 있... 더보기', '좋아요': '0'}, {'작성자': 'lay', '별점': '5.0', '날짜': '2025.02.08.', '내용': '어렸을때 다니던 병원 느낌\n아주머니 간호사와 나이 지긋한 의사 선생님\n치료 목적이면 강추. 뼈 부러진거 수술안하고 엑스... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
연세두드림 정형외과의원,,"강동구 아리수로93나길 66 2,3층 201~203,301~306호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1B304CE88DC0402A9FF3EE46BAF8584B,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 19:00', '휴무일': '공휴일'}"
서울아산내과의원,3.2,강동구 아리수로93나길 60,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjBfNTQg%2FMDAxNzMyMDUxNDA1MDkw.0oqDrODmi41CI6XpnoW-s6I4Zgr2fH3m9LAMXzTgzywg.e5vr0Ui5uzp0mfhwBvo1qCq_zlTK6MvdVoQPirmmaCsg.JPEG%2F900%25EF%25BC%25BF20241111%25EF%25BC%25BF085644.jpg%3Ftype%3Dw966,"[{'작성자': '설기', '별점': '5.0', '날짜': '2023.10.16.', '내용': '조유정 원장님 항상 갈때마다 정말 세심하게 진료해 주셔서 아파서 병원에 갔다가 나올때는 웃으면서 기분좋게 나오게 됩니다. 마음까지 치료받는 기분이네요:) 강일동에서 오래오래 진료해주세요! 감사합니다♥️', '좋아요': '0'}, {'작성자': '박현준', '별점': '5.0', '날짜': '2023.08.14.', '내용': '선생님 진료는  최고입니다\n저의가족의 건강을 지켜주시는 박사님이십니다', '좋아요': '0'}, {'작성자': 'This은혜', '별점': '1.0', '날짜': '2022.12.14.', '내용': '수액맞으러 절대 가지마세요 환자가지고 돌아가며 연습하나 혈관 다 터쳐놓음 ㅎ\n처음 온 사람이 오른쪽 팔 혈관 터치길래 다른분 불러주세요 하니까 두번째로 온 사람이 몇 번 ... 더보기', '좋아요': '1'}]","{'목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:00', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30'}"
강일연세이비인후과의원,3.7,"강동구 아리수로93나길 26 성산타워 3층 304,305호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMzBfMTE2%2FMDAxNzM1NTI4OTAxMzk0.hhVB-h5OkAUoFXvWXmz__b-9OW3R3-SVFt3QKCE8v-sg.CTBysub79OsTLeLviQ1I8Yr9HXBnU7Ra09bUT01tJGIg.JPEG%2F%25EC%25BD%2594%25EA%25B3%25A8%25EC%259D%25B45.jpg%3Ftype%3Dw966,"[{'작성자': '호호', '별점': '5.0', '날짜': '2024.05.03.', '내용': '1. 원장선생님 진료꼼꼼히 잘해주시고 약도 잘받음. 친절하시나 특별히 말이 많지도 않으셔서 좋음.\n\n2. 간호사샘들 친절하시고 능숙하심. 원장님 직... 더보기', '좋아요': '0'}, {'작성자': '얼쥐', '별점': '1.0', '날짜': '2024.03.29.', '내용': '병원 잘못 아니지만 \n\n이 건물 주차 진짜 최악임 지하 2층까지만 있는데 \n진짜 코딱지만해서... 더보기', '좋아요': '0'}, {'작성자': '잰', '별점': '1.0', '날짜': '2024.02.07.', '내용': '원장님은 친절하신데 데스크 컷트머리 직원분\n왜이리 당당히  불친절하신가요??\n따져 물을려... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
더스킨피부과의원,,강동구 아리수로 427 중앙프라자 2층 202호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjdfMjIg%2FMDAxNzM1Mjg3MDk3Njk3.u_0nYI9zY9TnpkH1KZtXKZLSHl7pKpcRTiBIPKAQo0Eg.3MT41S7ZbIfkFew-sI0of6wndejxOptzzQEOe4lwPAMg.PNG%2Fimage.png%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 20:00', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 20:00', '수': '09:30 ~ 18:30'}"
강일바른내과의원,5.0,강동구 아리수로93나길 80 성산타워2 4층 405~410호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjRfMjkw%2FMDAxNzM1MDIwNjQ1Mjk0.amH0W3b-5_WpPNil11qDJu65B5WscccBt87A3zoBm8Qg.djKTakx2iU7StbRcxHz_F1TVUydJHTetjKXXnmkr7UUg.JPEG%2FKakaoTalk_20240227_141913143_19.jpg%3Ftype%3Dw466,"[{'작성자': 'rain~', '별점': '5.0', '날짜': '2025.01.09.', '내용': '설명이 귀에 쏙쏙 아주 작살남.\n☆5', '좋아요': '0'}, {'작성자': '하윤이아빠', '별점': '5.0', '날짜': '2024.12.17.', '내용': '선생님 텐션이 장난아니시죠  진료도 물론 꼼꼼히 잘봐주세요', '좋아요': '1'}, {'작성자': '😚', '별점': '5.0', '날짜': '2024.11.30.', '내용': '건강검진으로 방문합니다. \n의사선생님과 간호선생님이 친절하고 시설또한 깨끗해서 \n또 방문하고 싶네요.', '좋아요': '0'}]","{'목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:00', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30'}"
코끼리이비인후과,3.7,강동구 아리수로 427 중앙프라자 603호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fead933423cc66b1ea3fbd58e1776f1031c43a2c6%3Foriginal,"[{'작성자': '철철', '별점': '5.0', '날짜': '2024.02.08.', '내용': '명절 전 4시50분경에 전화해서 수액 관련 문의 전화를 와이프가 했는데 수화기 넘어로 ""아씨 뭐라는거야""이 말을 제가 들릴정도로 말씀하셨는데 들은 와이프가 기분이 좋을까요 나쁠까요? 그 기분나빠하는 와이프한테 어디병원... 더보기', '좋아요': '0'}, {'작성자': 'ldee', '별점': '1.0', '날짜': '2024.01.21.', '내용': '돌파리 이에요', '좋아요': '0'}, {'작성자': '가르지오', '별점': '5.0', '날짜': '2023.12.31.', '내용': '일요일 아침부터 첫째가 아파서 급히 데리고 갔는데\n친절히 해주시고 연말이라고 간식세트 만들어서 주시고   배려에 감사합니다 번창하세요', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 13:00', '토': '09:00 ~ 13:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
강일서울산부인과의원,5.0,강동구 아리수로 427 중앙프라자 5층 502호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEwMTdfMTA1%2FMDAxNjk3NTIzNDQxODM2.RB6pa-VKtJshQ53doKza4ORZrEABUB5HWnv6dhgAnNYg.P83Tz1lFcCSg9lhw_9fE96rwA9CzLI5AD5IWPJnyAqQg.PNG.llqq09%2F%25ED%2594%25BC%25EC%259E%2584%25EC%2595%25BD.png%3Ftype%3Dw966,"[{'작성자': '토미', '별점': '5.0', '날짜': '2024.03.27.', '내용': '미사사는데 여기로 다닙니다\n친절하시고 설명을 잘해주셔서 좋아요', '좋아요': '0'}, {'작성자': 'kk', '별점': '5.0', '날짜': '2023.09.01.', '내용': '선생님 너무 친절하시고 좋아요.. 의사선생님 여자분이시라 안심되고 하남사는데 일부러 여기까지 옵니다 앞으로 쭉 여기로 정착하려구요', '좋아요': '1'}, {'작성자': '.', '별점': '5.0', '날짜': '2023.07.19.', '내용': '의사선생님 나긋나긋 하시고 친절합니다.', '좋아요': '0'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:30', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '휴무일': '매주 일요일'}"
