name,score,address,img_url,reviews,open_hour
서울숲요양병원,4.1,강동구 고덕로 295-60,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjFfMjQ1%2FMDAxNzMyMTQ5ODY2MTc0.VjLUMzGvBGE7o46G820k4KYD_k1iCAvrygQY0AzDK4Ag.JvqL_UdYf1ozyw3PCrZW9R1wb6zkYcjwF9YQJ8AKcXYg.JPEG%2F1.jpg%3Ftype%3Dw966,"[{'작성자': '장은지', '별점': '1.0', '날짜': '2025.02.13.', '내용': '시설만 좋습니다. 겉모습만 보고 여길 보내드렸던 선택이 너무 후회돼요. 아직도 저희 할머니는 트라우마가 남아 몇번이고 여기서 무슨 일이 있었는지 얘기하세요. 가족을 조금이라도 사랑하는 마음이 있다면 절대 보내지 마시기 바랍니다.', '좋아요': '0'}, {'작성자': 'ㅎㄹ', '별점': '2.0', '날짜': '2024.12.05.', '내용': '시설은 번지르르 하고 환자 정말 케어 안합니다.\n욕창이 더 생겼고 말도 못하게 심해졌어요\n얼굴만 깨끗하게 닦아주는 곳입니다. \n면회가면 ... 더보기', '좋아요': '0'}, {'작성자': '최현우', '별점': '4.0', '날짜': '2024.07.31.', '내용': '외할머니께서 콧줄때문에 집에서 케어가 힘들어서 서울숲요양병원으로 입원하게 되었습니다. 다행히 여기 와서 몸상태가 좋아지시는거 같고, 이미용도 잘해주셔서 할머니께서 깔끔해보이셨습니다. 다만 이... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
하늘빛연세안과의원,4.9,강동구 고덕로 385 4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF3526282CCC0437F86880CB4B727B0FA,"[{'작성자': '아리수로', '별점': '5.0', '날짜': '2024.11.23.', '내용': '건조증으로 이전에 다른 병원들에 비싼 케어도 받아보고 해봤지만\n이 겨울에 난방까지 해도 건조가 느껴지지 않는 경험이라니... 더보기', '좋아요': '0'}, {'작성자': '쌍화탕', '별점': '5.0', '날짜': '2024.10.01.', '내용': '1분만에 진단완료! 명의! 게다가 미인!', '좋아요': '1'}, {'작성자': '기린', '별점': '5.0', '날짜': '2024.09.10.', '내용': '십수년을 알러지성 눈병을 달고 살았지만, 정확한 원인과 해결방법 등을 제시해준 병원은 이 곳이 처음이었습니다.\n보통 후레쉬로 몇 번 비춰보고 안약 처방... 더보기', '좋아요': '1'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00', '화': '휴무일', '수': '09:30 ~ 18:00', '휴무일': '매주 화요일'}"
고덕정형외과의원,4.4,강동구 고덕로 391 클리닉센터 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD19DC0B4C2A244F0BB6F6AB7D3F9DFB2,"[{'작성자': '으니', '별점': '5.0', '날짜': '2024.08.29.', '내용': '통증으로 힘들었는데 여기 원장님 덕에 한결 나아졌어요 감사드립니다̤̫', '좋아요': '0'}, {'작성자': '김꾸마', '별점': '5.0', '날짜': '2024.08.29.', '내용': '꼼꼼하게 진료 봐주셔서 좋아요', '좋아요': '0'}, {'작성자': '메인^^', '별점': '5.0', '날짜': '2024.08.29.', '내용': '발목 접질리고 나서 다녀온 곳인데 진료도 꼼꼼히 봐주시고 치료도 정말 잘해주셨어요,\n틈틈히 관리하면서 치료 받으러 다니기로 했는데 너무 좋은 곳이라 리뷰 냄깁니다.', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 20:00'}"
예스미르치과의원,5.0,강동구 고덕비즈밸리로 26 강동U1센터 A동 201~209호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBD97FB344A4F4B5B9B1F1F124DD74957,"[{'작성자': 'IJH🍀', '별점': '5.0', '날짜': '2025.03.18.', '내용': '강일예스치과에서 확장이전했다고 해서 와봤는데 직원분들 일단 친절하시고 원장님도 전문적으로 진료 잘 봐주셔서 넘 감사했습니다\n앞으로 평생 잘 부탁 드립니다!!', '좋아요': '0'}, {'작성자': '싆', '별점': '5.0', '날짜': '2024.06.27.', '내용': '주차장은 좀 헷갈려요 치과가 A동이라서\n앞니 두개 사이가 벌어져서 치료 하나로 안끝날까봐걱정했는데\n라미네... 더보기', '좋아요': '0'}, {'작성자': 'Yavatar', '별점': '5.0', '날짜': '2024.06.01.', '내용': '이전엔 강일예스치과 였는데, 2024년 5월에 이곳으로 이전하면서 이름을 예스미르치과 로 바꾸었어요. 예전 치과 선생님들이 모두 그대로 계시고, 추가로 더 많은 선... 더보기', '좋아요': '0'}]","{'목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 19:00', '휴무일': '공휴일'}"
타임리스피부과의원 고덕점,3.7,강동구 고덕로 385 고덕그라시움 근린상가4동 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMThfMjIg%2FMDAxNzM0NTEwMzE3Mjgw.yZynihtV9gx9zkDk8ivmrS7T7X4nOuIUAFpKQFPzuJ0g.9x0BbD3huxd6YUWCLB2fxrw0agbSOd7LrInG6AAEC40g.JPEG%2F1_026.jpg%3Ftype%3Dw966,"[{'작성자': '혜헤', '별점': '1.0', '날짜': '2025.02.20.', '내용': '비립종이랑 점 때문에 어제 저녁에 갔음 \n대기중인 환자가 많고 뺄 갯수가 많아서 내일로 예약을... 더보기', '좋아요': '0'}, {'작성자': '해장국', '별점': '3.0', '날짜': '2025.02.06.', '내용': '밑에 1shot1kill,minzzzi,naver, arisri, 에조기, INTJ,고은, 이소미, 김예은, 수현, 정은아, 신예... 더보기', '좋아요': '54'}, {'작성자': '긍정의힘', '별점': '1.0', '날짜': '2024.09.13.', '내용': '공장형피부과만 다니다가 \n제대로된 관리를 받아보려고 갔는데요\n결과도 관리도 비슷한데 금액만 두배네요... 더보기', '좋아요': '0'}]","{'목': '09:30 ~ 19:00', '금': '09:30 ~ 20:00', '토': '09:00 ~ 14:30', '일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '휴무일': '공휴일'}"
서울아산이비인후과의원,4.0,"강동구 고덕로 353 고덕그라시움아파트 상가1동 2층 227,228호",,"[{'작성자': '콩달이네', '별점': '5.0', '날짜': '2024.08.22.', '내용': '감기 한 번 오면 부비동염까지 꼭 이어지는데 아무리 다른데 약 먹어도 잘 안낫고 여기 약 먹어야 나음. 엑스레이실 없는 이비인후과가 많은데 여기는 있어서 부비동염 확인이 가능해서 마음이 편함.', '좋아요': '1'}, {'작성자': '조*정', '별점': '5.0', '날짜': '2024.08.05.', '내용': '의사샘 전문성 있어서 그런지 가려울때 알러지약 여기것만 들음 윗층약 계속 가려움. 들다 약 한알인데..   코로나 약도 여기서만 지어먹음 \n이사 갔다 다시 왔지만  이사 갔을 때도 알러지약은 ... 더보기', '좋아요': '0'}, {'작성자': '고먐미', '별점': '5.0', '날짜': '2024.02.13.', '내용': '원장님 실력 논하기 전에 USMLE 자격인증 확인해보세요. 국내최고 급인 아산병원 마이너 트레이닝에 미국의사자격 인증하셨으면 충분히 검증된 실력입니다. 군더더기 없이 진료하고 빠르게 ... 더보기', '좋아요': '2'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 13:00', '휴무일': '공휴일'}"
강동김안과의원,3.1,강동구 고덕로 391 종점빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MzBfMTkw%2FMDAxNzE0NDU4ODg3NDMx.3M76QPWvHhJ6bM8xrwr8ZeQ2XhgMQlCp9QscFilNGz4g.lbNdYo1Dh7QdU9aZbmJ6Z6fZWSTHDAm1Do8ORy8DzKMg.PNG%2FPhoto_1.png%3Ftype%3Dw966,"[{'작성자': 'ㅋㅋ', '별점': '1.0', '날짜': '2024.08.26.', '내용': '여기 여자 간호사 한분 진짜 불친절합니다 \n손님한테 빨리 하라고 소리지릅니다', '좋아요': '0'}, {'작성자': 'ㄱㄱ-박민호', '별점': '5.0', '날짜': '2023.09.23.', '내용': '몇년동안 하남에서 김안과만 갑니다\n처음엔 불편하신 어머님 모시고 갔는... 더보기', '좋아요': '0'}, {'작성자': '미라♡', '별점': '5.0', '날짜': '2023.02.22.', '내용': '의사 간호사 모두 이거저거 설명해주시면서 엄청 친절하시네요', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '14:00 ~ 18:30', '휴무일': '공휴일'}"
서울S치과의원,2.8,강동구 동남로79길 26 고덕아이파크상가 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F8afd8cd83fb85829ca74de5ac97fd74dc121e05c,"[{'작성자': '혁', '별점': '5.0', '날짜': '2025.02.18.', '내용': '친절하시구 진료에 대해 자세히 설명해주세요~ 빠른 치료 감사합니당 ㅎㅎㅎ', '좋아요': '0'}, {'작성자': '🐰', '별점': '5.0', '날짜': '2024.03.16.', '내용': '충치치료하러 간김에 사랑니도 뽑았는데 진짜 금손이셔요 하나도 안부음!!!!!!!!!! 2초컷 하나도 안아프고 진짜 신기해요 사랑니 더 날껄', '좋아요': '0'}, {'작성자': '김형준', '별점': '1.0', '날짜': '2022.10.29.', '내용': '1점', '좋아요': '0'}]","{'목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 19:00', '휴무일': '공휴일'}"
본 이비인후과의원,3.5,강동구 고덕로 391,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F74d3111b6f39f425fd4b6f60797e008ba2f6cdb7%3Foriginal,"[{'작성자': '닉네임이뭐니', '별점': '5.0', '날짜': '2025.01.20.', '내용': '친절에 감사드립니다', '좋아요': '0'}, {'작성자': '쩝쩝박사', '별점': '5.0', '날짜': '2025.01.14.', '내용': '진료 꼼꼼하게 잘 봐주십니다 주변에서도 많이 추천하던데 이유가 있었네요\n지금 두개 병원 다녀보고 실패했는데 여기에선 약 잘 들으면 좋겠네요', '좋아요': '0'}, {'작성자': '1ghang', '별점': '1.0', '날짜': '2024.12.17.', '내용': '진짜 너무 불친절하네요\n진료는 하는둥 마는둥\n환자 ... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
케이유이비인후과,4.6,강동구 고덕비즈밸리로 26 강동U1센터 A동 2층 210~212호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA23246C101DD48218431C4E70109DFCB,"[{'작성자': '추끄의모험', '별점': '5.0', '날짜': '2024.12.31.', '내용': '감기 진료를 위해 방문했습니다.\n이번 감기는 엄청 아프거나 하진 않은데 무척 오래가더군요(8일째 앓는중..)\n처음 방문했을 때 코에 솜같은거 끼워주시더니 5분있다... 더보기', '좋아요': '1'}, {'작성자': '리뷰 안 남김', '별점': '1.0', '날짜': '2024.12.26.', '내용': '감기 진료 받으러 갔는데 뭔 진료비를 7만원(독감검사비+수액)을 왜 냅니까; 일반적인 감기 치료를 원한다 하니까 뭘 모르는 소리한다 여기면서 양쪽 코 보고 목에 약바... 더보기', '좋아요': '2'}, {'작성자': '운동하고 건강해서 행복하자!', '별점': '5.0', '날짜': '2024.11.20.', '내용': '아들이 코피가 너무 자주 나는데\n오늘 아침도 침대가 피로 한 가득이더라구요 ㅜㅜ\n그 동안 이비인후과를 많이 다녔는데 효과가 미비하고... 더보기', '좋아요': '1'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
코아스이비인후과,3.9,강동구 고덕로 353,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTZfNDkg%2FMDAxNzM0MzQ4MTYyMDAy.kAi14GQpvkVJ-Cm7t_HDaNHxkoeioKEySqGjvkQS9rcg.7AE9oxqFuuXShLd_sOYBJ9FXC8DLzHF6V3-v7y4JsQsg.PNG%2F%25EC%258A%25A4%25ED%2581%25AC%25EB%25A6%25B0%25EC%2583%25B7_2024-12-16_%25EC%2598%25A4%25ED%259B%2584_4.40.02-006.png%3Ftype%3Dw773,"[{'작성자': 'Gary', '별점': '1.0', '날짜': '2025.01.31.', '내용': '다 필요없고 여긴 아마추어인것 같습니다.', '좋아요': '0'}, {'작성자': '닉네임이뭐니', '별점': '1.0', '날짜': '2025.01.20.', '내용': '사람많은것은 이해하나 매우 불친절.다신 방문 안할것같아요', '좋아요': '0'}, {'작성자': '쩝쩝박사', '별점': '1.0', '날짜': '2025.01.12.', '내용': '역대급 최악의 병원 !\n2진료실 여의사 당신이 반말 찍찍까서 나도 반말로 답하니까 왜 째려봄ㅋㅋ 20초 남짓 되는 진료보고 항생제 처방만 한게 다인데 초진... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
고덕편한내과의원,,강동구 고덕로 391 종점빌딩 4층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '휴무일': '공휴일'}"
해맑은소아청소년과의원,5.0,강동구 고덕로83길 26 백두쇼핑센타 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDNfMTU3%2FMDAxNzMzMjA3NTYwNDAw.__0KT66hT66shAiD-FlrP3d_mVb66Z6JYiBQA8efacAg.75ehkfmmFRZ2wOtk-PXUE6c-Jw6HSg_RD_ii0yaULvgg.JPEG%2FIMG_0024.JPG%3Ftype%3Dw773,"[{'작성자': '', '별점': '5.0', '날짜': '2023.10.29.', '내용': '주차는 조금 불편하지만 소아과 대란 속 그래도 믿고 갈수 있는 곳인데 대기가 덜한 곳. 할아버지 의사선생님이 원장님이시고 친절하시고 믿음감. 아기한테도 잘해주심. 오래오래 계셔주셨으면..ㅠ', '좋아요': '2'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
서울정의원,3.6,강동구 고덕로 399 고덕센트럴푸르지오 1동 2층 216호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MzBfMTQy%2FMDAxNzE0NDU5NDIxMTI0.I621D1pq07KtLKiNO2aDvGLoFoy7k4ZSYTsfVY5okNUg.8zNl9czZOp_yc9ELeH6Rkx9Sde0jb9Z-qYQVn-WbRRAg.PNG%2FPhoto_1.png%3Ftype%3Dw966,"[{'작성자': '쿠쿠', '별점': '1.0', '날짜': '2025.03.19.', '내용': '동네맘카페에서 보톡스 추천글들이 꾸준히 올라오길래 갔는데 정말 별로였어요 의사샘이 확신도 없고 보톡스 맞고 한 부분이 들어갔다고 하니 갑자기 데스크 직원을 부르더니\n여기... 더보기', '좋아요': '0'}, {'작성자': '도비이즈프리', '별점': '1.0', '날짜': '2024.08.23.', '내용': '이비인후과로 갔는데 약 처방받고 하나도 나아진게 없음 비추', '좋아요': '0'}, {'작성자': '유미', '별점': '5.0', '날짜': '2024.01.24.', '내용': '지인소개로 가게되었고 친절한 의사쌤과 편리한주차도 한몫합니다. 과잉진료안하시고 아픈곳을 잘 치료해주셔요.', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 14:00', '휴무일': '매주 일요일'}"
