name,score,address,img_url,reviews,open_hour
강동성심병원,2.5,강동구 성안로 150,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTdfMjcx%2FMDAxNzM0NDA0OTg4NzE0.bC_pacQC0dV5ZWht62utvlfK7mz87h96E4SKa1Cukogg.7K5J-q9IBpot2YipqRh-GKu2J-eNeNYQvQvZ5kd4bX4g.JPEG%2F20240417_155536.jpg%3Ftype%3Dw773,"[{'작성자': '쩡쩡', '별점': '1.0', '날짜': '2025.03.21.', '내용': '대장보는 남자교수박준호였는데 싸가지없고. 불친절함 뉴스에서 가끔. 보호자가 의사패는 기사나오는데 보호자심정 이해됨 안경쓰고 뚱띵했는데', '좋아요': '3'}, {'작성자': '후기 몰아서 쓰는사람', '별점': '5.0', '날짜': '2025.03.08.', '내용': '아산병원보다 비교할수 없을만큼 좋습니다.', '좋아요': '0'}, {'작성자': '세영', '별점': '5.0', '날짜': '2025.03.06.', '내용': '포럼 참석차 다녀왔는데 시설도 깔끔하고 간호사분들도 친절하셨어요', '좋아요': '0'}]","{'목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '휴무일': '매주 일요일'}"
달려라병원,3.1,강동구 천호대로 1165 1-5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F12579140514818231A,"[{'작성자': '곰문곰', '별점': '1.0', '날짜': '2025.02.25.', '내용': '거 병원 앞에 담배 뽁뽁 피는 환자놈들 좀 잡으셈', '좋아요': '1'}, {'작성자': 'jjoj23', '별점': '1.0', '날짜': '2025.01.16.', '내용': '나이 40 중반을 바라보는 남자가 남기는 리뷰 입니다.\n\n왠만하면 귀찮아서 안남기는데 정말 기분이 매우 나쁘고... 더보기', '좋아요': '6'}, {'작성자': '♡', '별점': '1.0', '날짜': '2024.12.08.', '내용': '진료실앞에 3명의 간호사들 주사실 2명의\n간호사들 갈때마다 지들끼리 겁나 수다떨고 웃고\n불쾌함.주사실... 더보기', '좋아요': '1'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
고은빛여성병원,,강동구 천호대로 1151,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_2063007463,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '추석당일, 설당일, 1월1일'}"
양병원,2.7,강동구 천호대로 1159 양병원,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9FE03C5C104648E7A28998C225AA0851,"[{'작성자': '이성재 Steve', '별점': '5.0', '날짜': '2018.05.21.', '내용': '의료진의 마인드, 서비스의 품질, 병원시설 및 교통여건에 따른 접근성 등이 다 좋습니다. 업무 여건만 허락된다면 며칠 더 머무르면서 제... 더보기', '좋아요': '0'}]","{'목': '08:00 ~ 17:00', '금': '08:00 ~ 17:00', '토': '08:00 ~ 12:30', '일': '휴무일', '월': '08:00 ~ 17:00', '화': '08:00 ~ 17:00', '수': '08:00 ~ 17:00', '휴무일': '공휴일'}"
남기세병원,4.0,강동구 천호대로 1133 서울M타워,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb6bdabd315bbd502ca7c08ba0247605227ae0985%3Foriginal,"[{'작성자': '인생이란...夢', '별점': '5.0', '날짜': '2025.03.18.', '내용': '급하게 중소골골절로 수술하게되어서 당일 입원하고 수술하고 수술하였고 친절한 의료진을 만나게 되었네요', '좋아요': '0'}, {'작성자': '김호일(5기)', '별점': '5.0', '날짜': '2025.03.12.', '내용': '직원들이 친절해요.\n진료와 수술이 깔끔해요.\n간호 간병 통합해 운영하는... 더보기', '좋아요': '0'}, {'작성자': '이우찬', '별점': '5.0', '날짜': '2025.02.12.', '내용': '진료 잘 봐주시고, 산재상담도 친절히 해주셔서 고맙습니다', '좋아요': '0'}]","{'목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '휴무일': '공휴일'}"
아산본내과의원 아산본한의원,,"강동구 양재대로 1465 마루홈타운 4층 401, 402호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0285E8E398B24512AE130E599A553C90,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
바로튼튼정형외과의원,4.8,강동구 양재대로 1461 SC메디타워 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMzFfODEg%2FMDAxNzM1NjI0Mjg0NTkw.R5qOWaEAUFxUrg33uSM36-2485pzUZVzKe3DLXH4huMg.AAc9sUtWVNSC04Hww8sobdLg3pQEEMBLVjyS3QsXPukg.JPEG%2F%25ED%2581%25AC%25EA%25B8%25B0%25EB%25B3%2580%25ED%2599%2598LKLJLLH_(10).JPG%3Ftype%3Dw386,"[{'작성자': '이지윤', '별점': '5.0', '날짜': '2025.03.25.', '내용': '시설도 깨끗하고 원장님 직원분들 너무 친절하게 진료해주셔서 좋아요', '좋아요': '0'}, {'작성자': 'coco', '별점': '5.0', '날짜': '2025.03.18.', '내용': '친절하게 잘 치료해주셨어요', '좋아요': '0'}, {'작성자': '윤정아', '별점': '5.0', '날짜': '2025.03.14.', '내용': '원장님 설명 잘해주시고 과잉진료 없어요', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 19:00', '휴무일': '공휴일'}"
강동서울대항장문외과의원,2.1,강동구 천호대로 1119,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe2f7f383edbf3b0eb5a53a50a09426b830d95e67%3Foriginal,"[{'작성자': 'Narsarang', '별점': '1.0', '날짜': '2025.03.12.', '내용': '연고 및 약 복용으로 호전 가능한 \n수술불필요한 가벼운증상을\n수술강권하고 진료비 ... 더보기', '좋아요': '0'}, {'작성자': 'tb', '별점': '2.0', '날짜': '2025.02.03.', '내용': '2박3일 2인실 입원해있는동안, 병실 이동을 두번이나 시킴... 병동 간호사준들이 불친절하다는 리뷰들이 있었는데, 경험한 바로는 친철하셨음', '좋아요': '0'}, {'작성자': '047432', '별점': '1.0', '날짜': '2024.07.12.', '내용': '별점 한개도 아깝고 접수하는 여자부터 남자늙은 의사까지 하나하나 다 최악...가지마세요 돈버립니다', '좋아요': '0'}]","{'목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 15:00', '일': '09:00 ~ 10:00', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 20:00'}"
모세정형외과,2.7,강동구 양재대로 1550 은호빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7b3635995d2fbcb3fb65eeb86978369cb69aeb95%3Foriginal,"[{'작성자': '햄햄', '별점': '5.0', '날짜': '2024.03.29.', '내용': '대기시간만 감안하면 선생님이 친절하시고 좋아요  \n저도 후기보고 걱정했는데 진료는 전혀 문제 없어요 다만 대기시간이 엄청나네요 그만큼 환자가 많다는거겠죠 ㅎㅎ', '좋아요': '0'}, {'작성자': '맨', '별점': '5.0', '날짜': '2024.03.02.', '내용': '후기 보고 조금 걱정했는데 전혀 오해였습니다\n환자가 많아서 대기가 많을 때가 있지만 이건 어쩔 수 없는 부분이고, 원장님 너무 친절하시고 실력도 좋으시고 무... 더보기', '좋아요': '0'}, {'작성자': 'ms', '별점': '1.0', '날짜': '2023.08.24.', '내용': '불친절은 기본에 터무니없는 대기시간이라니 이젠 병원도 후기보고 다녀야할듯!', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 13:00', '휴무일': '공휴일'}"
강동중앙내과외과의원,,강동구 양재대로 1458 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMjdfMTI0%2FMDAxNjY2ODU0MzE3MjQ3.7Ufr-Bod0o04dzaYQwIaITQuEvSL5x8i9E3ahybgBkUg.eHEXb3dincQf9r84Qm5XLO3gCptfbL3kSwflBx8BUu8g.JPEG.doalddoakddl%2F20220628%25EF%25BC%25BF141740.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 14:00'}"
