name,score,address,img_url,reviews,open_hour
중앙보훈병원,2.4,강동구 진황도로61길 53,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB44B91E3193547F99CB05C40C492625D,"[{'작성자': '후기 몰아서 쓰는사람', '별점': '1.0', '날짜': '2025.03.08.', '내용': '환자에 대한 응대가 정말 별로입니다', '좋아요': '1'}, {'작성자': '춘배', '별점': '5.0', '날짜': '2025.02.11.', '내용': '심각한 중증이 아니라 고민하다가 너무 아파서 응급실 방문했는데 의료진 모두가 친절하시고 적절히 대응해주셨습니다. 정말 감사해요.', '좋아요': '0'}, {'작성자': 'sen', '별점': '1.0', '날짜': '2024.12.29.', '내용': '산소 발생기 통안에 액체좀 간호사에게 채워 달라고해도 생깜.다른 간호사가 보고 채워줌. 이상한 애 하나 땜에 병원 수준 나락', '좋아요': '1'}]","{'목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '휴무일': '공휴일'}"
한국보훈복지의료공단 서울요양병원,0.0,강동구 진황도로61길 53,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbPBaQe%2FbtrzRrP9u5A%2Fy69x8IXVFMLuPMybKdvWc1%2Fimg.jpg,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30'}"
효치과,4.9,강동구 양재대로 1390,,"[{'작성자': '김병욱', '별점': '4.0', '날짜': '2025.01.31.', '내용': '굿~~~~한방에 진단', '좋아요': '0'}, {'작성자': '좋은아침', '별점': '5.0', '날짜': '2024.09.21.', '내용': '전문성에서 흠잡을것 없고,응대하는 직원들과 \n진료해주시는 선생님들 모두 친절하고 여타의 진료와 직간접적 ... 더보기', '좋아요': '0'}, {'작성자': '똘찐', '별점': '5.0', '날짜': '2022.12.15.', '내용': '모두 친절하시고 좋아요..\n치과진료 경험 중 최고에요!!', '좋아요': '0'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 21:00', '수': '09:30 ~ 21:00'}"
노민관 가정의학과의원,3.5,강동구 천호대로 1210 은선빌딩 3층,,"[{'작성자': '홍순영', '별점': '1.0', '날짜': '2025.02.14.', '내용': '진료가 너무 금방 끝나고 약만 처방해주시길래 몸 상태가 너무 안좋아서 주사 같은거 맞지 않아도 되냐고 물어보니 주사 안 맞아도 된다고 하시더라고요. ... 더보기', '좋아요': '0'}, {'작성자': '한선이', '별점': '5.0', '날짜': '2024.06.17.', '내용': '90대 부모님 두분다 다니시는데요  \n진정성 있는 마음으로  진료하시는 원장선생님께 늘 감사하답니다.', '좋아요': '1'}, {'작성자': '마음이 내사람을 만든다', '별점': '1.0', '날짜': '2024.03.21.', '내용': '트라우마 있는  이름.', '좋아요': '1'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
나으람의원,0.0,강동구 양재대로 1412 3~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMjYy%2FMDAxNzM1MTk0MzMwMDA2.NijfcvEkUXnvDuTLFvxiQdl_i4Zg1LXtVw4BTA10a70g.ZV_CTWoWYWzSnYtuRY77TPuKtyiGLaX35uJHVm_GBYwg.PNG%2F%25EC%2595%2584%25EC%2582%25B0%25EB%25B3%2591%25EC%259B%2590%25EA%25B0%2580%25EA%25B9%258C%25EC%259A%25B4%25EC%2595%2594%25EC%25B9%2598%25EB%25A3%258C%25EB%25B3%2591%25EC%259B%2590_8.png%3Ftype%3Dw386,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
중앙보훈병원 응급의료센터,1.0,강동구 진황도로61길 53,,"[{'작성자': '🫧', '별점': '1.0', '날짜': '2024.08.18.', '내용': '최악임 응급실 여직원이고 뭐고 전부 싸가지 없고 \n치료 거부하고 거부하는 이유도 제대로 설명안하고 다른병원 명함주면서 가라고 해서 20분간 차타고 가야하는 거리를 갔는데 문닫은 병원이... 더보기', '좋아요': '0'}, {'작성자': '조수진', '별점': '1.0', '날짜': '2022.02.23.', '내용': '일반인은 절대 가지 마세요. 유공자는 치료비 지원 받으니까 가는거임. 악몽의 3일 잊을 수 없음.', '좋아요': '0'}, {'작성자': '♡♡♡', '별점': '1.0', '날짜': '2021.04.01.', '내용': '2021년 4월 1일 오후3시 36분\n 여직원 말투 기본이 안되있고 상당히 불친절함.\n이런 여직원이 이런 곳에 근무하다니...기본 부터 배워서 상담할것!', '좋아요': '2'}]",{}
서울플러스내과의원,3.4,강동구 진황도로 190 4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb7329582bbb6a6a941008a26ce2dc2296cc479b8%3Foriginal,"[{'작성자': '썸머', '별점': '5.0', '날짜': '2024.12.07.', '내용': '전 괜찮았어요 \n다만 검진기관이라 다소 복작거리긴 하네요\n\n의사선생님... 더보기', '좋아요': '0'}, {'작성자': '블라블라', '별점': '1.0', '날짜': '2024.08.09.', '내용': '비추천.. 할많하않', '좋아요': '0'}, {'작성자': '지드래곰', '별점': '4.0', '날짜': '2024.02.21.', '내용': '병원 깔끔함. 환자도 많음', '좋아요': '0'}]","{'목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '휴무일': '매주 일요일'}"
아름다운치과,0.0,강동구 천호대로 1210,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F76ECE9BB29D1488BA915B8B35ECBA557,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 18:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
신광철치과의원,4.0,강동구 천호대로 1200,,"[{'작성자': '솔찍담백', '별점': '1.0', '날짜': '2025.02.24.', '내용': '작은크랙 다른곳에서는 최대 크라운까지 얘기나왔는데 \n여기서는 발치,신경치료까지 얘기하시더라구요', '좋아요': '0'}, {'작성자': '김주희', '별점': '5.0', '날짜': '2021.11.30.', '내용': '너무 친절하고 설명도 정확 깔끔하게 해주세요!', '좋아요': '0'}, {'작성자': '노르웨이의 숲', '별점': '5.0', '날짜': '2021.08.31.', '내용': '원장님도 친절하시고 매복사랑니 정말 하나도 안아프게 잘 뽑아주셨습니다.', '좋아요': '0'}]","{'목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 16:00', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00'}"
중앙보훈병원 치과병원,5.0,강동구 진황도로61길 53,,"[{'작성자': '정국진', '별점': '5.0', '날짜': '2017.09.20.', '내용': '넘빨리찾아주니까요', '좋아요': '0'}]",{}
