name,score,address,img_url,reviews,open_hour
사랑플러스병원,3.9,강동구 양재대로 1580 사랑플러스빌딩,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F43CB9A9D248D4A2E9126390D7DF27378,"[{'작성자': '고흐', '별점': '5.0', '날짜': '2025.03.05.', '내용': '119타고 갔습니다.\n친절했고 감사함을 느낍니다.\n돈보다 소중한 것은 인생에 작은 소중함을 느끼는 것입니다.', '좋아요': '0'}, {'작성자': '영조채연맘', '별점': '5.0', '날짜': '2023.05.01.', '내용': '이번에 처음으로 사랑플러스 병원에서 건강검진 받았는데 너무 친절하게 안내해주셔서 너무 잘 받고 왔어요~', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
인성기념의원,4.8,"강동구 상암로 266 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FrOzb5%2FbtrXgR6394O%2FkaxQZ0vN5cmG4fOReAMUyk%2Fimg.png,"[{'작성자': '짠짠짠', '별점': '5.0', '날짜': '2024.10.05.', '내용': '의료적인 부분 퀄리티는 잘 모르겠어요. 대학병원에 비하면 조금 떨어질지라도… 면회가 자유로운 것과 근무하시는 요양보호사(?)분들과 간호사분들 모두 친절하셨어요.. 보호사분들 모두 한국인같... 더보기', '좋아요': '1'}, {'작성자': '김수영', '별점': '5.0', '날짜': '2022.01.11.', '내용': '감사한 곳', '좋아요': '1'}, {'작성자': '아어쩌라고', '별점': '5.0', '날짜': '2018.12.23.', '내용': '직원분들 다 친절하시고...항상 감사스럽네요', '좋아요': '0'}]",{}
강동맑은내과의원,4.6,강동구 동남로73길 13 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F448D01E10A63460B8EBF841ABD8AFA8A,"[{'작성자': '김준서', '별점': '5.0', '날짜': '2025.03.12.', '내용': '아침 공복혈당이 계속 높게 나와서 걱정돼서 다녀왔는데 정확하게 진단해주셨어요.\n집에서도 펩티드요법을 꾸준히 하면서 혈당 관리 ... 더보기', '좋아요': '0'}, {'작성자': '서재진', '별점': '5.0', '날짜': '2025.01.10.', '내용': '의사쌤이랑 간호사쌤들 너무 착하시고 좋으세요 ㅠㅠ 세심하고 꼼꼼하게 봐주시는데 과잉진료도 전혀 안하십니다 !\n이런병원 서비스가 많아졌으면 좋겠네요 👍👍', '좋아요': '0'}, {'작성자': 'Jenny99', '별점': '1.0', '날짜': '2024.12.24.', '내용': '평일 오후 5시 13분인데 접수자가 많다고 \n접수를 거부하네요', '좋아요': '0'}]","{'목': '09:00 ~ 13:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
봄담한방병원 강동본원,4.6,강동구 양재대로 1596 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1539760307,"[{'작성자': 'JS', '별점': '1.0', '날짜': '2021.12.31.', '내용': '아니.. 교통사고 환자를 안본다는게 말이 되시나요? ..\n네이버예약에서 진료항목으로 교통... 더보기', '좋아요': '3'}, {'작성자': '오남맘', '별점': '5.0', '날짜': '2021.01.26.', '내용': '골절로 입원했는데,\n원장님,간호사님,치료사님,청소여사님들까지 모두 친절하셔서 감사했습니다. 음식도 맛있고, 시설도 깨끗하고 좋습니다!!!!!잘 치료받다가 퇴원합니다.', '좋아요': '0'}, {'작성자': '조정심', '별점': '5.0', '날짜': '2020.12.26.', '내용': '입원환자였어요. 간호사분들이 너무친절하고 식사도 맛있었고 병원전체가 깔끔하고 시설도 좋았어요', '좋아요': '2'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '공휴일'}"
강동본터치정형외과의원,,강동구 고덕로 262 효성해링턴타워 더퍼스트 407호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTJfMTE3%2FMDAxNzMzOTg1Njk4Mjgz.NWz-o-4uZh1ymO_mNQbHt4ckl_mih4Icaatfm7LR0sYg.h7z_H4-MFh1x-sUo7QwdOjLGcDTWCHZmRXf4O2sIwikg.JPEG%2FKakaoTalk_20240603_125324289_02.jpg%3Ftype%3Dw466,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 19:00'}"
더참365정형외과의원,3.9,"강동구 양재대로 1574 4, 5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3F6125F48CBF4369820978752C6B269B,"[{'작성자': '혜라니계라니', '별점': '5.0', '날짜': '2025.03.13.', '내용': '나는 허리 울신랑은 팔꿈치치료 했어요~ 치료 후 아프지 않아서 넘 좋아요ㅎㅎ~', '좋아요': '0'}, {'작성자': '테니스츄', '별점': '5.0', '날짜': '2025.03.11.', '내용': '목에 주사 맞고 뭉친게 확 풀어진 느낌이네요^^ 사실 좀 겁났는데 하나도 안 아프네요! 친절히 안내해 주셔서 감사해요:) 꾸준히 맞아보겠슴당~', '좋아요': '0'}, {'작성자': '최악일때만후기씀', '별점': '1.0', '날짜': '2025.03.09.', '내용': '과잉진료 주사강요', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00', '일': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '휴무일', '휴무일': '매주 수요일'}"
온누리피부과의원,2.8,강동구 양재대로 1661 시온캐슬빌딩 7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjhfMTk3%2FMDAxNzMyNzg1MzMzMjI3.MGqBOxiPVaINqHS1fz5mUCGJzo-bl2CEWdbYanpHHOcg.aWSconT8HSEFLmn28v_dWKCK29bMQYQmm5bVAXHkDEEg.JPEG%2F%25EC%259D%2598%25EB%25A3%258C%25EB%25B2%2595%25EB%25AC%25B8%25EA%25B5%25AC.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '5.0', '날짜': '2024.12.12.', '내용': '사마귀제거 타 전문의병원에서 견적받은거보다 50만원 저렴했어요 전문의병원인데 가격이좋아요', '좋아요': '0'}, {'작성자': 'fshspark', '별점': '1.0', '날짜': '2024.05.28.', '내용': '진료받고 출근하려고 1등으로 접수했으나 순서대로 진료하지 않음, 20분을 치료실에서 대기하다가 나옴', '좋아요': '1'}, {'작성자': '미소', '별점': '1.0', '날짜': '2024.04.17.', '내용': '몇년전 진료와 상담은 분명 의사가 했는데 레이저시술은 다른 사람이 하는건 뭔지? 나와서 선생님이 직접하시는거 아니냐고 물었더니 말을 안해서 다른 사람이 한거라고ㅜㅜ 그렇거든 잘 하기라도 하던지 코에... 더보기', '좋아요': '4'}]","{'목': '09:30 ~ 19:00', '금': '09:30 ~ 20:00', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '휴무일': '공휴일'}"
봄의약속안과의원,4.1,강동구 양재대로 1570 미래빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MDJfMTI4%2FMDAxNzI1MjYwMjE5NDIz.v5m-HLYuJNgTFVOyNKH2E6SqH_yutnk6hafvpVby6s0g.S8kF7E8GDcc4cOnBskxFfdzV3Nhy06OG3S9yS20FXMYg.PNG%2FSE-34d2c467-3e32-47aa-b111-49a61c3910d0.png%3Ftype%3Dw773,"[{'작성자': '지민', '별점': '5.0', '날짜': '2025.02.05.', '내용': '눈이 충혈되어 방문을 했었습니다. 간단한 충혈이라 생각했는데 검사도 꼼꼼하게 해주시고 진료도 친절하게 해주셔서 만족스러웠습니다! 처방해주신 안약도 효과 바로바로 나타나서 좋았어요.', '좋아요': '0'}, {'작성자': '마가리타', '별점': '5.0', '날짜': '2022.12.08.', '내용': '진찰 꼼꼼하고 친절(데스크, 의사샘)', '좋아요': '0'}, {'작성자': '도둑고양이', '별점': '5.0', '날짜': '2022.10.15.', '내용': '예약하고도 기본대기 1시간씩하는 큰병원보다 훨씬 빨리 진료받았고, 이것저것 검사 강요하지도 않았어요.\n평일진료는 거의 대기없었고 오늘 2번째로 토욜 오전진료 받았는데 앞... 더보기', '좋아요': '2'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 15:30', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
하늘호수피부과의원,,강동구 고덕로 254 이화빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTZfMjgz%2FMDAxNzM0MzQ1OTMwMTcw.gXOEOn-gB7h07RMWlPxAFiFA_bIEfAxrhdoKvLNYm80g.20BPlq6ZoCrY2alFh2ThX4qSUo0-MCHB70bDmgr9R-Yg.JPEG%2F1%25EC%2595%2594%25EC%2582%25AC%25EC%2597%25AD_%25ED%2594%25BC%25EB%25B6%2580%25EA%25B3%25BC.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 20:00', '토': '09:30 ~ 14:30', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 20:00', '수': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
강동삼성안과의원,,강동구 고덕로 254 이화빌딩 4층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
snu서울외과의원,,강동구 양재대로 1661 시온캐슬빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjBfNjMg%2FMDAxNzM0NjYwMDMwNDM0.hbM9LoN-nLECBdy9EO0oxs7C0yXqc5aBnUWvSk--ddUg.Ptryt-MdWnvYnkTtTGei_b8hr7T47nVPFjWtZ_hLeRQg.PNG%2F009.png%3Ftype%3Dw466,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '휴무일': '공휴일'}"
명일연세내과의원,5.0,강동구 양재대로 1576 삼익빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA3MDdfMTgx%2FMDAxNjU3MTkzNzgxMTg3.hfQGhW8dZdzZF9-qAdd9r54fcimjMN0voINhXji6GNwg.I9-TtNa2WD_MYn8nXhj0ReF1z7HFij0A6Kkx-i4NnM4g.JPEG.huifor89%2F20220707%25EF%25BC%25BF093029.jpg%3Ftype%3Dw773,"[{'작성자': '바뚱', '별점': '5.0', '날짜': '2025.02.08.', '내용': '원장님 두분다 친절하시고 편안하게 진료 봐주세요!\n과잉진료도 없고 간호사 분들도 친절합니다!\n대학병원만 다니던 제가 앞으로 내과 갈 일 ... 더보기', '좋아요': '0'}, {'작성자': '내이름은 EJ', '별점': '5.0', '날짜': '2024.07.25.', '내용': '친절은 기본장착\n자세한 설명과 과한 진료없이\n적절한 처방해 주시는것 같습니... 더보기', '좋아요': '0'}, {'작성자': '거북이', '별점': '5.0', '날짜': '2024.02.21.', '내용': '일단 여긴 좋아유~ 안좋은점은 주차가 힘들뿐 너무힘들어요 그거아니면은 짱인디', '좋아요': '0'}]","{'목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00'}"
