name,score,address,img_url,reviews,open_hour
부천자생한방병원,4.9,부천시 원미구 부일로191번길 17,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F33C155B8A732432AB721B5C6F45FC0AD,"[{'작성자': '최민우', '별점': '5.0', '날짜': '2025.03.19.', '내용': '엄마가 교통사고나서 입원하셨어요 사고는 처음이라 당황스럽고 걱정이 많으셨는데 직원분들이 너무 친절하게 대해주셔서 잘 지내시는것 같아서 마음이 놓입니다 감사합니다', '좋아요': '0'}, {'작성자': '강헌식', '별점': '5.0', '날짜': '2025.01.14.', '내용': '송광찬원장님 진료받고 있어요\n젊고 유쾌한 선생님께 치료 잘 받고있어요\n다들친절하시고 치료도 잘 하십니다', '좋아요': '0'}, {'작성자': '맛을찾아서', '별점': '5.0', '날짜': '2025.01.10.', '내용': '친절하고 궁금한점 물어보면 다른법도 알려주시려고 하고 안심시켜주려고 하시더라구요', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날'}"
위튼튼내과의원,5.0,"부천시 원미구 상일로 100 송내부건프라자 4층 402,403호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEyMDNfMTM2%2FMDAxNzAxNTc5NjI4MjU5.TBC22zTOZtDbAjU6uhbY1lHFPr8Km_nVgzvuyQvwU94g.OkrrdY-ewuIg7RzSv4ZsZ0F87WDkLRwHO6qgJG8uamAg.JPEG.sjyou23%2F20231127%25EF%25BC%25BF110358.jpg%3Ftype%3Dw966,"[{'작성자': '행복', '별점': '5.0', '날짜': '2023.10.22.', '내용': '선생님이 꼼꼼하고 세심하게 진료를 잘 봐주십니다 간호사샘들도 친절하시네요', '좋아요': '0'}, {'작성자': '이스트피버', '별점': '5.0', '날짜': '2023.05.19.', '내용': '환자에게 세심히 신경써 주신다. 덕분에 자주 다니는 동네 가정의학과 병원 여기로 바꿈', '좋아요': '0'}, {'작성자': '아티제', '별점': '5.0', '날짜': '2023.04.18.', '내용': '친절하시고 설명도 잘해주세요', '좋아요': '0'}]","{'목': '09:00 ~ 13:00', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
하얀나라피부과 부천점,,부천시 원미구 부일로 204 루치올라빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTRfMTE3%2FMDAxNzM0MTQwNjI3MTQ1.zy0AJU-DGr65NAcHQ4Hi6Esy-gRTwwwYqg2KzoeRrIog.I2ZZRivSKm-k2C0vCh8IlgIfCzj6WhCfazAt0lvcnW0g.JPEG%2F20241214%25EF%25BC%25BF100807363.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '휴무일', '금': '09:30 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '15:00 ~ 20:00', '휴무일': '공휴일'}"
이안이비인후과의원,3.6,부천시 원미구 상일로 96 403호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F445002F92F4D45A68850296346385F0A,"[{'작성자': 'ㅎㅅㅎ', '별점': '1.0', '날짜': '2025.03.11.', '내용': '저번에 방문했을때 친절하셨던걸로 기억해서 재방문했는데 오늘은 너무 불친절하셨어요…..\n인후통때문에 방문했는데 코막힘이나 기침같은 다른 증상... 더보기', '좋아요': '0'}, {'작성자': '팩폭굿잡', '별점': '1.0', '날짜': '2024.10.05.', '내용': '코로나 공포증이어서 그런지 거리가 면접 보는 느낌..?ㅎ\n뭐 궁금한거 물어보라 하는데 말도 애매하게 하고 진료도 애매하게 봄ㅎ\n친절한 느... 더보기', '좋아요': '0'}, {'작성자': '민초단', '별점': '1.0', '날짜': '2024.08.16.', '내용': 'ㅈ@러지 병원 대기 1시간 이상', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '14:00 ~ 18:30', '휴무일': '공휴일'}"
예스성형외과의원,,"부천시 원미구 부일로205번길 26 대명앤스빌1차 302,303호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjlfMjY4%2FMDAxNzMyODc2MDM4MDQy.iqRBSznmkFfZFlzzp_yvPCjMzjEQSQbh3GNJ7sbNccUg.FpNWrAEWMisYvQFSTzYQ4nBQrfAVCG9FhM5FbqUMyEYg.JPEG%2F5.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '휴무일': '매주 일요일'}"
부천길맨남성의원,3.7,부천시 원미구 송내대로73번길 11 금강리빙스텔 4층 406호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfNDYg%2FMDAxNzM1MjAxNTcwMDMy.edneeDzB-QMB8tzbP1H78QkmTB0EEkyU95NWiCGlkD4g.IqVuVaN-SP3dF1PaCusSPPtsKSpnSuRVFOolugyprm8g.JPEG%2F%25EB%25B6%2580%25EC%25B2%259C%25EB%25B0%259C%25EA%25B8%25B0%25EB%25B6%2580%25EC%25A0%2584_017.jpg%3Ftype%3Dw466,"[{'작성자': '꾸꾸', '별점': '1.0', '날짜': '2025.02.22.', '내용': '아니문의했는데다른데가래요  어이없네  이게전문?', '좋아요': '0'}, {'작성자': '구름', '별점': '5.0', '날짜': '2024.02.17.', '내용': '친절하게 설명해주시고 깨끗합니다.', '좋아요': '0'}, {'작성자': '인천호랑이', '별점': '5.0', '날짜': '2022.07.06.', '내용': '몇군더 병원 방문후 송내 길맨을 찾았는데, 원장님,실장님의 실직적인 조언과 친절한 상담 후 시술을 받게 되었는데 가격부담도 없고 기분이 up 되서 병원문을 나왔네요 만족도 최고입니다.', '좋아요': '1'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '휴무일': '공휴일'}"
희망정신건강의학과의원,3.8,부천시 원미구 부일로 204 루치올라 5층 501호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F8D7E0D466B8045C6AFFB1EC9C2BCAD8E,"[{'작성자': '쨈쨈쨈', '별점': '1.0', '날짜': '2025.02.17.', '내용': '할말하안,,', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.02.16.', '내용': '두번정도 늦게 갔었는데 부원장님한테 당신같이 꾸준하지 못한 사람은 치료 못하니까 더이상 오지 말라는 얘기 들었습니다', '좋아요': '3'}, {'작성자': '행복이', '별점': '5.0', '날짜': '2024.01.20.', '내용': '원장선생님이 환자에 대해 꾸준히 열심히 기록해주시고 안부를 궁금해해주시고 의학지식을 동반해 상황이 호전되도록 도와주셔서 많이 나아졌습니다. 앞 날이 기대되고 증상이 완화되어 행복감이 높아지는 걸 느껴요! 항상 감사드립니다!!', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
상동연세치과의원,5.0,"부천시 원미구 상일로 82 다모아빌딩 306,307호",,"[{'작성자': '어느 봄날', '별점': '5.0', '날짜': '2024.05.01.', '내용': '치아 떼우는데 보험으로 잘 치료해 주셨네요, 선생님 친절하시고 치료 잘 해 주시네요. 무엇보다 의료보험으로 잘 치료해 주시네요.', '좋아요': '0'}, {'작성자': '나무닭', '별점': '5.0', '날짜': '2022.09.04.', '내용': '사랑니 너무 잘뽑으심', '좋아요': '0'}, {'작성자': '구상두', '별점': '5.0', '날짜': '2022.01.03.', '내용': '친절하고 꼼꼼하신 의사 선생님입니다. 사랑니 3개 통증 없이 뽑았습니다. 안심하세요', '좋아요': '1'}]","{'목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '휴무일', '휴무일': '공휴일'}"
서울온정형외과의원,3.0,"부천시 원미구 부일로 203 상동스카이뷰자이 202~203,210호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMThfMjg4%2FMDAxNzMxOTA4MzgzNjA5.FB49thQq-Bz1yAo11-eVI9MM2mboC0C4LtdKTwlfiK8g.RaXPsO-bdeDDqHn0SiCOkCFojsn56Aeg2NolIbsEBzsg.JPEG%2F%25EC%2584%259C%25EC%259A%25B8%25EC%2598%25A8%25EC%25A0%2595%25ED%2598%2595%25EC%2599%25B8%25EA%25B3%25BC_%25EB%25B8%2594%25EB%25A1%259C%25EA%25B7%25B8%25ED%2595%2598%25EB%258B%25A8(%25EB%258B%25A5).jpg%3Ftype%3Dw966,"[{'작성자': '김상사', '별점': '3.0', '날짜': '2024.12.06.', '내용': '무리한 검사를 진행하지는 않으시는거 같은데 물리치료 비용이 너무 비싸서 더 가지는 못할 것 같아요', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
한양내과의원,5.0,부천시 원미구 부일로 204 루치올라빌딩 403호,,"[{'작성자': '조성동', '별점': '5.0', '날짜': '2024.09.04.', '내용': '항상 친절하시고... 푸근한 인상이 너무 좋으신 분이십니다...\n^0^', '좋아요': '0'}, {'작성자': '천국의문', '별점': '5.0', '날짜': '2023.03.09.', '내용': '여러가지를 수시로 체크하고 다른 질병을 고려하여 처방전을 주시네요. 진정한 전문의 입니다', '좋아요': '0'}, {'작성자': 'AJ', '별점': '5.0', '날짜': '2018.12.10.', '내용': '선생님 너무 좋으세요', '좋아요': '0'}]","{'목': '15:00 ~ 19:00', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
