name,score,address,img_url,reviews,open_hour
민병원,4.3,강북구 도봉로 155,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F793EBEF9AE994611AB04E2CDB2272A41,"[{'작성자': '쿠쿠', '별점': '5.0', '날짜': '2025.03.24.', '내용': '건강검진 하려고 인터넷으로 검색해보고 방문했어요 직원들 모두 친절하시고 병원도 깨끗하고 좋았어요', '좋아요': '0'}, {'작성자': '손하영', '별점': '5.0', '날짜': '2025.03.24.', '내용': '부모님때문에 가게 됐는데 전화상담도 친절했고 예약도 편했습니다.\n요즘 진료되는 병원찾기 힘든데 담에 저도 이용해봐야겠어요~', '좋아요': '0'}, {'작성자': '❤️', '별점': '5.0', '날짜': '2025.03.24.', '내용': '이번에 몸이 안좋아서 건강검진했어요. 지인추천으로 갔는데 예약전화 받으신 분 너무 친절하시고 검진센터에서도 바로 연락주셔서 좋았습니다.\n검진도 잘했는데 요즘 사람들이 많아서 그런지 초음파는 오래걸려... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
강북으뜸병원,3.4,"강북구 도봉로 187 대흥빌딩 지하1층, 2~5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9bafc86a13f22f45e4d0629f485b60041223fe48e2f94350d3f6148e219bcd60,"[{'작성자': '류성호', '별점': '5.0', '날짜': '2025.03.20.', '내용': '근처 한일병원에서 진통제만 맞으면 뛰어다닐 수 있다며 큰소리 쳤는데 진통제맞고 가려는데 쓰러져서 강북으뜸병원으로 이송됐는데 디스크 수술안하고 시술했는데 아직 잘살고있음. 원장님짱!', '좋아요': '0'}, {'작성자': '성태환', '별점': '1.0', '날짜': '2024.12.15.', '내용': '톱에 엄지손톱과 엄지 앞부분을 베어 응급조치한 다음날 강북으뜸병원을 방문해서 드레싱을 받으려했다.\n응급조치해준 병원이 피부과여서... 더보기', '좋아요': '0'}, {'작성자': 'seul', '별점': '1.0', '날짜': '2024.10.05.', '내용': '예약을 하고 와도 1시간 가량 기다려야함 40분 지나서야 죄송하다고 하고 담당의 바꿔서 진료 볼 수 있게 하겠다고 함... 예약 안하고 와도 1시간인데 왜 예약을 받는지 모르겠음', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '휴무일': '- 365일 24시간 응급실 운영'}"
서울유병원,3.8,"강북구 도봉로 77 지하2층~지하1층,3층~8층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMzBfMjQx%2FMDAxNzMwMjc1NDg1NTk3.TWjiK_05EOjZW7EQ5LfmHRv4qM5O7PxhN8sk1ndFsAIg.VVrazMugzksDHsLaub3A1eJSw-hR_LL9AD0BLbTQ7lEg.PNG%2F%25EC%25A0%2584%25EA%25B2%25BD_6.png%3Ftype%3Dw3840,"[{'작성자': '주식향기', '별점': '1.0', '날짜': '2025.03.26.', '내용': '불친절, 서비스 마인드 부족, 시간약속 안지킴, 응급실의 개념없는 치료 안내.\n\n응급실 2회, 일반 외상 1회, 골절관련 후치료... 더보기', '좋아요': '0'}, {'작성자': '뽑', '별점': '1.0', '날짜': '2025.02.26.', '내용': '지인이 수술로 인해 입원한 적이 있고 추천해줘서 갔으나 여자 접수상담원 태도가 상당히 불친절함 남자 접수상담원 분은 친절하셨음 대기의자에 앉아서 대기 중이었던지라 본의아니게... 더보기', '좋아요': '0'}, {'작성자': 'cyruz', '별점': '1.0', '날짜': '2025.01.20.', '내용': '돈벌이 집중. 코디네이터나 의사나 눈에 불을 켠게 보입니다. 게다가 간변인(조선족)도 같이 뛰네요. 보험안되는거(비급여) 조심. 119 부르면 여기다 모셔갑니다. 조심조심.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
서울신세계안과의원,,강북구 도봉로 52 Y스퀘어 3-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMjFfMzgg%2FMDAxNjY5MDEzNDY4MTIz.GLyXbf8du4awz0b2-5EzbGuWGu5a3lapfp7UfturbZQg.XPiZTcXYkJl7UaGLyPItmLQIB3eCL1BdBWbLzG6BOe0g.JPEG.ssgeye%2Fe5utygkh_(7).JPG%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
포근한병원,4.4,강북구 도봉로 266,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F627BE7AD2E1E4795B82A8E283BB967DA,"[{'작성자': 'ㅁㄴㅇㄹ', '별점': '1.0', '날짜': '2024.07.01.', '내용': '멍청한 의료진과 멍청한 프런트\n사람 성질 뻗치게 하는 태도가 참으로 개탄스러움', '좋아요': '1'}, {'작성자': '하늘', '별점': '5.0', '날짜': '2021.03.12.', '내용': '상담도 너무 잘해주시고 치료사분들도 너무 좋으신분들이 많아서 좋았습니다 ㅎㅎ', '좋아요': '1'}, {'작성자': 'Yumm', '별점': '5.0', '날짜': '2021.02.15.', '내용': '어머님 입원시키고 나서 코로나 때문에 한동안 보지 못하고 있는데, 영상통화 할때마다 조금씩 좋아지는것 같아서 마음이 놓입니다... 그리고 집근처라 가끔 지나가다 병원 들리는데 직원들... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
햇빛병원,2.4,강북구 도봉로 74,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MTRfMTIw%2FMDAxNjgxNDM0Nzk1ODE4.r_KAmi0TBqPEW2DhXPbCuywSYbF5FB1EmkmLeoZgpc4g.cD2GkLYqRx6Y58hGGDDUtd9Aj3K9E5rSTcO3s9o1jdIg.JPEG.hatvit12%2F%25EA%25B8%2589%25EC%2584%25B1%25EC%259C%2584%25EC%2597%25BC%2C%25EC%259C%2584%25EC%2597%25BC%25EC%25A6%259D%25EC%2583%2581%2C%25EC%259C%2584%25EC%2597%25BC%25EA%25B2%2580%25EC%25A7%2584%2C%25EC%25A0%2595%25EB%25B0%2580%25EA%25B2%2580%25EC%25A7%2584%2C%25ED%2596%2587%25EB%25B9%259B%25EB%25B3%2591%25EC%259B%2590%2C%25ED%2596%2587%25EB%25B9%259B%25EC%2582%25B0%25EB%25B6%2580%25EC%259D%25B8%25EA%25B3%25BCSE-8e0e9de6-d7cc-49a6-bb91-ecda61ac2465.jpg%3Ftype%3Dw966,"[{'작성자': 'Galiya', '별점': '1.0', '날짜': '2025.01.22.', '내용': '저는 외국인이라서 최악의 서비스를 받았다고 생각했는데 댓글 보니 그냥 병원 의사들의 태도 말투 무시는 저를 보던 의사뿐만 아니라 다른 의사들도 그럴것 같아요. 집 근처라도 1년 넘게 피하고 있... 더보기', '좋아요': '0'}, {'작성자': '뽀로로', '별점': '1.0', '날짜': '2024.12.13.', '내용': '산부인과 의사최악 xx\n임신전부터 다녔는데 임신 초산인데  23 주차까지 진료 받았는데 그전부터 염증같은거 물어봤는데 괜찮다고만 하고  의사선생 말듣고 괜찮거니 ... 더보기', '좋아요': '3'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.12.10.', '내용': '재왕절개 수술후 아이머리가 커서 기본 보다 안예쁘게 더 찢았다함 ... 우리아이 영유아 검진 100중 16등으로 머리작음 지금 흉터 더 찢었다 한곳 장난 아님 ... 대X원... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:30', '월': '09:00 ~ 18:00'}"
황소정형외과의원,4.7,강북구 도봉로 67 새한메디컬빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAAA709C3A5814DC19ACB81FE902DFBD8,"[{'작성자': '정진원', '별점': '5.0', '날짜': '2024.09.18.', '내용': '병원원장님 친절하고 좋아요~\n진료받는데 환자에게 쉬운 설명 감사해요~\n손님들이 정말... 더보기', '좋아요': '0'}, {'작성자': '케로로-_-', '별점': '5.0', '날짜': '2024.07.22.', '내용': '대형병원 날림치료로 검색해서 황소정형  외과치료\n받았습니다 꼼꼼히 전문의 선생님 간호사님 너무 친절하시고 외상이좀 커... 더보기', '좋아요': '0'}, {'작성자': '용뇽뇽', '별점': '5.0', '날짜': '2024.04.16.', '내용': '꼼꼼한 진료와 친절한 직원들에 정형외과 정착했어요 ㅎㅎ \n도수치료사분들도 너무 친절합니다:D', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '공휴일'}"
수안과의원,4.1,강북구 도봉로 245 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MThfMjEw%2FMDAxNzEzNDUyMTYyMDEw.iXEJ38ojVAK1yJikVaJW9VSf5VkmRWLW48iaedwr6I4g.YHghX5uFgKK3KBkMzf4EWIhTHoTwXJknSKzY-Sp4w_Ig.JPEG%2F20240418%25EF%25BC%25BF172745.jpg%3Ftype%3Dw966,"[{'작성자': '김미경', '별점': '4.0', '날짜': '2024.10.26.', '내용': '백내장 수술 받으려고 이것저것 검사 받았는데\n,구석으로 가서 하는 검사실이 너무 열악해서,‥실망했어요\n수... 더보기', '좋아요': '0'}, {'작성자': '홍', '별점': '5.0', '날짜': '2024.03.25.', '내용': '렌삽 검사 목적으로 방문했는데 다양한 검사 기기가 많았고 의사 선생님이 친철하셨어요.', '좋아요': '0'}, {'작성자': '인생한방', '별점': '5.0', '날짜': '2024.03.18.', '내용': '하드렌즈 인생 30년차인데\n여기가 젤 좋았음.', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
강북보아스이비인후과의원,3.8,강북구 도봉로 242 한국전력 강북성북지사 2층 1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F33E37B1B60174A6DADC3DE3C0C93B974,"[{'작성자': 'oye', '별점': '4.0', '날짜': '2024.08.21.', '내용': '여자 원장님께 진료를 보았어요. 원장님이 설명하시는중 저도 할말이 생각나 끼어들듯 말을 했어요. 지금까지 병원 다녀본 결과 환자가 중간에 끼어들듯 말하면 의사쌤들은 싫어하시는 내색을 하시거나 혹은 짜증내는 ... 더보기', '좋아요': '2'}, {'작성자': 'ㅎㅎ', '별점': '5.0', '날짜': '2024.08.20.', '내용': '어지럼증이 심해서 신경과 갔다가 귀의 문제일수도 있다고 해서 이비인후과 내원했어요. 어지럼증 검사도 여러가지 하고, 설명도 자세히 해주셔서 이번에 많이 알게 되었습니다. 어지럼증 심한 분들에게 추천합니다', '좋아요': '1'}, {'작성자': '맛도리', '별점': '4.0', '날짜': '2024.06.04.', '내용': '좀 비싸다\n대기가 길고\n다만 악성 비염환자에게 오아시스 같은 곳', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 18:30'}"
엘앤에스비뇨기과,3.7,"강북구 도봉로 217 메디컬빌딩 5,6,7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyNDExMjZfMTQx%2FMDAxNzMyNjA2NzgwOTEz.9li5jhpUk2Ob-o0Zp6YA2K-uqND4PGH8abyDXLiVWBgg.I9X6BForQaYw_T_iu_J-39wylWXTOoEeVjrHt-OTGCEg.JPEG%2F%25EC%2587%2584%25EC%2584%259D%25EA%25B8%25B0.jpg%3Ftype%3Dw1,"[{'작성자': '링링링', '별점': '5.0', '날짜': '2025.03.13.', '내용': '좋아요 잘 봐주십니다.', '좋아요': '0'}, {'작성자': '고니', '별점': '1.0', '날짜': '2024.12.19.', '내용': '방광결석\n방광에 내시경하고\n충격파로 유도해서 했는데\n... 더보기', '좋아요': '0'}, {'작성자': '🤗', '별점': '5.0', '날짜': '2024.12.18.', '내용': '주변 지인 추천으로 방문했습니다. 상담도 친절하고 무엇보다 의사선생님이 꼼꼼하게 잘 봐주세요. 아픈 곳 치료 잘 받았고 다음엔 검진 받으러 오겠습니다.', '좋아요': '0'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '일': '09:00 ~ 16:00', '월': '09:00 ~ 19:00', '휴무일': '요로결석 24시간 응급진료'}"
