name,score,address,img_url,reviews,open_hour
서울현대병원,2.1,강북구 도봉로 374,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F417F6706BBD84FA1A59309776F52619A,"[{'작성자': 'song', '별점': '1.0', '날짜': '2025.02.22.', '내용': '그냥 가지마세요. 베인상처 응급환자 분류하는데 그냥 다른병원 가서 빠른 조치 받는게 맞는것 같습니다... 더보기', '좋아요': '0'}, {'작성자': '모리슨', '별점': '1.0', '날짜': '2024.10.29.', '내용': '이런병원이 있다는게 놀랍습니다.\n의사, 간호사, 원무과 총체적 난국입니다.\n\n수술한 환자에 대한... 더보기', '좋아요': '3'}, {'작성자': '강훈', '별점': '1.0', '날짜': '2024.10.19.', '내용': '최악. 아직도 이딴 병원이 있는게 신기할정도\n궁금하면 가보면 됨', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
꿈의숲요양병원,,강북구 월계로 183,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMTZfMjUg%2FMDAxNjc4OTMyNDM1Nzg5.Zhaxi8Ba06jAuLug8mi7roeiscPSY9n2ISFSXQu-_jEg.47fcXNaXThPE5zaa68Je-VoCuwaUFdbbNKMxAVTOYlwg.PNG.jnugift%2F%25ED%258F%2589%25EA%25B0%2580%25EB%2593%25B1%25EA%25B8%2589_%25ED%2591%259C.PNG%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:30', '월': '09:00 ~ 18:00'}"
우리베스트내과의원,,강북구 도봉로 308 북한산스카이 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FD5064395AD4D4EFC9F19E57659341C28,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:00 ~ 19:00', '수': '08:00 ~ 19:00', '목': '08:00 ~ 19:00', '금': '08:00 ~ 19:00', '토': '08:00 ~ 14:00', '일': '휴무일', '월': '08:00 ~ 19:00', '휴무일': '공휴일'}"
더조은안과의원,4.2,강북구 도봉로 334 영광빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F23245D3756550E8614,"[{'작성자': '^.^', '별점': '5.0', '날짜': '2024.11.12.', '내용': '의사 선생님이 정말 친절하시고 설명을 자세하게 해주세요. 질문을 해도 잘 알려주십니다. 안과는 여기로 올것같아요. 그리고 데스크 선생님들도 친절하세요.', '좋아요': '0'}, {'작성자': '솔직 평가', '별점': '5.0', '날짜': '2024.10.23.', '내용': '타안과갔다가 여기왔는데 전문적인 진단으로 눈부심 문제 해결중입니다.', '좋아요': '0'}, {'작성자': '튜니티', '별점': '1.0', '날짜': '2024.10.14.', '내용': '안내데스크 젊은 여자가 너무 불친절', '좋아요': '0'}]","{'화': '14:00 ~ 20:20', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '09:40 ~ 12:30', '일': '휴무일', '월': '10:00 ~ 18:30', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 현충일'}"
북서울요양병원,5.0,강북구 한천로 1002,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjhfMTUz%2FMDAxNzMyNzU3OTA2Nzc0.Cw7IzRr866Km2WBLbb0KOIWPZr_WHkoFwr1png3-B7Ig.svxirYoyKlEWuAoe-VXJg1HcX6tbFnkMjT5Vi79UUqMg.JPEG%2FKakaoTalk_20241126_163945327.jpg%3Ftype%3Dw386,"[{'작성자': '김지훈', '별점': '5.0', '날짜': '2024.11.21.', '내용': '최고의 서비스를 제공하는 병원 입니다\n\n\n물... 더보기', '좋아요': '1'}, {'작성자': '🎠🎠🎠🎠🎠', '별점': '5.0', '날짜': '2024.05.19.', '내용': '👍👍👍👍👍', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 토요일, 일요일'}"
서울현대병원 신관,2.5,강북구 한천로132길 23,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA4D1024C117B4570AA79D51B8BE54EA1,"[{'작성자': '양이.에옹.또또', '별점': '5.0', '날짜': '2025.02.12.', '내용': '참 나빠요 예약했는데 20분더 대기중 기약없이\n직원피해 전단지는 붙여놓구  대기가 길어 지는 이유는 일언 방구... 더보기', '좋아요': '1'}, {'작성자': '차예안', '별점': '5.0', '날짜': '2024.11.01.', '내용': '이 병원 비급여 너무 뽑아 먹어요~', '좋아요': '0'}, {'작성자': '', '별점': '5.0', '날짜': '2023.05.24.', '내용': '투석실 수간호사님 정말 감사합니다.\n이 은혜는 꼭 잊지 않을게요 감사합니다.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
이상배피부과의원,3.6,강북구 도봉로 328 307호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7bee54bfda1b202ad9733d0f8e6b3d38b1d90e4a%3Foriginal,"[{'작성자': '삼돌군', '별점': '2.0', '날짜': '2025.03.11.', '내용': '피부 색소, 기미, 잡티 제거 상담을 받으러 갔다. 의사가 직접 상담을 하는데 상담비가 18천원이다. 내 상태가 심하지 않아 레이저 치료는 가격대비 큰 효과를 기대하기 어렵다며 멜라논크림 처방을 해줬... 더보기', '좋아요': '0'}, {'작성자': '?냥냥펀치?', '별점': '4.0', '날짜': '2024.10.12.', '내용': '진짜 피부질환을 위한 병원이예요\n사람 너무 붐벼서 -1점', '좋아요': '0'}, {'작성자': 'Hihi', '별점': '1.0', '날짜': '2024.07.04.', '내용': '간호사님 친절하신데 의사님 별로 하셨어요. 반말도 하시고요', '좋아요': '1'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 12:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 12:00', '월': '09:30 ~ 18:00'}"
밝은연세안과의원,4.3,강북구 도봉로 324 글로리타워 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8b37eb9122c826c1bb8ab9ae4d3b1f830d283aa0%3Foriginal,"[{'작성자': '상상용', '별점': '5.0', '날짜': '2023.11.23.', '내용': '이런 안과 처음가봤네요 진짜 친절하고 의사선생님 전문성 뛰어나십니다', '좋아요': '0'}, {'작성자': 'K77', '별점': '5.0', '날짜': '2023.05.18.', '내용': '외국인 환자예요. 의사선생님과 간호사분들이 다 친절하셨어요!! 설명 너무 감사드립니다!!!', '좋아요': '0'}, {'작성자': '1', '별점': '4.0', '날짜': '2023.04.06.', '내용': ""의사선생님은 친절하시고 잘 봐주십니다. 다만 리뷰에서 계속 언급되는 '대기시간'에 대해선 한사람당 30분씩 진료본다 생각하고 일부러 데스크에서 넉넉잡고 알려주시는 것 같아요. 평일에도 사람이 꽤 있는... 더보기"", '좋아요': '2'}]","{'화': '10:30 ~ 19:00', '수': '10:30 ~ 19:00', '목': '10:30 ~ 19:00', '금': '10:30 ~ 19:00', '토': '10:30 ~ 14:00', '일': '휴무일', '월': '10:30 ~ 19:00', '휴무일': '공휴일'}"
정비뇨의학과의원,5.0,강북구 도봉로 334 영광빌딩 1동 7층 701호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7E4258DF782740FD812DFC0E0647F1DA,"[{'작성자': '안녕하세요.', '별점': '5.0', '날짜': '2025.02.14.', '내용': '난후기보고 첨갔는데 우선간호사쌤들 너무친절하시고 원장님 자세한살명도 해주시고 과잉진료 절대루안하시고 너무친절사세요.나첨갔는데 이제요기만 다닐겁니다.정비뇨의학과의원 번창하세요^^👍', '좋아요': '0'}, {'작성자': '룰루랄라', '별점': '5.0', '날짜': '2024.10.18.', '내용': '콩팥검사했어요 별점이 너무 높아서 반신반의하며 갔는데 병원도 참 깨끗하고  직원분도 친절하세요 의사선생님도 상세히 설명잘해주시구 친절하고 좋았어요', '좋아요': '0'}, {'작성자': '차예안', '별점': '5.0', '날짜': '2024.10.07.', '내용': '걱정많이 하고 방문했는데 진료잘봐주시고 \n편안하게 응대해주셔서 너무 감사드려요~ 강추요', '좋아요': '0'}]","{'화': '08:30 ~ 18:40', '수': '08:30 ~ 18:40', '목': '08:30 ~ 16:00', '금': '08:30 ~ 18:40', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:40', '휴무일': '공휴일'}"
라르떼의원 수유점,,강북구 도봉로 320 JJ타워 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3465A71975B0407BA2EA72CC41801649,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 20:00', '수': '14:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '월': '10:00 ~ 20:00'}"
우신향정형외과의원,4.5,강북구 도봉로 328 가든타워 3층,,"[{'작성자': '황종현', '별점': '5.0', '날짜': '2025.02.24.', '내용': '친절하고 가격도 합리적이고.무엇보다 전문성이\n느껴집니다.감사합니다', '좋아요': '0'}, {'작성자': '뽀로로', '별점': '5.0', '날짜': '2024.12.13.', '내용': '물리치료여러곳 받아봤는데 제일 여기가 제일 전문적인 느낌? 여기 다니고 빨리나았어요 잘못하면 디스크까지갈뻔했는데 초기진압 성공 ㅎㅎ \n대신 많이비싸서... 더보기', '좋아요': '0'}, {'작성자': '용가리', '별점': '5.0', '날짜': '2024.11.07.', '내용': '친절하고 좋아요\n물리치료 받을때 다들 친절하시고 따수워서 잠이 솔솔 와요😌😌', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
