name,score,address,img_url,reviews,open_hour
대한병원,1.6,강북구 도봉로 301,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe179082db4f490d69a20d5acc4fa917736840e6a%3Foriginal,"[{'작성자': '호야', '별점': '1.0', '날짜': '2025.02.23.', '내용': 'ㅂㄹ ;; ㄲㅈ', '좋아요': '1'}, {'작성자': 'llillill', '별점': '1.0', '날짜': '2025.02.04.', '내용': '야간진료 힘든거 알지만 이런 병원 처음봤네 급하게 다쳐서 와서 대단한거 바라지도 않지만 어떻게 단 한명도 친절하게 대햐주는 사람이 없냐\n데스크부터 시작해서 죄다 말이 반토막이네 ○○○거', '좋아요': '2'}, {'작성자': 'Jisung', '별점': '1.0', '날짜': '2024.11.17.', '내용': '데스크, 의료진, 시설 싹 다 리모델링하고 바꿔야 할듯', '좋아요': '2'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
국립재활원,4.2,강북구 삼각산로 58,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMjA5MDVfNjcg%2FMDAxNjYyMzQ1Mzg5OTU3.4i9wIa-qU9Vn7QZPghzrgiKK3NKiCpOEczbJ7L2F8D4g.N82XnfxUVkOHGcCSRPu92rKta0wnl3vHqmDDnUKdqnQg.PNG.marpe2000%2Fimage.png%3Ftype%3Dw1,"[{'작성자': '젠젠', '별점': '5.0', '날짜': '2024.09.02.', '내용': '아주 좋아요 친절하고 자세하게 설명해주세요 시설아주 좋습니다 가보니까 알겠네요', '좋아요': '0'}, {'작성자': 'HaZY헤이지', '별점': '1.0', '날짜': '2023.11.27.', '내용': '진료 예약 날짜 변경하고 싶어서 연락했는데 몇십분 째 전화를 안받음.....', '좋아요': '0'}, {'작성자': '책방고양이', '별점': '5.0', '날짜': '2019.02.19.', '내용': '시설, 환경, 시스템, 관리, 식사 등등 전반적으로 고루 맘에 든다. 재활병원의 표준으로 삼아 전국에 이런 재활병원이 많아지면 좋겠다.', '좋아요': '2'}]","{'화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '휴무일', '일': '휴무일', '월': '08:30 ~ 17:30', '휴무일': '공휴일'}"
신일병원,3.1,강북구 덕릉로 73,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjhfMjkg%2FMDAxNzM1MzkxOTU3Njg0.HNvu2au_kLg6SiubaZQtLYvvSZC_LhkOKvyKYmKOGLEg.sCTO8bntcWHjt5sLb0WGAhGuDooZmjsLdeH6aoqAjmcg.PNG%2F009.png%3Ftype%3Dw466,"[{'작성자': '부스터', '별점': '1.0', '날짜': '2024.08.19.', '내용': '우왕 다 친절하십니다~ 다만 고질적인 문제가 있습니다.\n번호표를 꼭! 뽑고 대기해 달라하여 꼭! 뽑아 대기하고 있으니 앞에 대기표를 뽑지않은 노인 분들이 연달... 더보기', '좋아요': '0'}, {'작성자': '강', '별점': '4.0', '날짜': '2024.01.20.', '내용': '기대이상으로 친절하고 좋음. 다만 대장내시경해주는 의사분이 내가 첫환자였는지 걱정하지말라 잘해준다 해놓고 손을 사시나무 떨듯이 덜덜덜 떨어서 좀 무서웠음ㅋㅋ', '좋아요': '0'}, {'작성자': '하하', '별점': '1.0', '날짜': '2023.10.21.', '내용': '건강검진 간호조무사분들은 다친절합니다 그렇지만 엑스레이 검사해주시는분은 젊은사람인거알고 기본적으로 반말하시고\n자궁경부암 검사하시는 여의사분 탈의실 뻔히옆인거알면서... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
강북우리들병원,,강북구 한천로 1083,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBC004BC8E61D43DF8DF1DD983DBD50E1,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '공휴일'}"
수유바른정형외과의원,,강북구 한천로 1035 우성빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBFABC4A7524943FB830E7C72302D0AEF,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 13:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '휴무일': '추석당일, 설당일'}"
허니의원,4.6,강북구 도봉로 323 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FcVPufm%2FbtrCGQUfxXW%2FsTdNL7l0LxxDAJKKILSCX0%2Fimg.png,"[{'작성자': '삼돌군', '별점': '5.0', '날짜': '2025.03.12.', '내용': '의사분, 간호사분들 모두 친절하시고 의사선생님 진료 차분히 친절하게 설명 잘해주시고 아직 치료전 이지만 실력도 좋으신것 같습니다.', '좋아요': '0'}, {'작성자': '호야', '별점': '5.0', '날짜': '2025.02.26.', '내용': '최고 💕💕', '좋아요': '0'}, {'작성자': '박현우', '별점': '5.0', '날짜': '2025.02.08.', '내용': '친절함.', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 17:00', '월': '10:00 ~ 19:00'}"
연세이비인후과의원,,강북구 도봉로 317 덕산빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2223A94A5440BCC404,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '09:00 ~ 16:00', '월': '09:00 ~ 18:30'}"
우태하피부과의원 수유점,2.9,강북구 도봉로 329 4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F221C3550553D977804,"[{'작성자': '일공공', '별점': '1.0', '날짜': '2024.09.27.', '내용': '여기 아직도 장사해요? 이름걸고하는 병원.. 여기 선생님 돌팔이 같은데.. 인성문제도 있었나~^^? 기억은... 더보기', '좋아요': '0'}, {'작성자': '😶\u200d🌫️', '별점': '5.0', '날짜': '2024.09.20.', '내용': '원장님 좋아용', '좋아요': '0'}, {'작성자': '연양갱', '별점': '5.0', '날짜': '2024.08.02.', '내용': '선생님 입담이 너무 좋으셔서 웃음 참느라 죽을뻔 했어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 아직도 웃겨여 ㅜㅜㅋㅋㅋㅋㅋㅋ 세번째 방문인데 늘 쿨하고 빠르게 처치해주셔서 좋았습니다 ㅋㅋㅋㅋㅋㅋㅋ', '좋아요': '0'}]","{'화': '10:00 ~ 20:00', '수': '10:00 ~ 19:30', '목': '14:00 ~ 19:00', '금': '10:00 ~ 20:00', '월': '10:00 ~ 19:30'}"
연세더바른마취통증의학과의원,5.0,"강북구 삼양로 502 5, 6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE9C529FF2C0E40719E8E61FEC6765442,"[{'작성자': '서동원', '별점': '5.0', '날짜': '2025.03.29.', '내용': '손목이 아파서 갔는데 진료, 물리치료. 모두 만족하고 왔습니다!', '좋아요': '0'}, {'작성자': '럄', '별점': '5.0', '날짜': '2024.09.26.', '내용': '원래 후기 같은 거 잘 안 쓰는데, 응대 친절하시고 원장님도 진료 잘 봐 주시네요. 환자가 존중받는 느낌을 받았어요.', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.06.05.', '내용': '새로생겨서 와봤는데 원장님 진료 잘 하시네요\n허리아팠는데 2번째 방문인데 좋아요 번창하세오', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
삼성봄안과의원,5.0,강북구 도봉로 333 정우빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDJfMjYx%2FMDAxNzMzMTIwMjMzNDAx._2o2NCXZDKGkKjtMPJvDEayjzEWY0q0mN00JaZ6B2PIg.0O5skrBTmclWVjUdChJUIKARdHH4BGQuDSzE77A57Z8g.JPEG%2F%25EC%2582%25AC%25EC%25A7%2584_(2).jpg%3Ftype%3Dw966,"[{'작성자': '소영', '별점': '5.0', '날짜': '2024.12.03.', '내용': '검안해주시는분 친절하게 검사 잘해주셨어요~ 안과 선생님께서도 자세히 설명해주시고 3개월마다 검사받고 처방받으러 갈렵니다^^', '좋아요': '2'}, {'작성자': '박봉선', '별점': '5.0', '날짜': '2024.06.11.', '내용': '저는 프리증 안경을 쓰기때문에  안과를 많이 알아봤고  진료가 힘들었었는데 삼성봄안과  원장선생님께서 너무 꼼꼼하게 진료해주셔서 감사... 더보기', '좋아요': '1'}, {'작성자': '조', '별점': '5.0', '날짜': '2024.06.07.', '내용': '정재훈 선생님이 너무 친절하세요.', '좋아요': '1'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
