name,score,address,img_url,reviews,open_hour
서울봄연합의원,4.8,강북구 삼양로 579 화성빌딩 3-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F56EDAB58010545CCB02B2BB5BEA502B7,"[{'작성자': '용가리', '별점': '5.0', '날짜': '2024.11.07.', '내용': '유치원 애기 봐주듯이 꼼꼼히 봐주시고 최고 친절하셔서 넘 좋아요~~ 비염때문에 고생하는데ㅠ 여기만 갑니다', '좋아요': '0'}, {'작성자': '곰곰', '별점': '5.0', '날짜': '2024.11.02.', '내용': '다들 친절하세요///', '좋아요': '0'}, {'작성자': '이춘희', '별점': '5.0', '날짜': '2023.04.25.', '내용': '우이동에서  좋은 의료진 만나기 쉽지 않았는데 친절하시고 세심하시고 너무  좋습니다!', '좋아요': '0'}]","{'화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 19:30', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:00', '휴무일': '공휴일'}"
선내과의원,3.5,강북구 삼양로 469 2층,,"[{'작성자': '임쑤', '별점': '1.0', '날짜': '2022.11.10.', '내용': '독감인거 같애서 링겔 맞을수 있냐고 전화로 물어보고 방문했는데 링겔 없다고 ㅋㅋㅋㅋㅋ\n집도 먼데 짜증나네요. 조목조목 따지니까 아... 이러고 사과도 없네 ㅋㅋㅋㅋ 뭐 되... 더보기', '좋아요': '0'}, {'작성자': '추츄', '별점': '5.0', '날짜': '2022.07.25.', '내용': '의사선생님, 간호사분들 다 친절하세요!!\n영업시간 6시라고 되어 있는데 5시까지에요', '좋아요': '0'}, {'작성자': '김병권', '별점': '5.0', '날짜': '2021.12.14.', '내용': '양심 의원인듯\n선내과같은곳\n별로없... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 13:00', '일': '09:00 ~ 17:00', '월': '09:00 ~ 17:00'}"
맑은하늘통증의학과의원,2.9,"강북구 삼양로 497 씨엘빌딩 2,3층",,"[{'작성자': '잉어킹', '별점': '5.0', '날짜': '2024.12.10.', '내용': '어르신들이 많아 대기가 좀 있는 편이지만\n물리치료하시는 분들 다 친절하시고 진료도 잘 봐주심', '좋아요': '0'}, {'작성자': '공부하세요', '별점': '1.0', '날짜': '2022.04.20.', '내용': '최악의 병원\n처음 병원이 생겼을 때 손가락 관절이 아파서 내원했다\n증상을 말하자 어려보이는 의사가 의학서적울 뒤져가며 진료를 해서 내... 더보기', '좋아요': '0'}, {'작성자': '김민', '별점': '1.0', '날짜': '2021.12.03.', '내용': '시설이 노후하고 의사선생님은 환자에 무관심했어요. 어르신들이 싸게 물리치료 받기에 좋을 수도...\n손가락 관절이 아파서 진료받으러 3번... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00'}"
몸튼튼바른의원,,"강북구 삼양로 603 아르 301,401호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTJfMjUy%2FMDAxNzMzOTkxNTQwNTUz.Kb3VbxkbkDHxsy1mflaodB_tGlToHfyzwnLUzWJhz0Ug.o85MZPKaKdXd9o3MGGe0nsaq57cRDEicIADhcEMAXYYg.JPEG%2Fshutterstock_2088297541.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00'}"
고상운한의원,4.7,강북구 삼양로 515 1층,,"[{'작성자': 'ㅇ', '별점': '3.0', '날짜': '2025.03.07.', '내용': '간호사인지 뭔지 수납원이 너무 싸가지없어요. 원장님은 좋으심. 간호사때문에 마이너스', '좋아요': '0'}, {'작성자': '넴', '별점': '5.0', '날짜': '2023.06.16.', '내용': '금요일에 오라셨는데 ㅜㅜ 회사일때문에 늦게끝나서 못가는게 넘나 아쉬울정도.... 정말 자세히 진료 봐주시고 친절하시고 침, 부항, 추나 한번에 받았더니 오늘은 목 주변이 정말 괜찮아졌어요~ 꼭 가보세요!', '좋아요': '0'}, {'작성자': 'Adam639', '별점': '5.0', '날짜': '2022.11.21.', '내용': '원장님의 오랜 경험과 치료 방식으로 1년간 아팟던 엘보가 나았어요...\n감사합니다.', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '휴무일', '금': '09:30 ~ 18:30', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
하얀새이치과의원,5.0,강북구 삼양로 509,,"[{'작성자': 'andrew jang', '별점': '5.0', '날짜': '2022.01.04.', '내용': '저희 가족 모두 만족하는 치과입니다. 친절한 직원과 진료와 치료를 잘 하시는 원장님의 솜씨에 늘 감사하죠. 그리고 시간이 급하다고 그냥 가까운 곳에 가면 실망하게 됩니다. 이곳은 예약을 해야 합니... 더보기', '좋아요': '1'}]","{'화': '08:30 ~ 17:30', '수': '휴무일', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '10:00 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 17:30', '휴무일': '매주 수요일, 일요일'}"
이좋은치과의원,4.3,강북구 삼양로 469,,"[{'작성자': '나가', '별점': '3.0', '날짜': '2022.03.21.', '내용': '얘전같지 않음', '좋아요': '0'}, {'작성자': '유진', '별점': '5.0', '날짜': '2020.07.06.', '내용': '원장님이 친절하세요', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00'}"
연세의원,0.0,강북구 삼양로 581,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
천지한의원,5.0,강북구 삼양로 625 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F271335f797c9edc8b2de35a2e8533e11b0ff1d7c%3Foriginal,"[{'작성자': '냠', '별점': '5.0', '날짜': '2022.08.11.', '내용': '진료할때 무엇 때문에 아픈지 짚어주시고 어떻게 치료를 할지 알려주셔서 좋았어요. 물리치료나 침치료 등 그때그때 뭘 하는지 말해주시는 것도 좋았고, 특... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 14:00', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:30'}"
이안연세한의원,4.7,강북구 삼양로 613 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0AED726C259147FEB4F054532ECFBDFD,"[{'작성자': '전병덕', '별점': '4.0', '날짜': '2022.12.28.', '내용': '공진단 효과가 특히 좋네요.. 강추~', '좋아요': '0'}, {'작성자': '최영재', '별점': '5.0', '날짜': '2022.12.28.', '내용': '원장님이 자세하고 친절하게 설명해주셔서 건강 관리에 도움이 되네요', '좋아요': '0'}, {'작성자': '김경환', '별점': '5.0', '날짜': '2022.12.22.', '내용': '허리 통증과 발가락 티눈으로 소개받아 가게 되었는데 제대로 치료 받았네요 정형외과 피부과 다니면서 고생만 했는데 효과가 좋았고 이전엔 한의원에 대한 편견이 있었는데 병에 따라서는... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00'}"
