name,score,address,img_url,reviews,open_hour
우리들병원 서울 김포공항점,2.9,강서구 하늘길 70,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F018FC08F43FD4CECABF7077266BA8661,"[{'작성자': 'u 토리', '별점': '5.0', '날짜': '2025.01.07.', '내용': '간호사 선생님들이 너무 친절해서 편안하게 치료 잘 받고 퇴원했슴니다.\n원장님 아침저녁 회진 오시는데 꼼꼼히 상태 확인해 주시고 하루하루 나아지는 모습 보며 더 좋아해 주시네요~', '좋아요': '0'}, {'작성자': 'YongBaek Yoo', '별점': '5.0', '날짜': '2025.01.07.', '내용': '""지인 소개로 방문했는데 의사 선생님 설명이 정말 탁월했고, 원무팀도 매우 친절했습니다.', '좋아요': '1'}, {'작성자': '이재훈', '별점': '5.0', '날짜': '2025.01.03.', '내용': '주차good\n친절상담very good', '좋아요': '2'}]","{'일': '휴무일', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
연세메디의원 롯데백화점김포공항점,4.1,강서구 하늘길 38 GF층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MTdfMTMg%2FMDAxNzIxMjA5MzU4MzM4.GtNtMn0jLN7s4e5l5NyNxXJQnZErc9pPsm_e5bRAIE8g.DweKoOgukAc4XUYTE1Ats0KZ_tKWrnFNegyPY-V1qrMg.JPEG%2FSE-A7AF02AF-3D6C-444B-849D-EC19BEC27BAC.jpg%3Ftype%3Dw773,"[{'작성자': 'desafinado', '별점': '5.0', '날짜': '2024.08.16.', '내용': '오픈하고부터 늘 다닙니다~ 코로나 걸렸을때도 진료잘봐주시고 처방잘해주셔서 많이 아팠었는데 금방 회복되었어요~갈때마다 늘 친절하시고 환자를 위해주시는 마음이 느껴지는 곳이에요~ 요즘 손톱을 무언가에 찔려 자주... 더보기', '좋아요': '1'}, {'작성자': '-', '별점': '5.0', '날짜': '2024.06.06.', '내용': '세번째가는데 꼼꼼하게 진료봐주시고 다른병원에서 오진받고 치료못받은거 여기 원장님은 다른 병이라고 진단해주시네요 항상 모든 분들이 친절하시고 안심할수있게 해주... 더보기', '좋아요': '1'}, {'작성자': '집게사장', '별점': '5.0', '날짜': '2024.05.19.', '내용': '주말에 진료받을 수 있어서 좋아요', '좋아요': '0'}]","{'일': '10:00 ~ 17:30', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 17:30'}"
강서바른세상병원,3.0,강서구 금낭화로 9,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMjJfNSAg%2FMDAxNjc3MDQ3OTk4NjMy.4UVSUC7GA9TmwMNgL60rn7Tm72dC5kbEVzqLtdnE1sAg.DxhWPO2Dj8ifCXe4aU72B6NlNuxdLcGHbggB0bVsPdkg.PNG.gnbmeditech%2F1.png%3Ftype%3Dw966,"[{'작성자': '박기수', '별점': '5.0', '날짜': '2021.06.03.', '내용': '원장님부터..치료사분들까지. 모두다가친절하고..환자를대하는정성인병원\n그어느곳보다좋음', '좋아요': '3'}, {'작성자': '신진욱', '별점': '1.0', '날짜': '2021.01.15.', '내용': '글쎄요환자들강제퇴원전문', '좋아요': '2'}, {'작성자': '김 용', '별점': '1.0', '날짜': '2020.10.16.', '내용': '70대 하반신 노인에게 간병인이 욕하는  병원,.\n암 통증으로 인한 수면장애인 환자를 타환자들에게 피해가 간다며 치료할 생각보다 나갈것을  종용하는 병원\n\n   2년동안 아버지 간병하면서 이런병원은 또 처음이네요.\n환자가 코... 더보기', '좋아요': '1'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:30'}"
365강서수요양병원,1.0,강서구 양천로 35 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F79A96DE5898B4473809C25AEB3D15498,"[{'작성자': '123454321', '별점': '1.0', '날짜': '2023.01.30.', '내용': '돈내라면서 내역서 달라고 하면 한달 뒤에 줌 뭐했는지도 모르고 결제부터 하냐고요', '좋아요': '0'}, {'작성자': '건드리면 무는 개', '별점': '1.0', '날짜': '2021.11.18.', '내용': '할말이 많지만 하지않을게요^^', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '휴무일': '매주 토요일, 일요일'}"
홍진호피부과의원,4.1,강서구 방화동로 37 5층,,"[{'작성자': '회색꿈', '별점': '4.0', '날짜': '2025.03.13.', '내용': '원장님이 피부과 의사 자격증을 가지고 있는 피부미용사가 아닌 것은 확실합니다 꼼꼼하게 물으시고 환부 봐주시고 제때 진료 안받으러 왔다고 뭐라 뭐라 하시기도 합니다 진짜 스테로이드 싫어... 더보기', '좋아요': '0'}, {'작성자': 'coolbasher(@702호)', '별점': '5.0', '날짜': '2024.07.02.', '내용': '의사 선생님이 친절하세요', '좋아요': '1'}, {'작성자': '단추', '별점': '5.0', '날짜': '2024.05.21.', '내용': '요즘 피부과하면 시술만 가득한 병원만 나오고 질환으로 진료 받으면 약간 돈안되는 환자 취급하듯 대충 보는 곳이 많은데 여기 원장님은 그런 내색 하나 없이 잘 봐주십니다!... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 13:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 14:00', '휴무일': '공휴일'}"
88플러스내과의원 공항시장점,4.2,강서구 방화동로 40 국제빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA3MjJfMTMz%2FMDAxNjU4NDQ5MTY2NDQ5.S6hKu9_kRMYFe6YmXlfgDiRU1U4RdWh97BxVWQldI3sg.w-pSq6C-LmY_dEkJKOcGIpu9hTRnuEd5scYkLu4hPOcg.JPEG.resultado38%2Fc2.jpg%3Ftype%3Dw386,"[{'작성자': '의선', '별점': '5.0', '날짜': '2025.01.02.', '내용': '독감걸려서 주사맞으러 급하게 찾았는데 의사선생님도 친절하시고 간호사분들도 친절하셨어요. 특히 의사선생님께서 서류같은 것들을 꼼꼼히 챙겨주셔서 감사히 챙겨왔습니다.', '좋아요': '0'}, {'작성자': '너털이', '별점': '5.0', '날짜': '2024.12.24.', '내용': '건강검진차 초진 방문하였습니다.\n친절,신속,가격,시스템 저는 흠잡을데 없었습니다.\n재방문의사 당연히 많은 의원입니다.', '좋아요': '0'}, {'작성자': 'yy', '별점': '1.0', '날짜': '2024.08.10.', '내용': '불친절. 오전타임 의사 짜증이 많음', '좋아요': '0'}]","{'일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 14:00', '휴무일': '공휴일'}"
서울삼성정형외과의원,,강서구 금낭화로 91-2 2층 201~203호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
강비뇨기과의원,4.3,강서구 방화동로 10-2 수영빌딩 2층,,"[{'작성자': '이종선', '별점': '5.0', '날짜': '2024.07.17.', '내용': '아뇨및 다뇨증으로 대학 병원 4~5년 \n다녀도 전혀 못 고쳤는데\n여기서 80% 이상의 고침을 받았습니다.\n감사합니다.\n\n후기 추가  7월 17일\n3~4개월 약을 복용하는 중인데\n이제는 증세를 잊고 사는것\n같아요. 아주 좋아요', '좋아요': '1'}, {'작성자': '너털이', '별점': '5.0', '날짜': '2024.05.16.', '내용': '원장님.실장님 군더더기없이 깔끔하고 무엇보다 특히 피부과 진료에 과잉이 없어요', '좋아요': '0'}, {'작성자': '해나로', '별점': '5.0', '날짜': '2023.03.29.', '내용': '좋아요~^^', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 14:00'}"
연세하나내과소아과의원,2.5,강서구 방화동로 37,,"[{'작성자': ',', '별점': '2.0', '날짜': '2024.11.12.', '내용': '접수하시는분은 친절햇는데 여의사샘..굉장히 심드렁..주변에 내과 많으니까 여기 말고 그냥 딴 데 가시는걸 추천..', '좋아요': '0'}, {'작성자': 'Boaz', '별점': '1.0', '날짜': '2024.08.20.', '내용': '이렇게 불친철한 접수처는 처음이네요 뭔 본인이 의사인가봅니다', '좋아요': '0'}, {'작성자': '김홍균', '별점': '5.0', '날짜': '2023.06.02.', '내용': '여기 후기에 올라 온 불친절은 사실이 아닙니다.\n의사분들 매우 친절 하시고 성실히 진료해 주십니다.', '좋아요': '0'}]","{'월': '08:00 ~ 17:00', '화': '08:00 ~ 17:00', '수': '08:00 ~ 17:00', '목': '08:00 ~ 17:00', '금': '08:00 ~ 17:00', '토': '08:00 ~ 13:00'}"
삼성우리이비인후과의원,4.9,강서구 방화동로 92 에스메디컬 3~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEwMTFfMjkg%2FMDAxNjk3MDAxMTAwNTMx.Mv6hKG5mHELBDUyhOn8xrAN-QAVhdnko8JcwHhW1VfEg.byxAE2XO-tShtKfVI99KPXoRKSvn-TZ7I53yTGE0OdEg.JPEG.dlsdo525%2F20231011%25EF%25BC%25BF141106.jpg%3Ftype%3Dw773,"[{'작성자': '하영', '별점': '5.0', '날짜': '2025.02.28.', '내용': '문원장님께 진료봤는데 이렇게 이해하기 쉽고 잘 설명해주세요!!! 코로 숨을 쉴 수 있다니 ₍o̴̶̷᷄﹏o̴̶̷̥᷅₎ 감격', '좋아요': '0'}, {'작성자': '성당누나', '별점': '5.0', '날짜': '2024.12.26.', '내용': '외국갔다와서 지방내려가야 되는데 콧물이 너무 나서 급히 공항근처 검색해서 갔어요. 별점이 좋아서 갔는데 역시나 상세하게 전문적으로 차분히 설명 잘 해주시네요. 이런 의사선생님들이 많아져야 할텐데 말이죠.', '좋아요': '0'}, {'작성자': '수니', '별점': '5.0', '날짜': '2024.05.09.', '내용': '증상 너무 심해서 타병원 방문했다가 원인 못 찾았는데 여기서 바로 찾아주셨어요... 타병원은 진료도 급히 끝나고 약만 잔뜩 처방해주셨는데 여기서는 궁금한거 친절하게 다 답해주시고 무엇보다 너무 쉽게... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
