name,score,address,img_url,reviews,open_hour
이대서울병원,2.6,강서구 공항대로 260,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F85827ad299c428b3de5540e26bfe0cc7dd308ed2%3Foriginal,"[{'작성자': '바오', '별점': '1.0', '날짜': '2025.03.12.', '내용': '몆주간격으로 밤에 뱃속 통증이 심해 방문. 앞에 간호사가 검사받은거있냐해서 다른병원에서 피검사받은거있다 했더니 의사 주라고함.\n진료실 들어가니 ""이 의사가 이걸 주며 저보고 어떻게 하라... 더보기', '좋아요': '0'}, {'작성자': '나름 고급 입', '별점': '3.0', '날짜': '2025.03.11.', '내용': '쾌적하거 새거라 나름 괜춘', '좋아요': '0'}, {'작성자': '최', '별점': '5.0', '날짜': '2025.03.05.', '내용': '지하철에서 가까워서 접근성이 좋아요. 간호사분들도 친절하고 의사선생님들도 능력있어요. 시스템이 잘 갖춰져 있어요.', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 17:00', '화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 12:00', '휴무일': '공휴일'}"
에스앤유서울병원,4.0,강서구 공항대로 237 에이스타워 마곡 3-6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF76357CB2DE846CF95011B50982C46DC,"[{'작성자': '블랑', '별점': '5.0', '날짜': '2025.02.03.', '내용': '족부 전문 정형외과로 유명해서 집에서 먼 거리에도 불구하고 여기까지 왔습니다. 망치족지 수술이 흔치 않아서 여러 곳에서 상담 받았었는데 수술 비용도 합리적이었고 유태욱 원... 더보기', '좋아요': '1'}, {'작성자': '카카오', '별점': '5.0', '날짜': '2024.12.18.', '내용': '발목 인대와 골편제거수술 받았습니다. 명의로 유명하신 서상교 원장님께 수술 받으려고 멀리서 왔어요. 설명 정말 자세하고 친절히 해주시고, 수술도 잘 되었습니다. 입원해... 더보기', '좋아요': '1'}, {'작성자': '해인', '별점': '5.0', '날짜': '2023.01.24.', '내용': '발목 인대 파열로 유튜브랑 인터넷 검색으로 찾아보고 방문했고 유태욱 원장님 수술 없이 회복 가능하다고 해주셨어요 mri 영상 가져갔는데 판독비 4만원정도 나왔고 mri찍은 병원보다 더 자세하... 더보기', '좋아요': '3'}]","{'월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '휴무일': '공휴일'}"
웰튼병원,,"강서구 마곡중앙5로 22 지하1층,4,10~12층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6D0D340DC9FD46828C7F9A67962C3BD3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
바른메디내과의원,4.3,강서구 공항대로 236 쿠쿠마곡빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA5MDZfMjM0%2FMDAxNjYyNDUwMDgxMDgw.JPPM0DLyiVveeJzI7-oW5akGWoT4zWFA-Y40o69ND3sg.7_DhiKef7HOC4UWSMy_YqkEdEA5dD4FypjRa1mbQaAwg.PNG.bareunmediclinic%2F002.png%3Ftype%3Dw966,"[{'작성자': '/hYuN•••###', '별점': '5.0', '날짜': '2025.03.20.', '내용': '며칠전부터 속쓰리고 아파서 방문했어요 약처방 받았는데 많이 나아졌습니다', '좋아요': '0'}, {'작성자': '문선', '별점': '5.0', '날짜': '2025.03.20.', '내용': '직원분들도 다 너무 친절하시고 잘 챙겨주셨어요 !', '좋아요': '0'}, {'작성자': '유승우', '별점': '5.0', '날짜': '2025.03.06.', '내용': '식단을 바꿔도 혈당이 잘 조절되지 않아서 병원 다녀왔는데 검사 꼼꼼히 해주셨어요.\n집에서 펩티드요법을 꾸준히 하면서 관리하니 효과가 확실히 나타나네요. 감사합니다.\n네이버에 최미란 당뇨... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '08:00 ~ 19:00', '화': '08:00 ~ 19:00', '수': '08:00 ~ 19:00', '목': '08:00 ~ 19:00', '금': '08:00 ~ 19:00', '토': '08:00 ~ 14:00', '휴무일': '공휴일'}"
솔병원,,강서구 방화대로 352 1~4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7B1E9F6934034554A3493CF073421574,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
계피부과의원,,강서구 공항대로 271 이천프라자 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2C81B1C774E04C7A8875B69C29ACE8F7,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 15:00', '휴무일': '공휴일'}"
무척바른한방병원,5.0,강서구 공항대로 228 리더스타워 4~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F706A1EC5563F4CE4A2B030BD3C5A9D26,"[{'작성자': 'jojo', '별점': '5.0', '날짜': '2025.03.17.', '내용': '치료해주시는 원장님들도 간호사님들도,\n데스크에 상담해주시는 분들도 참 친절한 병원입니다\n교통사고로 입원하게되어 6주정도 입원하여 치료받았는데,\n편안하게 세심하게 치료해주신 박창현 의무원장님,김현아... 더보기', '좋아요': '0'}, {'작성자': '이채영', '별점': '5.0', '날짜': '2024.02.25.', '내용': '이름만큼 무척바릅니다. 아픈 곳을 바로 찾아내서 고쳐줍니다. 입원중인데 효과좋아서 바로 리뷰씁니다.', '좋아요': '1'}, {'작성자': '지원', '별점': '5.0', '날짜': '2023.12.01.', '내용': '교통사고로 와서 양방 한방 둘 다 너무 좋았어요\n\n합의가 끝난 지금은 도수치료로 계속 다닙니다!\n\n직원분들 의사쌤들 다들 너무 착하셔서 눈물 나요 ... 치료도 너무 좋습니다 ㅠㅠ 최고에요', '좋아요': '2'}]","{'일': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00'}"
보금한방병원,3.0,강서구 마곡중앙4로 22 파인스퀘어 B동 3-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FDFD4ACE5A7E3434F9D4CC3E8502C55C7,"[{'작성자': '결사항댓', '별점': '1.0', '날짜': '2024.06.24.', '내용': '위생.청결상태 심각하네요. 😤', '좋아요': '0'}, {'작성자': '기쁘미~~🌱', '별점': '5.0', '날짜': '2022.03.29.', '내용': '한달 8키로 빠졌고 뱃살부터 빠져요~\n지금 유지 잘하고있고\n코로시기에 딱이네요~\n어떤옷을 입어도 이쁘네요 ㅎ\n감사드리고 더 많은사람들이 알고 기쁨을 나누고싶네요~^^', '좋아요': '0'}, {'작성자': '박신호', '별점': '5.0', '날짜': '2020.11.18.', '내용': '체질개선 프로그램으로 2달만에 16.2kg체중감량 했습니다~\n몸이 가벼워졌어요\n원장님 감사합니다', '좋아요': '2'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00'}"
강서삼성안과의원,,강서구 강서로 391 문영비즈윅스 3층 301호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '금': '09:30 ~ 18:30'}"
데이뷰의원 강서발산점,4.9,강서구 강서로 399 마곡 하이마루 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA93538985E624B1A83188259782B14F5,"[{'작성자': '강순옥', '별점': '4.0', '날짜': '2025.03.22.', '내용': '직원 모두 친절하고 의사샘도 전문적인 시술을 잘 해 주십니다~', '좋아요': '0'}, {'작성자': '윤예송', '별점': '5.0', '날짜': '2025.03.21.', '내용': '너무 친절하시고 가격도 착하네여 다음에 또 올게요 ~!~!~!! 굳', '좋아요': '0'}, {'작성자': '나미리', '별점': '5.0', '날짜': '2025.03.19.', '내용': '데이뷰 강서 3번째 방문입니다.\n정문부터 기분이 좋아 추천합니다~\n회사가 이쪽이라 자주 이용해요', '좋아요': '0'}]","{'월': '10:30 ~ 20:30', '화': '10:30 ~ 20:30', '수': '10:30 ~ 20:30', '목': '10:30 ~ 20:30', '금': '10:30 ~ 20:30', '토': '10:30 ~ 16:30', '휴무일': '설당일'}"
