name,score,address,img_url,reviews,open_hour
더서밋재활요양병원,,"강서구 양천로 715 지하1~3층,1~8층",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
연세우리건강내과의원,,강서구 공항대로 625 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjVfMjcz%2FMDAxNzMyNTI0OTM0ODky.xhXzDO8f-fzi5cmDFU0YClfpmzawFUB-ZJf71-zDhU4g.LaSQXyG1v9y5RbTgoH-eWUwSnawU-xni4NqpGssWz2Mg.JPEG%2F003.jpg%3Ftype%3Dw580,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 13:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 13:00'}"
유망안과의원,3.2,강서구 공항대로 543 센터스퀘어 2층 207~211호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAxMTFfMTAx%2FMDAxNjczNDE1NzE2MDA5.MgSvzot7wqi-kcn0soQ5tO0Z9qhugF2ibRUT8CjgSL0g.DK0fzPv4OvYRPqlJspNwIzUlOZp1hxJ9r2nX72nvhCIg.JPEG.rnjswod1%2F0F46E695-75EF-47E1-8662-592CD0856F4E.jpeg%3Ftype%3Dw773,"[{'작성자': '깐나', '별점': '5.0', '날짜': '2024.08.03.', '내용': '전 여기 친절하다고 생각해요. 설명도 꼼꼼하게 잘 해주시고 주차도 되고요 ㅎㅎ', '좋아요': '0'}, {'작성자': '쵬주', '별점': '5.0', '날짜': '2024.03.22.', '내용': '늙은이들 많으면 젊은이들 많이가는 안과로 가세요.\n간호사분들, 의사쌤 다 친절하신데 왜 평이 안 좋은지 모르겠네요ㅎㅎ 실력이 있으시니 수술과 진료를 번갈아 보시느라 대기시간이 길어지... 더보기', '좋아요': '0'}, {'작성자': '정지문', '별점': '1.0', '날짜': '2024.02.28.', '내용': '최악이에요\n유선 상담으로는 시술 가능한 설비 있다고 했고\n카운터 접수할 때도 기기는 있지만 상담해보자더니\n별 검사 다 하고 진료 다 보고서 여기서는 설비 없어서 못 한다며... 한거 아무것도 없는데 진... 더보기', '좋아요': '1'}]","{'일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:30', '휴무일': '공휴일'}"
강서바른내과,,강서구 양천로 683 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F746BD6A4DEB541BBA697D48B30525BF5,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 14:00'}"
드림이비인후과의원,3.8,강서구 양천로 683 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MjJfMjE0%2FMDAxNzIxNjI5Mzg5NTMw.IBRZ5bvkgZy3Obwi1sxocmVUEr56H3iU7W3-yKdbfy4g.m7WOy-EVdWvwh34ANmN639_eJschg-3_fIbu1sao_48g.JPEG%2F2024-07-22_15%3B22%3B52__%25EB%2593%259C%25EB%25A6%25BC_-_%25EB%25B3%25B5%25EC%2582%25AC%25EB%25B3%25B8.JPEG%3Ftype%3Dw966,"[{'작성자': '웅냥냐', '별점': '5.0', '날짜': '2025.01.09.', '내용': '목감기 달고 사는데 전 아프면 여기밖에 안옵니다\n의사선생님 대박 친절하시고 약 처방하실때도 항생제 넣을지 안넣을지 항상 물어봐주셔요 🥹🥹', '좋아요': '0'}, {'작성자': '리스', '별점': '5.0', '날짜': '2024.11.25.', '내용': '회사근처라 자주가는데\n자세히 잘 설명해주시고\n친절합니다.', '좋아요': '0'}, {'작성자': 'Asso', '별점': '5.0', '날짜': '2024.06.15.', '내용': '여기는 응애 때부터 다니던 곳인데 선생님이 진료 시원시원하게 보셔서 좋음', '좋아요': '0'}]","{'월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '14:00 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:00'}"
서울에코내과의원,,강서구 공항대로 531 한울밸리움 3층 301~302호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjVfNjcg%2FMDAxNzMyNTA1ODE1ODE2.k4q8m9h2m40_Cd7LWsXRnqpnmCa_Yz4QEnvcC23K6icg.MAVVcu_3MivS4Zgcb3jmkoEtT1taBHMqClGm_PuYW2og.JPEG%2F1.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 13:00', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 13:00'}"
핑크힐병원,4.4,강서구 양천로 712,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyNDEyMDZfMjI4%2FMDAxNzMzNDYzNjU2NTc1.U49_2O-qc5FgtV6VgRsA4DT1JrALeXUOLKppT9k9b_cg.Zs3QDRna4TIQqb4ZURjdyFk6hF0GmzMkNYxUViRwOEAg.JPEG%2F18.jpg%3Ftype%3Dw1,"[{'작성자': '조은교', '별점': '5.0', '날짜': '2024.08.29.', '내용': '편한 분위기가 좋았습니다 !!', '좋아요': '0'}, {'작성자': 'liz', '별점': '5.0', '날짜': '2024.08.12.', '내용': '좋아요 ㄷ다들 친절하세요', '좋아요': '0'}, {'작성자': '연지', '별점': '5.0', '날짜': '2024.07.08.', '내용': '병원 깔끔하구 평화롭네요 ㅎㅎ 면회 왔다갑니다~~ 의사쌤도 매일 아침마다 회진하신다고 들었는데 마음이 놓이더라구요 ㅎㅎ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
연세현대내과의원,4.2,강서구 양천로 660 왈도강서캠퍼스 4층 401호,,"[{'작성자': '따뜻한 날', '별점': '1.0', '날짜': '2025.02.15.', '내용': '정말 최악의 경험\n\n카카오맵에 2시까지라고 되어 있어서 12시 반쯤 굳이 찾아갔는데 수액 맞는다니까 간호사들 짜증을 팍 냄\n\n알고보니 지네는 1월부터 1시까지로 바뀌었고... 더보기', '좋아요': '0'}, {'작성자': '먹은것들 기록', '별점': '5.0', '날짜': '2025.01.08.', '내용': '원장님이 진짜 친절하시고 꼼꼼하게 잘봐주세요', '좋아요': '0'}, {'작성자': '미스터리쇼퍼', '별점': '1.0', '날짜': '2024.12.30.', '내용': '주차 기계식이라 불편하고,\n언덕에 차단기 설치해두고 겨울철에는 차 주르륵 미끌어짐, 기계식 내가 넣고 내가빼야함\n병원은 깔끔하나 카운터 직원들 정신없는지 환자 이름을 맘대로 바꿔 부르는게 한두번이 아님\n또한 주차... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 13:00', '휴무일': '매주 일요일'}"
주이비인후과의원,4.3,강서구 양천로 690 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd24b292c5881f85f9843c077fe4eee07d7116f0e%3Foriginal,"[{'작성자': '동네사람', '별점': '5.0', '날짜': '2025.02.27.', '내용': '콧물 더 빼달라고 하면 꼼꼼히 빼줌. 원장 선생님이 아주 전문적이고 진료가 정확하세요.', '좋아요': '0'}, {'작성자': 'gu', '별점': '5.0', '날짜': '2024.12.27.', '내용': '선생님 친절하고 실력 있으세요. 다른 병원에서 잘 안 나아서 방문했는데 약처방 해주신 거 먹고 바로 증상 완화되는 게 느껴졌습니다.', '좋아요': '0'}, {'작성자': '강민', '별점': '5.0', '날짜': '2024.09.12.', '내용': '최고 👍\n다양한게 살펴주시고 설명도 잘 해주시고\n가본 이비인후과중  가장 최고였던거 같습니다.', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
강서바른한의원,5.0,강서구 양천로73길 33 유앤아이빌딩 4~6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fimg.freepik.com%2Ffree-vector%2Ftaxi-app-interface_23-2148498943.jpg%3Ft%3Dst%3D1708418194~exp%3D1708418794~hmac%3D4e4ae2581b1cb96c47722a3969b6bd0ab21672abc08ec37d8274d1b9e749f2da,"[{'작성자': '송파구주민', '별점': '5.0', '날짜': '2024.02.17.', '내용': '원장님이랑 간호사님들 친절하시고, 다른 곳 보다 진료를 세심하게 봐주시는 점이 좋아요.', '좋아요': '0'}]","{'일': '08:00 ~ 15:00', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 20:00', '토': '08:00 ~ 15:00'}"
