name,score,address,img_url,reviews,open_hour
우리들병원 서울 김포공항점,2.9,강서구 하늘길 70,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F018FC08F43FD4CECABF7077266BA8661,"[{'작성자': 'u 토리', '별점': '5.0', '날짜': '2025.01.07.', '내용': '간호사 선생님들이 너무 친절해서 편안하게 치료 잘 받고 퇴원했슴니다.\n원장님 아침저녁 회진 오시는데 꼼꼼히 상태 확인해 주시고 하루하루 나아지는 모습 보며 더 좋아해 주시네요~', '좋아요': '0'}, {'작성자': 'YongBaek Yoo', '별점': '5.0', '날짜': '2025.01.07.', '내용': '""지인 소개로 방문했는데 의사 선생님 설명이 정말 탁월했고, 원무팀도 매우 친절했습니다.', '좋아요': '1'}, {'작성자': '이재훈', '별점': '5.0', '날짜': '2025.01.03.', '내용': '주차good\n친절상담very good', '좋아요': '2'}]","{'일': '휴무일', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
아시아나항공 부속의원,5.0,강서구 오정로 443-83 교육훈련동 4층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
코코이비인후과의원,3.5,부천시 오정구 오정로 249 오정프라자 4층 405호,,"[{'작성자': '팩트만말합니다', '별점': '1.0', '날짜': '2024.12.09.', '내용': '의사선생님이 환자의 상태를 정확하게 파악하시고 처방을 내려주셔야하는데\n대충보시는감이 있고 약 처방도 정확하지않음', '좋아요': '0'}, {'작성자': '서영', '별점': '5.0', '날짜': '2023.12.05.', '내용': '이사 가고도 여기만 와요! 설명도 잘 해주시고 처치도 꼼꼼하게 잘 해주셔서 좋아요ㅎㅎ', '좋아요': '0'}, {'작성자': '하하', '별점': '1.0', '날짜': '2022.03.29.', '내용': '전화받는 중년 여성분 엄청 불친절합니다.. 말도 잘라먹고 본인 이야기만 하고..', '좋아요': '2'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '14:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
신선영내과의원,1.0,부천시 오정구 오정로 249 오정프라자 3층 306호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F260D1E43516D42F635,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00'}"
연세메디의원 롯데백화점김포공항점,4.1,강서구 하늘길 38 GF층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MTdfMTMg%2FMDAxNzIxMjA5MzU4MzM4.GtNtMn0jLN7s4e5l5NyNxXJQnZErc9pPsm_e5bRAIE8g.DweKoOgukAc4XUYTE1Ats0KZ_tKWrnFNegyPY-V1qrMg.JPEG%2FSE-A7AF02AF-3D6C-444B-849D-EC19BEC27BAC.jpg%3Ftype%3Dw773,"[{'작성자': 'desafinado', '별점': '5.0', '날짜': '2024.08.16.', '내용': '오픈하고부터 늘 다닙니다~ 코로나 걸렸을때도 진료잘봐주시고 처방잘해주셔서 많이 아팠었는데 금방 회복되었어요~갈때마다 늘 친절하시고 환자를 위해주시는 마음이 느껴지는 곳이에요~ 요즘 손톱을 무언가에 찔려 자주... 더보기', '좋아요': '1'}, {'작성자': '-', '별점': '5.0', '날짜': '2024.06.06.', '내용': '세번째가는데 꼼꼼하게 진료봐주시고 다른병원에서 오진받고 치료못받은거 여기 원장님은 다른 병이라고 진단해주시네요 항상 모든 분들이 친절하시고 안심할수있게 해주... 더보기', '좋아요': '1'}, {'작성자': '집게사장', '별점': '5.0', '날짜': '2024.05.19.', '내용': '주말에 진료받을 수 있어서 좋아요', '좋아요': '0'}]","{'일': '10:00 ~ 17:30', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 17:30'}"
오정정형외과의원,2.4,부천시 오정구 오정로 252 우암빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F514f910c57802b83ca9564cd8ad0731cf664dd07%3Foriginal,"[{'작성자': '파니니', '별점': '1.0', '날짜': '2025.02.27.', '내용': '별점 1점도 아까운 곳.. 후기 안보고 동네니깐 그냥 간건데 볼 걸 그랬나봄,, 후기가 안좋은건 이유가 있다.\n의사가 환자한테 과학적이고 의학적인 걸 증명하라는 곳. 그걸 증명해야하는게 의사 아닌... 더보기', '좋아요': '0'}, {'작성자': '뚜벅뚜벅', '별점': '3.0', '날짜': '2025.02.09.', '내용': '예전에 2년전에 입원했을때..  강호동 인지 김호동 인지\n코곤다고 옆방에서 달려와서 ○○○○던 새끼가 생각나\n트라우마로 남았던 병실..', '좋아요': '0'}, {'작성자': '상무헤븐', '별점': '1.0', '날짜': '2025.01.29.', '내용': '치료가 목적이라먼 절대 가지 마세요.. 의미 없는 수동적인 진료.. 오히려 더 악화만 시키는 곳입니다.. 당장 다른 곳으로 빨리 진료 받으러 가세요!', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00'}"
다나치과의원,5.0,부천시 오정구 오정로 252 우암빌딩 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 21:00', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
강비뇨기과의원,4.3,강서구 방화동로 10-2 수영빌딩 2층,,"[{'작성자': '이종선', '별점': '5.0', '날짜': '2024.07.17.', '내용': '아뇨및 다뇨증으로 대학 병원 4~5년 \n다녀도 전혀 못 고쳤는데\n여기서 80% 이상의 고침을 받았습니다.\n감사합니다.\n\n후기 추가  7월 17일\n3~4개월 약을 복용하는 중인데\n이제는 증세를 잊고 사는것\n같아요. 아주 좋아요', '좋아요': '1'}, {'작성자': '너털이', '별점': '5.0', '날짜': '2024.05.16.', '내용': '원장님.실장님 군더더기없이 깔끔하고 무엇보다 특히 피부과 진료에 과잉이 없어요', '좋아요': '0'}, {'작성자': '해나로', '별점': '5.0', '날짜': '2023.03.29.', '내용': '좋아요~^^', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 14:00'}"
김석현이비인후과의원,4.4,강서구 공항대로 15 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1d72f28ccf91b03dbdf2f29e082322e163764a1a%3Foriginal,"[{'작성자': '.', '별점': '1.0', '날짜': '2024.12.12.', '내용': '원래 후기 잘 안 적는데 카운터 안경쓴 여자 너무너무 불친절함 ㅋㅋㅋㅋ 어느정도냐면 \n기본 말투가 화난줄 알고 화났냐 물어보면 아뇨~ \n이러고 무시함 특히 어리면 어릴수록 가지 마세요 진료비도 곱배기로 받아쳐먹음', '좋아요': '0'}, {'작성자': '✌ 승리', '별점': '1.0', '날짜': '2024.04.07.', '내용': '1986년에 개원한 병원으로 나오는데, 갈때마다 불친절하고 나이 많은 사람들밖에 없음\n기다리는 사람 몇 있으면 코 뚫는 것도 생략 ㅋ\n약국도 지정해주는 곳만 가야함\n같이 간 친구는 여긴 절대 화장실 못가겠다고 절래절래ㅋ', '좋아요': '0'}, {'작성자': '감쟈', '별점': '5.0', '날짜': '2024.01.11.', '내용': '지인이 추천해줘서 작년 8월부터 갔는데 정말 친절하시구 약도 넘넘 잘 들어요🤍\n친언니에게도 부모님께도 추천해서 감기 걸릴 때마다 가고있어요!\n특히 오늘 어머니께서 요즘 감기가 잘 안 나... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 18:40', '화': '09:00 ~ 18:40', '수': '09:00 ~ 18:40', '목': '09:00 ~ 18:40', '금': '09:00 ~ 18:40', '토': '09:00 ~ 15:40'}"
늘편한내과의원,4.7,부천시 오정구 오정로 247 선프라자 201호,,"[{'작성자': '레또', '별점': '5.0', '날짜': '2023.10.24.', '내용': '환자의 눈높이에서 생각하며 세세하게 진료해주시는 친절한 원장님 계신 곳\n나중에 아프면 여기 다시 올 의향 100%', '좋아요': '0'}, {'작성자': '레빗', '별점': '5.0', '날짜': '2023.04.29.', '내용': '후기만 좋은거 아닌가라고 생각 하신분들 있으시겠지만, 정말로 의사 선생님이 친절하시고 환자분들이 불편한 부분 말할때에 꼼꼼히 들어주셔서 이 부분에서 정말로 좋고 간호사분들... 더보기', '좋아요': '0'}, {'작성자': '신수경', '별점': '5.0', '날짜': '2023.01.09.', '내용': '되게 친절하시구 꼼꼼히 오래 봐주셔서 좋아요 ♡', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
