name,score,address,img_url,reviews,open_hour
아시아나항공 부속의원,5.0,강서구 오정로 443-83 교육훈련동 4층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
우리들병원 서울 김포공항점,2.9,강서구 하늘길 70,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F018FC08F43FD4CECABF7077266BA8661,"[{'작성자': 'u 토리', '별점': '5.0', '날짜': '2025.01.07.', '내용': '간호사 선생님들이 너무 친절해서 편안하게 치료 잘 받고 퇴원했슴니다.\n원장님 아침저녁 회진 오시는데 꼼꼼히 상태 확인해 주시고 하루하루 나아지는 모습 보며 더 좋아해 주시네요~', '좋아요': '0'}, {'작성자': 'YongBaek Yoo', '별점': '5.0', '날짜': '2025.01.07.', '내용': '""지인 소개로 방문했는데 의사 선생님 설명이 정말 탁월했고, 원무팀도 매우 친절했습니다.', '좋아요': '1'}, {'작성자': '이재훈', '별점': '5.0', '날짜': '2025.01.03.', '내용': '주차good\n친절상담very good', '좋아요': '2'}]","{'일': '휴무일', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
대한항공부속의원,5.0,강서구 하늘길 260,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
오정본병원,3.0,부천시 오정구 소사로 801 오정본병원,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCC9A4A10853C44B5BF20F06A1A2B1144,"[{'작성자': '슈톨', '별점': '1.0', '날짜': '2023.12.06.', '내용': '잦은 신경통으로 물리치료를 받는데 몇번다니고 물리치료사가 멀쩡하니 오지말라함..사진 찍혔을때는\n나빠보였는데 사진잘못찍힌거니 괜찮다고함..모든과정을 물리치료사분이 설명하시는데..이게맞나싶고... 더보기', '좋아요': '0'}, {'작성자': '혜선', '별점': '1.0', '날짜': '2022.10.29.', '내용': '건강검진센터 여직원들이 넘 딱딱하고 말투가 불편함을 느껴져서, 다신 여기서 진료받기 싫어요, 다신 안가', '좋아요': '0'}, {'작성자': '행복한 하루~', '별점': '5.0', '날짜': '2021.02.11.', '내용': '발다쳤을때 다른 정형외과나 한의원들 서너군데씩 반년을 넘게 다녔는데 다 염좌라고 오진하고 계속 앓다가 우연히 여기서 최희준 원장님 만났는데 부주상골 골절이라고 처음듣는 진단을 해주시더니 두달만에 낫게 ... 더보기', '좋아요': '2'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '휴무일': '설전날, 설당일, 설다음날, 삼일절'}"
부천중앙병원,4.0,"부천시 오정구 소사로 797 지하1층, 1-4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb29de6262a6ed13f75feeaf68de7a2d2f45a959ea752636d1bc0e3e99686645a,"[{'작성자': '엠포', '별점': '1.0', '날짜': '2024.08.21.', '내용': '원무과 전화응대 미흡불친절', '좋아요': '0'}, {'작성자': 'SJ', '별점': '5.0', '날짜': '2023.03.09.', '내용': '고열과 몸살감기로 너무 힘들어서 진료보고 입원하게 되었는데 김용성원장님께서 진료봐주셨고, 원장님이 친절하게 설명해주셨고, 원무과나 주사, 수액 놔주시고 입원 전  미리... 더보기', '좋아요': '0'}, {'작성자': 'dd', '별점': '1.0', '날짜': '2022.11.30.', '내용': '사람 죽이는 병원임. 할머니 입원시켰다가 거의 죽기직전으로 만들어놔서 퇴원시켰는데 집에서 관리하니까 훨씬 좋아짐. 여기 진짜 심각함. 간단한 진료외에는 절대 추천안함. 조선족 간병인이 진짜 문제많음.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '00:00 ~ 24:00', '휴무일': '매주 일요일'}"
부천바른정형외과의원,,부천시 오정구 원종로 41 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE0A0066ED6F043F4A100CC5782509D82,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
부천본정형외과의원,,부천시 오정구 성지로 101 보영빌딩 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일, 2025년 10월 2일 휴무, 2025년 10월 4일 휴무'}"
원종365의원,2.3,부천시 오정구 소사로 802-1 성운빌딩 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA3MDZfMjU1%2FMDAxNjg4NTc0OTI1NjYz.GLUmcBjoD2i3Cg01dCPK91PlL20RzTO-ZFmsBmhCJusg.umtzbA_pnrX3gWqpBpgUEkj3CjVzD_EtCBRPOBEwshkg.JPEG.reve_sh%2Foutput_2084817990.jpg%3Ftype%3Dw773,"[{'작성자': '지니', '별점': '5.0', '날짜': '2024.06.27.', '내용': '저녁에 눈에 통증이 있어 병원을 찾았습니다.\n당시 인천 쪽에 있었는데\n119에 문의하니 응급실에는 안과가 없고\n인천, 파주, 일산, 김포에는 야간진료하는 안과가 없다는 사실을 알았습니다.\n그러던 중, 11... 더보기', '좋아요': '0'}, {'작성자': '단다', '별점': '1.0', '날짜': '2024.06.18.', '내용': '6월18일\n의사파업하는 날 우연하게 휴무인곳입니다~ㅎㅎ 자주갔었는데 다신 안 감', '좋아요': '0'}, {'작성자': '최도현', '별점': '1.0', '날짜': '2024.04.07.', '내용': '간호사 너무 불친절', '좋아요': '0'}]",{}
중앙정형외과의원,4.0,부천시 오정구 소사로 756 우진빌딩 2-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB45FAD608A2C49C69FEEF3F206493C9B,"[{'작성자': 'soul tiger', '별점': '5.0', '날짜': '2025.01.03.', '내용': '선생님들 너무 친절하시고 가족같이 대해주셔서 너무편하게 진료받고 수술했습니다~\n감사합니다~~', '좋아요': '0'}, {'작성자': '하민', '별점': '5.0', '날짜': '2024.05.02.', '내용': '어깨가 아파서 지인소개로 가게 된 병원 입니다.\n병원도 깨끗하고 원장님도 아픈곳을 잘 찾아 설명도 잘해주시고 직원분들과 간호사분들 친절합니다.\n환자 입장으로는 마음편하게 진료를 보고 왔습니다.\n중앙 정형외과 항상 응원드립니다^^', '좋아요': '1'}, {'작성자': '레모나', '별점': '5.0', '날짜': '2024.04.22.', '내용': '부천 원종역 사거리에 있는 동네병원으로 신뢰성있는 의사와 적정한 의료비용으로 주변분들이 많이 찾는곳.', '좋아요': '1'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:30', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
코코이비인후과의원,3.5,부천시 오정구 오정로 249 오정프라자 4층 405호,,"[{'작성자': '팩트만말합니다', '별점': '1.0', '날짜': '2024.12.09.', '내용': '의사선생님이 환자의 상태를 정확하게 파악하시고 처방을 내려주셔야하는데\n대충보시는감이 있고 약 처방도 정확하지않음', '좋아요': '0'}, {'작성자': '서영', '별점': '5.0', '날짜': '2023.12.05.', '내용': '이사 가고도 여기만 와요! 설명도 잘 해주시고 처치도 꼼꼼하게 잘 해주셔서 좋아요ㅎㅎ', '좋아요': '0'}, {'작성자': '하하', '별점': '1.0', '날짜': '2022.03.29.', '내용': '전화받는 중년 여성분 엄청 불친절합니다.. 말도 잘라먹고 본인 이야기만 하고..', '좋아요': '2'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '14:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
부천우리병원,,부천시 오정구 소사로 726,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F46581E1358C94B7996A0CFE6B196D6DC,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 13:00', '휴무일': '매주 일요일'}"
으뜸한의원,,부천시 오정구 원종로 21 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F175A5C1B4B0748E55E,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '10:00 ~ 16:00', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '휴무일', '금': '10:00 ~ 19:00', '토': '10:00 ~ 16:00', '휴무일': '매주 목요일'}"
서피부과연세비뇨기과의원,1.9,부천시 오정구 소사로 758 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MTVfMjk4%2FMDAxNzI2MzI3Nzk4MDQ1.wvTLX0_ZOhYI_z7PkGrjuFhFs-akZAO1z7wA9j6vo6wg.yXAmPmeDNCTb7b0WY7DZLOFjfRSiX_F2qVPlIwAoNDAg.JPEG%2FIMG_2244.jpg%3Ftype%3Dw466,"[{'작성자': '김배달', '별점': '1.0', '날짜': '2024.11.08.', '내용': '2번 들어가서 받았는데 의사가 너무 불친절하고 귀찮다는듯이 자기혼자 할말 다하고 그냥 약 대충 주고 떠밀듯이 보내네요 집주변 피부과 그냥 갔는데 그냥 다른곳 가세요 절대 여기 가지 마시길 환자 돈때먹는곳', '좋아요': '0'}, {'작성자': '비비드', '별점': '1.0', '날짜': '2024.07.05.', '내용': '진짜 2번방 의사 최악\n살다살다 그렇게 재수없는 의사 처음 봄\n쓸대없이 설명이 장황하고, 필요하지도 않은 것만 계속 얘기함. 그리고 기본적으로 환자 무시하는 태도가 장착되어 있음. 처방전 받을 때 데스크에 얘... 더보기', '좋아요': '2'}, {'작성자': 'Ayyy', '별점': '1.0', '날짜': '2024.06.03.', '내용': '한시간 반 넘게 기다려서 원장님 만나니 이 병원은 4월부터 10월까지 점 안빼준다고 함. 그럼 이걸 리셉션에서 미리 말해줄수 있는거 아닌가?', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '매주 일요일'}"
신선영내과의원,1.0,부천시 오정구 오정로 249 오정프라자 3층 306호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F260D1E43516D42F635,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00'}"
튼튼신경외과의원,5.0,부천시 오정구 오정로 226 2~6층,,"[{'작성자': 'Herald', '별점': '5.0', '날짜': '2023.11.22.', '내용': '최근 독감예방 접종하려고 처음 방문함 \n직원 및 의사쌤  친절 👍 전문성 👍 가격 👍\n접근성 👍  재방문의사 있음.', '좋아요': '0'}, {'작성자': '신동희', '별점': '5.0', '날짜': '2023.08.01.', '내용': '선생님명쾌하시고.대부분의직원분들친절하고,물리치료사님들열정가지고하십니다.운동방법도잘가르쳐주시고,제가가본곳중최고네요', '좋아요': '0'}, {'작성자': '단호박50', '별점': '5.0', '날짜': '2022.05.21.', '내용': '의사선생님께서   친절하게  설명과  진료해주시는\n덕분에  울  가족들이  건강회복에  많은 도움이\n 됩니다.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
서울제일요양병원,3.0,양천구 가로공원로 81,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAxMjJfMjA1%2FMDAxNjc0Mzk2NzUxNTU4.Nq1TTxviwO48hox-gETWs8yJ5BiyADlxpCTk00qnA0og.jZLSuLgFIjgFz73F0EcxcZOqDWw_5_L7VRphzl7b5vMg.JPEG.procos1004%2FJEY4356_1-600x399.jpg%3Ftype%3Dw773,"[{'작성자': '발발이', '별점': '5.0', '날짜': '2025.01.23.', '내용': '치료실, 간호사실 선생님 대부분이 친절하십니다.\n근데 꼭 층마다 빌런 한명씩 있어요.\n2층에 계신 간호사 한분.. \n매번 통화할때마다 한번도 빠짐없이 기분 잡쳐요.....\n단 몇마디로 사람... 더보기', '좋아요': '2'}, {'작성자': 'hk', '별점': '1.0', '날짜': '2025.01.17.', '내용': '정신이상한 환자가 환자 때리고 간병사 때리고 간호사 때려도 가만히 내비두는 병원 조만간  정신 이상한 환자가 칼을 휘두르거나 불을 지를거 같아서 무서워서 급하게 어머니 퇴원 시켰습니다 별 1개도 아까운 최악의 병원', '좋아요': '1'}, {'작성자': 'jd', '별점': '1.0', '날짜': '2023.12.09.', '내용': '느끼고경험한점 원무 의료 간병 각각 따로따로 특히 간병인의 역할? 의문투성  들어갈때와 나올때 ㅠ 욕창이아니라 이건 도데체 너무 보기가 힘듭니다  슬픔이아니고 화가치밉니다ㅠ 욕창이아니라 그냥 구멍입니다 그리고 ㅠㅠㅠ', '좋아요': '1'}]",{}
김승주소아청소년과의원,3.7,부천시 오정구 소사로 791,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMDlfMTA2%2FMDAxNzA5OTY5NTA2NjQ5.7aC8XzZiU-YilxSnR72YfzvpRJRIT9F2gNFWPeyO53Qg.-S94R-e6MzV7zKFIh8bTPNUYNTJWFv_u3c31zWnyrfwg.JPEG%2FIMG_6124.jpg%3Ftype%3Dw466,"[{'작성자': '최수진', '별점': '1.0', '날짜': '2024.10.13.', '내용': '최악의 병원\n인테리어 공사중인건 알겠으나 대기하는 내내 페인트 냄새 진동하는데 공청기 하나 없었고,\n갓 돌지난 아기 잇몸 진료 보는데 진료 보기전 위치 설명 해드렸으나 제대로 듣지도 않고 거칠게 눌러 출혈 발생... 더보기', '좋아요': '0'}, {'작성자': '그날 그속에서', '별점': '1.0', '날짜': '2024.06.19.', '내용': '병원에선 온갖 안좋은 이미지를 다 가져가지만,  간호사 선생님이 먹여 살리는 곳....', '좋아요': '0'}, {'작성자': '최도현', '별점': '5.0', '날짜': '2024.04.07.', '내용': '명의에요', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
오정정형외과의원,2.4,부천시 오정구 오정로 252 우암빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F514f910c57802b83ca9564cd8ad0731cf664dd07%3Foriginal,"[{'작성자': '파니니', '별점': '1.0', '날짜': '2025.02.27.', '내용': '별점 1점도 아까운 곳.. 후기 안보고 동네니깐 그냥 간건데 볼 걸 그랬나봄,, 후기가 안좋은건 이유가 있다.\n의사가 환자한테 과학적이고 의학적인 걸 증명하라는 곳. 그걸 증명해야하는게 의사 아닌... 더보기', '좋아요': '0'}, {'작성자': '뚜벅뚜벅', '별점': '3.0', '날짜': '2025.02.09.', '내용': '예전에 2년전에 입원했을때..  강호동 인지 김호동 인지\n코곤다고 옆방에서 달려와서 ○○○○던 새끼가 생각나\n트라우마로 남았던 병실..', '좋아요': '0'}, {'작성자': '상무헤븐', '별점': '1.0', '날짜': '2025.01.29.', '내용': '치료가 목적이라먼 절대 가지 마세요.. 의미 없는 수동적인 진료.. 오히려 더 악화만 시키는 곳입니다.. 당장 다른 곳으로 빨리 진료 받으러 가세요!', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00'}"
바른탑치과의원,5.0,부천시 오정구 원종로 37 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTFfMjM1%2FMDAxNzMzODk1MTY5MDU4.D9VMXfNNN5eescfAQOLdb1rYLYZqqqjt1artpBfAyfwg.rp2FW0oA29KnLzCnHihc3sKzyjefrf0v_OF5OPECXsAg.JPEG%2F%25EC%2582%25AC%25EC%25A7%2584_2024._12._11._%25EC%2598%25A4%25ED%259B%2584_2_31_28.jpg%3Ftype%3Dw966,"[{'작성자': '하쿠마마타타', '별점': '5.0', '날짜': '2024.06.08.', '내용': '중학생 딸이 턱이 빠져서 갔는데 정말 친절해요.\n집에서 조금 거리가 있지만 이제 치과 이곳으로 바꿔야할듯요.', '좋아요': '0'}, {'작성자': '진져', '별점': '5.0', '날짜': '2024.02.07.', '내용': '직원 및 원장님 모든 분들이 물어보는 질문에 성심성의껏 답해주사고 친절하셨습니다 .', '좋아요': '0'}, {'작성자': '레빗', '별점': '5.0', '날짜': '2023.11.09.', '내용': '집근처에 있는 치과를 다니다가 너무 기대 이하라서 다른 치과를 찾던중 잘한다는 말들이 있어서 바른탑 치과 의원에 들려서 스케일링을 하였는데 스케일링 하기 전에 마취 물약을 가글을 하여서 ... 더보기', '좋아요': '1'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 20:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
코엔이비인후과의원 부천점,3.2,부천시 오정구 소사로 754 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F064112dc8f1b3b111b60ac07c10a9019f657f51b%3Foriginal,"[{'작성자': '파미르', '별점': '4.0', '날짜': '2025.02.06.', '내용': ""어머니 이석증때문에 찾은 곳\n이후로 매년 정기적으로 방문\n늘 환자가 붐벼 기본 대기시간이\n1시간 가까이 걸리는게 단점임.\n알고 보니 웹툰 '중증외상센터'의\n이ㄴㅈ작가가 부원장으로 거쳐간 곳"", '좋아요': '0'}, {'작성자': '강군 ㅎㅎ', '별점': '1.0', '날짜': '2022.03.06.', '내용': '휴진인데 왜 영업중이라한거여? 헛걸음 했어요', '좋아요': '1'}, {'작성자': 'H', '별점': '1.0', '날짜': '2022.02.25.', '내용': '검사하라는 공식문자 없거나 시험보러가는거, 대회출전아니면 신속항원 4-5만원이라네요. 증상있다고 해도 안됨. 다른병원은 5천원인데..', '좋아요': '3'}]","{'일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 14:00', '휴무일': '매주 일요일'}"
