name,score,address,img_url,reviews,open_hour
원탑병원,,강서구 등촌로 15 3-6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMTc0%2FMDAxNzM1MTkyNDQ1NzMy.IQowO2KbKafA8Op0SFhfaenDzGnN91VJMlSkjruIDCMg.-b52kp7_tLKqesO6qNey5bITu-k_7AHw7EnwYJabHLIg.PNG%2F%25EB%25B0%2598%25EB%25B0%2598.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
강서케이병원,4.7,"강서구 가로공원로 187 지하1,2층,1~6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF4EB8F8CD49B4340BF088BC0F66EB506,"[{'작성자': '얼죽아', '별점': '4.0', '날짜': '2025.03.17.', '내용': '전반적으로 친절함. 대기시간이 다소 있음.', '좋아요': '0'}, {'작성자': '숙연양', '별점': '5.0', '날짜': '2025.03.14.', '내용': '홍성우원장님과 친절하신 간호원분들이 계셔서 기분좋게 진료받고 갑니다. 다음 예약때 또 뵐께요~^^', '좋아요': '0'}, {'작성자': 'kkkkkkk', '별점': '5.0', '날짜': '2025.03.13.', '내용': '전화 안받으시나요??', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
서울원병원,4.0,강서구 강서로 179 서울원병원,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6DE9A6DD297C434ABBE9692E6A631C5E,"[{'작성자': 'ㅎㅅㅎ', '별점': '5.0', '날짜': '2025.03.18.', '내용': '저는 만성이라 물리치료를 달고 사는데 병원도 깨끗하고 예지쌤이 진짜 친절하시고 제가 만나본 샘중에 제일 실력이 좋으십니다!! 뼈를 묻겠습니다🫡', '좋아요': '0'}, {'작성자': '해인', '별점': '5.0', '날짜': '2025.03.12.', '내용': '목수정 원장님 꼼꼼하게 물어봐주시고 친절하게 진료해주셔서 감사해요\n허리 아픈게 많이 좋아지고 있어요~~', '좋아요': '0'}, {'작성자': 'ㄴㅈㄴ', '별점': '1.0', '날짜': '2025.03.11.', '내용': 'ㄹㅇ 평점 조작 오지네', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 성탄절'}"
서울큰나무병원,4.4,강서구 강서로 206 2~6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5922021C496A45DDA7ECFE3934812EA9,"[{'작성자': '용갈성', '별점': '5.0', '날짜': '2024.11.11.', '내용': '큰기대없이 처음가본곳인데 제가 받은 간호,의사분들 다 친절하시고 환자 이야기 잘 들어주시고 아픈원인 설명, 치료방법 등등 까지 궁금한거 일일이 다 설명해주셔서 ... 더보기', '좋아요': '1'}, {'작성자': '환이', '별점': '1.0', '날짜': '2024.05.23.', '내용': '오늘진료본 환자입니다만 몇번을갔었는데도 친절 보통반반이였는데 엑스레이선생 웃기는게 올백쳐하신분 말씀하시는게 아프니까 당연히 포즈가안되는데 유연성 부족하시네요?? ㅋㅋ ... 더보기', '좋아요': '1'}, {'작성자': 'Audaicity', '별점': '5.0', '날짜': '2023.01.05.', '내용': '노바백스 접종으로 방문했는데\n이 근방에서는 접하기 힘든 친절함이었습니다\n문진부터 코디로 보이는 선생님이 같이 밀착해서 진행되었고 혹시 모를 사고를 예방하기 위한 확... 더보기', '좋아요': '1'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:30'}"
연세힐치과의원,,"강서구 강서로 231 우장산역해링턴타워 1,2층 102~105,201,212",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F979553FF9BB14543BB2ED2E6C1E10658,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '09:00 ~ 14:00', '월': '10:00 ~ 19:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 21:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
서울제일신경외과의원,,강서구 강서로 178 2-7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9C5CC00ABF4D44A8B9584ACF076CBCD3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '08:30 ~ 12:30', '휴무일': '공휴일'}"
강서바른재활의학과의원,4.1,"강서구 화곡로 154 청산빌딩 4,6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F93702F1A8126443F80BC0C2EA6D409CF,"[{'작성자': '다롱', '별점': '5.0', '날짜': '2024.06.14.', '내용': '승모근이랑 허리가 아파서 갔는데 원장님 너무 친절하시고 설명도 잘 해주셔서 믿음이 갔어요~!~!! 주사 치료 받았고 훨씬 나아진 거 같아요😆😆 병원도 크고 깨끗하고 직원분들도 친절하네요 ^^ 또 갈게요~', '좋아요': '0'}, {'작성자': 'mm', '별점': '5.0', '날짜': '2024.06.07.', '내용': '조원장님께 이수역에서 10년간 허리 치료받다가 이곳으로 옮기셨다하여 여기까지 따라왔습니다.\n뼈주사 안쓰고 양심적으로 치료하시는 조원장님 덕분에 지금까지 수술 안하고 지내올 수 있었네요.\n\n집에서 ... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
리뉴미피부과의원 화곡점,,강서구 화곡로 157 로이빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA1DEF907241C4B86B881CC3262859B16,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 16:00', '휴무일': '공휴일'}"
연세든든내과의원,3.0,"강서구 화곡로 152 2,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyNDEwMDJfMTI0%2FMDAxNzI3ODU1NDI2NDg0.VkZ5M-C5XWjeh53aaqrhUk_mfa31wXW3ioqYeMfyIA4g.qiWj6iM9xVHK1YPEebaZCnYYChpS1cE_i3Vo24MnzpAg.PNG%2F1.png%3Ftype%3Dw1,"[{'작성자': '☆우호적 무관심☆', '별점': '2.0', '날짜': '2025.02.28.', '내용': '가까운 곳에 내과가 없어 가긴하나 갈때마다 싫음..의사선생님은 친절한데 간호사들이 영~~불친절함..', '좋아요': '1'}, {'작성자': '승냥이', '별점': '5.0', '날짜': '2025.01.13.', '내용': '큰기대 안하고 가까워서 간 병원인데 만족합니다. 대기가 열명이 넘어 집에 갈래다가 그냥 기다렸는데 진료실이 5개라 금방 진료볼수있고 5진료실이었는데 의사쌤이 설명도 잘해주시고 조곤조곤 설명 ... 더보기', '좋아요': '0'}, {'작성자': '안은양', '별점': '1.0', '날짜': '2024.12.28.', '내용': '좋은 점이  하나도 없네요.진짜 사람이  많은건 이해가 가는데  아픈 환자들 대하는 태도가 영.... 접수하는 사람이 정말  환자가 많아서  짜증이 나는건 알겠지만  아파서  갔는데  말하는 투가  엄청  짜증났습니다.', '좋아요': '2'}]","{'월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 14:00'}"
더와이즈치과병원,,강서구 화곡로 186 세웅빌딩 1-5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F7E2E8742660C4FCDA3FE0448ECAAF6BC,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 21:00', '수': '09:30 ~ 21:00', '목': '09:30 ~ 21:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 16:00', '휴무일': '공휴일'}"
