name,score,address,img_url,reviews,open_hour
연세위드내과의원,3.5,관악구 남부순환로 2064 5층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDNfMTM5%2FMDAxNzMzMjI4MzEzNjM4.2yzAKRInHAaPFFvwVMDi1VlTwEfYCiZF-x_z5-9m-MAg.K7KbOmOhf72ET5z6hptdpbJ0IURGlpuTmQv4wtr8FeMg.PNG%2FSE-c702953a-4010-4bb5-a939-ab107f7db4a4.png%3Ftype%3Dw966,"[{'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2025.03.11.', '내용': '깔끔하고 전문적이고 좋습니다', '좋아요': '0'}, {'작성자': 'CTH', '별점': '1.0', '날짜': '2025.02.13.', '내용': '아예가지마세요 카운터 간호사들부터 전부 불친절합니다 아예 절대로 가지마요', '좋아요': '0'}, {'작성자': '팅팅', '별점': '1.0', '날짜': '2024.12.28.', '내용': '전 다시는 가진 않겠지만, 일단 3진료실 걸리면 바꿔달라고 하세요.\n가서 체온 측정 먼저 했더니 열이 높게 나왔습니다. 오기 직전까지 온수매트에 누워있다 와서 열 높은거라 했는데도 간호사들은 내 말 듣지도 않고 코... 더보기', '좋아요': '0'}]","{'화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 20:00', '휴무일': '공휴일'}"
빛의안과의원,4.3,관악구 남부순환로 2056 태림빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F294A1F00C95E400186724662538038DB,"[{'작성자': '쏠찍헌후기만남김', '별점': '1.0', '날짜': '2024.09.21.', '내용': '전문성도 떨어지는거같고 화장실도 구리고\n돈만 버린거같아요 다신 안갈래요', '좋아요': '0'}, {'작성자': '김쫑찡', '별점': '3.0', '날짜': '2024.09.03.', '내용': '친절해요! 근데 실비청구 서류는 모르더라구요 진료비상세내역서랑 진료비영수증 달라고 하면 돈 내란 식으로 얼버무리고 처방전 하나 더 주더라구요 ㅠ조금 실망했지만 의사쌤 진료는 잘 해주세요', '좋아요': '0'}, {'작성자': '화요', '별점': '5.0', '날짜': '2024.09.02.', '내용': '의사 선생님께서 정말 친절하십니다\n그냥 친절하신게 아니라 나타난 증상에 문제가 없다하더라도 왜 그런증상이 나타날수있... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:30 ~ 18:30'}"
더웰샘한방병원,5.0,관악구 남현길 7 한얼메디프라자 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_246406006,"[{'작성자': '반포웰빙요가원장 이영숙', '별점': '5.0', '날짜': '2025.01.13.', '내용': '지인의 소개로 작년 말부터\n다니기 시작했습니다ㆍ\n오래된 건물이라 살... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '석가탄신일, 추석전날, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
사당똑바른정형외과의원,3.8,"관악구 남부순환로 2064 3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F643C16FD5B704FD78D56E994A41A0FB0,"[{'작성자': '택주니', '별점': '5.0', '날짜': '2025.03.13.', '내용': '원장님이 친절하고 전문성이 느껴져요\n물리치료간호사분도 친절하시고 데스크도 친절해요\n3일에 한번씩 다니고 있는데 너무 오래 기다리지도 않고 지금까지는 만족합니다', '좋아요': '0'}, {'작성자': '신전떡뽀끼', '별점': '5.0', '날짜': '2025.03.04.', '내용': '무릎이 아파서 걷기가 너무 어려웠는데 주사 맞고 이제 걸을만 해졌습니다ㅜ 주사 잘 놓는 곳 찾기 힘든데 정말 세심하게 놔주셔서 감사합니다!! 무릎 아플땐 꼭 사당똑바른으로 방문할께요.', '좋아요': '0'}, {'작성자': '오키도키나이키', '별점': '5.0', '날짜': '2025.02.10.', '내용': '다. 원장님께서 꼼꼼히 설명해주시니 믿음직스러워요 궁금했던 부분까지 세세하게 알려주셔서 궁금증이 말끔히 해소됐네요 직원분들도 친절하고 좋았습니다 병원이 깨끗하고 전체적으로 만족스러워서 꾸준히 올것 같습니다.^^', '좋아요': '0'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '삼일절'}"
코끼리비뇨의학과의원,5.0,관악구 남부순환로 2064 네스코N타워 8층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2284D3CA4F8749F78AF571A049D675A9,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.10.25.', '내용': '선생님들 정말 친절하시고 좋습니다\n설명도 잘 해주시고 자칫하면 부끄럽고 불편할 수 있는 주제들도 편하게 잘 얘기 해주셔서 감사드립니다', '좋아요': '0'}, {'작성자': '삼다소주', '별점': '5.0', '날짜': '2024.09.04.', '내용': '친절하게 잘 봐주심, 특히 남자간호사 분들만 있어서 편-안', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 15:30', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '매주 일요일'}"
사당연세365의원,2.2,"관악구 과천대로 939 르메이에르강남타운2 3층 301,302,303-1,303-2,310호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MThfMjg1%2FMDAxNzIzOTczNDc4Nzgw.pKgUf26dc4B-qGk7yWmA5F2bPqWS6G8Slj8zO6B1E0kg.ftRrktWtdKVKbStbm-MRW2otkfkTzVWO4secaiocQP8g.JPEG%2Foutput_3503508623.jpg%3Ftype%3Dw386,"[{'작성자': '마라떡볶이', '별점': '1.0', '날짜': '2025.03.18.', '내용': '물어보면 모르시는건 말 돌리거나 당연하다는 답변을 하심.\n설명과 처방된 약 내용이 연결이 잘 안됨.', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2025.03.12.', '내용': '불친절합니다\n특히 원장님 너무해요', '좋아요': '0'}, {'작성자': 'ㅅㄱ😈', '별점': '1.0', '날짜': '2025.02.10.', '내용': '상한 음식 먹고 급하게 방문하였으나 제대로 된 처방없이 약만 받았습니다. 링겔 주사도 제대로 못놓아서 주사자국에 멍에... 다시는 방문하고 싶지 않습니다.', '좋아요': '0'}]","{'화': '08:00 ~ 18:30', '수': '08:00 ~ 13:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 18:30', '토': '08:00 ~ 16:00', '일': '08:00 ~ 16:00', '월': '08:00 ~ 20:00'}"
365탑치과의원,4.5,관악구 남부순환로 2082-25 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB62CC5F0BAFB44D0B6AA8C81299555AF,"[{'작성자': '전종범', '별점': '5.0', '날짜': '2025.02.02.', '내용': '치과쌤 친절하시고 무엇보다 일요일 진료도 있엇니 토요일에 일하는 사람한테는 최고에요', '좋아요': '0'}, {'작성자': '조중동폐간', '별점': '4.0', '날짜': '2024.05.16.', '내용': '병원 규모있고 장비가 최신형이네요. 오픈이벤트로 스케일링 5천원임.치아 지르코니아  총64만.', '좋아요': '0'}]","{'화': '09:30 ~ 20:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 20:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '09:30 ~ 14:00', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
우리안과,4.0,관악구 남부순환로 2060 3층,,"[{'작성자': 'kweon', '별점': '1.0', '날짜': '2024.10.25.', '내용': '렌즈 빼준데 6천원.  완전바가지.  병원은 써비스도 없네요.', '좋아요': '0'}, {'작성자': '맛팩트', '별점': '5.0', '날짜': '2024.05.22.', '내용': '우리동네 안과 평들이 안좋아 길건너 \n\n다른구 안과  우리안과에 갔다왔... 더보기', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2023.05.05.', '내용': '인근 다른 안과 갔다가 눈탱이 맞고 간 곳인데 의사선생님 노련함에 감탄했어요 화끈하게 진료를 정확히 봐주시고 설명도 명쾌하십니다', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 15:00', '월': '09:30 ~ 18:00'}"
서울하이안치과 사당점,4.3,관악구 남현길 7 한얼메디프라자 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAxMTBfMjE1%2FMDAxNjczMzI1NTYzNjIx.A8nyV75XYDsDmloO2eFrhF2JP0PLj61lAObZs6nGAs4g.1G8j1NMSHFutiB3PMqmncVoFQFoEF_JUayCBh4qoa2Eg.JPEG.pawer226%2FIMG_8815.jpg%3Ftype%3Dw773,"[{'작성자': '날강도', '별점': '4.0', '날짜': '2024.09.08.', '내용': '의사, 간호사 모두들 설명도 잘 해주고 친절하세요..', '좋아요': '0'}, {'작성자': 'Adgyhbgfy', '별점': '1.0', '날짜': '2024.04.13.', '내용': '여기 교 정치료도 하나 본데 교정 치료는 교정 전문의한테 받으세요. 그리고 여기 후기 믿고 갔다가 완전 시간 낭비 차비 낭비했네요 정말 원장 참나 뭐라고 표현할지도. 한마디로 ... 더보기', '좋아요': '0'}, {'작성자': '맛집탐방러', '별점': '5.0', '날짜': '2023.12.22.', '내용': '무조건 치료하라고 강요도 안하고, 제가 선택할수 있게 해주셔서 좋았습니다. 의사쌤, 상담실장님 모두 다 너~무 친절하셨어요! (데스크 어떤 찐하게 생긴 아줌마빼고..)', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '휴무일', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
유디치과의원 사당점,4.4,관악구 남부순환로 2082-33 성광빌딩 7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F43B83FB6BB744031A5F2753B6A6B489C,"[{'작성자': 'Tee', '별점': '1.0', '날짜': '2025.03.19.', '내용': '별로', '좋아요': '0'}, {'작성자': 'HSH', '별점': '4.0', '날짜': '2022.12.08.', '내용': '다 좋은데 주차가 불편\n강남유디 너무 안 좋아져서 과잉진료에 직원도 이상해짐 사당 유디 가격도 찯하고 좋아요', '좋아요': '0'}, {'작성자': '유디치과', '별점': '5.0', '날짜': '2021.12.30.', '내용': '사당 유디치과의원은 네이버 예약이 가능합니다.\n예약 시 네이버 예약을 이용해주세요.', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:30', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
솜산부인과의원,4.5,관악구 남부순환로 2064 네스코N타워 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5025BEB5ABAA4AA99F9A6061602D8EE2,"[{'작성자': '미고랭', '별점': '5.0', '날짜': '2024.12.12.', '내용': '원내가 깔끔하고 잘 관리되어있는게 보여서 안심하고 진료받을 수 있어요~ 진료고 어찌가 꼼꼼하고 친절하게 해주시는지 넘 만족스러워요^^', '좋아요': '0'}, {'작성자': '욤욤', '별점': '5.0', '날짜': '2024.12.12.', '내용': '넘넘 친절하시고 진료도 엄청 꼼꼼하게 봐주세용ㅎㅎ', '좋아요': '0'}, {'작성자': '또리누나', '별점': '5.0', '날짜': '2024.12.12.', '내용': '원장님께서 진료를 꼼꼼하게 잘봐주세요!!', '좋아요': '0'}]","{'화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 20:00', '휴무일': '매주 일요일'}"
