name,score,address,img_url,reviews,open_hour
강남고려병원,2.5,관악구 관악로 242,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjVfNTMg%2FMDAxNzM1MDg5OTQ2NTQ5.kgK2ZEqzIPwoF6fWv_DmtdYsorDl3bEokYEN-Qu2IZkg.PDB5CU0GKeNEFhsGALbh7oYtoO_nmlOSwUpqpjfLhmwg.JPEG%2F20241223_102611.jpg%3Ftype%3Dw966,"[{'작성자': '후회없는 인생을,,,,!', '별점': '1.0', '날짜': '2025.03.12.', '내용': '별 하나 주기에도 아깝다는 분들 적극 찬성이네요\n건강 검진 50만원. 주고 받고 토요일에 방문 상담 할려고 했더니\n안된다고. 하더라고요 받을 때는... 더보기', '좋아요': '0'}, {'작성자': '이인재', '별점': '5.0', '날짜': '2024.12.31.', '내용': '더욱 친절해지신\n간호선생님들\n수면내시경시... 더보기', '좋아요': '1'}, {'작성자': '최소채소', '별점': '1.0', '날짜': '2024.11.22.', '내용': '건강검진 받으러 갔는데 사람이 없어서 그런지 신속하게 받긴 했어요 근데 피뽑아주시는 간호사분이 실력이 없으신건지..\n피 뽑았는데 붓고 멍든적은 태어나서 처음이라 당황했어요..🥲', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
연세건우병원,,관악구 남부순환로 1814 대연빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMzFfMjAx%2FMDAxNzM1NjIyMTAyNTEw.9ago9ERaamGBmsN5KItkqimQuJDHDnOoMcUtWnvcr2Ag.RjYEglKLM_jmMHYANuEc6wGnS4ABu6TXuae0V5GMNEgg.JPEG%2FSE-5e4381d2-d38f-4550-96d1-b593088cca11.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
서울퍼스트병원,5.0,관악구 은천로 51 은호빌딩 2~6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F53EAE208EE274C55B0F8A2A3CC56C79F,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
SNU청안과의원,3.0,관악구 관악로 195 관악위버포리스A동 2층 201~208호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMDJfMTA0%2FMDAxNjc1MzQ3ODI2OTYz.h1tuKCo0HcRKoeq-XDJH7RnHxO7Mhu--r1QA2psXrpwg.HvaGTdnCzxVeWisYUfBaN1dSqCVNCMjSHj2bMM_DKRIg.JPEG.anysumin%2FIMG_2179.jpg%3Ftype%3Dw773,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.03.21.', '내용': '기본적으로 예약이라는 게 어떤 개념인지를 모르는 것 같음. 예약했는데 1시간 넘게 기다리는게 말이 되나? 돈 뜯어먹을라고 아무 상관도 없는 검사만 시키고 막상 진료에선 아무것도 안해줌.', '좋아요': '1'}, {'작성자': '새밥', '별점': '5.0', '날짜': '2025.02.19.', '내용': '규모가 커서 검사장비도 많아요. 담당해주신 여자선생님 너무 친절하시고 설명도 상세히 해주셔서 그저 감사할 따름입니다.', '좋아요': '0'}, {'작성자': '박종열', '별점': '1.0', '날짜': '2025.02.14.', '내용': '맨날 쓸데없는 검사\n예약해도 기본 기다림 1시간이상\n가격... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 18:00'}"
장튼위튼병원,3.9,관악구 남부순환로 1867,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1F4A336BF89343B6BE86FC0B2C3F1632,"[{'작성자': 'Yyh', '별점': '5.0', '날짜': '2025.03.25.', '내용': '치질 십년차였습니다\n\n매일같이 씻고 밀어 놓고를 반복하다가 출혈생기면 엎드려서 지혈 될때까지 있기를 수십... 더보기', '좋아요': '0'}, {'작성자': '-', '별점': '5.0', '날짜': '2024.12.20.', '내용': '충수염으로 수술했습니다. 친절(?)까진 아니라도 아주 불편한거 없이 수술 잘 했구요. 육의곤 원장님이 수술해주셨는데 유명하신분인지 몰랐어요ㅠㅠ 제가 운이 좋았군요.... 더보기', '좋아요': '0'}, {'작성자': 'camellia_7♡', '별점': '5.0', '날짜': '2024.12.06.', '내용': '포보스에서 100대 명의로 선정되신 육의곤 대표원장님이시라고 해서 많이 놀랐고 10년 전쯤 박정수 원장님께 용종 제거받아서 건강하게 해주셨는데 그 때 놀란 저에게 설명을 너무... 더보기', '좋아요': '0'}]","{'화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 13:30', '월': '08:30 ~ 17:00'}"
관악연세이비인후과의원,4.0,관악구 관악로 165 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD87A03AB283B472E897D08D64F3E6BE3,"[{'작성자': '히히', '별점': '1.0', '날짜': '2025.03.25.', '내용': '제발 절대 가지 마세요 .\n\n갈 때마다 증상이 다른데 약이 똑같고, 증상이 미미해도 항생제 처방하는 ... 더보기', '좋아요': '1'}, {'작성자': 'ㅋ', '별점': '1.0', '날짜': '2025.03.16.', '내용': '여의사가 지어준 약먹고 더 심해짐 개별로임', '좋아요': '0'}, {'작성자': '박선주', '별점': '3.0', '날짜': '2025.01.03.', '내용': '긴호사 분들이 굉장히 불친절하네요 간호사가 맞는지는 모르겠지만 엉덩이 주사를 안맞아봐서 어버버하니까 당연한 상식 모르냐는것처럼 대하시길래 놀랐습니다 설명도 부족하고 별로예요', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:30', '휴무일': '공휴일'}"
관악이비인후과,1.9,관악구 봉천로 488 서호빌딩 4층,,"[{'작성자': '범고래', '별점': '5.0', '날짜': '2025.03.07.', '내용': '어설픈 이비인후과 갈바엔 여기 최원장님한테 꼭 받으세여ㅠㅠ 진짜 여태까지 병원이 돈낭비한거 진짜 후회되는데 여기서 해결되니 다행이기도 하고 감사하고 막 ㅠㅠ 의사샘 진단 정말 명확하시고 간호사샘들도 친절해요!', '좋아요': '0'}, {'작성자': 'Linus Pauling', '별점': '5.0', '날짜': '2024.12.19.', '내용': '최종욱원장님께서 개발한 리노웰 코세척기를 사용후 잠을 잘자게 되었습니다\n\n모두 코세척 하세영', '좋아요': '0'}, {'작성자': '김구', '별점': '4.0', '날짜': '2024.11.27.', '내용': '코의 물혹과 비염 증세로 대학병원에서 검사를 받고 수술대기중에 지인의 소개를 받고 관악이비인후과에서 수술을 받았어요.\n유튜뷰의 댓글에서 수술 통증과 출혈이 ... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
사랑의병원,2.2,"관악구 남부순환로 1860 1,3~5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjRfOTcg%2FMDAxNzM1MDI0NzcwOTI1.fgghnw6JPUk6r9L5ac-JePoYr7QHj70mB781xeOD_LIg.UgpQxEsdAc2Xr4d-PZOWwaRKYyI_XOWATQZ6apaC2DUg.JPEG%2F%25EC%2588%2598%25EC%2588%25A0%25EC%259E%25A5%25EB%25A9%25B4_2.jpg%3Ftype%3Dw466,"[{'작성자': '화장실', '별점': '1.0', '날짜': '2025.02.19.', '내용': '입원환자는 병실내에 화장실에 사람이 있으면 밖에 샤워기있는 화장실에서 세면을 할수밖에 없는데 청소하는 여자분이 바닥에 물 튄다고 계속 뭐라하는데 문제가 있습니다.', '좋아요': '0'}, {'작성자': '🙂', '별점': '5.0', '날짜': '2025.02.04.', '내용': '의사선생님께서\n환자서로지만\n환자에게 병에대해서\n필요한검사에... 더보기', '좋아요': '0'}, {'작성자': 'westwind', '별점': '1.0', '날짜': '2025.02.03.', '내용': '급해서 응급실 왔는데 바로 의사를 뵐 수가 없으니 속 타 죽겠는데(기다리는 건 당연), 아니 근데 응급실 환자 냅두고 응급실 안에서는 밖으로 다 들리게 개크게 웃고 떠들고 있고.. 밖에서 기... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
바른삼성정형외과의원,4.1,관악구 남부순환로 1830 송백빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7C3FCDF82E164F9A808D6F720231F147,"[{'작성자': '리뷰', '별점': '5.0', '날짜': '2025.03.24.', '내용': '친절하고 좋아요', '좋아요': '0'}, {'작성자': '전전', '별점': '5.0', '날짜': '2025.03.19.', '내용': '일단 진료가 상당히 섬세하시고 친절하셔서 심리적으로 안정이되어서 너무 좋음 ㅎ', '좋아요': '0'}, {'작성자': '♧♧♧', '별점': '5.0', '날짜': '2025.03.19.', '내용': '친절한 설명 감사하고 치료잘받았습니다', '좋아요': '0'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '휴무일': '공휴일'}"
마나스정신건강의학과의원,4.1,관악구 장군봉1길 56 우형빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FBDA382F2589D46578C9BDFA4B4142FDE,"[{'작성자': '종수', '별점': '5.0', '날짜': '2024.10.16.', '내용': '멘탈 이슈로 인해 세 달째? 다니고 있는데 많이 나아졌어요! 위로와 공감보다는 현실적인 해결책을 제시해주시는 편인데 아마 별점이 극과 극인 건 이런 이유에서가 아닐까 싶습니다.. 저는 증세가 경미한 편이라 ... 더보기', '좋아요': '1'}, {'작성자': '권혜린', '별점': '1.0', '날짜': '2024.06.20.', '내용': '최악입니다', '좋아요': '0'}, {'작성자': '창용', '별점': '5.0', '날짜': '2023.08.11.', '내용': '너무좋아요.  또 올게요', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '12:00 ~ 20:00', '목': '휴무일', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
