name,score,address,img_url,reviews,open_hour
에이치플러스 양지병원,2.5,관악구 남부순환로 1636,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F52304E0DDB93423488BABD481C32DFC4,"[{'작성자': '지니', '별점': '1.0', '날짜': '2025.02.14.', '내용': '16:30분 이전에 도착했는데\n너무아프다는데 \n17시 접수 마감인걸로 아는데요. 접수... 더보기', '좋아요': '1'}, {'작성자': '김두희', '별점': '1.0', '날짜': '2025.02.09.', '내용': '응급실 의사나 간호사는 친절\n근데 뭔 응급구조사가 이렇게 불친절해도 되나요?ㅋㅋ\n사원증봤구요 이*정? ㅋㅋㅋ진짜 그렇게 환자한테 대하지마세요', '좋아요': '0'}, {'작성자': '커피소나무', '별점': '1.0', '날짜': '2025.02.09.', '내용': '진심 두번다시 가고 싶지 않은 병원ㅜㅜ 체계도 엉망이고 원무과 안내도 엉망 ㅜㅜ 한번에 해도 되는거 두세번 방문하게하고 진료비만 두세번 결제하게하는   다시는 가고싶지 않은 병원ㅜㅜ 짜증나서 진... 더보기', '좋아요': '3'}]","{'화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '월': '08:30 ~ 17:30', '휴무일': '공휴일'}"
강남힐병원,2.7,관악구 남부순환로 1449,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB6655152EDDD406CA275003643681DE5,"[{'작성자': '가슴이아프다', '별점': '5.0', '날짜': '2025.02.26.', '내용': '내과 갔었는데 친절하고 좋았습니다', '좋아요': '0'}, {'작성자': '장승혁', '별점': '5.0', '날짜': '2025.02.20.', '내용': '설날에 슈퍼커브 체인청소하다가 손가락 다쳐서 왔어요. 무진장 아플거 같아서 겁이 많이 났그든여. 근데 설날 당일에도 진료해주신 의사선생님이 세심... 더보기', '좋아요': '0'}, {'작성자': '윤춘오', '별점': '1.0', '날짜': '2025.02.12.', '내용': '직장동료 입원해서 방문 간호사부터 의사들 개념 무~ 처계가없음 정말이지 왠만하면 가지마시길 바랍니다~ 여긴 간호사가  갑 입니다~^^ 병원4번 했었지만 정말 가관이 따로 없습니다~ 한마디로 엉망진창 이에요~별 하나도 아까움', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
바른사랑병원,4.5,"관악구 신원로 35 삼모더프라임타워 3, 7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F227C813003344130B1B72F24938A270A,"[{'작성자': '호이', '별점': '5.0', '날짜': '2024.12.13.', '내용': '어머니가 어깨 통증으로 5군데 이상 병원을 다녔습니다. 과잉 진료에 공장형으로 치료해서 불만족해하시길래 추천받아서 문홍교 원장님께 진료봤어요. 원장님이 아주 자세하게 설명해주시고 비싼 치... 더보기', '좋아요': '0'}, {'작성자': '소소', '별점': '5.0', '날짜': '2024.10.14.', '내용': '아버지 손목이 안좋아서 같이 방문함.\n예약하고 방문해서 대기는 거의 없었고\n딱 필요한 치... 더보기', '좋아요': '0'}, {'작성자': '미소', '별점': '5.0', '날짜': '2024.10.11.', '내용': '최근 다른 병원 다니면서 불친절함과 과잉진료로 스트레스가 심했는데 양심적인 원장님 만나 좋은 치... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
관악서울대학교치과병원,3.4,관악구 관악로 1 1~3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMzFfMzMg%2FMDAxNjY3MjIyOTQ0NjUx.kmvw_sEQdVVBxmYLr8v9gsX8yvYrBA0i5DQTuhCGb4Ag.DugI332L7UGzlqaxC0K3uEBm5jYmL_Q9LE59d7koUf8g.JPEG.76jej%2FSE-713b8987-2cc5-45b4-a977-a8f33d2114db.jpg%3Ftype%3Dw466,"[{'작성자': '1231245', '별점': '1.0', '날짜': '2025.02.13.', '내용': '불친절한 걸 넘어 무례합니다\n여러 대학병원 다녀봤지만 여기가 으뜸입니다\n앞으로의 치료 내용에 대해서 물어보니 한숨 쉬면서 ... 더보기', '좋아요': '0'}, {'작성자': 'H.LEE', '별점': '3.0', '날짜': '2024.08.01.', '내용': '장점\n- 주차여건이 좋습니다. \n- 진료비는 쌉니다. (4천7백원)\n- 의사선생님이나 간호선생님 등은 만족스럽습니다.\n\n단점\n... 더보기', '좋아요': '0'}, {'작성자': 'youngA', '별점': '1.0', '날짜': '2024.07.16.', '내용': '직통번호가 없음. 진료과에서 전화올 때 받도록 고객이 만사 제치고 대기해야 함.부재중 통화라고 다시 전화하거나 문자로 안내하는 거도 없음. 직원들이 일터에 일하러 왔으면서 고객 전화 받기 싫어서 병원만 편한 ... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
대한결핵협회 서울특별시지부 복십자의원,4.2,관악구 남부순환로 1533 1-2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTdfMTUz%2FMDAxNzMxODU0NDMwMzc4.MTGp90jEWFLomMsvcGZI0DpLQn9stDzZ60DRsVFIBLAg.Pu4gnu1RvvhWYcTi0CVkadTK0mYjKlJZT2-xFV41ZQsg.JPEG%2FIMG_9322.jpg%3Ftype%3Dw773,"[{'작성자': '뀨꽁', '별점': '1.0', '날짜': '2025.03.17.', '내용': '금방 끝난대서왔더니 채혈실안에 직원 둘이서 남욕하느라 바쁨 둘이서 떠드느라 앞에 사람이 대기해도 본체도 안하네요 참나...', '좋아요': '0'}, {'작성자': '캌', '별점': '5.0', '날짜': '2025.02.24.', '내용': '사람많을때가면 오래기다려야하는데 사람들이 기다릴줄모름;; 접수처 직원분들 친절하시고 좋아용', '좋아요': '0'}, {'작성자': '최종숙', '별점': '5.0', '날짜': '2024.12.13.', '내용': '여기서 늘 독감 기타 접종합니다 가격도  타병원보다 저렴하고  간호사 선생님 두분  의사샘까지  모두 친절하십니다', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
심정병원,4.0,관악구 남부순환로 1485 삼남빌딩 2~7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7099daa84c27ba54c18f9edf86e12cb34ea73f82%3Foriginal,"[{'작성자': '텔레토비', '별점': '5.0', '날짜': '2025.02.21.', '내용': '병원 시설이 깨끗하고 직원분들도 친절하셔서 편안하게 진료받을 수 있었어요 의사 선생님께서 꼼꼼하게 설명해 주셔서 믿음이 갔어요 추천합니다!', '좋아요': '1'}, {'작성자': '판매19장', '별점': '5.0', '날짜': '2024.08.22.', '내용': '흠 한국어 못하는 조선족이 온갖 데 별점테러하고 다니네..', '좋아요': '0'}, {'작성자': 'JLee', '별점': '2.0', '날짜': '2024.08.02.', '내용': '수술비 비싸요', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '08:30 ~ 17:30', '목': '09:00 ~ 18:00', '금': '08:30 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
언제나열린이비인후과의원,,관악구 신림로 340 르네상스복합쇼핑몰 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F9224EC49ED924FB1A07E20A73A3908C2,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 15:00', '일': '10:00 ~ 13:00', '월': '09:00 ~ 21:00'}"
강남수요양병원,1.7,관악구 신림로64길 11 성재빌딩,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjBfMjA0%2FMDAxNzM0NjU2NDExNTcz.ej-Cg5KsS3pX0oark72aPx4KkBDt_GPIlmwepJLEQ5Yg.6saPK_GJx1nJQxjZq6IfYZBvPoR9FxNb_jR9ADKND-gg.PNG%2F0.png%3Ftype%3Dw773,"[{'작성자': '정~~(튤립 ♡ 카라)🌷', '별점': '1.0', '날짜': '2024.06.12.', '내용': '여기병원은 절대가지마시오\n돈보고 환자를돌보는지 울엄마 돌아가시게한곳', '좋아요': '2'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
조인트힐병원,,관악구 난곡로 215 지하 1층~6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8934EC7DCD484B479CE076BE5CF7DDBD,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
연세고운피부과의원,4.2,관악구 난곡로 197 남강빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDJfMTU2%2FMDAxNzMzMTIwMTM2MTM1.DFu6GLc_3tUGuTm4BjwnAOyPm1YUbNTo8nZ9opZMxnwg.4VkfmI0tRXqeUjrkXlSFmgL79U8x4TtIlOQBW2UyJokg.JPEG%2F%25EA%25B5%25AC%25EB%25A1%259C%25ED%2583%2588%25EB%25AA%25A8%25EC%25B9%2598%25EB%25A3%258C008-20241202.jpg%3Ftype%3Dw966,"[{'작성자': '유진', '별점': '1.0', '날짜': '2025.03.18.', '내용': '데스크 정말 불친절합니다. 관리 받으면 친절하고 치료받으러 가면 무슨 사람취급도 안 하네요. 돈을 써야 환자로 봐주고 친절합니까? 그럼 피부과에서 일하지 말고 피부관리실에서 일하세요. 의사분들은 친... 더보기', '좋아요': '0'}, {'작성자': '이름없음', '별점': '1.0', '날짜': '2024.10.26.', '내용': '직원불친절.주차장 안내 하시는 무서워서 못오겠네요.\n뭐하는 건지.. 여기 상가분들이  주차장 응대좀 잘해달라고 해주길~', '좋아요': '1'}, {'작성자': 'Koo', '별점': '1.0', '날짜': '2024.09.27.', '내용': '데스크 직원들 최악입니다', '좋아요': '3'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 20:30', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 20:00', '휴무일': '공휴일'}"
