name,score,address,img_url,reviews,open_hour
광진본튼튼의원,4.4,"광진구 광나루로 619 3층 302,304호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4FE12E0A886A45519C7DB833904A027B,"[{'작성자': '클럽모나코', '별점': '5.0', '날짜': '2025.04.02.', '내용': '손목 아파서 들렸는데 친절하게 진료봐주셔서 감사했습니다🥰', '좋아요': '0'}, {'작성자': '써바이버리', '별점': '5.0', '날짜': '2025.04.02.', '내용': '친절하시고 꼼꼼하게 잘봐주세요!', '좋아요': '0'}, {'작성자': 'sp_', '별점': '1.0', '날짜': '2025.04.01.', '내용': '예약을 해도 기다려야하는 곳\n카운터 직원 불친절함', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
휴먼피부과의원,4.5,"광진구 아차산로 502 진넥스오딧세이 202,203호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTdfNzUg%2FMDAxNzM0NDA1NTYyMTUx.8VThs_6U5WZKsVHfKYqy_kd4hfW9XrZfcesrxEl5p-Yg.jVnp1ISlAzAa59PxBRp918VFiB97FHZOVu36KY_kI4Ag.JPEG%2F1.jpg%3Ftype%3Dw966,"[{'작성자': '김수지', '별점': '5.0', '날짜': '2025.02.07.', '내용': '피부과 다니고서 고민있던 부분도 다 친절하게 상담해주셔서 잘 관리받고 있습니다.', '좋아요': '0'}, {'작성자': '핑크어피치', '별점': '5.0', '날짜': '2025.02.06.', '내용': '기초화장품을 잘 못 발랐는지 얼굴에 붉은반점이 올라오길레 피부과에 갔더니 잘못 사용했다고 하더라구요. 그래서 피부과에서 주신 기초화장품으로 일단 진정 시켜보려고 합니다 상담 잘해줘서 감사합니다:)', '좋아요': '0'}, {'작성자': '김현아', '별점': '5.0', '날짜': '2025.02.05.', '내용': '어릴때부터 아토피로 고생중이였는데, 항상 약국에서 아토피에좋은 연고발라도 똑같아서 결국 피부과 들렸네요. 저렴한 비용으로 치료가 가능해서 지금은 전 보다는 피부가 좋아졌어요', '좋아요': '0'}]","{'목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '휴무일': '매주 일요일'}"
굿닥터정형외과의원,,광진구 아차산로 506 은석빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7A7B50FDAFC545A69DA744EE217A2229,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
더열린이비인후과의원,4.7,광진구 아차산로 532 진넥스크리닉센터 401호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MjBfNjQg%2FMDAxNjgxOTc1MTUzNDM5.l3BCAG_LOKjdq6tUaA0CGO6eE-2DdBn8T6PkwWYpusQg._Q0q_3RKZDQb1xdt9ZjK_IT_595puTXqsaY1LoRjKZsg.PNG.lowensteinkorea%2FSE-41fbe498-2ebd-4de2-ae94-7e553639959f.png%3Ftype%3Dw966,"[{'작성자': '푸바옹', '별점': '5.0', '날짜': '2025.03.26.', '내용': '좋아요 몸살 감기 걸려서 주사 맞으러 갔는데 엉덩이 주사 맞고 바로 3-4시간 후부터 컨디션 회복했어요 약도 4일치 주셨는데 그냥 한두번 먹고 끝냈습니다ㅎㅎ', '좋아요': '0'}, {'작성자': '라이프모', '별점': '1.0', '날짜': '2024.12.26.', '내용': '보류 걸어놓고 데스크에 일 보고 다시 말했더니 풀지도 않고 있고.. 바쁜 거 알겠는데 뒤질 거 같은 거 한 시간동안 참고 그제서야 말하니 풀어준다 이게 맞나\n사과도 없고', '좋아요': '0'}, {'작성자': '권준구', '별점': '5.0', '날짜': '2024.02.27.', '내용': '여기 ㄹㅇ 좋아서 나만 그렇게 느끼나 싶었는데 다들 비슷하게 느끼네 별점 4점도 없네 ㄷㄷㄷ', '좋아요': '0'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '휴무일': '공휴일'}"
어광수가정의학과의원,2.7,"광진구 아차산로69길 8 지하1층, 지상2층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FKhbh4%2FbtsJvfFjXH9%2FGKPIvgDhiyklzaIdnTGgdK%2Fimg.png,"[{'작성자': '회피만렙', '별점': '1.0', '날짜': '2025.02.05.', '내용': '솔직히 간단하게 진료확인서 뗄 일 있을 때만 가는 곳입니다. 정말... 대강 진료 보시고, 자꾸 돈 벌려고 하시는 건지 수액 권유하시고...ㅎ 주사는 효과를 조금 봤지만 약은 며칠을 먹어도 낫지를 않았어요.', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '1.0', '날짜': '2024.12.11.', '내용': '겪어보지 못한 극심한 복부통증으로 이 병원방문 소화제 처방해줌. 그날 응급실 실려감. 담낭 수술하였음. \n몇년전에 이 병원 갔을때 아이에게 감기약 처방해... 더보기', '좋아요': '0'}, {'작성자': '윤봉식', '별점': '5.0', '날짜': '2024.10.23.', '내용': '어광수박사님  친절하고 꼼꼼하게,\n전문 검사는  B1에서 신속하게  검사.\n10분정도 결과 ... 더보기', '좋아요': '0'}]","{'목': '08:30 ~ 13:00', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:30', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30'}"
김영관내과안과의원,3.4,광진구 아차산로 506 은석빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F892312e26de95bce143f22137109acd287e3d48b%3Foriginal,"[{'작성자': '찐후기', '별점': '1.0', '날짜': '2024.09.06.', '내용': '코로나 검사후 양성이여서 학교에 제출할 소견서를 쉬어야하는 일자포함해서 내달라했더니 그런거는 안된다며 의미없는 진단서만 보내는 어이없는... 더보기', '좋아요': '0'}, {'작성자': '루피', '별점': '1.0', '날짜': '2024.06.18.', '내용': '안과 여자 원장님 진짜 불친절하시네요.\n안구건조증 때문에 갔는데 대충보고 ‘뭐 요즘 안구건조증 누구나 있는거에요 렌즈 안끼셔서 괜찮아요’ ... 더보기', '좋아요': '0'}, {'작성자': 'egxuwh', '별점': '5.0', '날짜': '2024.05.25.', '내용': '건강검진 차 방문했는데\n역시 위대장내시경 전문이셔서 그런지\n용종도 잘 떼주시고 불편함도 없었... 더보기', '좋아요': '0'}]","{'목': '08:00 ~ 18:30', '금': '08:00 ~ 18:30', '토': '08:00 ~ 14:00', '월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30'}"
경희하늘애한의원,5.0,광진구 아차산로 511 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F58D9BDAFF42D44E9BEC5B9B107DA466E,"[{'작성자': 'Jang hui yeon', '별점': '5.0', '날짜': '2023.05.03.', '내용': '원장님 너무 친절하시고 치료도 너무 잘해주십니다. 더우기 침이 하나도 안아파요~~', '좋아요': '0'}, {'작성자': 'wdld', '별점': '5.0', '날짜': '2022.02.21.', '내용': '원장님, 실장님 매우 친절하시고, 대한한의사협회에 코로나  확진약을 신청해서 무료로 당일 처방 및 당일 배송받았습니다. 2월 21일부터 시행한 첫날입니다. 여기 한의원... 더보기', '좋아요': '0'}, {'작성자': '광장동', '별점': '5.0', '날짜': '2021.07.12.', '내용': '친절하다고 평들이 좋길래 알바인가..? 싶으면서도 함 다녀왔는데 다들 왜 좋다고 했는지 알겠어요!!!!\n진료도 진짜 잘봐주시고 친절하시고 너무 좋았습니다. 병원가면 별거... 더보기', '좋아요': '0'}]","{'목': '10:00 ~ 21:00', '금': '10:00 ~ 21:00', '토': '09:30 ~ 15:30', '일': '09:30 ~ 15:30', '월': '10:00 ~ 21:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 21:00'}"
마음이닿는치과의원,5.0,광진구 광나루로 619 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMjdfMjUz%2FMDAxNjc3NTAzMTcyOTI5.-ipLJfrTVBgSvnLBCrEZTpFemgZW9_UAC89VA-ZoN6Yg.zCIOeD9IBfFwOhBaMwy1MjhNLvwG7KlT-BbLxPGB93kg.JPEG.technical002%2F%25EA%25B9%2580%25EC%259C%25A0%25EA%25B2%25BD(00052902)_20200806_17.jpg%3Ftype%3Dw580,"[{'작성자': '리뷰왕', '별점': '5.0', '날짜': '2024.08.23.', '내용': '과잉진료안하시는 느낌이고\n설명을 자세히 해주십니다.\n솜씨도 좋으신것 같습니다.', '좋아요': '1'}, {'작성자': '댓글알바 절대아님', '별점': '5.0', '날짜': '2024.07.24.', '내용': '치위생사 선생님들 모두 친절하시고 과잉진료도 없어요! 그리고 원장님께서 엄청 꼼꼼하게 잘 봐주세요! 다른 치과에서 못 잡았던 충치를 발견해서 치료한 이후로 집에서는 조금 멀지만 여기 치과에 정착했습니다 😊👍', '좋아요': '0'}]","{'목': '10:00 ~ 20:30', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 20:30', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00'}"
이내과의원,4.2,광진구 아차산로 502 진넥스오딧세이 303호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F71b737af4514560a4af5ae389adc272c520f1772%3Foriginal,"[{'작성자': '조승현', '별점': '5.0', '날짜': '2025.03.05.', '내용': '공복 혈당이 정상 범위를 넘어가서 걱정돼서 병원 다녀왔어요.\n집에서는 펩티드요법을 하면서 혈당을 조절하는데 효과가 서서히 ... 더보기', '좋아요': '0'}, {'작성자': '찐후기', '별점': '4.0', '날짜': '2024.09.06.', '내용': '친절하시고 진료도 잘보셔서 좋은데 평일에 쉬는 날이 있어 불편하네요', '좋아요': '0'}, {'작성자': '이정훈', '별점': '4.0', '날짜': '2023.05.09.', '내용': '목감기 때문에 가려던 동네의원이 휴진하는 바람에 평판 검색후 이 곳에 왔는데, 일반 감기환자보다는 천식, 고혈압 등 지병인 있는 단골환자가 많이 찾ㅜㅑ는 듯 하였다. 그래... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '휴무일', '휴무일': '매주 수요일, 일요일'}"
제이앤피웰치과의원,4.0,광진구 아차산로 494 4층,,"[{'작성자': '냠', '별점': '5.0', '날짜': '2022.11.21.', '내용': '원장님부터 직원 분들 모두 친절하시고 꼼꼼하세요~ 과잉 진료, 과잉 치료 권유 없습니다 실력 좋으셔서 동네에서 유명해요', '좋아요': '0'}, {'작성자': 'SEA', '별점': '5.0', '날짜': '2021.05.11.', '내용': '방문한 병원 중에 가장 친절했습니다. 추천드려요!', '좋아요': '0'}, {'작성자': '하아', '별점': '5.0', '날짜': '2020.11.14.', '내용': '2년간 교정 잘 끝마치게 해주셔서 감사합니다 원장님ㅎㅎ간호사분들도 너무친절해서 주변에 소개할게요', '좋아요': '0'}]","{'목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 14:00'}"
