name,score,address,img_url,reviews,open_hour
세종스포츠정형외과의원,3.2,광진구 능동로 209 대양AI센터 1-2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAxMDVfMTcw%2FMDAxNjcyOTAzNDc3OTAy.OWsfZVRMce7kFnfIc25XLohYWCWygW0W8ZsNAoUnh2og.RU3PyeV5gCyT93n-2d_FeTM9NK99HsFiHV67JrtMhVgg.JPEG.sandy_poem%2FSE-aefd44c5-8c1c-11ed-a01a-a37641dab8b0.jpg%3Ftype%3Dw580,"[{'작성자': '하늘이', '별점': '2.0', '날짜': '2024.11.01.', '내용': '가격도 비싸지만 진료도 친절하지 않았어요.\n유명하다고 해서 알아보고 왔는데 진료 방 2개 왔다갔다 하시느라 바쁘셔서 그러신지 질문에도 성의 있게 답변하신다는 느낌은 없었어요.', '좋아요': '1'}, {'작성자': 'hhhhh', '별점': '1.0', '날짜': '2024.09.11.', '내용': '운동선수 전문 병원인지는 모르겠으나 일반인에게는 좀.. ㄱㅇㅈㄹ 느낌.', '좋아요': '2'}, {'작성자': '김명일', '별점': '5.0', '날짜': '2024.06.27.', '내용': '아킬레스 파열로 수술받았습니다. \n다른 병원도 알아봤지만 이곳 온 이유는 발목 관련 치료를 정말 많이 하신듯해보였고, 가장 작게... 더보기', '좋아요': '5'}]","{'목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '휴무일': '매주 일요일'}"
루트여성의원,4.4,"광진구 능동로 261 지하1층, 2~6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3BD47F52CA1D400FB396E032611DDEA8,"[{'작성자': '맛집원정대따봉도치', '별점': '5.0', '날짜': '2024.12.23.', '내용': '임신해서 검진 다니다가 출산도 했네요\n원장님이랑 간호사분들이 너무너무 친절하세요\n밥도 맛있고 애기도 잘 봐주십니다!', '좋아요': '0'}, {'작성자': '부스터', '별점': '5.0', '날짜': '2024.11.17.', '내용': '난소혹 최초진단 받고 복강경수술까지 했어요 모든 의사선생님 간호사선생님 다 친절하시고 실력있으셔서 입원했던 기간이 좋은 추억으로 남을 정도였어요..! 수술도 잘됐고 입원하는 ... 더보기', '좋아요': '0'}, {'작성자': '후기', '별점': '5.0', '날짜': '2024.10.22.', '내용': '리뷰가 너무 좋아서 첫방문을 했는데, 원장님 친절에 한번감동 전문성뿜뿜에 두번 감동받고 갑니다ㅜㅜ 이제 주기적 검진은 여기로 정착할거 같아요~', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '추석전날, 추석당일, 설당일, 1월1일, 성탄절'}"
늘좋은내과의원,3.3,광진구 천호대로 536 서림빌딩 1-2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBF2F36FE283945F4BD5B2E82AD6753D9,"[{'작성자': '현', '별점': '1.0', '날짜': '2025.04.02.', '내용': '안가는거  무조건추천 2시방문했는데 인사도안함 앞에서있엇는데 아는척도안함 병원 인테리어는 좋아보였는데 갈이유가없음 안내를안하는데 다른병원가자마자 인사하고 안내하고 바로 접수해주네 이런 기본을 안해주시는건 처음 겪어봄', '좋아요': '0'}, {'작성자': '슥', '별점': '3.0', '날짜': '2025.02.24.', '내용': '위내시경, 대장 내시경하는데 이른 시간이라 예약자들도 별로 없는 시간인데 의료진들이 왜그렇게 사람을 짐짝 다루듯 거칠게 합니까? 입에다가 뭐 물릴때도 그렇고 기침하는데 막 입에 처넣고 몸 고정시킬때도 막 사람 설명없... 더보기', '좋아요': '0'}, {'작성자': '지지', '별점': '1.0', '날짜': '2025.02.07.', '내용': '아픈 증상 세세하게 말했으나 뭔가 애매한 방향으로 진료 받고 처방받은 약 안 맞아서 다음날 응급실 갔어요... 위장약만 엄청 처방해주셨는데 결과는 독감이었습니다 다신 안 감', '좋아요': '0'}]","{'목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 13:00', '일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '휴무일': '공휴일'}"
올유메디컬의원,3.9,광진구 능동로 295 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6ACC23E74A654E5EB6AC4B7D169706AD,"[{'작성자': '열정곰탱이', '별점': '5.0', '날짜': '2024.12.13.', '내용': '병원 좋아요.\n원장님이 친절하게 설명을 잘해주시네요\n시설도 1년밖에 안된 병원이라 던데 그래서 그런지 너... 더보기', '좋아요': '0'}, {'작성자': '정훈', '별점': '5.0', '날짜': '2024.12.07.', '내용': '건강검진 친절하고 스피디하게 끝남.\n트라팔가 로 처럼 생긴 의사선생님계셔서 재미있었음', '좋아요': '0'}, {'작성자': 'skdg512', '별점': '2.0', '날짜': '2024.12.02.', '내용': '건강검진 후기가 좋아서 방문하였는데\n사람도 많지 않았는데\n검진 시작하자마자 다급하게 독촉하듯이\n빨리 빨... 더보기', '좋아요': '0'}]","{'목': '08:00 ~ 19:00', '금': '08:00 ~ 19:00', '토': '08:00 ~ 17:00', '일': '휴무일', '월': '08:00 ~ 19:00', '화': '08:00 ~ 19:00', '수': '08:00 ~ 19:00', '휴무일': '공휴일'}"
다나을신경외과의원,4.2,광진구 군자로 70 나동 3층 301~305호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB8C8079DFF5B4DF4AB9A39225538FB5F,"[{'작성자': 'ring', '별점': '5.0', '날짜': '2025.03.17.', '내용': '선생님 친절하시고 허리 아파 주사 맞았는데 걱정과 달리 안 아프게 잘 놓아주셨어요....\n주사 맞는게 두려웠는데 이제는 허리 아플... 더보기', '좋아요': '0'}, {'작성자': '김영우', '별점': '5.0', '날짜': '2024.12.23.', '내용': '의사선생님이 엄청 친절하세요', '좋아요': '0'}, {'작성자': '말량', '별점': '1.0', '날짜': '2024.11.26.', '내용': '수납때 6만원 조금 안되게 나왔어요.. 초진 아니고 오늘 어깨 물리치료랑 통증너무 심해서 통증 주사 맞는다고 맞았더니 통증주사 맞으면 물리치료가 전액본인부담이 된다... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 18:00'}"
진이비인후과,,광진구 광나루로 355 광진메디컬센터 5층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '매주 토요일, 일요일'}"
서울내과의원,3.5,광진구 광나루로 351 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3f58a5b2538f465712e24561fba0b78a3c8f1a57%3Foriginal,"[{'작성자': '베갱', '별점': '5.0', '날짜': '2025.01.01.', '내용': '다 친절하십니당', '좋아요': '0'}, {'작성자': '김지영', '별점': '5.0', '날짜': '2024.09.06.', '내용': '의사선생님이 증상 조금 듣고 한번에 와다다 설명해주셔서 불친절하다고 느낄수는 있는데 계속 추가질문했을때 기분나쁜 티 없이 다 설명해주심. 데스크 인포 간호사쌤들 친절하세요 건물 낡아서 약간 고민했을뿐 필요한 검사는 다해주심 추천해용', '좋아요': '0'}, {'작성자': '향', '별점': '5.0', '날짜': '2023.08.30.', '내용': '리뷰보고 겁먹었는데 가보니까 괜찮은 분들이신데요? 친절하시구 검사끝나고 잘참았다고 칭찬해주시구. 저는 다시 방문할 의향이 있어요~ 괜찮은 곳이에요 건물이 좀 낡았을뿐~', '좋아요': '0'}]","{'목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 13:00', '휴무일': '공휴일'}"
온아치과의원,4.4,광진구 군자로 70 동일흥업빌딩 나동 2층 201~203호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F56BCE7D5FB154C639D64656F060FAF75,"[{'작성자': '베갱', '별점': '5.0', '날짜': '2025.01.01.', '내용': '다들 친절하셔서 좋아요 예약안하면 좀 오래기다려야되서 그게 조금 아쉽', '좋아요': '0'}, {'작성자': '대한국인', '별점': '5.0', '날짜': '2024.11.16.', '내용': '광진구 최고의 치과 입니다 친절함과 동시에 실력까지 완벽합니다 토요일에도 사람이 많고 예약도 안하고 갔는데 너무 친절하시고 시술 할 때마다 일일이 설명을 다해주십니... 더보기', '좋아요': '1'}, {'작성자': 'chris', '별점': '5.0', '날짜': '2024.11.03.', '내용': '여기 사랑니 진짜 빠르고 능숙하게 잘 뽑아주세요 아물때도 이물감 없이 빨리 나았어요', '좋아요': '0'}]","{'목': '09:30 ~ 21:00', '금': '09:30 ~ 21:00', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 21:00', '수': '09:30 ~ 19:00', '휴무일': '공휴일'}"
군자성모정형외과의원,4.0,광진구 능동로 295 ES빌딩 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE90692D553124C4C9567BD9799372D84,"[{'작성자': '불주먹', '별점': '4.0', '날짜': '2025.04.01.', '내용': '생긴지 얼마 안돼서 그런지 매우 깔끔하고 넓어요. 의사선생님도 친절하시고, 다른 분들도 다 친절하셨어요. 다만 엑스레이 촬영하는 남자선생님한테 담배냄새가 너무 심하게 나서 불쾌했... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '공휴일'}"
화양본내과의원,3.0,광진구 군자로 73,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA1E11C0C2EA74166BFA7C14162085531,"[{'작성자': '베갱', '별점': '3.0', '날짜': '2025.01.01.', '내용': '간호사님이 조금 불친절해요.. 다른 분은 친절하신데ㅠㅠ', '좋아요': '0'}, {'작성자': 'seo', '별점': '2.0', '날짜': '2024.10.22.', '내용': '정확한 병명에 대한 말도 없으시고 약 처방만 해주시고 진료 끝입니다', '좋아요': '0'}, {'작성자': 'yeon', '별점': '1.0', '날짜': '2024.10.13.', '내용': '이 핑계 저 핑계 대며 카드결제 변경이 절대 안된다는 병원은 생전 처음 봄.\n예전부터 내내 의사는 불친절했고 진료의 전문성도 모르... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
