name,score,address,img_url,reviews,open_hour
혜민병원,,광진구 자양로 85,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD3164BE7E0604236BB1CF86542C24C79,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:20', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '휴무일': '공휴일'}"
서울프라임병원,,"광진구 동일로 92-1 지하1-지하2층,2-7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMThfMjYx%2FMDAxNzM5ODUzNjY3NTMz.ffpW_t0xbnQzg9YWvvSQKxldUu7hUaX_tqXI5ivLrMUg.tNENNz_UV-rLkG0FMfa5C-fyNMY7MUwAYntTHZtlTIIg.PNG%2F%25EC%25A0%259C%25EB%25AA%25A9%25EC%259D%2584-%25EC%259E%2585%25EB%25A0%25A5%25ED%2595%25B4%25EC%25A3%25BC%25EC%2584%25B8%25EC%259A%2594_-001_11.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
편안한요양병원,2.2,광진구 자양로 38,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjhfMTA5%2FMDAxNzMyNzk5MDI2ODU5.BCRmmQkYi5YSQtMm1Si2RCC7Mh3S9T4BGDqDOQgZjrMg.7p0vRTq3onYxrSWZqiJ2-LOrSh0uT7vqpBjgZZY1fK4g.PNG%2Fimage.png%3Ftype%3Dw773,"[{'작성자': '(알렉데이아)', '별점': '1.0', '날짜': '2025.03.13.', '내용': '시스템도 안잡혀있고 원무과 직원들은 일단 불친절하고 건물만 멀쩡하지.  별점 안좋은데는 다 이유가 있는 듯....', '좋아요': '1'}, {'작성자': '머여', '별점': '1.0', '날짜': '2024.12.16.', '내용': '최악오브최악인 이유\n\n1. 의사의 거짓말 및 소극적 치료.\n입원당일 뿐만 아니라 ... 더보기', '좋아요': '3'}, {'작성자': '——', '별점': '1.0', '날짜': '2024.10.09.', '내용': '평점은 이유가 있습니다.\n직접가서 확인할만한 것들을 기록하니 주의깊게 보시고 결정하시길 바랍니다. \n\n1. 중국인 요양보호사 ... 더보기', '좋아요': '4'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
서울점프정형외과의원,,"광진구 아차산로 382 대진빌딩 지하1,1,3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMjVfMTgy%2FMDAxNzQwNDUyMTY3NTYx.191k6oS1ajjwzLflw1-FkY_ZbcAZyUtufmT78WY80aog.dshAGIHk-_yGPRXAZbwtlGGq5GnFS1PpSSOc7mmZV7og.PNG%2Fimage.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
경희생생한방병원,5.0,"광진구 동일로 82-1 지하1,2층,1~5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9D17861671E94297946AAAB8381EC42C,"[{'작성자': '맛보네-윤', '별점': '5.0', '날짜': '2023.07.20.', '내용': '복날의 점심 병원식 \n#교통사고후유증', '좋아요': '0'}, {'작성자': '까탈스러운 펄슨', '별점': '5.0', '날짜': '2022.10.26.', '내용': '교통사고로 입원했는데 건대점은 스포츠 재활을 전문으로 하더라구요 그래서 그런지 정말 치료 잘해줍니다. 타박상 입어서 스치기만 해도 아팠던 곳을 뚝딱뚝딱 스트레칭같은 치료를 해주시니 신기하게도 정말... 더보기', '좋아요': '0'}, {'작성자': '김경애(15통)', '별점': '5.0', '날짜': '2022.02.25.', '내용': '원장님 진료도 잘보시고 신설이라  깨끗하고 입원실도 공간이 넉넉해서 아주좋네요~\n강추합니다.', '좋아요': '1'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
서울굿모닝내과의원,4.2,광진구 뚝섬로 595 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_146564162,"[{'작성자': '곰곰', '별점': '5.0', '날짜': '2025.04.01.', '내용': '진짜진짜 모든 직원분들 친절하시고 내시경손기술이 좋으십니다!! 이런거잘안쓰는데 제가 사정상 비수면으로만 내시경하는데 정말 괴롭지않게 잘해주셔서 감사합니다!!', '좋아요': '0'}, {'작성자': '서영', '별점': '5.0', '날짜': '2024.07.04.', '내용': '미용면허증용 건강진단서 발급 가능한 곳입니다.\n여러군데 전화해봤는데 거의 여기가 유일하게 하는 것 같네요. 건대병원은 너무 비싸구요\n무엇보다... 더보기', '좋아요': '0'}, {'작성자': '토쿠노', '별점': '5.0', '날짜': '2024.06.13.', '내용': '카운터 선생님… 너무 친절하세요…', '좋아요': '0'}]",{'휴무일': '공휴일'}
건대성모외과의원,,광진구 아차산로 226 성용빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF05D67C2B28F413CAC9A36132065B198,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '14:00 ~ 20:00', '휴무일': '공휴일'}"
광진정플란트치과의원,,광진구 자양로 88 광영빌딩 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F44AE910D3E8F4928BAEFD21E35417691,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '휴무일': '공휴일'}"
주민내과의원,2.5,광진구 뚝섬로 533 2층,,"[{'작성자': '객관적평가', '별점': '5.0', '날짜': '2024.05.15.', '내용': '의사선생님이 경험도 많으시고 정확히 잘보시는듯.   할아버지 내시경후  바로 조기위암 진단받고  현재 대학병원 치료후 건강 거의 회복하셨네요.', '좋아요': '0'}, {'작성자': '이종원', '별점': '1.0', '날짜': '2024.02.16.', '내용': '노답같은 원장\n서류발급 귀찮다고 나중에오라는 병원', '좋아요': '0'}, {'작성자': '뿌요', '별점': '1.0', '날짜': '2023.10.20.', '내용': '카운터에 앉아있는 간호사분 너무 불친절하네요 다신 안가고싶어요', '좋아요': '0'}]","{'목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00'}"
서울삼성치과의원,5.0,광진구 뚝섬로 642 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE11C9960E18342FC8485F8400FAC2EF0,"[{'작성자': '♡受 暻♡', '별점': '5.0', '날짜': '2025.02.23.', '내용': '스케일링 받을겸 왼쪽 어금니 14년전 레진으로 씌운거\n인레이할지,크라운으로 씌울지 상담받으러 갔는데\n엑스레이 찍은거 보시더니 원장님께서 ... 더보기', '좋아요': '0'}, {'작성자': '양금영', '별점': '5.0', '날짜': '2024.08.28.', '내용': '선생님들이 많이 친절하세요\n\n설명도 잘해주시고 아프지 않게 신경써주셔서 좋습니다', '좋아요': '0'}, {'작성자': 'hy', '별점': '5.0', '날짜': '2024.06.27.', '내용': '임시치아이긴 하지만 주변에서 전혀 티 안나고 이전 치아보다 보기가 좋다고 했습니다. 여기 국가검진도 되고 의사선생님 많이 바빠보이지만 그 외에 직원분들이 전문성이 느껴졌... 더보기', '좋아요': '1'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:30 ~ 20:30', '수': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
