name,score,address,img_url,reviews,open_hour
국립정신건강센터,2.3,광진구 용마산로 127,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff12bb50a596ded489e160b006f579032ee7fff05%3Foriginal,"[{'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2024.11.23.', '내용': '풀배터리 싸게 해 주니 돈 없는 애들 가라\n의사 수준은 뭐 동네 1차병원이랑 똑같음 2차병원으로서의 메리트가 없음\n차라리 강남 유명 동네 정신과가 ... 더보기', '좋아요': '3'}, {'작성자': '최윤석', '별점': '5.0', '날짜': '2023.08.16.', '내용': '입원했었는데 정말 좋아요..요즘 다시 생각나는 곳이에요 시설도 깔끔해요 사회무슨복지센터도 잘되어있어요', '좋아요': '0'}, {'작성자': '이중구', '별점': '5.0', '날짜': '2023.07.22.', '내용': '입원해보면 이곳만 한곳 없던데 도영화주임간호사님 잘 계시죠 병원에서 환자들한테 주신 로션 향기가 아직도 잊혀지지가 않네요 아직도 병원에 계신지 모르나 잘 지내세요 화이팅^^', '좋아요': '1'}]","{'목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '휴무일': '공휴일'}"
인구보건복지협회 서울지회 가족보건의원,2.8,광진구 긴고랑로13길 62 1-3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjFfMTA1%2FMDAxNzM0NzkyOTg1MzQ5.BiVymx_VoXVc04uT4RFExN0PRkUOEYUr6MijFvs5oHQg.3ii0o3e5Yyd0Yyc9PQNsLRsFwkQqGYvcG6s-gZj-5-sg.JPEG%2Foutput_2384966461.jpg%3Ftype%3Dw773,"[{'작성자': '먹남치', '별점': '5.0', '날짜': '2025.03.22.', '내용': '괜찮습니다. 사람이 많네요.', '좋아요': '0'}, {'작성자': 'ㅇㅅㅇ', '별점': '3.0', '날짜': '2025.02.17.', '내용': '저렴하긴한데 좀 엉성함. 예방접종 3개 맞아야하는데 1개만 기재되어있어서 내가 체크해서 다시 추가함 차트자체가 누락이라뇨...', '좋아요': '0'}, {'작성자': 'Ted', '별점': '5.0', '날짜': '2024.12.31.', '내용': '싼데 골라다니면서 다들 불만 겁나많네 ㅋㅋ 접종받을거 검사할거 다 저렴하게 받아놓고ㅋㅋㅋ\n뭐 얼마나 융숭한 대접받을 대가를 지불했다고 그렇게 뒤에서 ... 더보기', '좋아요': '1'}]","{'목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 12:20', '일': '휴무일', '월': '08:30 ~ 17:00', '화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '휴무일': '공휴일'}"
희망내과의원,,광진구 천호대로 527 거산빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTFfNDkg%2FMDAxNzMxMzA2MTQyMDA3.K4kDBE0tNo2FHAX90zrmWic7Va0tzvlCIb6hqafW9Lkg.LoQZUFCCrTBbCjaV-hSwOiieZiZOnre38Bj199ET9Cog.JPEG%2FKakaoTalk_20240612_154615403_03.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
누리이비인후과의원,4.6,광진구 천호대로 561 영창빌딩 4층 402호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F15231B7911BD4907A637FB8704787074,"[{'작성자': '종호', '별점': '5.0', '날짜': '2025.02.13.', '내용': '친절하게 잘 설명해 주셔서 만족합니다', '좋아요': '0'}, {'작성자': '정민서', '별점': '5.0', '날짜': '2025.01.31.', '내용': '친절하시고 제가 갔던 이비인후과 중에선 가장 만족스럽습니다', '좋아요': '0'}, {'작성자': 'Lucas', '별점': '5.0', '날짜': '2025.01.18.', '내용': '대기시간이 좀 있었지만 자세하고 친절하게 진료해주셨어요', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
한우식내과의원,4.0,"광진구 천호대로 517 리마트빌군자 201,202호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMTZfODMg%2FMDAxNzM5Njg3OTIzNTE1.gsxV3B0a9TlPzX588THIrqsUC2lcSA752WC3zcoVibcg.KoucpMEIZjcUM7y5pKhlAxkhKhfEqADRrbYNH9mzSbMg.JPEG%2FIMG_1283.JPG%3Ftype%3Dw275,"[{'작성자': 'TK', '별점': '5.0', '날짜': '2025.03.10.', '내용': '예전 답십리 병원에 있을 때부터 검색 엄청해서 찾아낸 10년가량 다니는 신뢰가는 선생님이세요~~첨에 갔을때 그 환자 많은데 약 40분을 저를위해 쉽게 기초설명 해주시는데 얼마나 감사하던지.... 간에 대한 전문... 더보기', '좋아요': '0'}, {'작성자': '도움되는후기만', '별점': '1.0', '날짜': '2025.01.05.', '내용': '간호사선생님은 친절하십니다. 그러나 의사쌤 말씀하시는 게 진짜 특이하시네요…결론적으로 진료해주시는 방식이 신뢰가 가지 않았습니다. 다시 방문하진 않을 것 같아요.', '좋아요': '0'}, {'작성자': 'mandoo', '별점': '5.0', '날짜': '2023.09.07.', '내용': '넘 친절하시고 진료도 잘 봐주세요 👍👍', '좋아요': '0'}]","{'목': '08:30 ~ 18:00', '금': '08:30 ~ 13:00', '토': '08:30 ~ 13:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00'}"
군자탑정형외과의원,4.4,광진구 능동로 313 선진빌딩 2-3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF6F29F51ACC84479836FB8EED3F5F503,"[{'작성자': '아들 사랑해~~♡♡♡', '별점': '5.0', '날짜': '2025.03.26.', '내용': '무릎이 아파서\n물리치료를 받고 있는데\n예전에 손가락이 아파서\n... 더보기', '좋아요': '0'}, {'작성자': '등대', '별점': '5.0', '날짜': '2025.02.18.', '내용': '의사쌤 물치쌤 다 친절하셔서 좋아요.. 바로 통증 개선해주셔서 감사합니다', '좋아요': '0'}, {'작성자': '🥰', '별점': '1.0', '날짜': '2025.02.08.', '내용': '원장님보고 계속 다니려고 했는데\n원래 병원이란 곳이 그렇죠..\n데스크 조무사 불친절 때문에 지쳐서 나가 떨어져요... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 19:00', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
그랜트피부과의원,4.3,광진구 천호대로 549 G타워 3층 301~303호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2A13850E4DD64B0BA2A4FB68DBE82BF3,"[{'작성자': '이하늘', '별점': '5.0', '날짜': '2025.04.02.', '내용': '이마랑 얼굴 전체에 좁쌀 형태의 여드름이 많았었는데 아쿠아필 및 여드름 압출 하고 나니까 많이 줄어들고 맨들맨들해졌어요!', '좋아요': '0'}, {'작성자': '하동훈', '별점': '5.0', '날짜': '2025.03.26.', '내용': '피부가 환절기라 난리가나서 진정 및 붉은기 치료중인데 장벽이 좋아졌어요', '좋아요': '0'}, {'작성자': '민국', '별점': '5.0', '날짜': '2025.03.19.', '내용': '시술받고왔는데 보톡스 하나를 받아도 정말 꼼꼼 하게 놔주셨고, 신경쓰였던 부분 관련해서 넘 상세하게 설명도 잘 해주셨어요', '좋아요': '0'}]","{'목': '14:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 19:30', '화': '10:00 ~ 20:00', '수': '10:00 ~ 19:30', '휴무일': '공휴일'}"
예인피부과 광진점,2.6,광진구 천호대로 561 영창빌딩 3층,,"[{'작성자': '우가', '별점': '5.0', '날짜': '2025.03.31.', '내용': '다들 왜케 화나심.. 몇백단위로 결제하고 쓰는 피부과랑 서비스 비교를하시는듯.. 여긴 피부질환 진료보는 병원같던데요, 원장님 친절하시고 잘봐주십니다!', '좋아요': '0'}, {'작성자': '원', '별점': '3.0', '날짜': '2025.03.08.', '내용': '토요일 시간 좀 수정해주세요.. 16시까지라고 되어있어서 3시에 갔는데 마감이라고 문 닫고 나가고 계셨어요', '좋아요': '0'}, {'작성자': '스털링', '별점': '5.0', '날짜': '2025.03.03.', '내용': '친절하세요!!\n전문의셔서 진단도 정확하게 해주십니다.', '좋아요': '0'}]","{'목': '10:00 ~ 19:30', '금': '10:00 ~ 19:30', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 19:30', '화': '10:00 ~ 19:30', '수': '15:00 ~ 19:30', '휴무일': '공휴일'}"
연세모던피부과의원,,"광진구 천호대로 635 백철빌딩 2,3층",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '휴무일': '공휴일'}"
주함외과의원,3.8,광진구 능동로 409 2-3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F82D449419FF24DA9B5AA38C549FF66D2,"[{'작성자': '푸쉬킨', '별점': '5.0', '날짜': '2023.11.16.', '내용': '평점 조정이 필요한 시점.\n친절함까지는 모르겠으나\n송도병원 같은 대형병원 제외하... 더보기', '좋아요': '0'}, {'작성자': '닥쳐너가뭔데', '별점': '5.0', '날짜': '2023.05.09.', '내용': '다들 친절하고 체계가 잘 잡혀있어요\n우리 나라 사람들은 병원에 친절을 왜이렇게 바라는지 모르겠네요\n어느정도 친절해야 친절한지 ~ 저는 ... 더보기', '좋아요': '1'}, {'작성자': '마동석', '별점': '4.0', '날짜': '2020.12.17.', '내용': '입구에 들어 가면서 부터 자동 체온측정기가 있어 만족,(채온기 이마에 대거나 귀에 꽂음 짜증남)\n내부도 깔끔하고 생각보다 많은 직원들이 근무하는것 같음\n... 더보기', '좋아요': '0'}]","{'목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 12:00', '일': '휴무일', '월': '08:30 ~ 17:00', '화': '08:30 ~ 12:00', '수': '휴무일', '휴무일': '공휴일'}"
