name,score,address,img_url,reviews,open_hour
건국대학교병원,2.5,광진구 능동로 120-1,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
CNP차앤박피부과 건대입구점,2.0,광진구 아차산로 241 연한빌딩 4층 402호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
푸른세상안과의원,4.1,광진구 능동로 103 동서빌딩 302호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
블리비의원 건대점,,광진구 아차산로 237 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDhfMjc2%2FMDAxNzM2MjY4MDgwMDI4.7Xm9x-2LPQfiRmPIq_zANeHt7HumZO62ALee5g-H6dgg.IpOQK-ymNg4JvFPhA8xCk9sSJ9s0s9pYcXQMOMsX5eMg.JPEG%2F1.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
동부참사랑요양병원,3.0,광진구 동일로 154,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
연세어울림이비인후과의원,3.7,광진구 아차산로 241 연한빌딩 4층 401호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
화양영상의학과의원,3.1,"광진구 광나루로 436 2,3층",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
아름다운의원,4.6,광진구 능동로 127 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F41B5BDAEAC504FD49E35EE793BE33F4B,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
별 이비인후과의원,,광진구 능동로 111 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMjhfNTUg%2FMDAxNjc3NTYzNDEwMjQ1.CTWOBfdztLs2aA3YAbnIxCIPqj3tt5516uMej1-sD2Ig.mh65LOifFLbSP7LWMQoYRd--K5xldgPi5e2l2hcxt6Ug.JPEG.ljscap1111%2F1677562342584.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
리즈온의원 건대점,4.3,"광진구 아차산로 213 웅진빌딩 3층 301,303호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC80470E9921341058AB8D8AB65E9AF20,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
메디스포정형외과의원,,광진구 동일로 178 광진캠퍼스시티 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
유앤아이의원 건대점,,광진구 아차산로 219 삼영빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F694D736FF94B4536BF05D80F0B78C6E7,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
건대예쁨주의쁨의원,,광진구 아차산로 229 한림타워 2층 201~204호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
SNU건전비뇨의학과의원,4.3,광진구 아차산로 229 한림타워 3층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
연세고운미소치과 건대점,4.7,광진구 능동로 111 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjdfMTEy%2FMDAxNzM1MjY0NDQ0MDYx.vHdfcNIHfBF5NTJ7R8vA4g06_lTsqdYay47Br2zftkYg.561-UQ7RM69ksB-L5cTJ_bIf9ERQdfK7Hs_Hl6jyucgg.JPEG%2FSE-d04f4eac-16c4-4e55-9b33-89310d7c5a8c.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
건국대학교병원,2.5,광진구 능동로 120-1,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
CNP차앤박피부과 건대입구점,2.0,광진구 아차산로 241 연한빌딩 4층 402호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
푸른세상안과의원,4.1,광진구 능동로 103 동서빌딩 302호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe883cb26ed539fb50dd770ba68c7e6ee8eaf8c07%3Foriginal,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
블리비의원 건대점,,광진구 아차산로 237 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDhfMjc2%2FMDAxNzM2MjY4MDgwMDI4.7Xm9x-2LPQfiRmPIq_zANeHt7HumZO62ALee5g-H6dgg.IpOQK-ymNg4JvFPhA8xCk9sSJ9s0s9pYcXQMOMsX5eMg.JPEG%2F1.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
동부참사랑요양병원,3.0,광진구 동일로 154,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FPZpg8%2FbtrzQYBjNcw%2FkIOXFTFLogReDxDjaHkLH0%2Fimg.jpg,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
연세어울림이비인후과의원,3.7,광진구 아차산로 241 연한빌딩 4층 401호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
화양영상의학과의원,3.1,"광진구 광나루로 436 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe80fc09ceed75956f16d9ba77572ae4920bb7fe5%3Foriginal,"[{'작성자': '2e.', '별점': '4.0', '날짜': '2024.11.05.', '내용': '엠알아이찍으러... 예약이 좀 귀찮았고 판독은 좋았음', '좋아요': '0'}, {'작성자': 'MJ', '별점': '5.0', '날짜': '2024.11.01.', '내용': '별점이 낮은게 의아할 정도입니다. 의사선생임 엄청 친절하시고 자상하게 잘 봐주십니다.', '좋아요': '0'}, {'작성자': 'JP', '별점': '5.0', '날짜': '2024.07.02.', '내용': 'MRI 잘 찍고 친절하게 잘 봐주셨습니다. 주차는 안 됩니다.', '좋아요': '0'}]",{}
아름다운의원,4.6,광진구 능동로 127 3층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
별 이비인후과의원,,광진구 능동로 111 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMjhfNTUg%2FMDAxNjc3NTYzNDEwMjQ1.CTWOBfdztLs2aA3YAbnIxCIPqj3tt5516uMej1-sD2Ig.mh65LOifFLbSP7LWMQoYRd--K5xldgPi5e2l2hcxt6Ug.JPEG.ljscap1111%2F1677562342584.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:30', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '공휴일'}"
리즈온의원 건대점,4.3,"광진구 아차산로 213 웅진빌딩 3층 301,303호",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
