name,score,address,img_url,reviews,open_hour
남서울요양병원,4.0,구로구 남부순환로 1291 본관 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1C03FE32782A4A078A6ABE595901B2A8,"[{'작성자': '노숙희', '별점': '5.0', '날짜': '2024.05.31.', '내용': '직원분들 응대, 상담잘해주셔서 만족합니다', '좋아요': '0'}, {'작성자': '라미', '별점': '5.0', '날짜': '2023.01.30.', '내용': '좋아요', '좋아요': '0'}, {'작성자': '장복두', '별점': '1.0', '날짜': '2022.12.22.', '내용': '환자를 무례하게 대하고 전체적으로 돈을 아끼려는 것처럼\n느껴집니다 겉만 번지르르하고 안의 시설은 녹이슬고\n관리도 안됩니다\n밥도 싸구려 식재료를 쓰는지 비리고 간은... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
정성요양병원,3.0,구로구 남부순환로107길 24,,"[{'작성자': '필!', '별점': '5.0', '날짜': '2025.03.13.', '내용': '다른데서는 툭하면 콧줄 꽂으려 하는데 그래도 편안하게 지내게 해주십니다', '좋아요': '0'}, {'작성자': '시호', '별점': '1.0', '날짜': '2024.08.02.', '내용': '환자 관리가 안됨.', '좋아요': '0'}]",{}
정성요양병원 별관,0.0,구로구 남부순환로 1287,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA4MzBfMTMz%2FMDAxNjYxODQ0ODgzMTA4.qYaBS7Nt-GXOEXDPBV0p5jwqRtjqtCn3U9DoZ1xptoAg.7J6-TuZQ3OABaCh6XKr48h0w3B_KakpI_AxkQ3zreyUg.JPEG.jdygooda%2FKakaoTalk_20220828_155910272_08.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
고려한의원,0.0,구로구 구로동로 14,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00'}"
박치과의원,5.0,구로구 구로동로 34,,"[{'작성자': 'ENOCH', '별점': '5.0', '날짜': '2023.07.20.', '내용': '아주 좋습니다.\n치료에 만족합니다', '좋아요': '0'}, {'작성자': 'Kristin', '별점': '5.0', '날짜': '2023.02.20.', '내용': '시크하시지만 정많으신 츤대레 스타일이심. 여기서 신경치료했고 분당에서 어쩔수없이 급하게 진료봤을때 거기 쌤이 X레이 보시면서 이렇게 신경치료 깔끔하게 한 사례는 대학다니면서도 못봤... 더보기', '좋아요': '0'}, {'작성자': '트롤리', '별점': '5.0', '날짜': '2021.10.02.', '내용': '과잉진료안하고 잘봐주십니다.', '좋아요': '0'}]","{'월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00'}"
유치과의원,1.0,구로구 구로동로 10 정풍빌딩 2층,,"[{'작성자': '하이', '별점': '1.0', '날짜': '2022.07.24.', '내용': '아 유치해(치과의원)', '좋아요': '1'}, {'작성자': '박금선', '별점': '1.0', '날짜': '2022.01.28.', '내용': '별 하나도 아까워요 위생 장갑도 착용하지않고 진료를 하며 한번 착용한 위생장갑은 이손님 저손님 옮겨 다니며 저의 차례가 됬을땐 손에서 악취가 풍겼고 6 개월만에 겨우 완성된 치아가 ... 더보기', '좋아요': '1'}]","{'일': '09:00 ~ 14:00', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 14:00'}"
박산부인과의원,1.0,구로구 구로동로 35,,"[{'작성자': 'oka', '별점': '1.0', '날짜': '2021.08.19.', '내용': '원장님이 연세가 많으신것같아요\n머리도 자주 흔드시고 ...\n연륜이야 있으시니 진료른 잘 보실진 몰겠지만 \n그래도저는 젊은의사분이 더 좋을듯ㅠㅠ\n시설도 많이 낡았어요 \n다른분들은 경력이 많으시다 좋아할진 모르겠지만 전 그닥 ...', '좋아요': '1'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00'}"
사람중심치과의원,5.0,구로구 디지털로27길 127 한영빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FRoThV%2FbtsATjwDsh4%2FrnVhY7yKw0R5asq3RgRjRk%2Fimg.png,"[{'작성자': '처루', '별점': '5.0', '날짜': '2020.05.19.', '내용': '좋아요!̆̈ 친절해요', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 21:00', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:03 ~ 13:30', '휴무일': '공휴일'}"
하늘경희한의원,5.0,구로구 구로동로 35 1층,,"[{'작성자': 'Jenny99', '별점': '5.0', '날짜': '2023.04.27.', '내용': '꾸준히 다니니까 아픈 허리가 좋아졌음', '좋아요': '0'}, {'작성자': '♡♡♡', '별점': '5.0', '날짜': '2020.01.17.', '내용': '허리 아파서 치료받고 너무 좋아졌어요 원장님, 직원분들 친절하게 해주셔서 좋았습니다', '좋아요': '0'}]","{'일': '09:00 ~ 13:30', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:30'}"
구로세란의원,3.2,구로구 디지털로 227 새안빌딩 301호,,"[{'작성자': '키카', '별점': '5.0', '날짜': '2025.01.18.', '내용': '내가 찐 후기 남긴다.\n\n여기 지금 약 18년 정도 다녔는데\n\n리뷰 나쁘게 남긴 것들은 어디 다른병원 알바냐? 말같지도 않은 소리를 찍찍 뱉고있네ㅋㅋㅋㅋㅋㅋㅋ 사해경 원장님도 그렇고 데스크 중년 남성이라고 하면 ... 더보기', '좋아요': '0'}, {'작성자': 'Mosab', '별점': '3.0', '날짜': '2023.11.22.', '내용': ""I've visited this clinic three times, and each visit has been a mixed experience. On my latest visit, despite presenting with a cold, the staff insisted on a PCR test, adding extra costs. Afte... 더보기"", '좋아요': '0'}, {'작성자': '이은비 Eunbi', '별점': '5.0', '날짜': '2023.11.13.', '내용': '원장님이 전문적이고 너무 친절하십니다^^', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 20:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
