name,score,address,img_url,reviews,open_hour
구로성심병원,2.6,구로구 경인로 427,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyNDEyMTdfNDgg%2FMDAxNzM0NDE1OTA4MTU2.YP8HWTzWSpVLdW7WyP5rG_pshrYp3obEeXuql8qPWPog.wjhOv9oKOek3lh2LxLJeqJrLDwbMyfj1pXioKAM-AWUg.JPEG%2F2.jpg%3Ftype%3Dw1,"[{'작성자': 'x', '별점': '1.0', '날짜': '2025.02.22.', '내용': '여의도ㅅㅁ병원에서 말많던 어린꼬마 ㅂ ㅅㅁ 여선생님 여기로 오셨네요. 여기서는 젊은 환자들 관약근 파괴하지 마시고 환자를 실험 샘플 용으로 다루질 않길 바랍니다~', '좋아요': '1'}, {'작성자': '박 돌', '별점': '5.0', '날짜': '2025.02.16.', '내용': '모든면에서 지역가까우곳에위치하면서의사분들도친절하시며전문성이있고직원분들도친절하시며따뜻하게말한마디나모든걸ㄹ친절히대해주십니다권청원님갈때마다후한인심으로안내및인사말한마디도감사하고조씁니다그분을ㅈ딩찬 ㅅ납니다', '좋아요': '0'}, {'작성자': '🐱야옹', '별점': '4.0', '날짜': '2024.12.02.', '내용': '시간 없어서 대리인한테 영상발급 부탁했는데 안 되어있어서 그냥 본인이 와서 접수하고 발급 받았습니다. \n대리인 발급 시 양식이 필요한데 원무과 통화했지만 자세히 설명해주지 않으셨어요. 사이트 어디에 양식이 ... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '휴무일': '공휴일'}"
포그니병원,3.4,구로구 경인로 393-7 일이삼전자타운 2동 6-7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe34e3ce6534cff860bbd2095a8b7c1d6185a12bd%3Foriginal,"[{'작성자': 'ㅇㅅ', '별점': '5.0', '날짜': '2025.01.23.', '내용': '너무 피곤하고 해서 수액 맞으러 왔어요\n빠르게 진료 보고 수액 맞을 수 있어서 좋았습니다\n담에 비타민 d 주사 맞으러 올 것 같아요\n보험 관련 상담을 잘해주시네요', '좋아요': '0'}, {'작성자': '진짜솔직하게', '별점': '1.0', '날짜': '2023.10.24.', '내용': '환경좋고 생각보다 커요. 친절하시구요.\n\n근데 역시 손님을 돈으로 보시더군요.\n방문치료하는데 어느새부터 추가치료 강요하시더니 계속 안한다고 하니까 이제는 원래하던 치료까지 예약 못받겠다고 ... 더보기', '좋아요': '0'}, {'작성자': '홍명진', '별점': '5.0', '날짜': '2023.07.08.', '내용': '아름다운 그림 전시회를 보고 온 듯 했지요.\n럭셔리한 호텔에 다녀온 느낌이었지요. \n프라이빗한 병상 게다가 병원에 찜질방까지! \n놀라움은 어디까지일까요?', '좋아요': '1'}]","{'일': '09:00 ~ 15:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '휴무일': '추석당일, 설당일'}"
오케이재활요양병원,3.9,"구로구 중앙로 64 고척프라자 3,4층",,"[{'작성자': '뚜기', '별점': '5.0', '날짜': '2023.05.22.', '내용': '수간호사 선생님께서 친절하게 설명 잘 해주시고, 치료사 선생님도 잘해주십니다.', '좋아요': '0'}, {'작성자': '프렌즈', '별점': '5.0', '날짜': '2023.05.12.', '내용': '직원분들이 다 친절합니다. 항상 감사하고 마음이 안심됩니다', '좋아요': '0'}, {'작성자': '곽미현♥지원지환맘♥', '별점': '5.0', '날짜': '2023.03.23.', '내용': '꼼꼼하게 관리해주시니 편안합니다.', '좋아요': '0'}]","{'월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00'}"
연세사랑모아여성병원,3.0,구로구 중앙로 100 3~8층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2765053A53BCC35633,"[{'작성자': '윌리웡컄', '별점': '3.0', '날짜': '2025.02.25.', '내용': '피부과 다니고있는데 꼼꼼하게 시술해주고 나쁘지 않아요, 그런데 예약 시간 맞춰서 가도 가끔 늦게 온 다른 사람이 먼저 들어가는 경우가 있는데 설명도 안해주는 경우가 있어서 뭔가 싶어요. 해당 부분에 대... 더보기', '좋아요': '0'}, {'작성자': '리뷰어', '별점': '3.0', '날짜': '2025.01.14.', '내용': '이현주원장님 친절하시고 설명도 잘해주십니다. 산부인과 외래 간호사 데스크의 직원? 중 한 분 굉장히 불친절하네요. 의사선생님들이 쌓아놓은 평판 다 까먹겠어요.', '좋아요': '0'}, {'작성자': '나는 나야', '별점': '5.0', '날짜': '2024.11.13.', '내용': '산부인과.. 불편해서 잘 안가졌는데, 불편하지 않게 세심히 안내주셨어요\n지레 겁먹고 추가검사 여쭤봤는데 ㅋㅋㅋ 일단 기본 검사하고 이상있으면 그때 해도 된다고 안심시켜주셔서 너무 감사했어요', '좋아요': '0'}]","{'일': '09:30 ~ 12:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
고척탑정형외과의원,,구로구 경인로 387 스카이타워 3-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfMiAg%2FMDAxNzM0OTU5MTU3ODAz.TfDlOPKlAsTUbPrBdRCV1WUfcpQzS-GVW6MoItYwfoMg.jsM7aI_S9cnEkvRb4r2SQxyeaUIyKBTudX5xGV-VHqQg.JPEG%2FEF9A5734(%25EB%25B0%259D%25EA%25B8%25B0%25EC%2588%2598%25EC%25A0%2595).jpg%3Ftype%3Dw466,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
구로바로본365의원,,"구로구 고척로 140 제일빌딩 6,7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAF6C0FAAB0F14F0E919B2F3853A0AC03,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00'}"
타임안과의원,4.1,구로구 경인로 387 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4CBB231AE3054F1996FD1D23C286FE2E,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.03.19.', '내용': '다신 안갈겁니다ㅡㅡ. (몸고생 마음고생 시간날림) 평점 처음 써보는데 여기가 처음이자 마지막일듯.', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '3.0', '날짜': '2025.01.15.', '내용': '친절직원ㆍ시설깔끔', '좋아요': '0'}, {'작성자': '밍찌', '별점': '5.0', '날짜': '2024.12.20.', '내용': '친절했고 체계적인 시스템이 좋았어요.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
아나파한방병원,4.6,구로구 중앙로1길 18-18 신원프라자 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1090C9A823C740A4B6AA257261227AE2,"[{'작성자': '한수정(준형,준희맘)', '별점': '5.0', '날짜': '2024.07.27.', '내용': '도수치료 잘한다해서 추천 받아 왔습니다\n간호사들이 엄청 친절합니다^^\n웃으며 맞이해줘서 기분이 좋았습니다\n원장님 가족을 치료해주듯 설명도 자세히 설명... 더보기', '좋아요': '0'}, {'작성자': '수정나무', '별점': '5.0', '날짜': '2024.04.29.', '내용': '접수직원도 친절하고 원장님도 꼼꼼하게 제 얘기를  들어주시고   허리가 안 좋았는데  침과 추나 치료로 몇일 치료 했는데 완전히 좋아 졌습니다  너무 고맙습니다  다른분에게 추천 해야 할것 같습니다', '좋아요': '0'}, {'작성자': '미리미♡', '별점': '5.0', '날짜': '2024.04.28.', '내용': '병원이 크고 깨끗해요. 주말,공휴일에도 진료하니까 너무 좋습니다! 접수해주시는 선생님도 친절하시고 치료실 선생님들도 친절합니다!! \n\n원장님께서 침놔주실때도 세심하게 잘 놔주십니... 더보기', '좋아요': '2'}]","{'일': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00'}"
삼성리더스치과의원,,구로구 중앙로 64 고척프라자 가동 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB9294E6A479E404588A9DDDA2A7FC7EC,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 20:00', '수': '09:30 ~ 18:30', '목': '09:30 ~ 20:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
목동현대요양병원,5.0,구로구 중앙로 91,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '08:30 ~ 12:30'}"
