name,score,address,img_url,reviews,open_hour
고려대학교 구로병원,1.8,구로구 구로동로 148,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEyMTZfMjk1%2FMDAxNjcxMTgxODk3MTQy.RcCejormmMyjFj81_DT6RPqdddYubtsiNQsr0mYtzc0g.NNDCNf-7tVV5scJyufutgUdzsYGrwYQc-doSZBtS4XYg.JPEG.ljubavu%2FIMG_6301.JPG%3Ftype%3Dw966,"[{'작성자': '⠀호구가되지않기', '별점': '1.0', '날짜': '2025.03.22.', '내용': '👎 9시 30분에 예약을 했는데 4시간을 기다린 1시 30분에 진료를 보는 이유는? 그럼 예약을 왜 받는겨??', '좋아요': '0'}, {'작성자': '재회.', '별점': '1.0', '날짜': '2025.02.17.', '내용': '살면서 처음 가는경우 인데 아무 용건도 없이 급하게 가봤는데 연○세브란스랑 다르게 입구에 간판만 있지 화살표는 안보이고 참 답답허군 주차장 안내 직원도 없고 가는 길에 차 가는중에 오토바이... 더보기', '좋아요': '0'}, {'작성자': '아깽이', '별점': '1.0', '날짜': '2025.02.14.', '내용': '최악', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:00', '휴무일': '공휴일'}"
참튼튼병원 구로점 신관,3.3,구로구 디지털로32가길 25,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB291847F79D94C59899A29660423572D,"[{'작성자': '고경수', '별점': '1.0', '날짜': '2025.03.13.', '내용': '절대8552100번으로 전화걸지마.\n전화도안받고 예약남겨도 전화안해줌', '좋아요': '0'}, {'작성자': '웁쓰', '별점': '5.0', '날짜': '2025.02.18.', '내용': '매우 만족\n\n여자들은 부인과검진 때문에 검진 한번 받기 너무 꺼려지는데 그 점에서 전혀 불편함이 없었습니다. \n\n여성들 전문 검진은 다 여자분들이 해주셔서 좋고 위내시... 더보기', '좋아요': '0'}, {'작성자': '짱구', '별점': '5.0', '날짜': '2024.11.01.', '내용': '모든면에서 최고의 대우를 받았습니다....\n특히 직원분들이 너무너무 친절하네요~~~~~', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
이안과,3.3,"구로구 구로중앙로 217 지하1층, 5~8층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F239152B998514908933713FD7C39574E,"[{'작성자': '앤디', '별점': '5.0', '날짜': '2024.12.30.', '내용': '출근 전에 진료 봤는데 여전히 친절하시네요 오늘도 기분 좋게 하루 시작!!!', '좋아요': '0'}, {'작성자': '이성민 S LEE', '별점': '1.0', '날짜': '2024.12.24.', '내용': '예약환자로 갔는데도 원장님보기까지 1시간 40분. 직원은 잡담하고 대기실엔 내원환자 서너명. 그런대도 그 시간이 걸리다니 오오 최악입니다.', '좋아요': '0'}, {'작성자': 'AngryMoon', '별점': '1.0', '날짜': '2024.11.14.', '내용': '여기 주차장 정말 최악임. 큰 건물 지으면서 주차장은 너무 신경 안쓴듯. 불편함을 넘어 주차관리인 거만이 하늘을 찌름. 불편사항 이야기했더니 뒷짐지고 기분나쁜 표정으로 남의일 이야기하듯 공감1도 없고(로봇이냐?)... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:30', '휴무일': '공휴일'}"
우리아이들병원,2.1,구로구 새말로 15 솔하임 2~9층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2375FD34517B54AE1A,"[{'작성자': '홀리데이', '별점': '1.0', '날짜': '2025.03.09.', '내용': '백정현, 원종우 선생님 친절하시고 상담도 잘해주세요 반면 다른 선생님들 다 마감되서 어쩔 수 없이 만나는 ㄱㅂㄱ은 고집불통이에요 약때문에 설사가 나서 아이한테 효과가 좋은 유산균을 콕 집어 바꿔... 더보기', '좋아요': '0'}, {'작성자': 'Mr.Nam', '별점': '5.0', '날짜': '2025.01.19.', '내용': '별점이 낮은데 왜 예약이 힘드냐고 ㅠㅠ\n\n봐봐요 후가 낮자나 오지마 다들 나만 갈꺼야..', '좋아요': '0'}, {'작성자': '석대', '별점': '1.0', '날짜': '2025.01.05.', '내용': '의사쌤들은 좋으싱 것 같고 입원실 간호사님도 좋으신데 2층 간호사들이 진짜 ㄹㅇ로 여태껏 본 병원 간호사들 중에 제일 불친절하다못해 기분까지 나쁨;;;;;; 사람 보지도 않고 노트북 쳐다보면서 대화하고 말 끊고 대답... 더보기', '좋아요': '0'}]","{'일': '09:00 ~ 18:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 18:00'}"
구로예스병원,2.0,구로구 구로동로 147,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMjgy%2FMDAxNzM1MTkyMTA2MDIy.xRPy_vBo3FtQIMz-GLpAFVPJPzENTSIEaQtYKqk5Ueog.qnoU_rLg4TkHyKW1bI4B3PFO-lNaB1_JYT7MGAKfqkUg.JPEG%2F%25EA%25B5%25AC%25EB%25A1%259C%25EC%2598%2588%25EC%258A%25A4%25EB%25B3%2591%25EC%259B%259009.jpg%3Ftype%3Dw773,"[{'작성자': '둥가', '별점': '1.0', '날짜': '2025.01.06.', '내용': '진짜 별로\n다른 병원 꼭 가보고 결정하세요\n어쩔 수 없이 다녔지만 갈때마다 열 받음', '좋아요': '1'}, {'작성자': '확고', '별점': '1.0', '날짜': '2024.05.30.', '내용': '참나', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2023.11.30.', '내용': '정말 다시는 방문하고 싶지 않은 병원입니다. 도저히 진료 받고 싶지 않아 통원 진료 도중 그냥 나왔습니다. 비급여 항목 검사 동의서를 받는 간호사에게 내가 받는 검사가 이 병원에선 비급여 항목인 이유에 대... 더보기', '좋아요': '4'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
재단법인 제중의료복지재단 제중 요양병원,0.0,"구로구 새말로 60 지하2층,1~9층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMTIw%2FMDAxNzM1MTc0MTMxMDcw.JxnQSzx03cQEKRm2Oy_FvpPVoU4gaZqwWE6y4TI-j80g.3y2knKVC_biAPqBufuIFgb5HdCnx84EoQe0Mob9UpJ0g.JPEG%2FKakaoTalk_20241224_165153777_18.jpg%3Ftype%3Dw466,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 11:30'}"
세진내과의원,3.5,구로구 구로중앙로 68 신안타워 4층,,"[{'작성자': '최성훈', '별점': '5.0', '날짜': '2025.03.10.', '내용': '아침 공복혈당이 계속 높게 나와서 걱정돼서 다녀왔는데 정확하게 진단해주셨어요.\n집에서도 펩티드요법을 꾸준히 하면서 혈당 관리 중인데 확실히 나아지고 있어요. 감사합니다.\n네이버에 최미란 당... 더보기', '좋아요': '0'}, {'작성자': 'Chloe', '별점': '5.0', '날짜': '2025.01.22.', '내용': '저는 만족스러웠어요 ..!\n여자원장님 친절하시고 좋았습니다', '좋아요': '0'}, {'작성자': '지엔몬', '별점': '5.0', '날짜': '2024.12.03.', '내용': '탈모 성지', '좋아요': '1'}]","{'월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 13:00'}"
서울연세안과의원,3.3,구로구 디지털로32길 79 조영빌딩 7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTdfMjQx%2FMDAxNzMxODI3NTA4MzIz.P5rc6K44BiKWX3lb6G2whuQ-AzqSpPE2iVuZ9cAdxs0g.0sILljiA_MrzymeCrt3kNrW1HjdosfigOPeVAgNvXYkg.JPEG%2F900%25EF%25BC%25BF20241018%25EF%25BC%25BF163340.jpg%3Ftype%3Dw386,"[{'작성자': '무명', '별점': '3.0', '날짜': '2024.08.16.', '내용': '7층 전체가 안과\n사람이 많아서 대기 시간 필요\n큰 수술 같은게 아닌 직장인이라면...', '좋아요': '0'}, {'작성자': 'H2O', '별점': '5.0', '날짜': '2024.07.31.', '내용': '여기 의료진 분들 정말 괜찮아요 ㅎㅎ\n백ㅎ* 간호사님 제 피부가 두꺼운데도 혈관 잘 찾아서 채혈 잘 해주시고 너무 친절하셨습니다. 살면서 뵌 간호사들 중에 손에 꼽을 정도로요. 최고에요.\n김 원장님 조용하시지... 더보기', '좋아요': '0'}, {'작성자': '시안(미금)', '별점': '1.0', '날짜': '2024.03.28.', '내용': '검사 하는거 너무나 눈에 피로감이 확 느껴지고 당일날 쓰라리고 시리고 그담날도 아직도 눈이 충햘되고 아프고 힘들어요\n친절은 해요 근데 너무 불편하고 아파요…', '좋아요': '2'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 19:00', '토': '09:30 ~ 16:00', '휴무일': '공휴일'}"
아름제일병원,,"구로구 새말로 94 2~6, 9층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0AE29BEFBC944F1C94E7DF4A10018ADC,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '08:00 ~ 16:00', '휴무일': '공휴일'}"
참튼튼병원 구로점 본관,2.1,구로구 시흥대로 547 2~10층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfMTE0%2FMDAxNzM0OTM1NDI0ODAy.DLj1gFzFLalvZTQJk6dyoQV9tbx0_1DznOhcGOdGHfsg.-avtj64040XljpZ1OCHzeyBFyHtG9g1rVTiVwarcVNAg.JPEG%2Fsdfg.jpg%3Ftype%3Dw466,"[{'작성자': ': >', '별점': '1.0', '날짜': '2024.11.11.', '내용': '무릎상처 꼬매고 하루입원하는데 200만원 부르는 병원입니다…다른 병원가니 입원 하지도 않음 가지마세요', '좋아요': '2'}, {'작성자': '조주빈', '별점': '1.0', '날짜': '2024.09.02.', '내용': '직원분들은 매우 친절하나 과잉진료가 심하네요.\n염증 문제인데도 엑스레이 및 초음파 검사하네요..', '좋아요': '2'}, {'작성자': '서동욱', '별점': '1.0', '날짜': '2024.07.24.', '내용': '절대 다시는 안감 최악이에요', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
