name,score,address,img_url,reviews,open_hour
성재의원,3.9,구로구 오리로 1268,,"[{'작성자': 'ㅎㅎ', '별점': '1.0', '날짜': '2024.08.12.', '내용': '시장바닥도 아니고~~~', '좋아요': '0'}, {'작성자': '깅김', '별점': '1.0', '날짜': '2023.11.14.', '내용': '조무사싸가지대박', '좋아요': '0'}, {'작성자': '릴리', '별점': '5.0', '날짜': '2022.12.08.', '내용': '의사선생님이 친절하시고 진료도 성심껏 봐주십니다 많은 사람을 대하는 직업이 피곤한 일인데 궁금해 묻는 것마다 성의껏 모두 답해주시고\n의사로서의 본분을 다하는 모습에 놀랐씁니다', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
강상훈치과의원,0.0,구로구 오리로 1289 3층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '휴무일', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
청아한의원,5.0,구로구 부일로 965,,"[{'작성자': 'j', '별점': '5.0', '날짜': '2024.09.05.', '내용': '전에 살던곳 한의원이 넘 마음에 들었던 탓일까 \n이사하면서 몇군데 다녔지만 \n 서너번가면 안가게 되고 마탕한곳 못찾아 \n전에 다니던곳까지 한번씩 애써서 가고는 했는데\n 이번에 여기 선생님 ... 더보기', '좋아요': '0'}, {'작성자': '탁공주(영미)', '별점': '5.0', '날짜': '2024.01.03.', '내용': '아플때마다 가면 바로 효과 보고 와요\n친철하고 물리치료부터 침 부황까지 다른 한의원은 몇개만 해주는곳이 많은데 여긴 한번가면 다해줘서 만족도 높고 조금 멀지만 여기만 다녀요.  벌써 5년 넘었네요', '좋아요': '0'}, {'작성자': '강인성', '별점': '5.0', '날짜': '2023.08.23.', '내용': '동네에 있는 흔한 한의원인데 다녀본곳중에 제일 괜찮았습니다.때마다 약도 한번씩 지어 먹는데 일반 소규모 한의원인데 약재부터 관리하고 직접 다리시는 것도 마음에 들었고 소개받아 가본... 더보기', '좋아요': '2'}]","{'월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 15:00'}"
동진가정의학과의원,1.0,구로구 오리로 1297 청파빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fff5b901d17784436a4ce84d64acbd58207cc30a4%3Foriginal,"[{'작성자': '지중해', '별점': '1.0', '날짜': '2024.03.11.', '내용': '가지 마세요 부모없이 가는 학생한테 무조건 반말에\n소리 지릅니다\n학생이 잘 모르고 그럴수도 있는데 조근조근 설명해 주지 않고  소리 지르며 나가라고\n나이 많다고 반말할 권리 있는거 아닙니다... 더보기', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2023.06.22.', '내용': '여기서 진료받고 저희 할머니 돌아가실뻔 했습니다. 다리에 포진이 생기고 너무 아파 근처 병원을 들린건데 포진을 직접 보고 증상을 들었음에도 단순 소화불량이라며 소화제만 처방해주었습니다. 결국 대형병... 더보기', '좋아요': '0'}, {'작성자': '크리스', '별점': '1.0', '날짜': '2022.03.21.', '내용': '친절하지 않네요', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:30'}"
양근영치과의원,5.0,구로구 부일로15길 10 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FchqDSw%2FbtsATOJVsGO%2FHNpUkbhuXDx9qJi44D1rbK%2Fimg.png,"[{'작성자': '각자도생...', '별점': '5.0', '날짜': '2022.06.06.', '내용': '20여년간 가족들 모두 이용한 병원\n늘 정직하고 한결같은 원장님 이시죠', '좋아요': '0'}, {'작성자': '상정', '별점': '5.0', '날짜': '2020.11.29.', '내용': '최고입니다.  \n\n지금껏 이렇게 좋은 치과 못만났습니다. \n\n10년 전 동네언니들이 추천해서 간 곳이고\n\n우리 가족들 모두 이 곳만 다닙니다. \n\n\n절대 과잉진료 안하고\n\n진료 후 이빨이 아주 편해질 때... 더보기', '좋아요': '0'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 21:00', '수': '14:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00'}"
이정록한의원,4.0,구로구 오리로 1294,,"[{'작성자': 'ok', '별점': '5.0', '날짜': '2024.11.19.', '내용': '몇년전 우연히 방문했는데, 침치료후 아픈곳이 깨끗이 나았고 ,\n그후에도 불편하면 방문하는 곳이 되었다.\n모두 친절하고 편안한곳.\n나을거라는 확신이 있는곳.', '좋아요': '0'}, {'작성자': '코리아나쓰', '별점': '2.0', '날짜': '2023.11.20.', '내용': '첫 개업하고 몇년은 참 좋았는데….;;\n\n딱 겁나 싼 가격. 그정도.', '좋아요': '0'}, {'작성자': 'ㄱ홍순태', '별점': '5.0', '날짜': '2019.09.04.', '내용': '꼼꼼하고 친절하고 안아프게 침을 놓아주세요', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30'}"
서울특별시 서남병원,,양천구 신정이펜1로 20,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0A06CAABED7F40068A1C984E6D8E26DE,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '휴무일', '휴무일': '공휴일'}"
미소들노인전문병원,4.5,구로구 고척로21나길 88-41,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F8E942BA53CEE4DB8AE7EFB0EEB828A38,"[{'작성자': '가리', '별점': '5.0', '날짜': '2025.03.13.', '내용': '간호사분들이  친절하고 병원이 깨끗해요', '좋아요': '0'}, {'작성자': '낭만글쟁이', '별점': '5.0', '날짜': '2025.02.27.', '내용': '가깝고 주차가되서 조아요~', '좋아요': '0'}, {'작성자': '동백1260', '별점': '5.0', '날짜': '2025.02.27.', '내용': '이병원  주변에 잣절공원이 있어 공기가 좋아요', '좋아요': '0'}]","{'월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:00'}"
서울특별시 서남병원 응급실,4.9,양천구 신정이펜1로 20,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA83594F4E93F47FF94808BEA76680AF9,"[{'작성자': '별빛이 내린다 샤랄라', '별점': '4.0', '날짜': '2025.01.03.', '내용': 'ㅌㅇ 적용 가능한 형법조문\n\n공연성 있게 말을 뭣같이 한다\n-모욕죄 가능 (친고죄)\n\n상대방에게 유형력 행사 뿐 아니라,\n고래고래 소리쳐서 상대방 놀라게 할 정도로 난리 부르스\n-폭행죄 가능 (반의사불... 더보기', '좋아요': '0'}, {'작성자': '기원', '별점': '5.0', '날짜': '2024.02.27.', '내용': '엄청 엄청 친절하시고 진료도 빨리봐주시고 이해도 속속 가게 설명해주십니다^^ 간호사분들 정~말 친절하세요!!', '좋아요': '1'}, {'작성자': '언제나닷컴', '별점': '5.0', '날짜': '2024.02.09.', '내용': '정말 친절하고 응급상황에 이런 곳이 있다는 건 정말 축복이라 생각됨.', '좋아요': '0'}]",{}
연세필의원,3.0,구로구 경인로 31-28,,"[{'작성자': '김인숙', '별점': '5.0', '날짜': '2022.06.13.', '내용': '간호사님도 친절하시고.. 선생님이 항생제도 꼭 필요시에만 처방하세요.', '좋아요': '0'}, {'작성자': '고독한항해', '별점': '1.0', '날짜': '2022.03.28.', '내용': '병원 시스템 후졌음', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00'}"
늘푸른치과의원,0.0,구로구 부일로1길 26-13,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 21:00', '목': '휴무일', '금': '09:30 ~ 18:30', '토': '휴무일', '휴무일': '공휴일'}"
중앙미치과의원,0.0,구로구 부일로 873,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00'}"
온수의원,1.2,구로구 부일로1길 26-13 1층,,"[{'작성자': 'Rico', '별점': '3.0', '날짜': '2023.10.24.', '내용': '뭔.. 병원이 병원이 아니고 도때기 시장같음...... 병원이 맞긴 한가요 여기? 노인들 엄청 수다 떨고 의사도 겁나 나이 많고... 그래도 인사는 잘 해주심', '좋아요': '0'}, {'작성자': '맛없는곳만리뷰', '별점': '1.0', '날짜': '2023.09.16.', '내용': '1점도 아까움 청결도 개 최악임 결제하는 간조인지 그냥 직원인지 아줌마 둘이 쌍으로 카드 던지고 서류 던지고 말투 개띠꺼움 진짜 ㅡㅡ', '좋아요': '0'}, {'작성자': '냠냠', '별점': '1.0', '날짜': '2023.03.15.', '내용': '운전면허 신체검사 하는데 진짜 너무 불친절 60대 정도 되어보이시는 할아버지분한테 소리지르고 반말하고 화내듯이 말하고 진짜 개별로; 개인적으로 갈 일은 없을듯함', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:40', '화': '09:00 ~ 18:40', '수': '09:00 ~ 18:40', '목': '09:00 ~ 18:40', '금': '09:00 ~ 18:40', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
연세다솜치과의원,2.7,구로구 부일로 855,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2Fx8wRe%2FbtsAUpXpEfT%2FGOmFE8i6LE6OJHFSENG2d0%2Fimg.png,"[{'작성자': '', '별점': '1.0', '날짜': '2023.12.12.', '내용': '완전 불친절 그자체, 2023.12.11. 오후 2시 30분경에 전화해서 2023.12.12. 저녁 7시30분 예약하고 갔는데 계속 기다리게만 하더군요 기다리다가 예약접수 된거냐고 물어보니 예약은 운영안한다고 하길래 그냥 나왔습니... 더보기', '좋아요': '0'}, {'작성자': '선일목', '별점': '5.0', '날짜': '2022.08.20.', '내용': '친절하게 잘봐주시네요~~', '좋아요': '0'}, {'작성자': '장미나', '별점': '1.0', '날짜': '2021.11.22.', '내용': '굉장히  불친절하더군요', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 21:00', '수': '09:30 ~ 18:30', '목': '09:30 ~ 21:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
본경희한의원,5.0,구로구 부일로1가길 8 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F789560E5CA724BBAB69423C5EA9FE782,"[{'작성자': '김영숙', '별점': '5.0', '날짜': '2024.07.31.', '내용': '추나 잘하십니다~ 원장님 침 잘 놓으세요', '좋아요': '1'}, {'작성자': 'hwajin lee', '별점': '5.0', '날짜': '2020.12.04.', '내용': '친절하고 설명을 잘해줘요', '좋아요': '1'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 15:00', '휴무일': '공휴일'}"
온누리효치과의원,4.1,양천구 신정이펜2로 12 이펜하우스타워 3층,,"[{'작성자': '이정훈', '별점': '5.0', '날짜': '2024.01.01.', '내용': '이번에 금이빨이 떨어져나가 이빨이 너무 아파 방문하였는데  의사선생님이 정말 친절히 성심성의껏. 치료해 주셔서 잘 낫게 되었습니다. 저희 아이들도 어렸을때부터 다녔는데 항상 아이들 이뻐해주시고 잘달래어 치료해주셔... 더보기', '좋아요': '0'}, {'작성자': '영숙장', '별점': '5.0', '날짜': '2022.05.24.', '내용': '다른치과에서임플란트해야한다고해서걱정하고있는찰나친구소개로온누리효치과방문상담결과이뿌리가살아있어임플란트할필요없다고치료만잘하면되다고해서지금까지... 더보기', '좋아요': '2'}, {'작성자': '김윤아', '별점': '5.0', '날짜': '2022.05.10.', '내용': '80도훌쩍넘은엄마가이가아프시다고하셔서\n우선가까운치과""온누리치과효치과""로갔어요.\n나이가있으셔서임플란트라도하시면어떡하나걱정했는데치과쌤이저에게어머니께서는뿌리가살아있다고\n이는뽑지말고치료... 더보기', '좋아요': '3'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 20:00', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
명인경희한의원,4.0,구로구 경인로15길 4 SC메디칼센터 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD5AB6C0196C74DF8975E80A3D3D1A885,"[{'작성자': '코리아나쓰', '별점': '3.0', '날짜': '2023.10.13.', '내용': '뭔가 열심히 하시는데… 항상 가서 한큐에 효과는 못 본 곳…. 참.ㅠㅡㅠ 사람 좋고 과잉진료 없고 진료비 좋은 한의원인데..', '좋아요': '0'}, {'작성자': 'Mmn', '별점': '5.0', '날짜': '2022.09.04.', '내용': '너무 힘든 몸상태로 방문했는데 상담 친절히 잘 해주시고 약이 잘 들어서 만족스럽습니다 감사합니다♡ 곧 보약 지으러 또 가겠습니다', '좋아요': '0'}, {'작성자': 'i', '별점': '5.0', '날짜': '2022.02.18.', '내용': '좋아요~♡', '좋아요': '0'}]","{'일': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날'}"
삼성드림의원,5.0,양천구 신정이펜2로 20 서남프라자 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2579414E51B5C65932,"[{'작성자': '오세활', '별점': '5.0', '날짜': '2023.04.24.', '내용': '원장님의 진단과 처방이 훌륭하십니다', '좋아요': '0'}, {'작성자': '문화창작집단 날 최현', '별점': '5.0', '날짜': '2022.11.28.', '내용': '모든 분들이 친절하시고 전문성도 갖추신^^', '좋아요': '0'}, {'작성자': '세류', '별점': '5.0', '날짜': '2022.06.16.', '내용': '최고에요! 친절하셔용', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
씨네연세치과의원,5.0,양천구 신정이펜2로 22 신정프라자 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2515114F52143CE413,"[{'작성자': '젬마', '별점': '5.0', '날짜': '2023.03.28.', '내용': '친절하시고 조아요', '좋아요': '0'}]","{'월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 20:00', '금': '10:00 ~ 18:30'}"
