name,score,address,img_url,reviews,open_hour
신도림퍼스트정형외과의원,3.8,구로구 경인로63길 11 크라운빌2차 상가 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F687E5955E1D04EF29CEAFBAC553B5921,"[{'작성자': '영김치', '별점': '5.0', '날짜': '2025.03.10.', '내용': '부원장님 진료받았는데 만족. 과잉도 아니고 괜찮은 병원.', '좋아요': '0'}, {'작성자': '대림동꿀돼지', '별점': '5.0', '날짜': '2025.01.26.', '내용': '단순 근육 문제라면 여기 특수 물리치료와 도수치료 다 괜찮습니다. 특히 특수 물리치료 받으면 정말 시원하게 싹 풀려요. 하지만 진료는 잘 모르겠어요. 원장님이 보시는 게 백 프로 다 맞지는 않더라고요.', '좋아요': '2'}, {'작성자': '박유미', '별점': '5.0', '날짜': '2024.08.21.', '내용': '계단에서 넘어져서 발목을 다쳤는데, 친절하게 잘치료해주시고, 물리치료도 여러가지로 해주셔서\n큰 탈없이 잘 회복된 것 같아요.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
닥터스피부과의원 신도림점,,구로구 경인로67길 23 푸르지오2차상가 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC1327F0CA9F148D1B3831D08D9F5AEB8,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 19:30', '화': '10:00 ~ 19:30', '수': '10:00 ~ 19:30', '목': '10:00 ~ 19:30', '금': '10:00 ~ 20:00', '토': '09:30 ~ 15:00', '휴무일': '공휴일'}"
서울눈에빛안과의원,4.5,구로구 경인로 661 신도림 1차 푸르지오 104동 401호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3B4E2B1432644743A246E5C817784216,"[{'작성자': '소소한', '별점': '5.0', '날짜': '2025.03.14.', '내용': '설명이 자세하고 물어보는 거에 대답 다 잘해주세요.  친절하시고 만족합니다. 정기검진 여기서 받아야겠어요..!!', '좋아요': '0'}, {'작성자': '대림동꿀돼지', '별점': '5.0', '날짜': '2025.01.26.', '내용': '원장님이 성의 있게 봐주시고 설명도 쉽고 자세하게 잘 해주십니다. 현재 눈 상태만 보시고도 예전 상태를 기가 막히게 아시더군요. 시술 잘 하십니다.', '좋아요': '0'}, {'작성자': 'ㅊㄴ', '별점': '4.0', '날짜': '2024.04.05.', '내용': '대학병원 진료 지연되서 주변지인 추천으로 망막 수술하라 왔는데 너무 잘되서 리뷰답니다\n감사합니다!!', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 20:00', '토': '08:30 ~ 13:30', '휴무일': '공휴일'}"
에스준의원,3.9,구로구 경인로 643 동아2차아파트 205동 상가 2층 221호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD437412A0CC44C56A47A8F439ED65CB4,"[{'작성자': '청계천 히드라', '별점': '5.0', '날짜': '2025.01.17.', '내용': '여기 남자의사쌤 리얼 명의임.\n피부질환 같은 진료목적으로도 신뢰가 감.', '좋아요': '0'}, {'작성자': '말랑콩떡', '별점': '5.0', '날짜': '2025.01.09.', '내용': '진짜 친절하시고 하나하나 이해할 수 있게끔 설명해주세요\n\n요즘 피부과하면 다 피부관리쪽이라 병원 찾기 힘들었는데 앞으로 피부과는 여기 가려해요 염증때문에 갔던 병원이였는... 더보기', '좋아요': '1'}, {'작성자': '너무 한곳만 리뷰남기는 사람', '별점': '5.0', '날짜': '2025.01.04.', '내용': '여기 정말 참선생님 이십니다. 고작 비립종 제거하는것도 세세하게 설명해주시고 성심성의껏 진료봐주십니다.앞으로 피부과는 여기만 갈려구요', '좋아요': '0'}]","{'일': '휴무일', '월': '10:30 ~ 19:30', '화': '10:30 ~ 19:30', '수': '10:30 ~ 19:30', '목': '10:30 ~ 19:30', '금': '10:30 ~ 19:30', '토': '10:00 ~ 17:00', '휴무일': '공휴일'}"
연세푸른이비인후과의원,3.6,구로구 경인로59길 8 태영프라자 3층 308호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbYTe8f%2FbtslSlhEqiG%2Fk9SHulkPcQYLYpZj0n1Osk%2Fimg.jpg,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.01.20.', '내용': '의사선생님 시원하고 명쾌하게 진료 잘하세요! 자세하게 다 봐주십니다 :)', '좋아요': '0'}, {'작성자': '강지수', '별점': '5.0', '날짜': '2023.09.12.', '내용': '다른 곳보다 진료를 꼼꼼히 보시는 것 같아요. 증상도 자세하게 확인해주시고 증세에 맞게 딱 적절하게 처방해주셔서 에어컨 때문에 심해졌던 비염이 많이 호전됐어요. 동네에서 진료봤을 땐 비염같아요, 말하니까 30... 더보기', '좋아요': '0'}, {'작성자': '랑랑', '별점': '5.0', '날짜': '2023.07.15.', '내용': '약을 잘 쓰시는 것 같아요 ㅎㅎ\n하나이비인후과가 사람 너무많아서 여기로 왔는데 바로 나았어요 \n기침 콧물 가래', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '휴무일', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '10:00 ~ 14:00', '휴무일': '매주 수요일, 일요일'}"
디에이치대항외과의원,3.4,구로구 경인로 661 신도림대우푸르지오1차 2층 259호(국민은행 2층),//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F82E5C67162F4477494C066C176D866EF,"[{'작성자': '붉은노을', '별점': '4.0', '날짜': '2023.10.20.', '내용': '내과는 추천하고 싶어요 친절하고 환자의 상태를 잘 듣고 진단을 잘 합니다 \n외과는 정반대 인것 같습니다', '좋아요': '0'}, {'작성자': '남호근', '별점': '5.0', '날짜': '2023.10.18.', '내용': '항문외과 진료가 아닌 일반 건강검진 받았네요\n\n간호사님 친절하고 의사선생님 친절, 환자 배려,\n\n결과에 대한 상세 설명 등 너무 좋습니다.\n\n의료진의 불친절에 대한 불만글이 좀 보이네요.\n\n저는 완전 만족하구요, 다음에도 방문하렵니다', '좋아요': '0'}, {'작성자': '송아지', '별점': '1.0', '날짜': '2023.08.26.', '내용': '10년 전 치질 걸린 이후 재발해서 방문했더니\n뭔 평소에 변누고 손가락으로 파냈냐는둥 별 이상한 진료 해대고\n수술할만큼 심각한 상황이라더니 \n집근처 병원 가보니 일단 약먹어보자고 함\n\n수술 권유야 진료 스타일 ... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
한길정형외과의원,4.1,구로구 신도림로19길 7 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTFfNjYg%2FMDAxNzMzOTIwOTg3Mjg5.2APjVa5jOttuVeJr6y_leqGkr8htflabp-8T-kKCS4Eg.FoiVx67EHPFuAABWfdRTtbyZeMi4dSl-yo6dKfb0RDAg.JPEG%2FIMG_9342.JPG%3Ftype%3Dw966,"[{'작성자': 'information', '별점': '5.0', '날짜': '2025.01.27.', '내용': '📢 한길정형외과 설날 휴진 안내 📢\n1월 28일(화) ~ 1월 30일(목) 휴진합니다.\n새해 복 많이 받으시고, 따뜻하고 행복한 설날 보내세요!  감사합니다. 🙇\u200d♂️', '좋아요': '0'}, {'작성자': '실제후기', '별점': '5.0', '날짜': '2024.05.14.', '내용': '예약 불가입니다.\n의사쌤 물리치료 중에 직접 오셔서 얼굴을 기억하시고 인사해주시고 상태까지 봐주시네요.\n안내해주시는 간호사분들은 항상 친절하게 웃고 계시구요.\n진료와 검사로 13만원... 더보기', '좋아요': '0'}, {'작성자': '박엄마', '별점': '5.0', '날짜': '2024.05.01.', '내용': '상처가나서 급하게 봉합하러갔는데\n신속하고 친절하게 잘 치료해주셔서 감사드립니다♡', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 21:00', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '휴무일', '휴무일': '공휴일'}"
신도림더맑은의원,,구로구 경인로63길 11 크라운빌2차오피스텔 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4493BDCEE4124F98BD30F39205FA6CE4,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 21:00', '화': '10:00 ~ 19:00', '수': '휴무일', '목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 한글날, 성탄절'}"
연세사랑니치과의원,4.1,구로구 경인로 661 신도림1차푸르지오 2층 207호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjhfMjIx%2FMDAxNzMyODA0ODE1MzM0._T_y-T4tT89MeLkFuzpl-VKzflGu1AELrX98Es55KJ8g.6i3_MPNcLTXgtZeVqCBl4MbCu2dRHF_W-QKB2Nk_F8sg.JPEG%2FIMG_0736.jpg%3Ftype%3Dw386,"[{'작성자': '노현정(윤서윤채)', '별점': '1.0', '날짜': '2025.02.26.', '내용': '아이 교정하는 병원에서 교정 마무리로 사랑니 제거를 이 병원으로 안내해 주셔서 먼거리에 찾아갔습니다.  금액에 놀랐지만 원장선생님은 정말 실력있으신지 아이가 많이 아파하지도 않고 치료... 더보기', '좋아요': '0'}, {'작성자': '오징어', '별점': '5.0', '날짜': '2025.02.03.', '내용': '사랑니 맛집 \n하나도 안아프게 뽑아주셨어요', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '5.0', '날짜': '2025.01.04.', '내용': '극악의 매복사랑니였는데\n하나도 안아프게 잘 뽑음\n엄청 친절하심\n벗 뽑고나서 일주일 아팠는데 이건 뭐 어쩔수없는거긴함\n한쪽 남은것도 여기서 뽑을듯', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '13:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 01:15', '휴무일': '공휴일'}"
닥터유비뇨기과의원,3.4,구로구 경인로67길 23 3층 306호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC22C735A1C2A4DA6A7B17E74EE7C7E00,"[{'작성자': '남호근', '별점': '1.0', '날짜': '2025.03.22.', '내용': '직원들 인사만 잘하고 일처리 개판임. 서로 의사소통도 안해서 실밥 뽑으러온건지 드래싱하러 온건지 내가 말해줘야함. 실밥 뽑냐고 되려 나한테 물어봄. 서로 손발 안맞아서 드래싱 하는데 누워서 1시간 기다림... 더보기', '좋아요': '0'}, {'작성자': '카페인', '별점': '1.0', '날짜': '2021.09.25.', '내용': '적당히 해먹어라 비급여진료비를 억지로 환자한테 떠넘기냐 어디 두고보자 과잉진료비 떠넘기면 어떻케 되는지 느그병원은 오늘 지데루 진상만났다 ~~', '좋아요': '0'}, {'작성자': 'CJH', '별점': '3.0', '날짜': '2021.06.08.', '내용': '친절은한데 직원들 초짜라서 친절함.\n몇가지 안하는데도 1시간씩 걸리는지.\n답답하네요', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '휴무일': '매주 일요일'}"
