name,score,address,img_url,reviews,open_hour
삼성미래여성병원,3.2,구로구 서해안로 2296,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFA7CAC56652749E592DA69CCE4DFB7A6,"[{'작성자': 'sH', '별점': '5.0', '날짜': '2025.03.13.', '내용': '가까운 작은 의원 갔다가 좀 큰 병원으로 옮기려고 여기로 옮김. 지금도 잘 다니고 있음.  이야기 잘들어주시고 선생님 친절하세용.', '좋아요': '0'}, {'작성자': 'k', '별점': '2.0', '날짜': '2025.03.13.', '내용': '간호조무사인지 간호사인지. 2층에 별관과 본관 왔다갔다 하는 임신한 것 같은 직원분. 환자한테 시비걸려는 마음이 한가득인 듯한 적의적인 태도입니다. 뚱한 표정에 뚱한 말투 기본장착이고 질문하면 약간 비웃... 더보기', '좋아요': '1'}, {'작성자': '니엘', '별점': '4.0', '날짜': '2025.03.07.', '내용': '다들 친절해요 수술도 잘 끝났어요', '좋아요': '0'}]","{'일': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '휴무일': '추석당일, 설당일'}"
더세인트요양병원,4.4,구로구 경인로 218,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FFD76BF778F084034A96E2A042240B7BA,"[{'작성자': '해피바이러스', '별점': '5.0', '날짜': '2024.06.10.', '내용': '저희 어머니가 혈액투석으로 요양병원에 입원하게 되었어요~ 일단 주변 추천으로 더세인트를 알게 되었고 입원하신 후  많이 호전되셨고 일단 나이가 있으시다보니 또 예전 넘어지셔서 꼬리뼈도 다... 더보기', '좋아요': '1'}, {'작성자': '단단이', '별점': '5.0', '날짜': '2024.02.15.', '내용': '더서인트요양병원에 친정아버지를 2년간 모시고 돌아가신후, 다시 엄마를 2년6개월간 모시고 엊그제 장례를 치렀다. 아버지때에 원장님을 비롯한 주치의, 간호사님들께 감동받아 엄마도 모셨는데 역시 마지막까지 최선을... 더보기', '좋아요': '5'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
구로삼성정형외과의원,4.3,"구로구 경인로 204 5,6층 501,601호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2F45ABDD50174F2BAE2BA7787D2D4656,"[{'작성자': '미영', '별점': '5.0', '날짜': '2025.02.20.', '내용': '의사샘, 간호사분들 친절하시고 병원 자체도 깔끔하고, 물리치료하시는 분들도 너무 친절해서 기분도 좋아지고 치료받아 몸도 상쾌해요~~', '좋아요': '0'}, {'작성자': '오키도키나이키', '별점': '5.0', '날짜': '2025.02.13.', '내용': '원장님, 치료사선생님들 너무 친절하시고 세심하셔서 정말 좋아요ㅎ 특히 도수치료 선생님 실력이 너무 좋으세요:)', '좋아요': '0'}, {'작성자': '신전떡뽀끼', '별점': '5.0', '날짜': '2025.02.10.', '내용': '원장님게서 꼼꼼하게 아픈 증상 부위를 찾아서 설명해주시고 치료까지 잘 해주셔서 빨리 나을 수 있을 것 같습니다😉', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '매주 일요일'}"
성모나은내과의원,3.9,구로구 경인로 204 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE03D3FF278564540B2C8CC2F1968C2DC,"[{'작성자': '유승우', '별점': '5.0', '날짜': '2025.03.20.', '내용': '식단을 조절해도 혈당이 계속 올라서 병원에 가봤는데, 원인을 꼼꼼히 진단해주셨네요.\n집에서 펩티드 요법을 시작했더니 혈당이 점점 좋아지고 있어요.', '좋아요': '0'}, {'작성자': '주은아', '별점': '1.0', '날짜': '2025.01.24.', '내용': '최악의 병원입니다\n처음 온 사람한테는 일찍 왔어도 순서를 바꿔서 뒤로 밀려서 기다리게 하고 단골손님ㅋ들은 앞으로 빼서 먼저 받게하는 구멍가게 같은 후진국에서나 보는 병원이죠,... 더보기', '좋아요': '1'}, {'작성자': '한소령', '별점': '5.0', '날짜': '2024.11.23.', '내용': '건강검진 받았는데 다들 친절하셨어요🥰', '좋아요': '0'}]","{'월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00'}"
밝은이안과의원,4.3,구로구 경인로 193 상임빌딩 4층,,"[{'작성자': '콧잔등', '별점': '5.0', '날짜': '2024.04.05.', '내용': '가격도 좋고 시설도 좋고 넓음. 의사선생님 친절하세요.', '좋아요': '0'}, {'작성자': '친절한두부', '별점': '5.0', '날짜': '2023.06.20.', '내용': '간호사 선생님 의사 선생님 모두 친절하세요\n처방해주시는 약들 효과도 좋아요', '좋아요': '0'}, {'작성자': 'lily', '별점': '1.0', '날짜': '2023.03.10.', '내용': '지난번 눈에 콩다래끼나서 다녀왔어요 \n후기보고 좋을거같아 갔는데 직원들도 전혀 친절하지않고 오히려 건성이더라구요 의사쌤도 믿음성없이 얘기하고 주의점도 얘기해주지않고.. 결국 보름만에 또 생겨서 멀리 다... 더보기', '좋아요': '3'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00'}"
더고운의원,2.7,구로구 경인로 216,,"[{'작성자': '굥공', '별점': '1.0', '날짜': '2024.11.08.', '내용': '절대 두번 다시는 방문 안합니다 ~ 카카오 리뷰가 안좋은 이유가 있었네요 ㅋㅋ\n1) 하루에 약 몇번 복용해야하냐고 여쭤보니\n“아까 3번 먹으라고 하지 않았나?” 계속 반말하고\n(설령 한번 더 여쭤본들 이렇게 답해주... 더보기', '좋아요': '2'}, {'작성자': 'dptmf', '별점': '5.0', '날짜': '2024.10.25.', '내용': '친절 가성비 빠른진료와 정확한 치료 굿', '좋아요': '0'}, {'작성자': 'ehdrka', '별점': '2.0', '날짜': '2024.09.05.', '내용': '1.마취를 하지도 않고 바로 시술했어요. 마취크림 발라준다 해놓고 다른 시술 설명만 하다 의사샘 오셔서 바로 시술해서.. 눈물이 쏙 나올만큼 아팠는데 중간에 마취 안했다하니 급하게 얼음찜질 팩 1~2초... 더보기', '좋아요': '3'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 14:00', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
연세이비인후과의원,3.9,구로구 경인로 195,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7a992bf931a2e766a2bcaa4dee90c7ace855c99c%3Foriginal,"[{'작성자': '.', '별점': '5.0', '날짜': '2025.03.08.', '내용': '이사와서 이비인후과 찾다가 네이버후기가 좋아서 방문했는데 여자의사분인데 굉장히 진료를 시원시원하게 해주시고 설명도 자세히 잘해주셔요 간호사선생님도 친절하시고 좋아요!', '좋아요': '0'}, {'작성자': '도라', '별점': '1.0', '날짜': '2024.11.23.', '내용': '별점이 나쁘지않아서 왔는데 요일마다 의사선생님이 다르면 환자에게 다르다는것을 알려줘야하는게 기본아닌가요? 아무리 가벼운 질환이라해도 의사마다 진료 처방 방식이 다를텐데 다른 의사가 작성한 차... 더보기', '좋아요': '0'}, {'작성자': 'm40i', '별점': '1.0', '날짜': '2024.07.31.', '내용': '귀지제거 하러 3번째 방문했는데 이제 제거해주시는거 귀찮나봄; 불친절하고 어리다고 무시하는건가? 싶음 귀지제거 집에서 혼자 하지말라매요 ㅋㅋ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
구로센트럴이비인후과의원,4.1,구로구 경인로 176 시티월드 4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fff7f34f83b73919a19a94bd5596ae4a0afe8ce7f%3Foriginal,"[{'작성자': 'Sinsu', '별점': '4.0', '날짜': '2025.01.10.', '내용': '의사쌤 친절하세요.\n독감 수액 페라미플루 맞을 수 있음!\n\n- 단, 중간에 검사환자 들어가면... 진료 회전율이 너무 느려져요.... 답답함', '좋아요': '0'}, {'작성자': '최운행', '별점': '5.0', '날짜': '2024.10.19.', '내용': 'Good !', '좋아요': '0'}, {'작성자': '뚜구리', '별점': '1.0', '날짜': '2023.10.02.', '내용': '대체공휴일(10.2)인데 왜 진료중이라고 돼있나요? 헛걸음했잖아요. 많은 사람들이 보는 것인만큼 신경써주시길..', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '매주 일요일'}"
덕산정형외과의원,2.7,구로구 경인로20가길 5 7층 701호,,"[{'작성자': 'N', '별점': '5.0', '날짜': '2024.05.12.', '내용': '과잉진료 없이 근육주사 잘 놔주세요', '좋아요': '0'}, {'작성자': '장창덕', '별점': '5.0', '날짜': '2023.10.31.', '내용': '항상 친절함을 느낍니다. 편안합니다.', '좋아요': '0'}, {'작성자': 'gomida', '별점': '5.0', '날짜': '2022.11.14.', '내용': '의사로서 과다진료없이~ 효과 입증안된 최신 장비 추천없이 필요한 부분만 딱 집어서 진료하는 참된 전문의! 아픈 분께 강추~~', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00'}"
명인경희한의원,4.0,구로구 경인로15길 4 SC메디칼센터 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD5AB6C0196C74DF8975E80A3D3D1A885,"[{'작성자': '코리아나쓰', '별점': '3.0', '날짜': '2023.10.13.', '내용': '뭔가 열심히 하시는데… 항상 가서 한큐에 효과는 못 본 곳…. 참.ㅠㅡㅠ 사람 좋고 과잉진료 없고 진료비 좋은 한의원인데..', '좋아요': '0'}, {'작성자': 'Mmn', '별점': '5.0', '날짜': '2022.09.04.', '내용': '너무 힘든 몸상태로 방문했는데 상담 친절히 잘 해주시고 약이 잘 들어서 만족스럽습니다 감사합니다♡ 곧 보약 지으러 또 가겠습니다', '좋아요': '0'}, {'작성자': 'i', '별점': '5.0', '날짜': '2022.02.18.', '내용': '좋아요~♡', '좋아요': '0'}]","{'일': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날'}"
정비뇨기과의원,5.0,구로구 경인로 211-1,,"[{'작성자': '정은주', '별점': '5.0', '날짜': '2023.12.29.', '내용': '원장님이 매우 인자하고 자상한 명의이십니다\n기본검사를 바탕으로 정확한 진단후 친절하게 설명하고 진료해 주십니다\n배뇨관련 불편하신 분은 남여노소 누구나 방문하셔서 진료받아 보시길 추천드립니다', '좋아요': '0'}, {'작성자': '미나미노', '별점': '5.0', '날짜': '2023.05.12.', '내용': '정확히 진단해주시고, 친절하게 진료해주십니다.', '좋아요': '0'}, {'작성자': '펭펭', '별점': '5.0', '날짜': '2022.08.17.', '내용': '선생님이 친절하시고 병의 원인에 대해 매우 자세히 설명해 주십니다', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30'}"
코알라이비인후과의원,,구로구 오류로8길 16 세명프라자 202호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '휴무일': '매주 일요일'}"
고고한의원,,"구로구 경인로 204 2,12층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5798F5E20DEB479E9F3A085E3D040927,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '08:00 ~ 17:00', '월': '08:00 ~ 21:00', '화': '08:00 ~ 21:00', '수': '08:00 ~ 21:00', '목': '08:00 ~ 21:00', '금': '08:00 ~ 21:00', '토': '08:00 ~ 17:00'}"
일로한방병원,0.0,"구로구 경인로 176 501, 502, 601호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEyMTRfNjgg%2FMDAxNzAyNTM1Mjg0NjQy.90xUJXEhJYB0K5IPkyYAROyctZtIn91W7Jl82Z6jYocg.7-fNrSmF-zOtDC-fzVfttBgasHIBphxgwrnKhuwZcs0g.JPEG.s-mhanmed%2FSE-7163d51b-2c92-4119-b451-bbc4ad7d2bb9.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00'}"
서울준신경외과의원,,구로구 경인로 224 칸타빌레5차 3층 301~303호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjJfMjAy%2FMDAxNzMyMjQ0OTQ4Njk3.sBLQRcM7lmvpHNUeqkEcpKQMmQQ5JsB34dPOQ4xihf8g.dk_ni-0aRpl5vYBB3S9gQNVTOTnqTGpmMktWtvfjInsg.JPEG%2F1.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
