name,score,address,img_url,reviews,open_hour
연세필의원,3.0,구로구 경인로 31-28,,"[{'작성자': '김인숙', '별점': '5.0', '날짜': '2022.06.13.', '내용': '간호사님도 친절하시고.. 선생님이 항생제도 꼭 필요시에만 처방하세요.', '좋아요': '0'}, {'작성자': '고독한항해', '별점': '1.0', '날짜': '2022.03.28.', '내용': '병원 시스템 후졌음', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00'}"
한상현치과의원,5.0,구로구 경인로 19 동진빌라 2층 203호,,"[{'작성자': '🍕착한피자 궁동점^.^', '별점': '5.0', '날짜': '2024.01.19.', '내용': '예약 힘들지만 착한치과^.^', '좋아요': '1'}, {'작성자': 'isoo', '별점': '5.0', '날짜': '2022.12.04.', '내용': '최고!', '좋아요': '0'}]","{'월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:00'}"
본경희한의원,5.0,구로구 부일로1가길 8 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F789560E5CA724BBAB69423C5EA9FE782,"[{'작성자': '김영숙', '별점': '5.0', '날짜': '2024.07.31.', '내용': '추나 잘하십니다~ 원장님 침 잘 놓으세요', '좋아요': '1'}, {'작성자': 'hwajin lee', '별점': '5.0', '날짜': '2020.12.04.', '내용': '친절하고 설명을 잘해줘요', '좋아요': '1'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 15:00', '휴무일': '공휴일'}"
늘푸른치과의원,0.0,구로구 부일로1길 26-13,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 21:00', '목': '휴무일', '금': '09:30 ~ 18:30', '토': '휴무일', '휴무일': '공휴일'}"
온수의원,1.2,구로구 부일로1길 26-13 1층,,"[{'작성자': 'Rico', '별점': '3.0', '날짜': '2023.10.24.', '내용': '뭔.. 병원이 병원이 아니고 도때기 시장같음...... 병원이 맞긴 한가요 여기? 노인들 엄청 수다 떨고 의사도 겁나 나이 많고... 그래도 인사는 잘 해주심', '좋아요': '0'}, {'작성자': '맛없는곳만리뷰', '별점': '1.0', '날짜': '2023.09.16.', '내용': '1점도 아까움 청결도 개 최악임 결제하는 간조인지 그냥 직원인지 아줌마 둘이 쌍으로 카드 던지고 서류 던지고 말투 개띠꺼움 진짜 ㅡㅡ', '좋아요': '0'}, {'작성자': '냠냠', '별점': '1.0', '날짜': '2023.03.15.', '내용': '운전면허 신체검사 하는데 진짜 너무 불친절 60대 정도 되어보이시는 할아버지분한테 소리지르고 반말하고 화내듯이 말하고 진짜 개별로; 개인적으로 갈 일은 없을듯함', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:40', '화': '09:00 ~ 18:40', '수': '09:00 ~ 18:40', '목': '09:00 ~ 18:40', '금': '09:00 ~ 18:40', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
연세다솜치과의원,2.7,구로구 부일로 855,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2Fx8wRe%2FbtsAUpXpEfT%2FGOmFE8i6LE6OJHFSENG2d0%2Fimg.png,"[{'작성자': '', '별점': '1.0', '날짜': '2023.12.12.', '내용': '완전 불친절 그자체, 2023.12.11. 오후 2시 30분경에 전화해서 2023.12.12. 저녁 7시30분 예약하고 갔는데 계속 기다리게만 하더군요 기다리다가 예약접수 된거냐고 물어보니 예약은 운영안한다고 하길래 그냥 나왔습니... 더보기', '좋아요': '0'}, {'작성자': '선일목', '별점': '5.0', '날짜': '2022.08.20.', '내용': '친절하게 잘봐주시네요~~', '좋아요': '0'}, {'작성자': '장미나', '별점': '1.0', '날짜': '2021.11.22.', '내용': '굉장히  불친절하더군요', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 21:00', '수': '09:30 ~ 18:30', '목': '09:30 ~ 21:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
중앙미치과의원,0.0,구로구 부일로 873,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00'}"
메디홀스의원 역곡점,5.0,부천시 소사구 경인로 567,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F243339465577F61915,"[{'작성자': '인기태', '별점': '5.0', '날짜': '2022.10.13.', '내용': '내과 외과 그리고 간호사 선생님들 모두 친절하시고, 환자를 위해서 최선을 다하고 있는 진심이 느껴집니다.', '좋아요': '0'}, {'작성자': '구름처럼', '별점': '5.0', '날짜': '2022.07.25.', '내용': '내과 선생님. 너무 친절하게 잘 설명해 주셔서 감사합니다.', '좋아요': '0'}, {'작성자': 'J', '별점': '5.0', '날짜': '2021.07.30.', '내용': '코로나 잔여백신 맞으러 갔었는데 선생님 친절하시고, 접수 받으시는 분들이나 간호사 선생님들도 다 친절하셨어요.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
건주병원,4.6,부천시 소사구 경인로536번길 27 2~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F426763B8DCC94A718AC5A170405680BB,"[{'작성자': '보혀니', '별점': '5.0', '날짜': '2025.03.20.', '내용': '병원 내부는 넓고 깔끔하게 관리되어 있어 신뢰감이 들었고, 물리치료도 꼼꼼하고 세심하게 진행해 주셔서 큰 도움을 받았습니다 주말치료도 되어 좋았습니다', '좋아요': '0'}, {'작성자': '김하준', '별점': '5.0', '날짜': '2025.03.13.', '내용': '시설좋아요 장비들도 많아서 대학병원갈필요 없고 과 잉없이 진료해주셨어요. 주차도 편리합니다', '좋아요': '0'}, {'작성자': '피카츄', '별점': '5.0', '날짜': '2025.03.05.', '내용': '원장님의 따뜻한 말씀과 진료 너 무감사합니다. 도수치료쌤과 간호사님 매번 갈때마다 변함없는  치료에 신경써서주셔서 감사합니다.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
강상훈치과의원,0.0,구로구 오리로 1289 3층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '휴무일', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
