name,score,address,img_url,reviews,open_hour
새움병원 본관,,금천구 시흥대로139길 8,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F34625E2AF67D48DE9851E5C3027D7F8C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
서울바른세상병원,4.1,금천구 시흥대로 421,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F8BD986E82C944E3C8E6D65D926CDACD1,"[{'작성자': '하울링3423', '별점': '5.0', '날짜': '2025.03.21.', '내용': '군대 발목 골절상을 입은 가운데 양O병원 우O정형외과 서울바른세상병원 3군데 진료를 받음 이곳 서울바른세상병원은 이름처럼 아름답고 바른세상을 위해 헌신하고 있는 병원인 것 같음', '좋아요': '0'}, {'작성자': '어둠의무게', '별점': '5.0', '날짜': '2025.03.14.', '내용': '대기가 긴편이지만 진료는 만족 추천합니다!!', '좋아요': '0'}, {'작성자': '예꾸꾸', '별점': '5.0', '날짜': '2025.03.12.', '내용': '행사중이어서 mri검사 저렴하게 했어요', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
금천수병원,3.3,금천구 남부순환로 1400 2-9층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MjRfMjc2%2FMDAxNzI3MTUyMzIxNzcy.aoXx6VJ-olzGwSitGEd63DuMV2cwuzLYLUqK3qcjwoog.WFXzxX457bo_tA1B6aEGl_9ZcfM4ZaJPB_HyzYu4j9sg.JPEG%2F%25EA%25B8%2588%25EC%25B2%259C%25EC%2588%2598%25EC%259A%2594%25EC%2596%2591%25EB%25B3%2591%25EC%259B%2590_1.jpg%3Ftype%3Dw966,"[{'작성자': 'H', '별점': '1.0', '날짜': '2024.10.27.', '내용': '재활은어떤지 모르겠지만 간호사 엄청 불친절\n간병인은 늘 자고 있었어요\n보호자한테 짜증내고 소리지르는데\n환자한텐 어떨지\n세심하게 미리 설명은 못해도 물어보면 답은 해줘야 하... 더보기', '좋아요': '1'}, {'작성자': '어린왕자', '별점': '5.0', '날짜': '2023.03.10.', '내용': '제 가족이 암으로 입원했는데 다른병원들은 약정으로 해서 일정금액을 써야지만 입원이 되는데 이병원은 그런거 없이 입원하여 본인이 원하는 면력치료를 할수있어 좋았습니다. 원장님도 친절하시고 병실도 깨끗해서 좋았습니다.', '좋아요': '1'}, {'작성자': '김포시민', '별점': '5.0', '날짜': '2023.03.10.', '내용': '치료잘받고갑니다. 의사분들도 친절하시고 최고네요.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
아카시아병원,3.5,금천구 시흥대로114길 5,,"[{'작성자': '^^', '별점': '5.0', '날짜': '2025.03.06.', '내용': '의사님은 친절하십니다.', '좋아요': '0'}, {'작성자': '땡모까올리', '별점': '1.0', '날짜': '2023.06.23.', '내용': '허리아프신 어머님 모시고 병원을 방문했는데, 환자들의 평균년령이 60~80대 이어서 그런지 병원들어서는 순간부터 마스크착용하라고 카운터 여직원들이 웃지도않고 얼굴은 괴물같은 인상을하고 소... 더보기', '좋아요': '0'}, {'작성자': '박진균', '별점': '5.0', '날짜': '2022.12.01.', '내용': '자전거 낙차사고로 생애 처음 팔꿈치골절 생겼어요.  소개로 김한식선생님에게 다음날 수술 받고 1주일 입원, 이후로 3개월 통원치료했어요. \n\n감사하게도 이제 거의 완쾌되어 생활에 거의 지장이 없어요. 뼈가 완전히 부서졌는... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
명이비인후과의원,4.0,금천구 남부순환로 1384 영남빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4ef932faacd885014662cb0e7df4156075a4d5bb%3Foriginal,"[{'작성자': '❤️', '별점': '5.0', '날짜': '2025.03.10.', '내용': '1월에 독감 걸려서 3번 가고 오늘 비염 때문에 또 다녀 왔어요. 구디 가까이 살아서 그 근처 이비인후과 다니다가 너무 대충대충 약만 처방해주는 느낌이 강해서 그나마 가까운 명이비인후과로 다니니깐 훨씬 좋네요 대기는 진짜... 더보기', '좋아요': '0'}, {'작성자': '조복', '별점': '1.0', '날짜': '2025.02.04.', '내용': '진료받고 수납하기까지 불쾌한 순간들이었음. \n간단히 귀청소 처방받는데 머 한답시고 \n팔꿈치로 은근하게 왼쪽 윗가슴 터치감이 있어서 불쾌했고\n드라이기같이 생긴 걸로 귀 소독 받고 있는데 \n간호사가 수납하라고 이름 부르고 있음... 더보기', '좋아요': '0'}, {'작성자': '카키', '별점': '5.0', '날짜': '2025.01.14.', '내용': '오픈시간 맞춰갔는데 대기하는사람이 많네요\n사람 몰리는곳은 그만한 이유가 있는것 같아요\n잘 진료 받고 갑니다.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
에스본의원,3.4,금천구 남부순환로 1372 현경빌딩 6~8층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F469C5E1CDFBB4C798EA11AA67FA1A879,"[{'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2025.01.11.', '내용': '도수 치료 최소 15만원인데 치료사 사바사도 너무 심하고 불친절함 병원이라기보단 장사하는 집 같음 도수 효과있는지도 모르겠고 돈 아까움', '좋아요': '0'}, {'작성자': '♡♡♡', '별점': '5.0', '날짜': '2024.01.01.', '내용': '원장님도 친절하고 아주 좋아요^^♡', '좋아요': '0'}, {'작성자': '민트', '별점': '3.0', '날짜': '2019.06.20.', '내용': '허름하고 어르신들 많음.은근 기다려야함. 다들 적당히 친절하고 적당히 서비스하고 적당한느낌. 물리치료 가격 안비쌈.', '좋아요': '2'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
MJ산부인과의원,,"금천구 두산로 81 지하1층,2-8층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMjFfMjkg%2FMDAxNjc2OTY0ODMyNDM2.KVVGDiEhfV6twIbfJKaM6cGjYlUO9EGH1VvbgZzSpaUg.zrk8bNup3chya4hsLHILoWoO41FsMWaIOERZ9oBigCsg.PNG.mjcc2014%2F094.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 17:00'}"
서울정형외과의원,3.9,금천구 시흥대로 440,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fef02ef634d2319cf73c3ab3c6d7c1d2175831234%3Foriginal,"[{'작성자': '1점:조작/벌레/최악', '별점': '3.0', '날짜': '2023.08.29.', '내용': '불친절하던 접수처 직원은 요새 없어요.\n근데 의사쌤 잘봐주시긴 한데 뭔가 무슨 증상이든 치료방법이 똑같은 느낌..\n참고로 토요일에 가면 진료부터 물리치료까지 2시간이라 시간 넉넉히 잡고 가야돼요.', '좋아요': '0'}, {'작성자': '박종미', '별점': '5.0', '날짜': '2023.06.10.', '내용': '내성 발톱으로 고생했는데 친철하게 대응해주시고 설명 잘해주셔서 좋았어요.\n덕분에 살것같습니다ㅠㅠㅠ\n간호사분들도 너무 잘해주시고 의사선생님도 너무 잘해주셔서 감동..', '좋아요': '0'}, {'작성자': '김규한', '별점': '4.0', '날짜': '2021.01.13.', '내용': '의사선생님 정말 친절하고 좋습니다. 접수처에 있는 젊은 아가씨가 문제에요. 너무 불친절함', '좋아요': '1'}]","{'일': '휴무일', '월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30', '목': '08:00 ~ 18:30', '금': '08:00 ~ 18:30', '토': '08:00 ~ 14:00', '휴무일': '공휴일'}"
연세허브치과의원,4.4,금천구 남부순환로 1372,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MDdfMzIg%2FMDAxNjkxNDEwNzA4NDIz.nHUKFv_z-IM-HAn-EdUpJVm0zrRFEX3qGoMhI2sJxqgg.mxrD9XS8bGvPrRS9ksh7jQJ4VGMcT9MPvz61zc8sExMg.JPEG.soteletubby%2FIMG_0891.jpg%3Ftype%3Dw773,"[{'작성자': '뭔대', '별점': '4.0', '날짜': '2024.07.05.', '내용': '충치치료를 했구용 의사분과 간호사분들 모두 친절하셔요. 진료도 꼼꼼히 잘 해주세요.\n해놓고보니 잘했다 싶어요\n충치 위치마다 가격이 다르니 사이사이 잘 닦아야해요..\n안그러면.. 텅장되요... 치실도 잘하고..', '좋아요': '0'}, {'작성자': 'BH', '별점': '5.0', '날짜': '2024.06.08.', '내용': '치아교정 스케일링', '좋아요': '0'}, {'작성자': '김주리', '별점': '5.0', '날짜': '2022.09.17.', '내용': '원장님 두분 다 친절하세요', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 20:00', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '09:30 ~ 14:30', '휴무일': '공휴일'}"
모세안과의원,4.1,금천구 시흥대로 403 8층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMjI4%2FMDAxNzM1MjE0ODk5NzA4.7iDsBLaQWKkdHSAMQm57LqcflkzlYxSBusIMYW53Mugg.OpW-gXj1m63QRsBQNh4WvkN4ZgDbmPtOSzKrDCFk1oYg.JPEG%2FJDO_0114.jpg%3Ftype%3Dw466,"[{'작성자': '먹짱', '별점': '5.0', '날짜': '2024.08.05.', '내용': '친절하시고 설명도 자세하십니다. 과 상관 없이 방문했던 병원 중에 제일 만족스럽습니다.', '좋아요': '0'}, {'작성자': '선영', '별점': '5.0', '날짜': '2024.05.16.', '내용': '엄청 친절하고 진료내용고 세세하게 말씀해주셨어요 근 몇년동안 경험했던 병원중에서 제일 좋았습니다. 환자가 많았는데 기다린 시간이 아깝지 않았어요.', '좋아요': '0'}, {'작성자': '베르빌', '별점': '5.0', '날짜': '2024.03.31.', '내용': '친절하고 진료도 잘하는 곳입니다.\n유일한 흠이 환자가 많아 대기시간이 긴 것입니다.\n진료 잘하고 친절하니 사람이 많은 것은 당연한 것으로 생각하면 될 것 같읍니다.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '휴무일': '매주 일요일'}"
