name,score,address,img_url,reviews,open_hour
원자력병원,,노원구 노원로 75,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:30 ~ 16:30', '목': '08:30 ~ 16:30', '금': '08:30 ~ 16:30', '토': '휴무일', '일': '휴무일', '월': '08:30 ~ 16:30', '화': '08:30 ~ 16:30', '휴무일': '공휴일'}"
강북연세병원,3.3,노원구 동일로 996,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F82F452D0186C4DD3A28A4708100498FF,"[{'작성자': '1', '별점': '5.0', '날짜': '2025.03.04.', '내용': '항상 갈때마다 친절해요!!!\n어깨 많이 좋아져서 만족합니다!!\n예약취소안하고 잘다닌게요.', '좋아요': '0'}, {'작성자': ':)', '별점': '1.0', '날짜': '2025.02.28.', '내용': '---여기 몇몇애들 후기 알바쓰네요 다 병원만 씀- 최유왕\n최유왕 이사람에게 수술 절대 하지마세요\n저희 어머니 인공관절 수술 ... 더보기', '좋아요': '3'}, {'작성자': '정지수', '별점': '5.0', '날짜': '2025.02.07.', '내용': '어머니께서 여기서 인공관절수술 했는데 환자 눈높이에 맞춰서 설명해 주셔서 감사했습니다. 간병인도 따로 구할 필요 없어서 좋았습니다.', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
방병원,,노원구 동일로 989 2~9층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F6A16E31971D74406BDBAFA62ABFF667C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '공휴일'}"
이준영피부과의원,3.6,노원구 동일로 1101 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MjdfMjQx%2FMDAxNzIyMDYwOTA1NDM2.1OpNK9hsE79Ly4VyuYufjng493MojZm2c-V2AYkCc9Mg.Ri0HSTe3vQYNlnKGyxps3Ho6Lcl1nxyfGEC-fa-v1LYg.JPEG%2F20240726%25EF%25BC%25BF112712.jpg%3Ftype%3Dw773,"[{'작성자': '오예스', '별점': '5.0', '날짜': '2025.03.26.', '내용': '사마귀 빼러 다니다가 조금 정들었다..가격도 다른 대형병원에 비해 저렴!', '좋아요': '0'}, {'작성자': '별바람꽃', '별점': '3.0', '날짜': '2025.02.25.', '내용': '아버지 검버섯 제거 때문에 갔었는데 친절한스타일은 아니지만 그렇다고 엄청 불친절까지는... 더보기', '좋아요': '0'}, {'작성자': '오렌지', '별점': '5.0', '날짜': '2024.10.28.', '내용': '원장님, 간호사님들 모두 좋으십니다.\n피부질환 전문으로 보는 병원이라고 합니다.\n추천합니다.', '좋아요': '0'}]","{'수': '휴무일', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 12:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '휴무일': '매주 수요일, 일요일'}"
태릉밝은안과의원,,노원구 동일로 1005 대정빌딩 3-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA4BF8D20687C486B991EE4B084E72625,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '휴무일': '공휴일'}"
참다운요양병원,3.0,"노원구 동일로 987 1,3,5,7,9층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F157C082F20A044A0AC06C37F10813A8D,"[{'작성자': '쭈', '별점': '1.0', '날짜': '2025.02.08.', '내용': '시설 깔끔하고 쾌적해서 결정했는데 빛 좋은 개살구\n공동간병인거 감안해도 간병인... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
퀸스메디산부인과의원,,"노원구 동일로 1059 지하1층, 2~4,6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F491D49AFEDC843578A38A41369BFD75C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:30', '일': '10:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '추석당일, 설당일'}"
공릉성모마취통증의학과의원,,노원구 공릉로 181 대상빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA0CA22E44998471F949999CE8DCB6BE8,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
모아한방병원,4.8,"노원구 동일로 987 2,5~7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA0MDRfMjk0%2FMDAxNjQ5MDQ0NjQwMjIw.ER21TolPY4W7d6HEFKr6z5vSF0-f6SB8gBAGHWd7ZOYg.o7Scf0pdITpHCCngQKmO7g7KKhdtHErm_ifju80rvc0g.JPEG.art_itecture%2FKIWA-1_8_-_Photo.jpg%3Ftype%3Dw773,"[{'작성자': '박기린', '별점': '5.0', '날짜': '2024.07.13.', '내용': '주치의쌤 너무 친절하시고 치료 잘 해주셔서 좋았어요 전체적으로 깔끔했습니다', '좋아요': '0'}, {'작성자': '만두두판', '별점': '1.0', '날짜': '2024.05.27.', '내용': '월차쓰고오세요 시간녹습니다 ㅡㅡ', '좋아요': '0'}, {'작성자': 'ㆍ', '별점': '1.0', '날짜': '2024.05.01.', '내용': '데스크직원이 정신없네요\n입원상담 하러갔는데.. 잠깐 기다리라더니 30분째\n지볼일만보고 ... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00'}"
서울미르한방병원,4.2,노원구 동일로197길 11 공상빌딩 2~4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMjA5MjJfNzIg%2FMDAxNjYzODEyMTYwMTE0.KrlUOZTP61NAhTVoFANKXBcsifpLHWHkNE1YRY5Mwb8g.NpzEle0tcVXK7Uk_veYXOcy3AK7fdHvFzUt__sy4T_Ug.PNG.rnjstngus9959%2F011.png%3Ftype%3Dw1,"[{'작성자': 'Colin', '별점': '5.0', '날짜': '2025.03.15.', '내용': '후방추돌로 근육 많이 놀랐는데 치료 잘 받고 회복 잘해서 퇴원합니다 밥도 맛있었어요 감사합니다', '좋아요': '0'}, {'작성자': '아쿠아블루', '별점': '5.0', '날짜': '2025.02.26.', '내용': '교통사고로 입원을 한방에서는 처음인데 치료 및 치료사 선생님 너무 친철 그리고 이쁘신 원장님도 상냥하시고 좋아여', '좋아요': '0'}, {'작성자': '윤아름', '별점': '5.0', '날짜': '2025.02.23.', '내용': '교통사고로 입원 치료 받았는데 간호사쌤들 너무 친절하시구 원장님도 치료 잘 해주셔서 빨리 회복했어요!! 밥도 맛있어요!!', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 16:00', '일': '09:00 ~ 16:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
