name,score,address,img_url,reviews,open_hour
인제대학교 상계백병원,1.6,노원구 동일로 1342,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBEC5AAD2E57842F6B0EBF58E55C6FF0F,"[{'작성자': '아쿠', '별점': '1.0', '날짜': '2025.04.02.', '내용': '에라이 나쁜놈들', '좋아요': '0'}, {'작성자': '신혜서', '별점': '1.0', '날짜': '2025.03.05.', '내용': '이곳은 3차병원도 아닌데 비용은 천장을 뚫고.. \n의사중 허리전문과 있어서 몇번갔는데 처음갔을 때보다 진짜 의사가 변질이 되나서... 더보기', '좋아요': '0'}, {'작성자': '', '별점': '5.0', '날짜': '2025.02.14.', '내용': '너무 만족스럽습니다', '좋아요': '0'}]","{'목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 12:00', '일': '휴무일', '월': '08:30 ~ 17:00', '화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '휴무일': '공휴일'}"
차앤박피부과의원 노원,,노원구 노해로 495 삼용빌딩 5층 501호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1514F14F4D8C40EF04,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '휴무일', '금': '10:30 ~ 19:00', '토': '10:00 ~ 17:00', '월': '10:30 ~ 19:00', '화': '10:30 ~ 19:00', '수': '10:30 ~ 19:00', '휴무일': '매주 목요일 (주중에 공휴일이 있을 경우 목요일 진료 있습니다.)'}"
유엔비외과의원,5.0,노원구 동일로215길 2 하나빌딩 5-6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjRfOTUg%2FMDAxNzM1MDE4MTYzMjMz.fgSclb0Zjsug1uLc__ubRy0T7slXD-Cq6cd_V6jMPW4g.oDY8hx6XOlI6rOhGIVgnlzCBypO7r0B5wzm-P8j-iXMg.JPEG%2F%25EC%259C%25A0%25EC%2597%2594%25EB%25B9%2584_(10)_010.jpg%3Ftype%3Dw966,"[{'작성자': 'ㅎㅇ', '별점': '5.0', '날짜': '2024.09.15.', '내용': '8월에 이승근 원장님께 표피낭종 수술 받았는데 친절하시고 수술 할 때도 긴장 풀어주시면서 진행 해주셔서 너무 감사했습니다.덕분에 표피낭종이 좀 컸는데 무사히 수술하고 잘 아물었습니... 더보기', '좋아요': '0'}, {'작성자': '서울사람', '별점': '5.0', '날짜': '2024.05.11.', '내용': '맛집 말고는 리뷰 잘 안 하는데\n카맵 리뷰를 보고 방문한지라 나도 ... 더보기', '좋아요': '0'}, {'작성자': '나무아미타불   관세음보살', '별점': '5.0', '날짜': '2024.03.26.', '내용': '의사샘부터 다들 친절 하십니다. 추천~', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
이지함피부과 강북점,2.7,노원구 노해로 457 은성빌딩 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F23520A3F5537694905,"[{'작성자': '리얼후기만남김', '별점': '2.0', '날짜': '2024.04.17.', '내용': '의사 진료는 그냥 그랬어요. 슥 보더니 진료실로 갔죠.\n의사는 간단한 설명만 해줬어요. 일단 약을 먹고 살펴 봐야하는 상태라서 그런 것 같아요.\n... 더보기', '좋아요': '1'}, {'작성자': '뇽뇽뇽', '별점': '3.0', '날짜': '2023.06.19.', '내용': '가격에 대한 안내를 물어보기 전까지 안해주시고, 은근하게 진행하려고 하시는게 있었습니다. 주차도 30분만 무료라는 소식을 몰랐어서 아쉬웠습니다. 또한 의사 선생님의 전문성이 떨어져보였습니다', '좋아요': '0'}, {'작성자': '구름달', '별점': '5.0', '날짜': '2022.12.13.', '내용': '원장님도 선생님들도 모두가 친절하시고 전문적이셔서 안심하고 다녔습니다:) 감사합니다😆👍🏻 강추예요', '좋아요': '0'}]","{'목': '10:30 ~ 19:30', '금': '10:30 ~ 19:30', '토': '10:00 ~ 15:30', '일': '휴무일', '월': '14:00 ~ 19:30', '화': '10:30 ~ 19:30', '수': '10:30 ~ 19:30', '휴무일': '매주 일요일'}"
새힘병원,4.7,노원구 노원로 416,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F3F17ECEAD39945E3A538CCA6FBD47E32,"[{'작성자': '포포', '별점': '5.0', '날짜': '2025.03.29.', '내용': '평이 좋은 이유가 있네요. 이런 생각 하면 안되지만 너무 친절하셔서 입원하고싶었어요..^^', '좋아요': '0'}, {'작성자': 'joy', '별점': '2.0', '날짜': '2025.02.16.', '내용': '3차 대형병원과의 차이는 어쩔수 없네요', '좋아요': '0'}, {'작성자': '나', '별점': '5.0', '날짜': '2024.11.16.', '내용': '직원들 친절하고 이철우 대표 원장님 편안하게 환자의 입장에서 얘기해주고 환자의 마음을 이해하시는거 같아서 편하게 진료 잘받고 왔습니다. 의학에대해선 모르지만 전문성이 느껴지는거 같아서 믿음이가서 좋았습니다', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
노원삼성정형외과,4.0,노원구 노해로 456 동방빌딩 5층 501호 노원삼성정형외과의원,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1524CE0EF6C14EB9A1D172F23090ABDD,"[{'작성자': 'become', '별점': '5.0', '날짜': '2024.11.20.', '내용': '이곳이 정말 좋은 이유는 친절하게 상세히 설명을 해주십니다. 다른 큰병원 작은병원들은 물론 치료야 잘 해주시지만 설명을 안해주셔서 쫓겨나듯이 나오는데... 더보기', '좋아요': '0'}, {'작성자': '이현실', '별점': '5.0', '날짜': '2024.08.23.', '내용': '젊은 나이에 무릎 관절염으로 고생한지 5년 가량..\n노원구 도봉구 유명한 정형외과 다 찾아가봤는데 진단도 제대로 못해주셨어요 여긴 지인 소개로 오게되었... 더보기', '좋아요': '0'}, {'작성자': '원조용용이', '별점': '5.0', '날짜': '2024.04.13.', '내용': '원래 이 병원 전신인 노원척의원부터 다녔던 병원입니다.\n이번에 MRI촬영차 재방문했구요.\n전보다 환자가 ... 더보기', '좋아요': '1'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '휴무일': '공휴일'}"
하나이비인후과의원,,노원구 동일로 1405 국민은행 노원지점 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8CBCC96CF1D84B8DA050BA517DDA7A1C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '휴무일': '공휴일'}"
안호범안스성형외과의원,1.0,노원구 노해로 460 세현빌딩 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F519EB8BEFE564D1198F190A653B5DDA6,"[{'작성자': '최민지', '별점': '1.0', '날짜': '2022.01.05.', '내용': '쌍꺼풀 재수술하려고하는데요  비용은 어느정도들어가나요?', '좋아요': '5'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
노원참튼튼병원,,"노원구 노해로 502 2, 3, 5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F194BCE3D5121B7B213,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
메디아이여성병원,,노원구 노원로 448,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA1MDFfMjQw%2FMDAxNjgyODY4NTIyMzkx.q7BU9v7Xrp3pgCnNauncQQFPiShgFAuLzo8KJ4fC71kg.TiYZQiIy_TBvS-2lttsXMZHCPPio1PN_VxLnGB0iFE8g.JPEG.ovi1%2FSE-2c6878ff-e596-4957-bdc3-b9288ff08364.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 16:00', '일': '09:00 ~ 12:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
