name,score,address,img_url,reviews,open_hour
중계의원,2.3,노원구 한글비석로 331 주공3단지상가 206호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMzBfMjM2%2FMDAxNzMyOTA0ODI4OTM2.Z8E3VvS7BHT3WrXgIIcU7Iq11PzP-iGDUh4O-OwUwHIg.2dLtzZMuqVb3n2-b8rpBEwC_k3zzNRE-twwZe5r3XvAg.JPEG%2FSE-9544DF47-6101-432B-839B-FE40D20AF792.jpg%3Ftype%3Dw773,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.03.14.', '내용': '간호사 한명 진짜 대응 개열받아서 남깁니다ㅋㅋㅋㅋ 예약된거 찾아달라하는데 한숨 쉬고 일하기 싫으시면 퇴근하세요ㅋㅋㅋㅋㅋ 예약자한테 뭐하시는 ;; 6개월 전 새벽... 더보기', '좋아요': '0'}, {'작성자': ',', '별점': '3.0', '날짜': '2024.07.22.', '내용': '10년 전부터 다녔고 왕복 4시간 걸리는데서 출발해서 뛰어올라갔는데 5분 늦었다고 접수 안시켜주더라고요. 늦은 사람이 잘못인데 정떨어져서 다신 안가려고요^^ 서울에 다른데 있더라고요 거기로 가렵니다. 그리고 흑자 너무 세게 지져서 흉 남았어요', '좋아요': '4'}, {'작성자': '보리20', '별점': '1.0', '날짜': '2024.07.04.', '내용': '예전에 방문하고 다시 방문했는데, 다시 방문 안 할 듯요', '좋아요': '3'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '07:00 ~ 12:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
삼성바른내과의원,3.6,노원구 한글비석로 270 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F719099109b6bbb5d6e0aeaa745d3bb9551db2bb2%3Foriginal,"[{'작성자': '오예', '별점': '1.0', '날짜': '2025.01.20.', '내용': '독감인데 독감 검사도 안 하고는 독감 아니라고 단언해서 개고생하다 응급실옴', '좋아요': '0'}, {'작성자': '도리', '별점': '5.0', '날짜': '2024.12.20.', '내용': '환자기준 맨 오른쪽에 앉으신 간호사쌤\n진짜진짜 친절하심\n수액 놔주시는데 진짜 .. 감동받았어요 ㅠ 으엥', '좋아요': '0'}, {'작성자': 'kleenex', '별점': '4.0', '날짜': '2024.04.16.', '내용': '친절하나 가벼운감기에 비급여 약처방', '좋아요': '0'}]","{'목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00'}"
노원솔요양재활병원,0.0,노원구 덕릉로 690 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMjRfMTQ0%2FMDAxNzI5NzU0MTA2NzE4.XUnyhWgkDRJLsGLC9R6HDx5gfbSaZY-s_kKkN-sBBEcg.pmgHGu0FiMzUxov9FnjJ7DiY0itLKIqfpW1-tgWD70Mg.PNG%2F%25ED%258F%2589%25EA%25B0%2580%25EB%2593%25B1%25EA%25B8%2589_(1).png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:30', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30'}"
메이퓨어의원 중계은행사거리점,,노원구 중계로 201 오성프라자 401호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fstorep-phinf.pstatic.net%2Fogq_61b50e8980ef2%2Foriginal_20.png%3Ftype%3Dp100_100,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '10:30 ~ 20:30', '금': '10:30 ~ 20:30', '토': '10:00 ~ 17:00', '월': '10:30 ~ 20:30', '화': '10:30 ~ 20:30', '수': '10:30 ~ 20:30', '휴무일': '공휴일'}"
라두스의원,4.8,"노원구 덕릉로 663-6 지하1층, 1,2층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC08ADAFBEDAF4861B15EDD97B2E73E6D,"[{'작성자': '눅', '별점': '5.0', '날짜': '2025.02.18.', '내용': '좋아요', '좋아요': '0'}, {'작성자': '백록담 가고 싶다', '별점': '5.0', '날짜': '2025.02.13.', '내용': '친절하고 열성적으로 관리해주십니다.\n아주 만족합니다.', '좋아요': '0'}, {'작성자': '은은', '별점': '5.0', '날짜': '2025.02.13.', '내용': '집에서 정말 가까운 곳에 의원이 생겨서 좋아요! 웬만한 시술은 다 취급하고, 저렴하고 친절합니다. 조용해요 굿', '좋아요': '0'}]","{'목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 16:00', '일': '10:00 ~ 16:00', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00'}"
노원다담한의원,4.9,노원구 동일로 1308 정안프라자 3층 302호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F60C6A685EA2B4E4F860CFE1321797801,"[{'작성자': 'boeuk', '별점': '5.0', '날짜': '2023.02.14.', '내용': '발목 삐었는데 오랫동안 낫질 않아서 가봤는데 며칠만에 침맞고 정말 많이 좋아졌어요. 후기 잘 안남기는데 남겨봅니다.', '좋아요': '0'}, {'작성자': '별가사리', '별점': '5.0', '날짜': '2021.04.30.', '내용': '쌩쌩이 하다가 발목을 삐었는데 가서 침 맞으니 금방 나았어요! 의사쌤도 친절하시고 분위기도 편안해서 치료받으면서 꿀잠잤어요.', '좋아요': '2'}, {'작성자': 'looki', '별점': '4.0', '날짜': '2021.04.28.', '내용': '물리치료 + 도수치료 받고 있는데 넘 친절하심.', '좋아요': '1'}]","{'목': '09:30 ~ 21:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 21:00', '수': '09:30 ~ 19:00', '휴무일': '매주 일요일'}"
스카이서울안과의원,4.5,노원구 한글비석로 270 스카이타워 3층 301~303호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1320185042,"[{'작성자': '노빠꾸', '별점': '5.0', '날짜': '2024.05.24.', '내용': '서울 안과 중에 일요일에 여는 곳은 제대로된 곳이 여기밖에 없음 참고로 사람 많음 급하면 오전에 가야할듯', '좋아요': '1'}, {'작성자': '♡♡맘~', '별점': '5.0', '날짜': '2023.11.01.', '내용': '선생님 친절하시고 우리식구 다 여기로 다녀요', '좋아요': '1'}, {'작성자': '', '별점': '5.0', '날짜': '2023.10.29.', '내용': '일요일에 진료하는 안과가 없어서 찾아보다가\n급하게 갔는데 선생님들도 친절하시고 원장님도 과잉진료 안하시고 제 증상도 자세... 더보기', '좋아요': '1'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '09:00 ~ 14:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '휴무일': '공휴일'}"
더웰내과의원,,"노원구 한글비석로 383 삼창타워프라자 2층, 1층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDF128264D70D43768F2E9209E7D3BE4D,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 14:00', '일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '휴무일': '공휴일'}"
중계넘버원정형외과의원,5.0,노원구 한글비석로 263 성모빌딩 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MDJfOCAg%2FMDAxNzI1MjM4NjIzNzI4.2E-4dWDlO57pC_kxB9zgV_aQiVmkw1RJovYjYa9Y-XIg.tv9Cks2CTG1rVxw6ofps1ee9xgc4ruIKR7JWDiGKlT0g.JPEG%2FAdobeStock_878461536.jpeg%3Ftype%3Dw966,"[{'작성자': 'H', '별점': '5.0', '날짜': '2024.11.09.', '내용': '환자가 아무리 많아도 원장님 정말 꼼꼼하게 잘 봐주십니다. 사소한 질문도 끈기있게 다 들어주시고 친절하게 답변해주세... 더보기', '좋아요': '0'}, {'작성자': '백록담 가고 싶다', '별점': '5.0', '날짜': '2024.09.30.', '내용': '친절함.\n오후가 그나마 한가함', '좋아요': '0'}, {'작성자': '오소리', '별점': '5.0', '날짜': '2024.07.01.', '내용': '간호사 선생님들이랑 의사 선생님 전부 다 친절한 병원 처음 봅니다.', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
안이비인후과의원,3.9,노원구 한글비석로 253 세신프라자 303호,,"[{'작성자': '직언직필', '별점': '1.0', '날짜': '2023.10.04.', '내용': '친절한 설명과 처방 좋았습니다.\n그러나\n접수 간조사의 설명이 마스크 써서 작게 들려 다시 요구했고, 앞으로 그렇게 해주면 좋겠다했더니... 더보기', '좋아요': '0'}, {'작성자': 'ㅅㄱ', '별점': '1.0', '날짜': '2023.05.24.', '내용': '나이많은 의사가 정말 성의 없음. 처방전 쓸때 막 시험공부하듯이 열심히 쓰는 모습에 속으면 절대 안됨.', '좋아요': '2'}, {'작성자': '삐약', '별점': '5.0', '날짜': '2023.03.18.', '내용': '은사에서 이비인후과 찾으시면 꼭 여기로 가세요! 의사선생님께서 친절하게 증상에 대해서 설명해주시고, 물어봐주셔서 너무너무 좋았어요 ㅎㅎ 역시 오래 인정받는 이유가 있는 듯! 감기도 바로 나았어요 :)', '좋아요': '0'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '14:00 ~ 18:00', '휴무일': '공휴일'}"
