name,score,address,img_url,reviews,open_hour
서울노보스병원 신관,2.2,도봉구 도봉로 755,,"[{'작성자': '후훗', '별점': '1.0', '날짜': '2024.05.25.', '내용': '원무과 얘기들이 보이는데... 도봉병원때 입원했었는데 원무과 것들 슬애기였음 ... ㅎㅎ', '좋아요': '0'}, {'작성자': '1Tyms', '별점': '1.0', '날짜': '2023.07.16.', '내용': '건강검진 받으러 감. 접수상담선생들 어눌하고 전혀! 전문적이지도 않고 뭐 이런 병원이 있나 싶음. 두번 방문해서 두번다 그모양이면 더 생각할 필요도 없는거지', '좋아요': '1'}, {'작성자': '눈이부시게', '별점': '1.0', '날짜': '2022.12.28.', '내용': '전체적으로  너무 기다리고  스케줄을 마음대로 하며 전화받는 남자와 여자 직원 ... 더보기', '좋아요': '7'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
팔팔요양병원,3.0,도봉구 시루봉로 310 화성빌딩 전층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAxMTVfMjMw%2FMDAxNzA1MjgwNTYzOTIy.FzxtKbtUfTK_9LLvvc87hrZkjmiBByJ0BzfdUE9f6xsg.ttVo7RSDZotBeVxEncl_uIRGT2WsdQdgve2ozBCbngYg.PNG.sy_system%2Fimage.png%3Ftype%3Dw966,"[{'작성자': '. ......', '별점': '5.0', '날짜': '2024.11.21.', '내용': '아버지 입원하시는데 친절하고 좋네요\n원장님과 직원들이 성의가 있습니다.\n고맙습니다.', '좋아요': '2'}, {'작성자': '.', '별점': '1.0', '날짜': '2023.09.22.', '내용': '상담자 넘4가지가 없어요 이런 사람 믿고 맏기는건 힘들어요', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
타운내과의원,4.3,도봉구 도봉로 813 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fea3fa82b4639e5942731ed323b20ed3a77705f41%3Foriginal,"[{'작성자': '마블', '별점': '2.0', '날짜': '2023.08.07.', '내용': '오늘 감기 증세 등 전혀없는데도 장염때매 어제 발열 근육통 증상 있었다니까 간호사 짜증내면서 당장 나가라고 반말에 완전 불친절하네요 뭐이런데가 다있는지.. 엄청더운날씨... 더보기', '좋아요': '0'}, {'작성자': '히히', '별점': '5.0', '날짜': '2023.02.01.', '내용': '원장님 너무 세심하십니다 추천드려요!!', '좋아요': '0'}, {'작성자': '황금산', '별점': '1.0', '날짜': '2022.04.06.', '내용': '뭔가 이상한 의사임\n아버지가 배가 아파 가셨는데\n노인네들은 더 큰병원으로 가라해서\n... 더보기', '좋아요': '2'}]","{'수': '09:00 ~ 17:40', '목': '09:00 ~ 17:40', '금': '09:00 ~ 17:40', '토': '09:00 ~ 13:00', '월': '09:00 ~ 17:40', '화': '09:00 ~ 17:40'}"
김학동치과의원,4.3,도봉구 도봉로181길 29 4층,,"[{'작성자': '김폴', '별점': '5.0', '날짜': '2023.12.01.', '내용': '원장님도 간호사 분들도 친절합니다.\n진료를 꼼꼼하게 봐 주시네요.\n단순히 가까워서 갔는데 진료는 이곳에서 계속 보려고 합니다.', '좋아요': '0'}, {'작성자': '오지웅', '별점': '5.0', '날짜': '2023.08.14.', '내용': '가던 치과 여름휴가라 열려있어서 왔는데 정말 잘해주심. 재방문의사 확실히 있음. 현장접수로 갔고 그렇게 많이 안기다렸음.', '좋아요': '0'}, {'작성자': 'ppoi', '별점': '1.0', '날짜': '2023.04.10.', '내용': '의사의 방침인지 인포의 재량인지 현장접수 안받는 병원 처음 봄\n오픈 맞춰서 갔고 기다리겠다는데 접수 안받는다고 함 무슨 대학병원도 아니고ㅋㅋ\n지금껏 여타 병원은, 예약이 취... 더보기', '좋아요': '1'}]","{'수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:20', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30'}"
동부한일외과내과의원,4.1,도봉구 마들로 686 세림빌딩 2~4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4E37E4CD94C14449B32F82683B8A9474,"[{'작성자': '경옥', '별점': '5.0', '날짜': '2024.07.03.', '내용': '오래 다닌 병원이예요~~ 이번에 리모델링해서 너무좋아졌어요^^', '좋아요': '0'}, {'작성자': '깡', '별점': '5.0', '날짜': '2024.05.27.', '내용': '친절하고 잘봐주세요', '좋아요': '0'}, {'작성자': '동주', '별점': '1.0', '날짜': '2024.05.11.', '내용': '별한개도 진짜 너무너무 아까움..\n내가 여기 7살때 부터 다녔어서 거의 20년 넘게 다녔는데 갈수록 서비스 인좋음. 내과 의사는 환자정보 타 환자한테 ... 더보기', '좋아요': '1'}]","{'수': '08:30 ~ 17:30', '목': '08:00 ~ 13:00', '금': '08:30 ~ 17:30', '토': '08:00 ~ 13:00', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30'}"
제일정형외과의원,2.2,도봉구 도봉로 801 2층,,"[{'작성자': 'k', '별점': '1.0', '날짜': '2024.07.03.', '내용': '서울대 나오신 오래된 도봉동 의원이심니다. 심각한 종골골절로 17개월자 고생하고있읍니다. 한인생을 한푼돈으로 파는의사 일뿐 . 심각한 골절은 전문의 권유드림니다.', '좋아요': '0'}, {'작성자': '구름나그네', '별점': '4.0', '날짜': '2023.10.31.', '내용': '만사오케\n내게딱맞는병원', '좋아요': '0'}, {'작성자': '산곡당', '별점': '2.0', '날짜': '2022.10.28.', '내용': '특히 물리치료사분들, 환자를 기계나 아기 다루듯 하지 말아주세요. (의료) 서비스 답게 하셔야죠. 자연스럽게, 친절하게, 인격적으로, 이야기하듯 말해주세요. 이건 의사분에게도 해당됩니다.', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
서울정형외과의원,3.5,"도봉구 마들로 684 안세빌딩 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDlfMTM3%2FMDAxNzMzNzA2MjA5NzIx.jAolfSFBxCvIeXUz1rvfpc1VR0Mk_3fw-ADfj6-MQQgg.GY44F_lRrjUjLvJRJkVRSmcXO1Jp6bMDJF5jZiVqsvsg.JPEG%2FIMG%25EF%25BC%25BF0145.jpg%3Ftype%3Dw966,"[{'작성자': '마로니에', '별점': '5.0', '날짜': '2024.06.19.', '내용': '6주 전에 방아쇠수지증후군으로 오른쪽 넷째 손가락에 주사 치료와 항생제 2주 처방을 받은 후 현재는 일상생활에 불편함이 없을 정도로 좋아졌습니다. \n원래 작년 10월에 발병하여 ... 더보기', '좋아요': '1'}, {'작성자': 'KH', '별점': '1.0', '날짜': '2024.04.20.', '내용': '별점 0개는 못주나요?\n과잉진료 허위진료의 명소', '좋아요': '1'}, {'작성자': '구도자', '별점': '1.0', '날짜': '2024.03.01.', '내용': '신고해서 리뷰 삭제하네ㅋㅋ 여기 돌팔이니깐 가지 마세요~~ 무릎 안펴지는 무릎 연골 찢어진 증상 보고도 뭔지도 모르고 별거 아니라며 강제로 무릎 펴지라고 누르고 주사 놓고 물리치료 받게 하고 3주 넘게 병 악화... 더보기', '좋아요': '4'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '휴무일': '공휴일'}"
유내과의원,4.6,도봉구 마들로 691 2~4층,,"[{'작성자': '산곡당', '별점': '2.0', '날짜': '2022.12.16.', '내용': '카운터 간호사님이 참 급하시네요.', '좋아요': '1'}, {'작성자': '조준경스테파노', '별점': '5.0', '날짜': '2022.06.23.', '내용': '최고입니다~~~', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
주용진내과의원,3.0,도봉구 도봉로 859 시온성빌딩 202호,,"[{'작성자': '산곡당', '별점': '3.0', '날짜': '2025.01.09.', '내용': '원장님, \n환자가 많아도 문진을 \n잘해 주시길 바랍니다.\n... 더보기', '좋아요': '2'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.07.12.', '내용': '데스크 김기정이라는 사람 자르세요 뭐하자는건지 모르겠네요 그런식으로 서비스할거면 그냥 때려치워요 개념이 아예 없네', '좋아요': '0'}, {'작성자': 'Anna', '별점': '5.0', '날짜': '2022.10.08.', '내용': '원장님과 부원장님이 늘 꼼꼼하게 체크해 주시며 의사 선생님과 간호사 선생님들 모두 친절하답니다.\n20... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30'}"
유외과의원,3.8,도봉구 도봉로 813,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7ed38c23c73069ffe7088bc0a33302e79bf9c953%3Foriginal,"[{'작성자': '🌴(몰아서 쓰기도 함)', '별점': '4.0', '날짜': '2023.10.17.', '내용': '초음파 검진이 불가해서 아쉽네요.\n촉진으로 진료봤고 잘 보심', '좋아요': '0'}, {'작성자': '123', '별점': '5.0', '날짜': '2022.01.16.', '내용': '실력 있으신 분입니다. 우리 동네 토박이 들은 이 병원 갑니다. \n실예로 다른 병원에서 못잡아 낸 암도 엑스레이 사진으로 발견해내는 분입니다. \n한 곳에서 쭉~병원을 유지하는데는 이유가 있는 겁니다.', '좋아요': '2'}, {'작성자': '배중렬(야생화)', '별점': '4.0', '날짜': '2021.08.23.', '내용': '오랫동안 한곳에서 진료를 해왔던건\n그만큼 실력이 있으신거라고 생각해요.\n저는 ... 더보기', '좋아요': '3'}]","{'수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00'}"
