name,score,address,img_url,reviews,open_hour
희성한방병원,3.8,"도봉구 방학로3길 6 SYO빌딩 1,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FEB2C812D5FFD4B7AB06E049B47CD7237,"[{'작성자': '. ......', '별점': '5.0', '날짜': '2025.01.18.', '내용': '친절하고 잘해요', '좋아요': '0'}, {'작성자': '🥑', '별점': '1.0', '날짜': '2024.11.14.', '내용': '이 병원 이름 붙이고 운행하는 카니발 차량 동네 좁은 골목에서 과속난폭운전 장난아니네요~ \n병원 환자 늘게하려는건가..\n차 운... 더보기', '좋아요': '1'}, {'작성자': '신수정', '별점': '5.0', '날짜': '2024.04.06.', '내용': '안 아프고 천천히 치료받길 원하면 3번 선생님, 아픈데 짧게 치료 끝내고 싶으시면 7번 선생님, 원하는 곳 탁탁 짚어주길 원하시면 5번 선생님 추천합니다. 물리치료 해... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00'}"
의성한방병원,4.5,"도봉구 도봉로152길 26 렉시온프라자 2~4층 202,203,301~308,401~403,405,407,408호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5024DF134D4A441786510A5B18241FE8,"[{'작성자': '숙희', '별점': '5.0', '날짜': '2023.08.12.', '내용': '삭신이아파서 치료 받았는데… 다들 너무친절했읍니다.,.^^ 다음에 또 올려고합니다,^^;', '좋아요': '0'}, {'작성자': '뚜뚜따따', '별점': '5.0', '날짜': '2023.05.12.', '내용': '도수치료 잘 받고 있어요', '좋아요': '0'}, {'작성자': '짱시루🐶', '별점': '5.0', '날짜': '2022.07.30.', '내용': '원장 선생님들, 간호사 선생님들, 다 친절하셔서 좋습니다. 병원 환경이 좋다보니, 치료받는 다른 환자분들도 표정이 밝으시네요. 병원이 밥... 더보기', '좋아요': '2'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 17:00', '일': '09:00 ~ 17:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00'}"
열린치과의원,5.0,도봉구 시루봉로 222 3층,,"[{'작성자': 'joy', '별점': '5.0', '날짜': '2024.12.28.', '내용': '간호사님 의사님 모두 친절하고 무엇을 묻던 간에 환자 시선에 맞춰 설명을 해주십니다\n이번엔 스케일링을 꼼... 더보기', '좋아요': '0'}, {'작성자': '🍀안시리움', '별점': '5.0', '날짜': '2024.03.16.', '내용': '남편이 먼저 이치료를하고 예약을해줘서 갔는데\n개업을한지 얼마안돼서 시설도 깨끗하고 간호사분들 너무친절하시고 스케일링도 꼼꼼하게 잘해주시고 원장... 더보기', '좋아요': '0'}, {'작성자': 'justgouit', '별점': '5.0', '날짜': '2023.09.23.', '내용': '매복사랑니 발치했는데 세심하게 해주신 덕분인지 마취 풀릴 때만 잠깐 불편했다가 그날 밤, 다음날 아침 할 것 없이 통증이 하나도 없었어요!! 이렇게 큰 매복 치아를 발치... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00'}"
서울노보스병원 본관,1.8,도봉구 도봉로 720,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMjBfMjMg%2FMDAxNjY2MjMyNDk3ODE5.DFwI2NWKjH__IgY9fse0ZevJ0-6j3eySL3VztX3Pgvcg.dXfRQ8IGdevUYWgFs7oiOH9lCAAIE_HG9qgudq6Xu3Yg.JPEG.osteoplus%2FPRIMUS_2.jpg%3Ftype%3Dw773,"[{'작성자': '기리니', '별점': '1.0', '날짜': '2024.09.26.', '내용': '건강검진한다고 피뽑고 주사꽂은데 모두 피멍드네요. \n실력도 친절도 소요시간도 기대이하입니다.', '좋아요': '1'}, {'작성자': '조원빈', '별점': '2.0', '날짜': '2024.04.23.', '내용': '2022년 건강검진 후기,\n직원들은 대체로 관심있고 친절한 편.\n탈의실은 협소하고 시건장치는 비밀번호가 아닌 열쇠... 더보기', '좋아요': '1'}, {'작성자': '.', '별점': '3.0', '날짜': '2024.03.10.', '내용': '대체로 친절하시나, 의사 선생님은 기계적으로 답변하시는 느낌입니다. 그냥 한글로 증상 적어놓은 거 보여주면서 설명하심. 검사 여러 개 해도 정확히 진단 본다는 느낌은 없었습니다. 검사까... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
백이비인후과의원,3.5,도봉구 도봉로 677 우리들메디빌딩 402호,,"[{'작성자': '콩무당벌레', '별점': '1.0', '날짜': '2025.03.26.', '내용': '오진.. 그 이후 안감', '좋아요': '0'}, {'작성자': '긍정', '별점': '1.0', '날짜': '2024.11.29.', '내용': '일주일 약먹고 시간이 안맞아서 다른병원 갔더니 여기선 말씀없으셨던 축농증이 심하다고 하시더라구요 약도 잘못먹고 있었다고 하시고.. \n진료할때 말씀 많이... 더보기', '좋아요': '1'}, {'작성자': 'Forever.', '별점': '5.0', '날짜': '2024.08.06.', '내용': '왠만하면 이런거 잘 안쓰는데 여기는 믿을만하네요. 추천합니다.', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30'}"
하나정형외과의원,4.8,도봉구 도봉로150길 8 이안테라디움 방학역 2층 208~210호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb0213f4d1d6ee769050cbef964f780d0f6dc21cc%3Foriginal,"[{'작성자': '배검', '별점': '5.0', '날짜': '2024.07.25.', '내용': '아픈 어깨 곰방 나은 듯 합니다\n\n진작 올걸 ㅎ', '좋아요': '0'}, {'작성자': '박석하', '별점': '5.0', '날짜': '2024.07.24.', '내용': '친절하게 진료 잘 받았습니다!', '좋아요': '0'}, {'작성자': '안덕우', '별점': '5.0', '날짜': '2024.06.21.', '내용': '병원 깨끗하고 시설도 좋고 진료를 친절하게 봐주시네용~!', '좋아요': '0'}]","{'수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00'}"
연세늘봄피부과의원,3.3,도봉구 도봉로 669 이정빌딩 3층 302호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MjhfOTUg%2FMDAxNzE2ODc3NDQ2NTM2.RJFxfywP_2RI5TmTm0G9kBH4P_RyC3Uli5KalgVOyBkg.CQoeAWcT6GNLBCF1yK8Aqf-aYAtws1PP4QSffGja54Ag.PNG%2F%25EC%258A%25AC%25EB%259D%25BC%25EC%259D%25B4%25EB%2593%259C1.PNG%3Ftype%3Dw966,"[{'작성자': '팡', '별점': '5.0', '날짜': '2024.08.22.', '내용': '선생님들도 다 친절 하시고 원장님께서도 친절히 잘 설명 해 주십니다 .', '좋아요': '0'}, {'작성자': '촐옹ㅇ', '별점': '5.0', '날짜': '2024.08.22.', '내용': '👍', '좋아요': '0'}, {'작성자': '순댓국', '별점': '1.0', '날짜': '2024.01.20.', '내용': '간호조무사들 안내하나도 없이 환자를 한두시간 주구장창 기다리게 하고 네가지없이 응대하는 태도에 지들끼리 히히덕... 더보기', '좋아요': '2'}]","{'수': '휴무일', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '휴무일': '공휴일'}"
백은경내과의원,4.4,도봉구 도봉로 727-1 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDZfMjY0%2FMDAxNzMwODYyMTA0MDIw.wQ13GtWAaH1ZDEbdYyniOczsfecAavqKw4k4KXsT5z4g.H1X-cw_NNFQTa-9w4cXHBNg1nQsVlbPNETKSsXPYnUog.PNG%2F111.png%3Ftype%3Dw773,"[{'작성자': '조승현', '별점': '5.0', '날짜': '2025.03.18.', '내용': '공복 혈당이 점점 오르는 게 신경 쓰여서 검사받고 왔는데 자세히 설명해주셨어요.\n집에서는 펩티드요법을 병행하면서 혈당을 조절하니 확실히 좋아지는 느낌이... 더보기', '좋아요': '0'}, {'작성자': '도봉동 도깨비', '별점': '4.0', '날짜': '2025.03.16.', '내용': '그렇게 친절 하다면 한번 가봐야것네여', '좋아요': '0'}, {'작성자': '大鹏 逆风飞,生鱼 逆水游', '별점': '5.0', '날짜': '2025.03.04.', '내용': '원장님도 간호사분들도 엄청 친절합니다', '좋아요': '1'}]","{'수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '일': '09:00 ~ 13:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '휴무일': '추석당일, 설당일'}"
정앤최정형외과의원,2.8,"도봉구 도봉로149길 6 1,2층",,"[{'작성자': '박은혜', '별점': '1.0', '날짜': '2024.09.24.', '내용': '발목 아프다 하고 절뚝 거리며 갔는데, 2분 진료보고 뼈는 이상 없는 것 같고 염증이라고 진통제랑 보호대만 주더라구요. 다른 병원 가보니 인대 파열이랍니다. 눈으로 보기에 부종이 없다고 엑스... 더보기', '좋아요': '0'}, {'작성자': '박현우', '별점': '1.0', '날짜': '2024.09.16.', '내용': '웬만해선 이런거로 후기안쓰는데\n여긴 진짜 키작은 남자 짧은머리선생이 너무 불친절함\n\n약을 처방해줄지말... 더보기', '좋아요': '2'}, {'작성자': 'KOKJ', '별점': '5.0', '날짜': '2024.08.28.', '내용': '의사 선생님, 정말 환자에 대한 마음이 진심입니다.\n과잉 진료나, 필요없는 거 추천 ... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '일': '10:00 ~ 16:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00'}"
한영복안과의원,4.0,도봉구 방학로 163,,"[{'작성자': '구구', '별점': '1.0', '날짜': '2024.06.07.', '내용': '진료가 성의없었습니다', '좋아요': '0'}, {'작성자': '연양갱❤️', '별점': '5.0', '날짜': '2023.05.02.', '내용': '의사선생님이 친절하세요.', '좋아요': '0'}, {'작성자': '0', '별점': '5.0', '날짜': '2022.11.25.', '내용': '여기 원장님 명의세요!! 차분하게 딱 필요한 \n만큼 진료봐주시고 좋아요.\n예전에 어머니 눈 이상할때 여기서 \n큰병원 빨... 더보기', '좋아요': '1'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 18:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00'}"
