name,score,address,img_url,reviews,open_hour
한일병원,2.9,도봉구 우이천로 308,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F72A0C5153D3246A188B8C6EC96ECB978,"[{'작성자': 'allanjoe', '별점': '5.0', '날짜': '2025.03.22.', '내용': '굉장히 위급한 상황이었는데, 잘 살려주셨습니다. 감사합니다. 덕분에 두번째 삶을 사는 중입니다.', '좋아요': '0'}, {'작성자': 'MA', '별점': '1.0', '날짜': '2025.01.18.', '내용': '토요일 진료시간 08:30~12:30 되어있어 방문했더니 가정의학과는 휴진이라네요. 병원 홈페이지, 카카오지도 어딜 찾아봐도 그런 안내는 발견할 수 없었는데, 다 사전에 예약 안하고 찾아온 환자 탓이네요. 이 병원은 모든게 너무 불편하고 허술합니다. 👎', '좋아요': '1'}, {'작성자': '행운마차', '별점': '5.0', '날짜': '2025.01.09.', '내용': '사실 예전에 한일병원 몇번 다녔다가 별로여서 발길을 끊고 \n이번에 아~~주 오랫만에 방문을 했는데 많이 달라졌네요.. \n소화기 내과 김... 더보기', '좋아요': '1'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '공휴일'}"
쌍문성모내과의원,4.7,도봉구 도봉로 511 2-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE932E3D8373A47B68328A349616EE784,"[{'작성자': '김준서', '별점': '5.0', '날짜': '2025.03.14.', '내용': '공복 혈당이 정상 범위를 넘어가서 걱정돼서 병원 다녀왔어요.\n집에서는 펩티드요법을 하면서 혈당을 조절하는데 효과가 서서... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2023.05.14.', '내용': '친절하세요 토요일은 3시 30분 까지라고 적혀있지만 2시 50분까지 와야 한대요', '좋아요': '0'}, {'작성자': 'dodoee', '별점': '5.0', '날짜': '2023.04.24.', '내용': '제가 매일매일 가는 단골 병원 친절하게 설명 들어주고', '좋아요': '1'}]","{'수': '08:30 ~ 16:00', '목': '08:30 ~ 16:00', '금': '08:30 ~ 16:00', '토': '08:30 ~ 15:00', '일': '휴무일', '월': '08:30 ~ 16:00', '화': '08:30 ~ 16:00', '휴무일': '매주 일요일'}"
서울사랑요양병원,2.5,도봉구 삼양로 574 2~5층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2657193D5742C00333,"[{'작성자': '혜리(Dr.Hemani)💕', '별점': '1.0', '날짜': '2024.02.12.', '내용': 'They have no manners to talk on call and it was so sad when the person yelled while we called them and asked for opening hours!!!', '좋아요': '0'}, {'작성자': '헤이', '별점': '4.0', '날짜': '2023.11.04.', '내용': '어머니 계셨던 곳\n2022.10월 ~2023.10.30', '좋아요': '1'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:00', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30'}"
포근한맘요양병원,5.0,도봉구 삼양로 606 2~3층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
밝은삼성안과의원,3.8,도봉구 도당로 2 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd7550caace05ceb6b759fb92211378a8efba2582%3Foriginal,"[{'작성자': '먹을거 들고다니는 슈크림피자', '별점': '5.0', '날짜': '2025.03.05.', '내용': '모두 친절하시고 꼼꼼히 봐주세요!🤭', '좋아요': '0'}, {'작성자': '정희', '별점': '3.0', '날짜': '2024.11.20.', '내용': '간호사들이 대체로 불친절함   친인척고용했나요????', '좋아요': '1'}, {'작성자': '동네 굴삭기', '별점': '1.0', '날짜': '2024.08.09.', '내용': '7시까지 진료라고 해서 6시31분에 도착했지만 간호사들인지 조무사들인지 지들끼리 실실 쪼개면서 늦어서 안될거 같단 말만 반복하네요 일하다 눈에 이물질이 들어가서 한번만 봐주세요,원장... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 13:00', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '휴무일', '일': '09:00 ~ 14:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 20:00', '휴무일': '공휴일'}"
베이직병원,0.0,"도봉구 삼양로 610 지하1층, 1~4호",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
나인9의원,,도봉구 도봉로 461 우림빌딩 5층 502호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA5MjdfODEg%2FMDAxNjk1Nzg0Mzc4ODg0.vQearIL4p4KFujvcjBBVn0KM3NGssrfhqHVQ5Ekbl_gg.pvtM-bxh4qafRNT-7_-SZmi_zWBiQQ3eLpKbzhvJdcQg.JPEG.lim_hyesu%2FIMG_8029.jpg%3Ftype%3Dw466,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
퍼스트요양병원,2.0,도봉구 삼양로 616 백운빌딩 2~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMDJfNDAg%2FMDAxNjk4OTA5MDUwMjI5.4JnVyfRY8F_oFg5k907CI05yGPHDjGAlp96MlirqLUQg.KIT56FPzShy_sibpq0_3JfHwgstlXxlkg167nF4dJhAg.PNG.jnugift%2F%25ED%258F%2589%25EA%25B0%2580%25EB%2593%25B1%25EA%25B8%2589.png%3Ftype%3Dw966,"[{'작성자': 'ㅎㅎ', '별점': '5.0', '날짜': '2025.01.25.', '내용': '할머니가 입원하셨었는데 원장님,간호사 선생님들 모두 꼼꼼하고 친절하시고, 상담도 잘 해주셨어요~\n할머니도 편하게 잘 계시다 회복하시고 퇴원하셨습니다', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2023.09.13.', '내용': '성의 없음', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
한경원피부과의원,3.9,도봉구 해등로 255 203호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAxMTBfODkg%2FMDAxNzA0ODQ5MTc1MDcy.QUuuPIXfd1fSh0Aj9Cl3QciZ7cRZ1b8iWkfOZI_vLi0g.gpm4cV73JKe1Z9WjO_hW9dpbH5JFDenYfy1CAKNqz8Ag.JPEG.flsdlwnl%2FSE-27ad0018-c514-4c25-afd7-c5e5863ece46.jpg%3Ftype%3Dw773,"[{'작성자': 'Emerald', '별점': '5.0', '날짜': '2024.12.08.', '내용': '너무 좋아여! 되게 잘아시는거같구ㅎㅎ\n친절하고 간호사들도 잘설명 해주세요\n강추', '좋아요': '0'}, {'작성자': 'GM', '별점': '5.0', '날짜': '2024.11.04.', '내용': '친절하고 잘 봐줍니다. 가격은 솔직히 모르지만\n가족도 다같이 다니고 저도 좋아서 다닌지 오래 됐습니다.', '좋아요': '0'}, {'작성자': '우파20여성', '별점': '1.0', '날짜': '2024.06.08.', '내용': '동네장사하는데 평이안좋으니까\n알바를 다쓰네\n시간더써서 최소 수유~그이상 나가서... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 17:30', '목': '휴무일', '금': '09:30 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '휴무일': '매주 목요일, 일요일'}"
김운석이비인후과의원,4.4,도봉구 해등로 218 보성상가 303호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdc518389215d1546a872622ecb7545859a19576c%3Foriginal,"[{'작성자': '이광일', '별점': '1.0', '날짜': '2024.07.26.', '내용': '불친절 수상해', '좋아요': '1'}, {'작성자': '대승행', '별점': '2.0', '날짜': '2024.05.02.', '내용': '진료받으러갔는데 체격이 있는 간호사가 접수를 받지않고 한참을 폰만쳐다보고 있어 \n여기요 라고 부르니  노트에 ... 더보기', '좋아요': '0'}, {'작성자': '관상가 양반 내가 후기왕이될상인가', '별점': '4.0', '날짜': '2024.03.23.', '내용': '평일에 갔을땐 간호사 분들이 친절하셨는데 주말에 가니 불친절하셔서 아쉬웠습니다. 의사선생님은 늘 친절하시고 설명도 잘해주... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00'}"
