name,score,address,img_url,reviews,open_hour
에이치큐브병원,3.9,도봉구 도봉로 604,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTdfNTIg%2FMDAxNzM0NDQ0MTc5MzM5.T4Z-APnTmNrfm6bJPG8tE8Jnihoybe1tCDUOk2uHGbwg.rHEEehPRKUPG4S5GlADyC1DNzQQZ_tFiIsVra-B0Kp0g.JPEG%2FKakaoTalk_20241217_230000352_10.jpg%3Ftype%3Dw386,"[{'작성자': '앙버떠', '별점': '2.0', '날짜': '2025.02.28.', '내용': '엥 요즘 시대에 와이파이도없어 여긴', '좋아요': '0'}, {'작성자': '구구단을외자', '별점': '5.0', '날짜': '2025.02.21.', '내용': '최고입니다. \n경기북부에서 다녔어요. \n김봉현 원장님 이쁜 아기 태어나도록 진료와 수술까지 잘 해주셔서... 더보기', '좋아요': '0'}, {'작성자': '먹을거 들고다니는 슈크림피자', '별점': '5.0', '날짜': '2025.02.19.', '내용': '굿!', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
바로선병원,4.8,도봉구 도봉로 628,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F95816D731CD441EFB2E400BABF78714B,"[{'작성자': '건이엄마 소영', '별점': '5.0', '날짜': '2024.09.07.', '내용': '전방십자인대 파열로 수술해야 한다는 진단에 혹시나 하는 마음으로 2군데 병원을 더 찾아갓지만 같은 진단이엇고 세 병원중에 바... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
강북힘찬병원,3.3,도봉구 도봉로 446,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTRfMTk3%2FMDAxNzMxNTcxMzY3MDY4.ZNDoz78Bd2qSEpEnh_sjWhhV7mU4d6kDaKLDk0WMNq8g.PN05tnH4clr6uEiTUc5APPFK4uiBtKpE4sw_sLtVOqsg.PNG%2F%25EC%25B6%2594%25EA%25B0%2584%25ED%258C%2590_%25ED%258C%258C%25EC%2597%25B4%2C_%25EC%2588%2598%25EC%2588%25A0%25EC%259D%2584_%25ED%2594%25BC%25ED%2595%25A0_%25EC%2588%2598_%25EC%259E%2588%25EB%258A%2594_%25EB%25B0%25A9%25EB%25B2%2595%25EC%259D%25B4_%25EC%259E%2588%25EB%258B%25A4__%25EC%25B2%2599%25EC%25B6%2594%25ED%2586%25A1_2%25ED%2599%2594.mp4_000072279.png%3Ftype%3Dw966,"[{'작성자': '♡좋은 사람들과 함께라면♡', '별점': '5.0', '날짜': '2025.03.31.', '내용': '운동을 하다 발목을 삐어서 신동협원장님께 진찰을 받았어요~ 원장님 굉장히 유쾌하시고 알아듣기 편하게 말씀주셔서 넘 좋았어요^^ 간호,영상,물리치료 선생님분들도 다들... 더보기', '좋아요': '0'}, {'작성자': '달콤한방양갱', '별점': '5.0', '날짜': '2025.03.21.', '내용': '권태윤 원장님 친절하시고 설명을 잘해주셔서 수술받게 된다면 원장님께 받고 싶습니다', '좋아요': '0'}, {'작성자': '129', '별점': '5.0', '날짜': '2025.03.21.', '내용': '발목 통증으로 다른 병원 갔다가\n최정규원장님 진료보고 MRI 촬영했습니다\n하나하나 친절하... 더보기', '좋아요': '0'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '공휴일'}"
자향한방병원,3.3,도봉구 덕릉로 215 3-7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F79294CACF0D04DC096BC60F855AECA0F,"[{'작성자': '알려나', '별점': '1.0', '날짜': '2024.10.22.', '내용': '없어저야할 병원. 자본주의에 극치다. 추나 요법이라고 치고 1분도 안되는 시간 받은거를 매일 따져놓음', '좋아요': '3'}, {'작성자': 'leesuo', '별점': '1.0', '날짜': '2023.12.21.', '내용': '교통사고후유증 \n\n한방과 정형외과 동시에 홍보하고있어서 교통사고로 인한 MRI 내용을 정형외과 의사가 진료보고 설명해주는줄 ... 더보기', '좋아요': '6'}, {'작성자': '정직과성실', '별점': '5.0', '날짜': '2023.05.21.', '내용': '친절하고 깨끗해서 좋습니다~', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00'}"
박현철피부과의원,4.3,도봉구 노해로63길 78 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fstorep-phinf.pstatic.net%2Fogq_5747936e7d55d%2Foriginal_19.png%3Ftype%3Dp100_100,"[{'작성자': '장동기', '별점': '5.0', '날짜': '2025.01.04.', '내용': '치료가 필요한 피부진료는 여기만한 곳 드뭅니다\n의사로서의 양심을 가진 원장님이신듯\n창동에 산지 25년 되었는데 이사오기... 더보기', '좋아요': '0'}, {'작성자': 'J', '별점': '1.0', '날짜': '2024.12.06.', '내용': '걍 대충임 정확히 보려하지않고 증상을 얘기해도 발현되는 이유를 설명해주지않음.', '좋아요': '0'}, {'작성자': '배고파요', '별점': '5.0', '날짜': '2024.09.24.', '내용': '명의십니다. 물어보는거 알기쉽게 설명해주시고 치료도 굉장히 빠릅니다.\n다만 단점을 하나만 꼽자면 명의시다보니 환자가 많습니다.\n평일 오후시간대에 갔는데 40분 기다렸습니다.', '좋아요': '0'}]","{'수': '09:30 ~ 13:00', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30'}"
연세애드미피부과의원,3.2,도봉구 도봉로 496 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTRfMTEg%2FMDAxNzMxNTc1MDYxMjAw.P40F7QTNZhxzapQfD9-5bj1257GPBsaxZm5PeHLlPq0g.V4Uff9r1Mmdeyvlq3bdyjEx6NfMZaQ4Oh5COEix9bi0g.PNG%2F%25EA%25B7%25B8%25EB%25A6%25BC1.png%3Ftype%3Dw966,"[{'작성자': 'FORWARD', '별점': '5.0', '날짜': '2025.04.02.', '내용': '가격이 합리적이고 불필요한 시술 권유 없어요:) 대기가 길어서 예약은 필수입니다 !', '좋아요': '0'}, {'작성자': '상남자', '별점': '1.0', '날짜': '2025.03.07.', '내용': '습진치료차 12시경 방문 허였더니 대기환자1명 인데\n오전접수마감 되었다고 오후에 오라네요...\n참고로 오전 ... 더보기', '좋아요': '0'}, {'작성자': '김희수', '별점': '5.0', '날짜': '2025.02.03.', '내용': '과잉진료 안하셔서 너무 좋습니다\n주기적으로 다니다보면 과잉치료인지 알수있잖아요\n걱정하지 않게 ,담담하게 진료해주셔서 감사해요', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '14:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '휴무일': '매주 일요일'}"
창동제일의원,,도봉구 노해로65길 17-13,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMTlfMjYg%2FMDAxNzM5OTQwMjM3Mjkw.cV0TKmCD5voKXbu1QZHpg7FqP4MvGyhkIzSKGHc9MSwg.vUX07QTkg5CQuad9B8coONCG_YQ3_K0p3CwUf2VQ2_Yg.PNG%2Ftyle-gj8-5-1739939941.png%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 13:00', '일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '휴무일': '매주 일요일'}"
멜로우피부과의원 강북본점,4.8,도봉구 마들로13길 61 씨드큐브 창동 301-3호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F30D3C5023B794D90906145DDF0BEB9A3,"[{'작성자': '쇼퍼홀릭', '별점': '5.0', '날짜': '2025.03.24.', '내용': '접수부터 시술 후 관리까지 모든 직원분들이 친절하고 체계적이에요. 바쁠 때도 꼼꼼하게 설명해 주셔서 대기 시간이 전혀 지루하지 않았습니다.', '좋아요': '0'}, {'작성자': '테니스츄', '별점': '5.0', '날짜': '2025.03.21.', '내용': '맞춤형 레이저 시술 덕분에 피부 톤이 정말 많이 균일해졌어요. 피부가 예민한 편인데도 자극이 없어서 안심하고 다닐 수 있습니다.', '좋아요': '0'}, {'작성자': '혜라니계라니', '별점': '5.0', '날짜': '2025.03.20.', '내용': '써마지 FLX 시술을 받고 나서 피부가 확실히 탄탄해진 느낌이 들어요. 시술 전후로 상세하게 설명해 주시고 사후 관리까지 신경 써주셔서 믿음이 갔습니다.', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '휴무일': '매주 일요일'}"
서울항맥외과의원,4.5,도봉구 도봉로 488 대명빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA4MDlfMjcy%2FMDAxNjYwMDI3ODQ4NTUw.NYUDDaxH33eKFbxTZjPrc5Kv_RFp-L164mBBLc-WPGIg.UHuQz_nSVuJza6m4WHuLDXBXk6U8kBcUT7pF_Azc6-Qg.JPEG.pnnb8016%2FSE-0376a3e0-e548-40fd-b6a5-38a6903f86fe.jpg%3Ftype%3Dw580,"[{'작성자': 'meow', '별점': '5.0', '날짜': '2025.01.18.', '내용': '월-토 모두 점심시간 1:00~2:00  있어요. 원장님께서 편안하게 진료 해주십니다. 항외과인 만큼 편안한 분위기가 중요한 것 같아요. 지어주시는 약 먹고 항문관련질환 싹 나았... 더보기', '좋아요': '0'}, {'작성자': 'mini', '별점': '5.0', '날짜': '2024.07.17.', '내용': '오랜 고민끝에 어렵게 왔는데~ 오랜동안 고민했던 지난시간들이 무색할정도로 수술이 힘들지 않았어요\n선생님.간호사님.실... 더보기', '좋아요': '0'}, {'작성자': '정승환', '별점': '5.0', '날짜': '2024.07.04.', '내용': '확실히 섬세하시니 믿고 맡길 수 있는 병원입니다 ~', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
성북한의원,4.5,도봉구 도봉로 504 스마트트라움 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTZfMTI5%2FMDAxNzMxNzUzNzM4NzUy.7L8jRMJGqOVxE2TzDcj-3cyOpFz67zj87AIj-U_zoBEg.ekzW5IYcB7-qf6boRHTnN6_b9R1Ko7dkRR7covZsgmsg.JPEG%2F20241116_122042.jpg%3Ftype%3Dw466,"[{'작성자': '여기주민', '별점': '4.0', '날짜': '2023.10.28.', '내용': '의사는 친절하고 세세합니다. 결제받는 분이 사람들에 시달리시나 너무 불친절하고 짜증난 상태임을 표현해요.  카드 결제한 사람은 오른쪽에 있는데 다른 창구로 카드를 툭 놔요.  진짜 이곳은 키오스크가 도입됐으면 좋겠어요.', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 14:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 14:00'}"
