name,score,address,img_url,reviews,open_hour
하늘병원,,동대문구 천호대로 317,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2133184754F81E3028,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '휴무일': '설전날, 설당일'}"
닥터존 정형외과의원 동대문,,동대문구 천호대로 267 다나빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE28650514ABB40E98BD25C7F29D0E168,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
효림요양병원,,동대문구 천호대로 259-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MTJfMTc1%2FMDAxNzI2MTI3NDMzODgz.kldLTQRLM5iazebn5l490NOBrKJdOMWEs5HLKcUwnQcg.C-kj7pWkoH0htUy-VTOss67U4RGbkCFzK0aXtxeUdDMg.PNG%2F%25ED%258F%2589%25EA%25B0%2580%25EB%2593%25B1%25EA%25B8%2589.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
늘조은이비인후과의원,5.0,동대문구 전농로 38 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDdfNDQg%2FMDAxNzMwOTQyOTgwNjY1._1KNKfZIMVwtipnhNam7ZBUneRqdd7nMwxbmWLIHisAg.5BoXrkCVDUQVzcuZBtWsR8k-wwSo9as5Ry9pq0pNKlgg.JPEG%2FIMG_5735_001.JPG%3Ftype%3Dw466,"[{'작성자': '뱀뱀', '별점': '5.0', '날짜': '2025.01.23.', '내용': '인터넷에서 증상 이것저것 알아보고 긴장 많이 한 상태로 방문했는데 개비스콘 짤처럼 걱정이 싹 내려가는 진료였습니다!!!!! 원장님께서 증상이 뭔지 끝까지 듣고 처방 잘 내려 주셔서 좋았어요! 그리고 엄청 친절하세용ㅠ... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2025.01.16.', '내용': '환자 엄청 많아서 평일 오전인데도 한참 기다렸네요 근데 앞전에 간 병원에서 받은 감기약은 효과 없던 거 여기 약 먹으니 훨씬 나아졌어요 첨에는 반신반의하면서 나왔는데 효과가 좋아서 ㅎ 근데 진짜 사람 너무 많아요', '좋아요': '0'}, {'작성자': '하쿠', '별점': '5.0', '날짜': '2024.12.17.', '내용': '의사랑 직원 분들 너무 친절하세요 진료 잘 봐주시고 기계도 엄청 좋아서 신기했네요', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
멘토스병원,2.0,동대문구 한천로 49,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fmblogthumb-phinf.pstatic.net%2FMjAyMjA2MTNfMTU0%2FMDAxNjU1MDgyODAyNDkw.k8ICz6IFKiur20DTjpQFP0KEwqUcm4WGueLjTUWGBwIg.vKVmLbrVrBW8Xb43qW-k2AU-Jb_sgxEkEjLIUgMFQUYg.JPEG.drty6780%2F20220509%25A3%25DF064816.jpg%3Ftype%3Dffn480_320,"[{'작성자': '비ㄴ', '별점': '1.0', '날짜': '2024.08.16.', '내용': '마음안좋아서간건데 더안좋아서 나온기분 왜우냐고왜진정못하냐고하는데 공감능력이나 말을들어주질않아요 진짜별로입니다 여의사', '좋아요': '0'}, {'작성자': 'Jeongmin Bae', '별점': '1.0', '날짜': '2019.11.07.', '내용': '2015년 5월7~8일 사이에 집중적으로 리뷰가 올라왔는데, 병원 홍보를 굳이 이렇게까지 할 필요야.\n별점조작으로 일단 추정함.', '좋아요': '7'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 14:30', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '공휴일'}"
오승현내과의원,4.1,동대문구 천호대로 313 네모313빌딩 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7E69543D0D70486A96FDE74C9F638AA6,"[{'작성자': '유승우', '별점': '5.0', '날짜': '2025.03.05.', '내용': '공복 혈당이 높아서 걱정돼서 병원에서 상담받았는데 친절하게 잘 봐주셨어요.\n집에서 펩티드요법을 병행하면서 혈당을 관리 중인데 점점 좋아지고 있어요. 감사합니다.', '좋아요': '0'}, {'작성자': '고래잡이', '별점': '5.0', '날짜': '2025.01.21.', '내용': '정말 꼼꼼하고 세세하게 설명해 주십니다. 만나본 의사선생님 중에 최고이신 것 같아요. 병원 스탭분들도 차분하시면서 친절합니다. 진료보러 올 때마다 시스템이 잘 갖춰진 병원이라고 느껴집니다.', '좋아요': '0'}, {'작성자': 'J', '별점': '1.0', '날짜': '2025.01.04.', '내용': '배가 너무 아파 죽을 거 같은데\n앞에 사람 검사 한다고 갑자기 1시간 대기.....\n너무 아파서 바로 다른 곳 갔습... 더보기', '좋아요': '0'}]","{'수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '휴무일': '공휴일, 2025년 4월 14일 ~ 2025년 4월 17일 휴무'}"
하얀나라피부과의원,2.4,동대문구 전농로 102 2층 201호,,"[{'작성자': '현', '별점': '1.0', '날짜': '2025.01.09.', '내용': '평일 오전 10시 11분경 화상때문에 급하게 갔는데 40분동안 앞에 진료 두 명도 못끝내고\n걍 투머치... 더보기', '좋아요': '1'}, {'작성자': '투웅', '별점': '1.0', '날짜': '2024.10.11.', '내용': '평일 3시에 앞에 대기 18명, 1시간 15분 대기하고 진료받음\n의사 꼼꼼하게 잘 봐주고 약 설명도 잘 해줌\n나머지 직원들이야 불친절이 당연한게... 더보기', '좋아요': '1'}, {'작성자': 'hsj', '별점': '5.0', '날짜': '2024.02.21.', '내용': '가족들 피부질환 때문에 가끔씩 이용합니다. 10년 넘게 다녔는데 과잉진료없고 정확한 처방을 하십니다. 아쉬운 점은 시술 때문에 점점 대기시간이 길어진다는 점입니다 (시술만 예약진료가... 더보기', '좋아요': '1'}]","{'수': '휴무일', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '휴무일': '매주 수요일, 일요일'}"
큰길내과의원,,동대문구 천호대로 273 경원빌딩 5-6층 1~2호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '휴무일': '공휴일'}"
서울삼성내과의원,4.1,동대문구 사가정로 80 답십리 뉴타운 카운티 에비뉴 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbb3f35cf48f51505247160decb0f1db0ada3ff90d49819d9cf697207f112acf8,"[{'작성자': '아프지말자..', '별점': '1.0', '날짜': '2024.07.12.', '내용': '3번 진료 정말 어이없음 주사 있다고 말도 안하고 처방하고 진료비 올려받음 저번에는 그래도 주사하겠냐고 물어보더만 이번에... 더보기', '좋아요': '1'}, {'작성자': '강이', '별점': '5.0', '날짜': '2024.02.02.', '내용': '근처의 다니던내과가 너무 올드하고\n건성건성한 태도라서 \n병원을 바꿔봤슴다\n... 더보기', '좋아요': '0'}, {'작성자': 'I&M진', '별점': '3.0', '날짜': '2023.12.06.', '내용': '빨리진료받으려고 3진료실에서 상담받았는데 \n문진만 하시고 따로 검진은 하시지 않으시더라고요 약먹으면 나아지겠지 했는데 그대로 심해져서...... 더보기', '좋아요': '0'}]","{'수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:00 ~ 14:00', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30'}"
강남성모안과의원,,동대문구 전농로 102 목련빌딩 3층 303호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MjRfMjQx%2FMDAxNzEzOTI3MzE3MDE3.-gBbyNl11dCVFVGKskYeCa2Uo5YVR1KRiqCXBod9BHEg.Z8BGAeDlgMDE9rTOukVAVaA3UfKsQkHYVOET1MA97zcg.JPEG%2F1713927245544.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 13:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
