name,score,address,img_url,reviews,open_hour
더드림요양병원,4.0,"동대문구 한빛로 12 지하1층, 1~4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2F02B0563A71409FBFAA70D1D27618C1,"[{'작성자': '새롬', '별점': '1.0', '날짜': '2024.12.12.', '내용': '환자복등 린넨이 많이 부족하고 다른 재활 요양병원 보다 치료 부족 환자식사 부실 간*부* 불친절  말을 막함 전반적으로 별루', '좋아요': '0'}, {'작성자': 'Shin.YS9886', '별점': '5.0', '날짜': '2023.05.30.', '내용': '재활 혈액투석', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
마리아병원,3.2,동대문구 천호대로 20,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fffdc115dcad78c1f3cd3387dd4bba29baf01eba0%3Foriginal,"[{'작성자': '🚨카페 오랑지 후기 조작중🚨', '별점': '5.0', '날짜': '2025.01.07.', '내용': '근처에 ‘지인산부인과’ 성신여대쪽 진짜 비추합니다\n후기 미제공인 병원 가지 마세요', '좋아요': '1'}, {'작성자': 'YUN', '별점': '5.0', '날짜': '2024.03.18.', '내용': '직원 식당이 최곱니다. 스테이크까지 나오는 폼 미쳤다. 여기 직원식당이 신설동에서 제일 맛있는 밥집임.', '좋아요': '1'}, {'작성자': 'Seongae Yun 윤성애', '별점': '5.0', '날짜': '2024.02.08.', '내용': '친절하고 전문적이에요. 난임 병원으로 국내 최고라고 알고있어요.', '좋아요': '1'}]","{'수': '08:00 ~ 16:00', '목': '08:00 ~ 16:00', '금': '08:00 ~ 16:00', '토': '08:00 ~ 16:00', '일': '휴무일', '월': '08:00 ~ 16:00', '화': '08:00 ~ 16:00', '휴무일': '매주 일요일'}"
365매일한방병원,4.8,동대문구 천호대로 3 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE6142E081A564CBE97436BCD2E87A661,"[{'작성자': 'Jin ♬', '별점': '5.0', '날짜': '2025.03.26.', '내용': '원장님 간호사님 친절 그 자체임. 치료도 굿굿👍🏻', '좋아요': '0'}, {'작성자': '쪙', '별점': '5.0', '날짜': '2025.03.19.', '내용': '침 치료 좋어요', '좋아요': '0'}, {'작성자': '인내이투', '별점': '5.0', '날짜': '2025.02.21.', '내용': '선생님 최고! 너무 친절들해요', '좋아요': '0'}]","{'수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 16:00', '일': '09:00 ~ 16:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30'}"
동서울정형외과의원,3.0,동대문구 왕산로 21 민족통일대통령빌딩 3층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F101C76096DD0400F9EEDEB4CCEC953F0,"[{'작성자': 'ㅅㅎ', '별점': '1.0', '날짜': '2025.03.17.', '내용': '다른 정형외과랑 달리 독특한 시스템이 있어서 알고 가시기 바랍니다.\n초진 후 두번째 물리치료를 그냥 바로 받을 수 있는 게 아니라, 다시한번 진료를 받고 3회짜리... 더보기', '좋아요': '0'}, {'작성자': '써니', '별점': '1.0', '날짜': '2024.11.19.', '내용': '의사선생님은 친절하지만\n데스크 직원들은 말투며 행동이 불친절하기\n그지없어 다시 방문도... 더보기', '좋아요': '1'}, {'작성자': 'INTAE', '별점': '4.0', '날짜': '2024.08.21.', '내용': '이곳에서 국가건강검진을 받고 있는 사람으로써 이곳 간호사쌤,원장쌤,의사쌤들 모두 친절하게 대해주었고 개선할 점 역시 친절하게 알려주었으니 앞으로도 국가건강검진 받을때 단골로 이용해야 겠습니다.', '좋아요': '0'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30'}"
고려M영상의학과의원,0.0,동대문구 천호대로 2 이지빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTFfMTM2%2FMDAxNzMzODkyNzAxOTYx.kXmNnl6yinSTJfsuxR1XFQPTEGOv8pZ8C4-jLy9_dy4g.XuLvLjvQ-q8xFuk9tJ9S2zXEQu9vxh1vMJ2WFOqcImwg.JPEG%2F%25EA%25B3%25A0%25EB%25A0%25A4m_(84).jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
희망나무재활의학과의원,3.0,동대문구 천호대로 2 이지빌딩 7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd146a48dced4f2ed5d012a421f4d6d0f34e3531e%3Foriginal,"[{'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2025.03.29.', '내용': '같은 진료 다른 병원은 보험 처리 되는데 이 병원은 보험처리 안되고 의사 일을 대충 하는 경... 더보기', '좋아요': '0'}, {'작성자': '완소오라버니', '별점': '1.0', '날짜': '2025.03.07.', '내용': '목디스크 문제로 도수치료받았는데 방사통이 더 심해지고 없던 저림증상도 생겼습니다. 치료받기 전으로 돌아가고 싶어요.', '좋아요': '0'}, {'작성자': '우이씨', '별점': '5.0', '날짜': '2023.04.28.', '내용': '진료비는 매 회 방문때마다 받는거지 무슨 어제받았다고 왜 받냐니 ㅋㅋㅋㅋㅋ 정말 무식하면 용감하더니 딱 그 격이군.', '좋아요': '3'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 18:30', '휴무일': '공휴일'}"
더시카고어린세상치과의원,4.0,동대문구 천호대로 2 삼미빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFDBAEA1746DE481390C195D1E87B5D36,"[{'작성자': '윤', '별점': '5.0', '날짜': '2023.07.28.', '내용': '♡♡♡ 마취 언제 했냐고 아이가 안아프다고 좋아했어요', '좋아요': '0'}, {'작성자': '돈터치미', '별점': '5.0', '날짜': '2022.06.10.', '내용': '아이 어릴때부터 다닌 치과로 과잉 진료나 치료가 아예 없고 진료/치료 전후로 상세한 설명을 해주시는 의사선생님이 정말정말 믿음직해요.\n매번 아프지 않게 치료해주시... 더보기', '좋아요': '0'}, {'작성자': '이은경', '별점': '5.0', '날짜': '2021.06.28.', '내용': '직원분들모두 친절하시고~ 원장님도 치료잘해주십니다~ 마취할때 마취하는지도 모르게 하셔서  정말오래진료하신  배테랑의손길이 느껴집니다 매번~ 직원분들께서도... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00'}"
류훈치과의원,5.0,동대문구 왕산로 4,,"[{'작성자': '루시오땜에 가입', '별점': '5.0', '날짜': '2022.05.13.', '내용': 'ㄹㅇ....갓치과', '좋아요': '0'}, {'작성자': '진실의방으로', '별점': '5.0', '날짜': '2021.09.13.', '내용': '이곳에서 오전에 사랑니뽑고 오후에 맥날조졌습니다..\n충치 날때마다 여기오는데 과잉진료 없이 재야의 고수 선생님 계신곳.', '좋아요': '0'}, {'작성자': '이승윤-STEVEN', '별점': '5.0', '날짜': '2021.07.26.', '내용': '귀차니즘때문에 후기같은건 남기지 않는 스타일인데, 좋은치과인거 같아 남깁니다.\n\n친절하고 신뢰가 가는 곳입니다.', '좋아요': '0'}]","{'수': '휴무일', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:00', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '휴무일': '매주 수요일'}"
통대문신경외과의원,,동대문구 왕산로 10 한성빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyNDA1MzFfNzIg%2FMDAxNzE3MTI1NDcyMjgw.gVjRaiYH4Kq8Bm3-IouApTPZzDlMg3Tkc0mOP49eK-8g.xWq9fQqT4qPdnsiiGGiHnvRp6pJP5D5QwGvbwr57K-Mg.JPEG%2F%25EB%258F%2584%25EC%2588%2598%25EC%25B9%2598%25EB%25A3%258C_%25EB%25AC%25BC%25EB%25A6%25AC%25EC%25B9%2598%25EB%25A3%258C%25EC%258B%25A4_(6).JPG%3Ftype%3Dw1,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
푸른섬한의원,4.3,동대문구 왕산로 16 동진빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjRfOSAg%2FMDAxNzMyNDYwMTMzMjAy.aTArsD5BdVT32VCHqE8IimmyY_CEn4pTcNRlYBJHsT0g.9fiHu8q6M5SMcYbFLQw3WSft8owvRR6AB6Cawms-erAg.PNG%2F%25EC%259D%25B8%25EC%258A%25A4%25ED%2583%25802.png%3Ftype%3Dw580,"[{'작성자': '푸른섬 원장', '별점': '3.0', '날짜': '2025.03.19.', '내용': '▽ 온라인에서 댓글을 남기면 보통 본인이 누군지 모를거라 생각하지만, 병원, 그것도 보통 근처에서 내원하시는 동네 한의원이라 시간이 지나면 누군지 특정이 다 됩니다. 몇 가지 조건 차트에 입력하고, 검색하면 다 나오거든... 더보기', '좋아요': '1'}, {'작성자': 'Kim~', '별점': '1.0', '날짜': '2024.06.18.', '내용': '최악입니다. 절대가지 마세요~\n많은 한의원들을 다녀봣지만 침, 물리치료, 추나 모두 넘넘 하네요.\n환자가 없는데는 이유가 있네요~', '좋아요': '1'}, {'작성자': 'ごろごろ', '별점': '5.0', '날짜': '2023.09.27.', '내용': '데스크선생님이 시간 얼마나 걸리는지 알려주면 더 좋을 거 같아요 한의사 선생님 실력 최고입니다', '좋아요': '0'}]","{'수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00'}"
