name,score,address,img_url,reviews,open_hour
서울특별시 동부병원,2.6,동대문구 무학로 124,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjRfMjQ2%2FMDAxNzM1MDE0MTA5NjQ1.waLL8jHHpkx-w2srfAr8cMU6TISKvtnXg3Kjxho608Ag.3-OPO0KWRcbfB_yYAycRNTjRKPKf5szWUZAm_TY5OWYg.JPEG%2Foutput_1816890682.jpg%3Ftype%3Dw966,"[{'작성자': '🌙', '별점': '1.0', '날짜': '2025.03.24.', '내용': '최악. 맹장염일수 있다면서 보호자에게 말도안해주고 대기실에 있으라고만해요? 카운터 간호사 불친절했어요.', '좋아요': '0'}, {'작성자': '911', '별점': '4.0', '날짜': '2024.12.21.', '내용': '시립이라 저렴해요. 대신 그만큼 진료과나 의사는 적습니다', '좋아요': '0'}, {'작성자': 'ㅇㅊㅇ', '별점': '1.0', '날짜': '2024.11.14.', '내용': '이전 의원에서 맹장의심스럽다고 소견서 가지고 집에서 가까운 동부병원 갔습니다. 환자 아파서 앞에서 식은땀 삘삘흘리고 아파하는데 귀찮아 하는게 눈에 너무 보이네요 환자도 저... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '공휴일'}"
속편한내과의원,4.4,동대문구 고산자로 399,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1b72ec3e99c55dc03e2dbf7c9e810910b45b8a16%3Foriginal,"[{'작성자': '스티븐', '별점': '5.0', '날짜': '2025.03.10.', '내용': '체계적이고 친절 김윤배 원장님 잘 알려주셔서 좋아요👍🏻', '좋아요': '0'}, {'작성자': '최성훈', '별점': '5.0', '날짜': '2025.03.05.', '내용': '공복 혈당이 점점 오르는 게 신경 쓰여서 검사받고 왔는데 자세히 설명해주셨어요.\n집에서는 펩티드요법을 병행하면서 혈당을 조절하니 확실히 좋아지는 느낌이에요. 감사합니다.', '좋아요': '0'}, {'작성자': '최악인장소는거름', '별점': '1.0', '날짜': '2025.02.24.', '내용': '너무 느려서 속터짐.. 속터진 내과의원으로 이름 바꾸길 바람.. 의사배정도 엄청나게 오래걸리는데 수납은 더 속터짐.. 진료끝났는데 처방전을 왜 한세월 기다려야하는지 모르겠음', '좋아요': '1'}]","{'수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 14:00', '일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '휴무일': '공휴일'}"
왕십리휴요양병원,2.7,동대문구 무학로 88,,"[{'작성자': '김남산', '별점': '2.0', '날짜': '2022.11.22.', '내용': '재활치료 선생님들이나 다른 쌤은 친절함. 근데 재활과 남자 의사쌤 너무 불친절해요. 어차피 그 분 볼 일도 많지 않고, 치료사 쌤들은 진짜 좋아서 참고 다니는데. 병원 옮길까고민될 정도.... 더보기', '좋아요': '1'}, {'작성자': 'david', '별점': '5.0', '날짜': '2022.06.18.', '내용': '.', '좋아요': '0'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30'}"
날개병원,,동대문구 무학로 193-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1E665C1481E54B699F2184B3A624FAA2,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
서울명병원,,동대문구 고산자로 421,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F234CD24F568DE1651E,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
보아스이비인후과의원,3.6,동대문구 왕산로 86 푸르지오시티 오피스텔동 204~207호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F44A33FAF467945F1A5152B7BDA9E86BF,"[{'작성자': '솜솜', '별점': '3.0', '날짜': '2025.03.14.', '내용': '의료진이 차분하고 꼼꼼함. 여러 검사를 해서 비용은 좀 나옴... (바로 약 안 주고 폐기능검사 등등 시행함.) 4시 전에 가서 진료 못본 적은 없었음\n\n스테이션에 ... 더보기', '좋아요': '0'}, {'작성자': 'ㅅㅎ', '별점': '5.0', '날짜': '2024.11.18.', '내용': '데스크 계신분 좀 불친절하긴한데 의사선생님이 모든걸 상쇄시켜주심. 친절하고 열정적이시다', '좋아요': '0'}, {'작성자': '-', '별점': '1.0', '날짜': '2024.09.02.', '내용': '왜 이렇게 불친철하세요? foreigner never come here, super rude receptionist lol', '좋아요': '4'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
서울에이스재활요양병원,2.8,동대문구 고산자로 379,,"[{'작성자': 'coolbasher(@702호)', '별점': '1.0', '날짜': '2024.06.24.', '내용': '치매에 야간 배회 성향이 있는 환자는 여기로 모시지 마세요 결국 병원에서 퇴원 해달라고 합니다', '좋아요': '1'}, {'작성자': '인간은무엇으로사는가', '별점': '5.0', '날짜': '2023.03.31.', '내용': '원장님부터, 직원들까지.. 환자를 진심으로 대하는 곳.. 감사합니다', '좋아요': '0'}, {'작성자': 'ㆍ', '별점': '2.0', '날짜': '2022.06.28.', '내용': '에휴 일단 불안 불안 하네요 저희 아버지두 살려구 자식 생각하시는 맘에. 애쓰시구 주위사람 힘들게 하시지만 저두 삶에찌들어 지켜 들여할분 지켜 드리지만 힘에 벅차긴 ... 그래두 ... ... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
선정형외과의원,2.7,동대문구 고산자로 410 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjhfMjM0%2FMDAxNzMyNzc3MDQ2NDE1.ieaQs6mXDPrydj7v13znBaVtyNbkt7WAT0wDziPbBbkg.tUOT0Bj-YXG_0UZkL8XjEvPTdq2Eqp6ax3zUMA-Y6Gog.JPEG%2F%25EC%2584%25A0%25EC%25A0%2595%25ED%2598%2595%25EC%2599%25B8%25EA%25B3%25BC_%25EC%2582%25AC%25EC%25A7%2584%25EC%2597%25B0%25EC%259E%25A5%25EC%2588%25A0__(3).jpg%3Ftype%3Dw966,"[{'작성자': '푸들', '별점': '1.0', '날짜': '2024.08.26.', '내용': '6시 30분까지라해서 가니까 6시마감이지롱~~하는 카운터 조무사분 꼭 월급 30분어치 반납하고 받으시길', '좋아요': '0'}, {'작성자': 'flat_dawn', '별점': '1.0', '날짜': '2024.03.04.', '내용': '손등 통증으로 손을 움직일 수 없어서 진료받았는데 엑스선 검사 후 상태가 매우 안좋다고 MRI 찍고 힘줄?을 꿰매야 한다고 진단함. 없는 시간 쪼개서 온 거라 지금은 못한다고 했더니, 반말로 아직 덜 아팠네. ... 더보기', '좋아요': '1'}, {'작성자': 'ㄱㅅㅎㄷ', '별점': '1.0', '날짜': '2023.07.10.', '내용': '다쳐서 응급으로 오전11:45에 \n방문했는데\n자기네는 오전 접수 끝났다고 ... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
더원외과의원,3.8,동대문구 왕산로32길 7 BYC 청량리오피스텔빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTlfMjQg%2FMDAxNzM0NTkxNTQ3MTI0.nJug2cFYaLToLlbOuKwcwT6cJPMu5zJlkLCCueDuE4sg.mQ2G1nObmxpAnjxQ_hTDvxFBnDp8z857lnDdbpqFZ3sg.PNG%2FKakaoTalk_20241219_102414599_12.png%3Ftype%3Dw966,"[{'작성자': '맛집찾아가는진돗개', '별점': '1.0', '날짜': '2024.07.27.', '내용': '과잉진료 + 대충진료 지 휴가라고 치료도 안해줌 미친병원', '좋아요': '0'}, {'작성자': '🍰', '별점': '5.0', '날짜': '2021.10.30.', '내용': '국가 일반건강검진 받았는데 한산함', '좋아요': '1'}, {'작성자': '이용석', '별점': '5.0', '날짜': '2021.07.03.', '내용': '12일 전에 탈장수술을 해서\n이상없이 빠른 쾌유 중입니다.... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '13:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
성모수내과의원,3.3,동대문구 왕산로 60-1 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE91DBF59540E48ED9D4CD95848F9482A,"[{'작성자': '지훈', '별점': '1.0', '날짜': '2024.11.01.', '내용': '소통이 잘 안 되는지 간단한 서류 받는 것도 의사샘이랑 얘기해야 한다며 한참 뒤에 발급해 주시네요.. 2주 전에 이미 이야기했고 수령만 하려 잠깐 들렀던 건데 30분 기다렸어요. 그리고 간호사샘이 마스크 없이 계속 기침해서 당황스러웠어요', '좋아요': '0'}, {'작성자': '식이', '별점': '5.0', '날짜': '2024.07.31.', '내용': '갈때마다 친절하게 설명해주셔요!!', '좋아요': '0'}, {'작성자': '사냥개', '별점': '5.0', '날짜': '2024.05.24.', '내용': '내시경 잘하신다고 봐서 방문 하였습니다. 의사선생님 진짜 친절하고 자세하게 설명 해주시구요, 간호사분들 친절 이야기가 많은데 저는 불친절 보다는 엄마또래의 츤데레... 더보기', '좋아요': '0'}]","{'수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '휴무일': '공휴일'}"
