name,score,address,img_url,reviews,open_hour
최일규정형외과의원,2.5,동대문구 이문로 128 아이비리그오피스텔 1~3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDdfMjgx%2FMDAxNzMzNTM2NDQxOTk4.r3BuWXA1LaN-oi_s3UUiZL8_OSr6hVaoNDZEHjvxv7Mg.ybacWSlHrE2NzUsNkkaSjXu8M3vrkcpz5pylx-6kmiMg.JPEG%2FIMG_2644.jpg%3Ftype%3Dw966,"[{'작성자': 'Hahmie', '별점': '5.0', '날짜': '2025.01.20.', '내용': '같은 증상으로 3번째 병원. 일단 이번 겨울이나 잘 나자 하고 접근성 좋어서 갔는데 치료 4회차 만에 아… 치료가 되는거구나 싶음. 진단도 잘 해주시고 그외 치료 과정도 좋았음. 대체로 친... 더보기', '좋아요': '0'}, {'작성자': '몽몽', '별점': '1.0', '날짜': '2025.01.17.', '내용': '별점낮은 이유가 있음 \n카운터직원이 너무 불쾌해서 다신 안갑니다ㅜ', '좋아요': '0'}, {'작성자': '이현주', '별점': '5.0', '날짜': '2024.10.19.', '내용': '운동을 많이 하는 편이라 종종 다쳐서 가는데\n의사선생님 친절하시고 딱 필요한 만큼의 진단 해주십니다. 이문러에게 한줄기 빛☆', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
밝은봄정신건강의학과의원,,동대문구 휘경로 13 8층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMThfOCAg%2FMDAxNzM0NDg2ODY5NDE0.0q1CwNKiYaHBaoeopZKnvoC15MWrvWWq6IL7wwIxxn0g.t4SJeNHhLfIUPepHDLBT8x-rC4TxfZ5YcAtrXjOIgDUg.JPEG%2FKakaoTalk_20241218_102914422_01.jpg%3Ftype%3Dw386,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '휴무일': '공휴일'}"
미체로의원,3.0,동대문구 이문로 114 한국외국어대학교 글로벌홀 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAxMjhfMTA3%2FMDAxNzA2NDI1MTkzMTM5.JuWp9Y8kPp2TQS9ByTj9J6xiXx1TJDbXHERYNwGFXNwg.dPH4WPQnzIv1iwJFYGJQv1hMEsIyih2_xrr1Yp937Ecg.JPEG.gusehddud2%2F20240124%25EF%25BC%25BF110758.jpg%3Ftype%3Dw773,"[{'작성자': '불꽃', '별점': '5.0', '날짜': '2025.03.30.', '내용': '과잉진료 이렇게 없는 곳은 처음이에요. 감동받아서 후기 남깁니다. 다른 곳들은 뭔가를 하지 못해서 안달인데 여기는 제가 궁금해하는 것도 굳이 안해도 된다고, 이유까지 친절하게 알려줍니다.', '좋아요': '0'}, {'작성자': 'Hi', '별점': '5.0', '날짜': '2025.02.26.', '내용': '처음 방문했는데 빨라서 좋았어요 처방받은 약 먹고 3일 지나니 피부도 가라앉았구', '좋아요': '0'}, {'작성자': '김태진', '별점': '5.0', '날짜': '2025.02.21.', '내용': '어려운 레이저치료받았는데 친절하시고 만족스러웠습니다', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
신재호내과,4.6,동대문구 이문로 133-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ffc027164eb3dc74e82470d41ad8c2335b02d71bd%3Foriginal,"[{'작성자': '배고파', '별점': '5.0', '날짜': '2025.03.26.', '내용': '약효는 잘 모르겠는데 진짜 꼼꼼하게 증상 물어보시고 설명도 자세하게 해주세요. 정말 친절하세요 그래서 그런지 어르신... 더보기', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2025.02.01.', '내용': '약 과하게 처방 안하시고 증상도 꼼꼼하게 봐주십니다\n역시 병원은 후기 좋은 곳으로 와야해요..\n아래 약국도 복약 설명 ... 더보기', '좋아요': '0'}, {'작성자': '꼬막', '별점': '1.0', '날짜': '2024.07.19.', '내용': '체한걸 큰병원가서 CT까지 찍게만듦.  진짜 수치스러운 경험 다 했음', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
밝은성모안과의원,3.6,동대문구 이문로 125 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff7d254692f95abb2608c63545ad322abedc50cfe%3Foriginal,"[{'작성자': '박명준', '별점': '5.0', '날짜': '2025.03.27.', '내용': '후기 중 친절하다는 전부 사실입니다. 직접 가보시면 알게됩니다. 특히 원장선생님의 친절은 힐링 수준이네요.', '좋아요': '0'}, {'작성자': '주민', '별점': '5.0', '날짜': '2025.02.13.', '내용': '회기 안과 종결임.\n친절하시고 문진 엄청 친절하게 자세하게 하셔요.\n경희대생 외대생이면 여기로', '좋아요': '1'}, {'작성자': '대가리갈릴레오', '별점': '1.0', '날짜': '2025.01.25.', '내용': '원인을 알 수 없다고 하고 안약만 줌', '좋아요': '0'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00'}"
연세이문소아청소년과의원,2.8,동대문구 신이문로 27 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MjFfMjAz%2FMDAxNzIxNTYxNzMwODU4.Vwg8q_MJBACb6m8ERX8DtXP92jakBnB2bFVvENclJ8Eg.gLFNDTNdz__xTxeywc4M5iR6LvzVAk32QMjr5tUISJ4g.JPEG%2FIMG_4980.jpg%3Ftype%3Dw466,"[{'작성자': '와우', '별점': '5.0', '날짜': '2024.06.07.', '내용': '이런저런 불만 후기 많아도, 요즘같은 저출산 시대에 밤낮으로 일하시는 소아과가 있다는 것만으로도 감사합니다. 물론 간호사 선생님과 의사 선생님도 꼼꼼하시고요. 서로 손발이 척척 맞으십니... 더보기', '좋아요': '7'}, {'작성자': '동네사람', '별점': '5.0', '날짜': '2024.04.01.', '내용': '휴일 없이 늦게까지 열려있는 병원은 여기 뿐일꺼에요. \n나쁜 후기도 보이는데. 선생님이 캐릭터 있기는 하지만 불친절하지 않아요... 더보기', '좋아요': '4'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.03.04.', '내용': '주말에도 하고 밤 늦게 까지도 하는 소아과가 있어 얼마나 다행인지 몰라요. 열 날 때 가면 시간대 별로 기록하라고 종이도 주시고 열체크도 해주시구요. 코감기 걸렸을 때는 매일 와서 코 빼고 가라고 해주세... 더보기', '좋아요': '4'}]","{'수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 15:30', '일': '10:30 ~ 15:30', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00'}"
미소진의원,2.3,동대문구 휘경로3길 4 3층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA747CBB0950040F2BCFE9169AFD4E019,"[{'작성자': '^^', '별점': '1.0', '날짜': '2024.10.18.', '내용': '다른 피부과 사람 꽉차서 대기 시간 물어보려고 전화했는데 웅얼거리다가 말하는 중에 냅다 끊음', '좋아요': '1'}, {'작성자': '맛있는거 조아', '별점': '1.0', '날짜': '2023.12.30.', '내용': '접수받는 간호사   너무 불친철함 다시 가고싶지 않음', '좋아요': '1'}, {'작성자': '뽀로로', '별점': '1.0', '날짜': '2023.03.21.', '내용': '너무 불친철해서 1별도 아깝고 간호사들 정말 불친철해요. 돈 한 번만 내고 다시는 안 가', '좋아요': '1'}]","{'수': '09:30 ~ 13:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '휴무일': '공휴일'}"
서울연세의원,2.1,"동대문구 이문로 188 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MTBfOTkg%2FMDAxNzIzMjc0ODkxMTI0.Cg-sLXt_wRgK1vT_U8l7Nue8gxEXg0VEAJnxE3470t0g.kkIhfRIq_KX8ibmfnBGHCbCYLm0mChq2i_cp87nJBWwg.JPEG%2F1723274881148.jpg%3Ftype%3Dw966,"[{'작성자': '박상대', '별점': '1.0', '날짜': '2025.01.02.', '내용': '독감때문에 2024.12.29(일) 오전 09:00 경 방문했는데  일요일이고, 환자가 많아서 1시간 기다린건 이해한다치더라도 환자는 의사선생 근처에 못오게하고 보호자 하고만 이야기하고 하다못해 체온이든, 목상태든... 더보기', '좋아요': '0'}, {'작성자': '김경현', '별점': '1.0', '날짜': '2024.11.24.', '내용': '주사실엔 먹다남은 샌드위치가 널부러져있고 안내또한 불친절. 카드 결제하고는 툭 던져줌. 바쁜건 알겠는데 사람이 사람으로 안 보이는듯.', '좋아요': '0'}, {'작성자': 'Dory', '별점': '1.0', '날짜': '2024.02.05.', '내용': '퇴근하고 싶으셔서 문닫는시간보다 1시간 빠르게 접수 안받으시는건 알겠는데 불친절은 디폴드값인가요?ㅋㅋㅋㅋㅋㅋ', '좋아요': '3'}]",{}
바른정형외과의원,4.1,동대문구 이문로 186 1층,,"[{'작성자': '먹을려고 사는애', '별점': '5.0', '날짜': '2025.01.16.', '내용': '여기 진짜 좋아요\n의료인 그자체심', '좋아요': '0'}, {'작성자': '블루캣', '별점': '5.0', '날짜': '2024.11.12.', '내용': '꼼꼼하게 검사해주심', '좋아요': '0'}, {'작성자': '자전거탄풍경', '별점': '1.0', '날짜': '2024.10.22.', '내용': ""동네 자영업 정형외과야 십중팔구 '엑스레이 찍고,, (진료후 뭐 없고) 근육이완제랑 소염제 처방해드릴께요..'  이게 끝인거는 알지만,,,\n그래도 혹시 몰라 병원가... 더보기"", '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 13:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
동안비전내과의원,2.4,"동대문구 이문로 88 2층 201, 202호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F823CB9F9C8D145369205C8C702FE9764,"[{'작성자': '고냥이', '별점': '5.0', '날짜': '2025.01.18.', '내용': '오늘만 2군데 병원 들렀는데 의사분, 간호사분 다 너무 친절하셨습니다. 심지어 궁금했던 것들도 자세히 설명해주시고 추후조치도 구체적으로 알려주셔서 충분히 만족스러웠습니... 더보기', '좋아요': '0'}, {'작성자': '헤헷', '별점': '1.0', '날짜': '2024.12.11.', '내용': 'ㅋ', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.11.19.', '내용': '예약이 무의미한듯, 앞사람이 늦게와서 내 순서가 밀렸다는 이상한 소리를 당연하듯 함. 아니 정시에 온 사람이 왜 피해를 봐야하냐고요.', '좋아요': '0'}]","{'수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '휴무일': '공휴일'}"
