name,score,address,img_url,reviews,open_hour
린여성병원,2.6,동대문구 답십리로 266,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjRfMTc3%2FMDAxNzM1MDMwNzI2MzY5.gwouOhMmBHNWSbr0ES80mnf2Q0V1-gvgSmgzHjcU2tsg.NUK1nBXTec8ZbP1XdsXZIHaTTOGkv_kccjP323HdyRcg.JPEG%2F2_(5).jpg%3Ftype%3Dw466,"[{'작성자': '이북리더', '별점': '1.0', '날짜': '2025.01.29.', '내용': '병실(1인실)의 청소 상태가 좋지 못하고 7층 간호병동의 일부 간호사들이 불친절하고 무례합니다. 사전에 설명해 주지도 않은 부분에 대해 보호자를 나무라는 식으로 말하는 등 기본적인 예의 조차 갖추지 못... 더보기', '좋아요': '0'}, {'작성자': 'KYN', '별점': '4.0', '날짜': '2024.11.07.', '내용': '건간검짐받으러 왔는데 ,모두들 친절하구만,, \n미리 겁먹고 왔는데  저는 괜찮았습나다.\n시설도 깨끗하고 별 불편없었네요.', '좋아요': '0'}, {'작성자': '노은의 아들', '별점': '1.0', '날짜': '2024.11.04.', '내용': '헬. 커뮤니케이션 블랙홀\n불친절\n먼지 많다', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00'}"
영동병원,2.5,동대문구 한천로 4 1-7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAxMDNfNjAg%2FMDAxNzA0Mjc5MzE5OTI3.coQRt00VIttn1vosnU4VzYdUGEqYYNsjUOaZm8dVExAg.X6qjP5_9_gQ0pA8K-ETZK28XCLuixXzy-EJMAVwe850g.JPEG.jungsup0426%2FIMG_4145.jpg%3Ftype%3Dw466,"[{'작성자': '상도동절대미각', '별점': '1.0', '날짜': '2024.12.11.', '내용': '간호사 불친절 너무심함', '좋아요': '0'}, {'작성자': '현진', '별점': '2.0', '날짜': '2024.10.17.', '내용': '급하게 찾긴했는데 비급여랑 간호사분들이 불친절합니다\n시설이 열악해서 보호자가 있는게 좋습니다', '좋아요': '0'}, {'작성자': 'nowhere', '별점': '5.0', '날짜': '2024.10.13.', '내용': '난 잘 모르겠던데요.친절하시던데. 저는 좋았습니다!', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
햇살요양병원,,동대문구 장한로 152 화성빌딩,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FcIUvYA%2FbtrwWgksDYb%2FLminq4tWewyUXp8iMpZ3fk%2Fimg.jpg,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
코리아병원,1.8,동대문구 장한로 143,,"[{'작성자': '바이올렛87', '별점': '1.0', '날짜': '2025.02.08.', '내용': '주차 불편, 시설 너무 낡고 편의 시설 태부족.\n그리고 이모든 걸 능가하는 간호사들의 싸가지...\n싸가지란 표현 싫어하는데 도저히 이 말말곤 그들을 설명할 수 없... 더보기', '좋아요': '0'}, {'작성자': '^~^', '별점': '1.0', '날짜': '2025.01.03.', '내용': '간호사가 아니라 무슨 어디 식당이모 같은게 있음', '좋아요': '1'}, {'작성자': '주희', '별점': '1.0', '날짜': '2024.12.20.', '내용': '뼈 뿌러진거 가지고 전신마취만 여러번시킴 간호사분들도 불친절 ㅡ.ㅡ', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
피부사랑피부과 에스엘의원,4.1,동대문구 장한로 124 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMTFfMyAg%2FMDAxNzI4NjExMzAzMTA3.8_RiSJVJisK5dbiOerhw9acS2_C3f4o38JvsMSCUc4Ig.tI9nKdIu4cCl0ztyZHX6Lzl_lo7wctiFjMPEf-pDJFog.JPEG%2F%25EC%259E%25A5%25EC%2595%2588%25EB%258F%2599_%25EC%25A3%25BC%25EC%25A7%2593%25EC%2588%2598__(3).JPEG%3Ftype%3Dw773,"[{'작성자': 'ㅡ.ㅡ', '별점': '5.0', '날짜': '2025.02.17.', '내용': '여기 의사선생님 엄청 자세히 설명해주시고 친절하세요', '좋아요': '0'}, {'작성자': '아..가을아', '별점': '1.0', '날짜': '2025.01.17.', '내용': '프론트 여자분 좀 더 친절했어면.', '좋아요': '2'}, {'작성자': 'ㅋㅋㅋㅋ', '별점': '1.0', '날짜': '2025.01.09.', '내용': '의사선생님 실력은 좋은듯 근데 데스크는 일하기 싫어하는거 같음 나도 병원일 하는데 딱 저렇게는 하지 말자 생각이듬 진짜 싸가지 없음', '좋아요': '2'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '휴무일': '공휴일'}"
지혜병원,1.8,동대문구 천호대로 421,,"[{'작성자': '시경이', '별점': '1.0', '날짜': '2024.08.07.', '내용': '의새', '좋아요': '0'}, {'작성자': '최홍석', '별점': '3.0', '날짜': '2024.03.16.', '내용': '..........', '좋아요': '0'}, {'작성자': '이가희', '별점': '3.0', '날짜': '2024.01.31.', '내용': '접수처 여직원분 업무관련 공부좀 시키고 고객응대 바람\n기본적인 것도 모르고 업무함 모르는 고객들은 당하게생겻음 ....????', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
동대문 참튼튼병원,,동대문구 답십리로 261,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5227E947C1FC4261AD263B21D99D1420,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
서울린소아청소년과의원,3.1,동대문구 답십리로 267 3~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMjNfMTk2%2FMDAxNzQwMzE4MDE3NzA0.-XzC3KPQTW6jlRkGpGbFkzu29nrDHN8EZyihpd3_YD8g.n20HjMulIMnXmba6j9yL-ypg2dMqAM_GIIIMlvolvB0g.JPEG%2FSE-B46A0D5B-38D6-4DC0-86E1-5308E6805755.jpg%3Ftype%3Dw386,"[{'작성자': '(∩_∩)', '별점': '1.0', '날짜': '2025.01.11.', '내용': '페이닥터들이 비교적 잦은 주기로 교체되어서 진료나 영유아 건강검진 등 일관성을 기대하기 어려운 병원입니다. 출산부터 영유아검진까지 갔었는데 갈때마다 담당의사 변경, 상담의 연속성... 더보기', '좋아요': '0'}, {'작성자': 'Chi Soo Park (박치수)', '별점': '1.0', '날짜': '2024.08.13.', '내용': '매우 매우 불친절. 사람이 많든 없든 말도 틱틱. 조무사부터 의사까지. 서비스 마인드 하나없고. 진료도 대충. 배려도 없고. 절대 가지마세요. Worst experience ever. I recommend going somewhere else if you are a foreigner.', '좋아요': '0'}, {'작성자': '별점으로말해요', '별점': '5.0', '날짜': '2024.05.29.', '내용': '최첨단 장비, 장비는 곧 실력', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '09:00 ~ 18:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
대한민국요양병원,4.5,동대문구 장한로 200 KS빌딩,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F282EE66C031F4A0C81B5857FA94A4B4C,"[{'작성자': '윤은식', '별점': '4.0', '날짜': '2024.02.08.', '내용': '방문시간이 너무 한정되어 있네요. \n그리고 방문시간이 하루4시간으로는\n짧습니다.', '좋아요': '1'}, {'작성자': '고독한 탐식가', '별점': '4.0', '날짜': '2021.05.12.', '내용': '병원시설의 규모에 비해서 주차장이 상당히 협소한데 운영방식은 너무 어설프다. 하지만 정형외과 전문의 출신인 원장선생에게는 무한한 신뢰감을 느낀다.', '좋아요': '0'}, {'작성자': '대빵', '별점': '5.0', '날짜': '2020.01.21.', '내용': '원장선생님 친절하고 좋아요', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
서울메디투어의원,,"동대문구 장한로 10 조광빌딩 5,6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB4317E2D44744425BAC1FCF0DD3360F0,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:00 ~ 13:00', '목': '08:00 ~ 17:00', '금': '08:00 ~ 17:00', '토': '08:00 ~ 13:00', '일': '휴무일', '월': '08:00 ~ 17:00', '화': '08:00 ~ 17:00', '휴무일': '공휴일'}"
