name,score,address,img_url,reviews,open_hour
블리비의원 청량리점,,동대문구 왕산로 190 청량리역렉스프라임 2층 201~213호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMjJfMTg0%2FMDAxNzQwMjMwMzM4MTE1.0_S0xN4ALBoFnn3oAEe0aODFVrZcu0sYHlg5OGT-D_8g.06NFuKWJBFaYPUEiV6GVi5UcRx8rFV4912lAlrvPP7sg.JPEG%2F1.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:30 ~ 20:30', '목': '10:30 ~ 20:30', '금': '10:30 ~ 20:30', '토': '10:00 ~ 16:30', '일': '휴무일', '월': '10:30 ~ 20:30', '화': '10:30 ~ 20:30', '휴무일': '공휴일'}"
삼성베스트내과의원,4.6,동대문구 답십리로 9 시대빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3CC3B8ABA8E94E44B26D8B63DDEA2225,"[{'작성자': '허재원', '별점': '5.0', '날짜': '2024.12.20.', '내용': '이 내과 원장님의 마인드가 빨리 낫고, 일상생활에 지장없게 하자주의셔서 대학생 분들 중 감기 걸리신 분들께 추천합니다. 아 그리고 정말 친절하셔서 이번에 두번째로 갔는데 여전히 좋아요!!', '좋아요': '0'}, {'작성자': '스카이', '별점': '5.0', '날짜': '2024.11.19.', '내용': '박종신 원장님 진료봤는데 너무 따뜻하고 친절하셨어요', '좋아요': '0'}, {'작성자': '뀰', '별점': '5.0', '날짜': '2024.11.02.', '내용': '2024.11.02기준 \n독감예방접종 4가 국산 25000원 수입 30000원\n의사, 간호사분들 친절하십니다.', '좋아요': '3'}]","{'수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00'}"
라환도외과의원,3.4,동대문구 왕산로 178 대일빌딩 4층,,"[{'작성자': '써~니', '별점': '5.0', '날짜': '2023.09.18.', '내용': '선생님이 친절과 실력을 겸비하신듯~수술후 넘 가뿐하게 지내고 있어요. 비용이 보험처리되어 조금만 저렴해 여러사람들이 혜택을 누리는 날이 있기를~간호사님들도 굉장히 친절해요', '좋아요': '0'}, {'작성자': '고고씽', '별점': '5.0', '날짜': '2022.04.17.', '내용': '명의입니다^^', '좋아요': '0'}, {'작성자': '게리', '별점': '1.0', '날짜': '2022.03.22.', '내용': '하지정맥류 초음파 검사하는데 비보험이고 20만원 받네요 모르고 받았는데 2022.3.21일 기준 건강보험심사평가원 중간값이 10만원 평균값이 13만원 합니다. 참고 하세요', '좋아요': '5'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
오가나셀피부과의원 동대문점,,"동대문구 답십리로 9 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC9AC9E16518D4FA898F24042B56300DA,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '휴무일': '공휴일'}"
서울N비뇨기과의원 청량리점,4.1,동대문구 왕산로 176 창현메디컬빌딩 7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD578402318434FAA962667BEF8B12328,"[{'작성자': '윤지원', '별점': '5.0', '날짜': '2024.12.20.', '내용': '여자가 비뇨기과 가는거 꺼렸는데\n처음갔는데 선생님 설명잘해주시고\n꼭집어서 필요한검사만해서 환... 더보기', '좋아요': '0'}, {'작성자': '나는파이리가좋아', '별점': '5.0', '날짜': '2024.09.10.', '내용': '전립선 치료 꾸준히 받는 중. 효과 굿. 약 처방 잘해주시고 상담 잘해주심', '좋아요': '0'}, {'작성자': '김치보꿈v', '별점': '5.0', '날짜': '2024.08.07.', '내용': '예비부부입니다~ 결혼 전에 검사 여기저기 알아보다가 근방에서 여기가 유명해서 다녀왔어요. 웨딩검진 종류도 많고, 검사도 꼼꼼하게 해주셔서 너무 만족해요 ㅎㅎ', '좋아요': '0'}]","{'수': '09:00 ~ 12:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 20:00', '휴무일': '공휴일'}"
건강한우리내과의원,4.5,동대문구 왕산로 176 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDNfNjUg%2FMDAxNzM1ODczNjI0NzEy.vEkozsC3GG6n1Zj3xqtbBAwM4f64zggbaHnend2O-D4g.CKjSC61IOKEidTQX9fkkiLzx2ofKWYCXFaNroH8P_E4g.JPEG%2F20240813_135546-tile_006.jpg%3Ftype%3Dw966,"[{'작성자': '도민준', '별점': '1.0', '날짜': '2024.10.18.', '내용': '대장암 분변 검사시 집에 가서 해 와야 합니다. \n평점 보고 간건데.. 여러가지로 여긴 이번이 마지막 입니다.', '좋아요': '0'}, {'작성자': '낑깡', '별점': '5.0', '날짜': '2024.06.21.', '내용': '1진료실 곽철훈 원장님 친절하시네요.\n증상도 상세히 설명해주셨습니다.', '좋아요': '1'}, {'작성자': 'ㅅㅈㅅ', '별점': '5.0', '날짜': '2024.03.08.', '내용': '2진료실 원장님 엄청 친절하시고 설명도 자세히 해주셨어요. 간호사분들도 친절하시네요', '좋아요': '0'}]","{'수': '08:00 ~ 18:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 20:00', '토': '08:00 ~ 14:00', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00'}"
박이비인후과의원,4.4,동대문구 전농로 147,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F51ec7a36b2e4cac6ad8e0c9b8d2c71f537ba38a0%3Foriginal,"[{'작성자': '레브', '별점': '5.0', '날짜': '2025.03.29.', '내용': '동네분 추천으로 다녀왔는데요, 보통의 병원에서 경험하는 짧고 단편적인 진료가 아니라 증상을 세심하게 물어봐 주시고 제 코 구조랑 목 구조랑 보여주시면서 그래서 평소에도 어떻게 생활해야 한다고 주의사항까지 말씀해 주셨... 더보기', '좋아요': '0'}, {'작성자': '별이', '별점': '5.0', '날짜': '2024.12.30.', '내용': '선생님도 간호사 선생님들도 연배가 있으심 그래서 대체로 권위적이시고 강압적인 부분이 있음 하지만 진료는 잘보심. 다른 병원보다 꼼꼼하게 해주심. 다른 병원에서 약 일주일먹어도 안괜찮아진거 여기선 괜찮아짐 . ... 더보기', '좋아요': '1'}, {'작성자': '푸하하', '별점': '2.0', '날짜': '2024.08.28.', '내용': '연세 많으신 의사선생님과 거기에 익숙한 간호사님들이 계신 병원. 친절보다 고압적인 분위기에 가까움. 목과 코라는 깊숙한 부위 치료를 환자 입장에서 부드럽게 하기 보다, 의사 편한대로 거칠게 하시는... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '휴무일': '공휴일'}"
아비쥬의원 청량리,4.5,동대문구 왕산로 214 롯데백화점 청량리점 7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F424F0C8EC9554E978E481E6B835A6D8D,"[{'작성자': '박예나', '별점': '5.0', '날짜': '2025.04.01.', '내용': '애용하는 아비쥬 청량리점입니다~\n매장 깔끔하고 직원들도 친절해요', '좋아요': '0'}, {'작성자': '강재현', '별점': '5.0', '날짜': '2025.03.31.', '내용': '프론트와 실장님 그리고 시술해주시는 선생님까지 모두 친절하시고 접근성도 괜찮고 다른 피부과랑 비교했을때 가격이 매우 합리적이에요 \n\n... 더보기', '좋아요': '0'}, {'작성자': '혜린', '별점': '5.0', '날짜': '2025.03.28.', '내용': '가격 시술 친절 주차 뭐하나 빠짐없이 좋습니다. 초창기부터 다녔는데 계속 번창중입니다. 조아요!', '좋아요': '0'}]","{'수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 16:30', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
민피부과의원,2.0,동대문구 전농로 134,,"[{'작성자': 'ㅡ.ㅡ', '별점': '1.0', '날짜': '2025.02.17.', '내용': '몇달정도 압출 받았는데 흉터만 남고 전혀 좋아진게 없음.. 그리고 여드름 상태 보지도 않고 진료함\n별로 추천하고 싶지 않음', '좋아요': '0'}, {'작성자': '돌이', '별점': '5.0', '날짜': '2024.11.20.', '내용': '알러지 피부염으로 방문했는데 진료 잘 봐주셨습니다. 후기가 안좋아서 걱정했는데 전혀 괜찮았습니다. 의사선생님께서 사근사근한 스타일이 아닌 건 맞지만 서비스업도 아니고..^^ 진료 잘봐주시는게 최고인 거 같아요', '좋아요': '0'}, {'작성자': ',,,', '별점': '1.0', '날짜': '2024.07.15.', '내용': '“인생에서 처음 경험해보는 진료였습니다 ㅋㅋㅋㅋ”\n\n평소 저는 갈등을 만들고 싶지 않아하고, 차분한 말투라는 말을 많이 들어왔습니다.\n... 더보기', '좋아요': '3'}]","{'수': '09:40 ~ 18:00', '목': '휴무일', '금': '09:40 ~ 18:00', '토': '09:40 ~ 14:00', '월': '09:40 ~ 18:00', '화': '09:40 ~ 18:00', '휴무일': '공휴일'}"
서울치과의원,5.0,동대문구 왕산로 186 청량리역 우남SL타워300 3층 305~307호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F15dbb3af54cdc98b99fa2a8c90d06e10e142eaf4%3Foriginal,"[{'작성자': 'Tom', '별점': '5.0', '날짜': '2024.10.29.', '내용': '말해뭐해 직접 가봐야 알지 최고란걸', '좋아요': '0'}, {'작성자': 'MYONGHO_LEE', '별점': '5.0', '날짜': '2024.10.01.', '내용': '10년 넘게 다니고 있어요 서울 치과 직원들은 친절은 기본이고 원장님 실력은누구나알아주는실력가이고 간호팀장 너무 친절합니다 내가 경기도로 이사하고도 먼 길 을 마다 안고 서울 치과 다니는 이유입니다.', '좋아요': '2'}, {'작성자': '임핑가(임형준)', '별점': '5.0', '날짜': '2024.09.10.', '내용': '모든 직원분들 친절하시고 너무 좋네요', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 17:00'}"
