name,score,address,img_url,reviews,open_hour
우태하피부과의원 동대문점,,동대문구 왕산로 151 왕산빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F871584F9B1AA46A5B33167F45EE925F0,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '휴무일', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '휴무일': '매주 수요일, 일요일'}"
서울나은병원,2.9,동대문구 왕산로 137,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTJfOTAg%2FMDAxNzMxMzQ5Mzk5NzA2.AOvqzH-x6t0yUN8cMwUsKIMnPUfdZv65Fh4QyvSpxA8g.pxgPt5qwI17-I_7-36PIizfIDFlJ1rFJLqAKbf2b57og.PNG%2Fmain5.png%3Ftype%3Dw966,"[{'작성자': '낡은차', '별점': '1.0', '날짜': '2025.01.19.', '내용': '엉터리병원!!\n어머니께서 넘어지셔서 갔더니 금이 갔다고..??\n멀쩡한 다리에 기브스를..\n이상해서 삼육... 더보기', '좋아요': '4'}, {'작성자': '임왕철', '별점': '5.0', '날짜': '2023.06.26.', '내용': '허리통증이 있어 진료를 받았는데 신기 하게도 1회 처치로 통증이 사라져 다른 환자에게도 권하고 싶은 병원 임작성내용은 마이페이지와 장소상세에 노출되며 매장주를 포함... 더보기', '좋아요': '0'}, {'작성자': '가나', '별점': '5.0', '날짜': '2022.08.10.', '내용': '병원 e-mail 주소 있어요? 저는 거기에서 진료 받은 외국인 환자예요. E-mail-으로 MRI, X-Ray 사진 받고 싶어요. 어떻게 해야 해요?', '좋아요': '0'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '공휴일'}"
서울베스트안과의원 본관,3.5,"동대문구 왕산로 171 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8d6173e9bc4baef19ab2ea2b9aeb8543333f938b%3Foriginal,"[{'작성자': '헬로우 잇츠미', '별점': '1.0', '날짜': '2025.03.19.', '내용': '데스크 젊은 여자 엄청 사람 무시하면서 대답함. 내가 왜 조무사한테 증상에 대해서 이상하다는 표정을 봐야하는지 모르겠어요 \n여긴 조무사가 의사에요?(왼쪽 구석)', '좋아요': '0'}, {'작성자': 'ㆍ', '별점': '1.0', '날짜': '2025.02.03.', '내용': ""'''"", '좋아요': '1'}, {'작성자': '.', '별점': '4.0', '날짜': '2025.01.11.', '내용': '환자가 많았는데 생각보다 빨리봤어요\n직원분들이 친절해서 좋았어요~', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
서울탑병원,0.0,동대문구 정릉천동로 102 지하 1층~4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FcyBfLz%2FbtrTdF9tkwL%2F7e8HxmmFsuEN1GxkDdQlwK%2Fimg.jpg,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '휴무일', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '공휴일'}"
제일정형외과의원,4.5,동대문구 왕산로 179 기영빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMjEwMjVfOSAg%2FMDAxNjY2NjgwNTQ3MjQx.rTn8SnxNDsvl0sHlXjZYlc9T8kvBkvFnnHqo-8nledkg.FronvMVbTVGVjYa5zKdUUidEjRUeRR_460cEVjIEAVsg.JPEG.yunsung88%2F%25EC%25B2%25AD%25EB%259F%2589%25EB%25A6%25AC_%25EC%25A0%259C%25EC%259D%25BC%25EC%25A0%2595%25ED%2598%2595%25EC%2599%25B8%25EA%25B3%25BC%25EC%259D%2598%25EC%259B%2590_%25EB%2582%25B4%25EB%25B6%258016.jpg%3Ftype%3Dw1,"[{'작성자': 'sun', '별점': '1.0', '날짜': '2025.01.20.', '내용': '발에 금간건데 자꾸 도수치료받으라고해요', '좋아요': '0'}, {'작성자': '바라기', '별점': '5.0', '날짜': '2024.12.20.', '내용': '여기저기 많이 가봤는데 설명 잘 듣지도 않고 그냥 빨리빨리 내보내는 곳에 익숙해져있었는데 진료를 본 느낌은 처음이에요!  친절하시고 질문하지 않아도 일상에서 어떻게 ... 더보기', '좋아요': '0'}, {'작성자': 'starlight', '별점': '5.0', '날짜': '2024.11.18.', '내용': '1층이라서 엄청 편해요.\n병원 되게 깔끔하고 다들 친절하세요.', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
제기동정형외과의원,,"동대문구 왕산로 123 4,5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3D3B2E05B547471CACDE71382D33740F,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '휴무일': '공휴일'}"
위풍당당신경외과의원,3.8,동대문구 왕산로 167 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfMzAw%2FMDAxNzM0OTIwNDMwMzIw.b3UQxtSF957WwIIolLTyXJQpKq2e7WNd2Vy-dcKZuf4g.1tyNAgIoVJKUe7VwqmsSXnrXhmuAm9ZWrNVVil5Wj6kg.JPEG%2FCK_tica1160000519.jpg%3Ftype%3Dw966,"[{'작성자': 'K', '별점': '3.0', '날짜': '2025.03.25.', '내용': '4명의 의사가 진료하기에 비효율적', '좋아요': '0'}, {'작성자': 'cy', '별점': '5.0', '날짜': '2023.05.05.', '내용': '원장님 친절하게 설명해주시고 치료를 해보고 별효과가없으면 딴방법으로도해주시고 신경써서 해주셔서 넘 만족합니다.', '좋아요': '0'}, {'작성자': '강무', '별점': '1.0', '날짜': '2022.03.14.', '내용': '다짜고짜 mri찍자해서 거부하고 나옴', '좋아요': '0'}]","{'수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:30', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '휴무일': '공휴일'}"
유진내과의원,1.0,동대문구 약령시로 108 2층,,"[{'작성자': '루나시', '별점': '1.0', '날짜': '2022.03.21.', '내용': '감기환자인데 확진자로 봄  \n다른 병원가서 처방받고 다 나음 \n다신 안간다.', '좋아요': '0'}, {'작성자': '신동수', '별점': '1.0', '날짜': '2022.01.22.', '내용': '3차 백신 접종하러 왔다. 자기들 일하기 편한데로 운영한다. 4명씩 쭉 세워놓고, 크지도 않은 병원인데 진료실 앞에 사람 세워놓고 기분 나쁜 병원. 이름 호명도 자기들 멋대로. 환자 중심이 아니고 병원 중심. 다신 안온다', '좋아요': '1'}]","{'수': '09:00 ~ 14:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
예진산부인과의원,,동대문구 왕산로 179 기영빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F41502C5978CF45C78BE5D18199BCD786,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '휴무일', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '휴무일': '공휴일'}"
왕자한의원,4.0,동대문구 약령중앙로 10-13,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA1MjdfMTgw%2FMDAxNjUzNjM3ODAxMjEy.DKq0nv9Cw8FWPomZTS4v4K_2VWGU4A_pFdh4iWdVzlUg.-g3Qpo3z715DLwbx0d9J8gXS6OSIzsAl4qv54-QvXg4g.JPEG.vjvjvl%2FIMG_9079.jpg%3Ftype%3Dw966,"[{'작성자': '코튼펀치', '별점': '1.0', '날짜': '2024.08.05.', '내용': '약먹고 음식 안먹으면서 조금 빠지면 뭐해요 음식먹는순간 빠진거만큼 두배찌는데 \n요요 가장심하게 옴', '좋아요': '0'}, {'작성자': '김재희', '별점': '5.0', '날짜': '2024.04.21.', '내용': '21년에 2개월동안 장장 15킬로 빠졌습니다. 한약이 먹는 욕구를 가라앉히고 특히 저녁을 안먹어도 배고프지 않아서인지 무리없이 다이어트 할 수 있었습니다. 하지만 약을 끊으면 다시 찌는 요요현상이 어쩔수 없... 더보기', '좋아요': '0'}, {'작성자': '프랩', '별점': '5.0', '날짜': '2022.05.09.', '내용': '결과에 너무 만족스러워요~~', '좋아요': '0'}]","{'목': '10:00 ~ 17:00', '금': '10:00 ~ 17:00', '토': '10:00 ~ 16:00', '월': '10:00 ~ 17:00', '화': '10:00 ~ 17:00'}"
