name,score,address,img_url,reviews,open_hour
서울성심병원,1.8,동대문구 왕산로 259,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2Frewor%2FbtsL3Ra8nPt%2F3k4KYXnKY03YkgU3Q753Gk%2Fimg.png,"[{'작성자': 'ㅇㅇㅇㅇ', '별점': '1.0', '날짜': '2025.03.30.', '내용': '간호사들 너무 불친절👎👎', '좋아요': '0'}, {'작성자': '딜도라', '별점': '1.0', '날짜': '2025.01.26.', '내용': '직원들이 너무 이쌍해요 😠😠😠😤', '좋아요': '1'}, {'작성자': '나의어머니', '별점': '1.0', '날짜': '2024.12.15.', '내용': ""어머니 관절수술800만원들여서 했는데~~~엑스레이 찍는방과사람들이 '다리움직이지마'이래라저래라~찍찍반말지꺼리에 거칠고  \n세상 그런막말은 처음들었다고 하... 더보기"", '좋아요': '1'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '공휴일'}"
자연튼튼의원,4.9,동대문구 왕산로 183 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTJfMTE3%2FMDAxNzMxNDIwNTI4NTcy.zIhcmxNBhkOTRspAHoXpt6GS3kH_bLSbPvPruQCgTvsg.fjNnpaobgf-TMEI5jqHUmMBTpNinqQZ2_3QoOs5R1jYg.JPEG%2F20241105_200939.jpg%3Ftype%3Dw773,"[{'작성자': '오모나', '별점': '5.0', '날짜': '2025.03.18.', '내용': '진심이런병원없습니다.\n이렇게꼼꼼하게해주시고ㅠㅠ\n제... 더보기', '좋아요': '0'}, {'작성자': 'Youn', '별점': '5.0', '날짜': '2025.01.06.', '내용': '후기보고 피부 습진땜에 방문했는데  데스크에 있는분도 의사쌤도 완전 친절하셔요~ 요즘 피부과들 거의 시술 위주라 일반진료 위주로 여기저기 찾다가 근처 밥먹으러 온김에  카맵 검색해서 왔는데 다음부터 멀더라도 이병원으로 와야겠어요!!👍', '좋아요': '0'}, {'작성자': 'Floryyn', '별점': '5.0', '날짜': '2024.12.31.', '내용': '여기 진짜 추천합니다. 요즘 시대 병원은 카카오 후기도 막아놓고 블로그로 홍보합니다. 피부과도 보면 거의 시술만 전문으로 하고 일반 진료는 선호하지 않습니다. 여기는 시술도 하긴 하는데... 더보기', '좋아요': '2'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
다보는성모안과의원,4.4,"동대문구 왕산로 193 풍산빌딩 6,7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF1C375E005534609858784BFA3EEA813,"[{'작성자': '방문자', '별점': '1.0', '날짜': '2025.03.13.', '내용': '지난 주부터 2-3회 전화드릴 일이 있었는데 매번 데스크분이 말 자르고 답변주시는게 퍽 유쾌하진 않습니다', '좋아요': '0'}, {'작성자': '초이', '별점': '5.0', '날짜': '2025.01.21.', '내용': '지난주에 처음 방문하고 일주일 경과보고 다시 약 처방 해주시는 배려심에 한번 감격 일주일내내 명약을 처방해 주셔서 모처럼 편안한 시간을 보내고 오늘 재방문 했는데 지방에 거주해서 자주 서울... 더보기', '좋아요': '0'}, {'작성자': 'ㆍ', '별점': '5.0', '날짜': '2025.01.14.', '내용': '대기하면서 선생님의 친절한 설명에 환자로서 감사한 마음이 들었습니다.\n환자를 환자로 보시는 마음이 전달되어 기다리는 시간이 지루하지 않았습니다.\n... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
경희임내과의원,4.2,"동대문구 홍릉로 28 성일빌딩 1, 5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDZfMjU1%2FMDAxNzMwODkzNjA0NjI3.SOvKY4UDetIolXR-KXo26DGw9Rw7DNvsjfKc0HfH4vsg.6Gas8VIBtpDfq4PevVhyHTx2PJk_vaDSRyoyRsRkvmQg.JPEG%2Fimage_blog0.jpg%3Ftype%3Dw966,"[{'작성자': '김준서', '별점': '5.0', '날짜': '2025.03.06.', '내용': '혈당이 식후마다 너무 급격히 올라서 걱정돼서 병원 갔는데 친절하게 상담해주셨어요.\n집에서는 펩티드... 더보기', '좋아요': '0'}, {'작성자': '휴~~~', '별점': '5.0', '날짜': '2024.05.01.', '내용': '딱 ...\n환자을 생각하는   두분 원장님 ...', '좋아요': '0'}, {'작성자': '쉬는날', '별점': '1.0', '날짜': '2024.02.19.', '내용': '투석실이 넓고 원장님도 친절합니다 다만 투석실 이용하실 분들은 수간호사 성격이 안좋아서 주의하셔야 할거에요 실제로 수간호사와 마찰 후 디른 병원으로 옮기신 분들도 계시고 단호사들도 자주 관둡니다', '좋아요': '1'}]","{'수': '08:30 ~ 18:00', '목': '08:30 ~ 17:30', '금': '08:30 ~ 18:00', '토': '08:30 ~ 12:30', '월': '08:30 ~ 18:00', '화': '08:30 ~ 17:30'}"
경동정형외과의원,4.1,동대문구 약령시로 124 1~3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FEB8D66735F42418C9C2E581730D1F264,"[{'작성자': '박예인', '별점': '4.0', '날짜': '2025.03.28.', '내용': '역이랑 가까워서 방문하기 편하고 좋네요', '좋아요': '0'}, {'작성자': '예스리', '별점': '5.0', '날짜': '2024.09.13.', '내용': '안내데스크 직원분들 친절해요^^ 첫방문인데 치료 잘 받고갑니다', '좋아요': '0'}, {'작성자': '김주희', '별점': '5.0', '날짜': '2024.09.11.', '내용': '전체적으로 병원이 깔끔해서 좋았고 증상에대해 자세히 설명해주시니 믿음이 가네요', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '휴무일', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 현충일'}"
초이스이비인후과의원,4.1,동대문구 홍릉로 5-1 3층,,"[{'작성자': '쥔무새', '별점': '5.0', '날짜': '2025.01.24.', '내용': '원장님 너무 친절합니다!! 초강추', '좋아요': '0'}, {'작성자': '바라기', '별점': '5.0', '날짜': '2025.01.02.', '내용': '불편함 없이 진료 잘 받았습니다! 과잉진료도 없고 학생부터 어르신들까지 다양한 분들이 오는거보니 저만 좋게 느낀 건 아닌 것 같아요! 앞으로도 여기로 올 것 같아요!', '좋아요': '0'}, {'작성자': '솜솜나나', '별점': '3.0', '날짜': '2024.11.04.', '내용': '수영후 귀가 안좋아져서 1년에 한번씩 귀지청소하는데 동네아저씨처럼 편안하게 친절히 잘 케어해주십니다', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
연세참이비인후과의원,3.8,동대문구 왕산로 225 미주상가 3층 309호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa4847fb9231bc7e99adbb81a9f1b89fbe4d333f0%3Foriginal,"[{'작성자': '썬 군', '별점': '1.0', '날짜': '2025.03.11.', '내용': '선생님이 접수도 받고 진료도 하시는 작은 병원이에요. \n선생님이 너무 친절 하세요. 근데!! 코가 막혀서 간건데, 코 칙칙도 한번도 안해주고 뭐하나 여쭤보면 이럴수도 있고... 더보기', '좋아요': '0'}, {'작성자': '먹을려고 사는애', '별점': '5.0', '날짜': '2025.02.15.', '내용': '영업해주셔서 감사합니다 오래해주세요', '좋아요': '0'}, {'작성자': 'ㅎㆍㅎ', '별점': '3.0', '날짜': '2025.01.26.', '내용': '설 휴진 이내요 \n\n예방접종 전문 의원입니다', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00'}"
안창헌피부과의원,2.1,동대문구 왕산로 207 3층,,"[{'작성자': '비니파파', '별점': '1.0', '날짜': '2025.01.14.', '내용': '환부 슥보고 약처방  끝', '좋아요': '0'}, {'작성자': '무뇽이', '별점': '5.0', '날짜': '2024.09.01.', '내용': '의사 선생님이 설명도 친절히 해주시고 증상이 왜 나타났는지에 대한 원인도 구체적으로 말씀해주셨습니다. 처방받고 5일정도 뒤에 말끔히 나아서 다음에도 피부과 가야할 시 재방문할 것 같습니다.', '좋아요': '1'}, {'작성자': '고은빈', '별점': '5.0', '날짜': '2024.01.31.', '내용': '피부가 다 뒤집어져서 급하게 찾아서 방문했는데 넘넘 친절하시고 피부도 하루만에 다 가라앉았어요 ! \n다음 번에 또 ... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 16:30', '목': '09:30 ~ 13:00', '금': '09:30 ~ 16:30', '토': '09:30 ~ 13:00', '월': '09:30 ~ 16:30', '화': '09:30 ~ 16:30'}"
척추나한의원,,동대문구 왕산로 185 제일빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA0MDhfNiAg%2FMDAxNjQ5MzkzNzQzMDEx.UHyr16RiUrrnxdbqyF-mlbS2SeVOhX3rAi-9xiIVak8g.5SW_4aIJiVD6BX_oNkHOIKbwqGX0PP6POx4x3TkHirUg.JPEG.1237yujin%2F20220402%25EF%25BC%25BF145909.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '일': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00'}"
미주이비인후과의원,3.0,동대문구 약령시로 133 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE0EE511025224FF7B89C4D3FD1AB7EDF,"[{'작성자': '안녕안', '별점': '1.0', '날짜': '2024.11.25.', '내용': '의사선생이 진단을 잘 못하는 편같아요...그리고 목안을 촬영해보자면서 제 입술과 이빨에 기계와 자신의 손을 지지대로 쓰셔서 입술이 안쪽이 찢어지고... 낫지도 않고... 추천안합니다', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
