name,score,address,img_url,reviews,open_hour
경희의료원,2.4,동대문구 경희대로 23,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMTlfMjYy%2FMDAxNjY2MTU1Nzg4NzQ2.GGLHyy5R1f73ifP9Bno7T2ec6ycF-5afs9sNGKC4sdMg.MK5HgFSB3t6Hx_AaPQ0hd74fkaPUE-u-N4jKPx0bA6sg.JPEG.redles%2FIMG_6596.JPG%3Ftype%3Dw966,"[{'작성자': 'Banny', '별점': '5.0', '날짜': '2025.01.28.', '내용': '일주일 입원하면서 정말 의료진들에게 감동받음.\n세브란스 입원했을때 간호사들의 쎄~~함에 기분 나빴던 생각에 간호사에대한 이미지가 좋지않았는데 경후의료원 간호사들은 뽑을때 인성도 많이 보는듯..', '좋아요': '0'}, {'작성자': '유선욱', '별점': '1.0', '날짜': '2025.01.23.', '내용': '전화 상담하시는분 불친절의 끝판왕이네요\n대학병원인지 의심스러운 대응입니다', '좋아요': '1'}, {'작성자': '박용준', '별점': '5.0', '날짜': '2024.12.07.', '내용': '제2에삶을살게해주신이비인후과은영규교수님감사합니다,장장15시간이나구강암수술을해주시고1년이지난지금도꾸준히관리를해주셔서고맙습니다,지금도꾸준히쉴시간도없이환자들을위해수고하시는교... 더보기', '좋아요': '0'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30'}"
경희대학교치과병원,2.5,동대문구 경희대로 26,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEyMjlfMjEw%2FMDAxNjcyMzIyMjU0MDc5.qXJV986bDmT7_HRO9R27oYf5C_UvbeMfahx6B7Bm2rcg.iv3Y_dR44zefo7z6NkEHHmN6RL6Aa3NkmADjEILhNmYg.JPEG.wkd7714%2FIMG_1493.JPG%3Ftype%3Dw580,"[{'작성자': '야식몬', '별점': '4.0', '날짜': '2025.03.04.', '내용': '사랑니가 옆으로 누워자라서 교수님 예약후 발치~\n\n5분?만에 발치했고 아프지 않았음!\n개인병원... 더보기', '좋아요': '0'}, {'작성자': '호야', '별점': '5.0', '날짜': '2025.02.24.', '내용': '❤️❤️❤️❤️❤️🦷🦷🦷🦷', '좋아요': '0'}, {'작성자': 'Nick', '별점': '5.0', '날짜': '2025.02.01.', '내용': 'A foreigner-friendly dental hospital and staff are very cooperative. Price varies with choosing a residential doctor or professor.', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '공휴일'}"
경희대학교한방병원,2.5,동대문구 경희대로 23,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTRfMjQg%2FMDAxNzMxNTU3NTY0OTY1.5Pv4i5fmMLVjJ5P8f5b-PE_7pEMQiAtlqpR9Qmvu0pwg.1r5M0_0k9s8Q6WFNkbWxdpr0RL-I8igxrR80ku467P8g.JPEG%2FSE-136F13CA-5195-4F03-97E7-8EAE07097AD0.jpg%3Ftype%3Dw773,"[{'작성자': 'hh', '별점': '2.0', '날짜': '2024.12.12.', '내용': '한방 침구과 방문했는데요. ㄴㅅㅅ교수님 봉침등은 잘 놔주시는데 비싼약 처방 안받으면 환자 진료 안해주세요. 약이 도움 될 수도 있겠지만 상태가 심하지도 않은데 최악의 상황까지 공포를 주시면서 약처방 안받으... 더보기', '좋아요': '0'}, {'작성자': 'ㄹㅇㅁ', '별점': '1.0', '날짜': '2024.09.09.', '내용': '상담원 개싸가지', '좋아요': '0'}, {'작성자': 'ililiiiil', '별점': '5.0', '날짜': '2024.04.08.', '내용': '이준희 교수님 최고의 명의십니다... 통증으로 잠 못자던 밤이 며칠이었는데 교수님 만나고 나았어요 정말 감사드립니다', '좋아요': '0'}]","{'수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '09:00 ~ 12:00', '월': '08:30 ~ 17:00', '화': '08:30 ~ 17:00'}"
사랑내과의원,,동대문구 회기로 173 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F01E7FA3E15EB44439EB9AC59774147C3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
경희대학교병원 응급의료센터,2.8,동대문구 경희대로 23,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA5MjBfOTQg%2FMDAxNjk1MTM4ODExNDI1.VKBCDVqJsw0A33zRe-ZG31ilSvwtp9s_vao6z3e0dVog.DXEhnCkvALywRw9IJzZKKQVcUyCiIjr7eMRZXFV2Qzsg.JPEG.parkjinhwan7%2FKakaoTalk_20230920_005157592_01.jpg%3Ftype%3Dw966,"[{'작성자': '짱짱맘', '별점': '5.0', '날짜': '2024.12.08.', '내용': '급성 두드러기로 방문했는데 환자가 별로 없는 상황이어서 그랬는지는 모르겠지만 접수 후에 바로 의사3분이 오셔서 정말 친절하게 진료 봐주셨어요.\n고대응급실, 서울대소아과 응급실도 가봤지만... 더보기', '좋아요': '0'}, {'작성자': '맛집감별사', '별점': '1.0', '날짜': '2024.05.04.', '내용': '살면서 가장 불친절한 응급실 의사를 만났음 심지어 진료거부', '좋아요': '1'}, {'작성자': '정직한 리뷰', '별점': '1.0', '날짜': '2024.02.13.', '내용': '과잉진료 표본이네요..단순장염에 검사 이것저것 다 시켜서 30만원이 말이 됩니까 하하\n그냥 옆에 양지병원이나 갈걸 그랬어요 ㅠ', '좋아요': '0'}]",{}
회기센트럴이비인후과의원,2.3,동대문구 이문로 37 한일베라체캠퍼스 1층 110~113호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMTEz%2FMDAxNzM1MjAwMjU0OTAw.y18Q5UaaMo0KwMEcRknuxPQMETkk_qtRRx1zUzh-y1cg.iY2--naXNMuhbcnwHTQsHHln-5ChEFtkGDetBISKkJkg.JPEG%2FDSC_0264.JPG%3Ftype%3Dw966,"[{'작성자': '🌟', '별점': '1.0', '날짜': '2025.03.28.', '내용': '가지 마세요. 불친절하고 진짜 체대로 안봐줌', '좋아요': '0'}, {'작성자': '심 데니스', '별점': '1.0', '날짜': '2025.03.25.', '내용': '갈 이유가 전혀 없고 의사는 빠르고 짜증스럽게 말하고, 몇 가지를 묻거나 다시 물어보면 특히 간호사들이 당신을 비웃습니다.', '좋아요': '0'}, {'작성자': '딩댕동', '별점': '1.0', '날짜': '2025.02.22.', '내용': '가격에 비해 제공하는 서비스는 최소한으로 제공\n1. 기본 진찰비가 비쌈, 주말 할증도 붙음\n... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
회기새봄한의원,,동대문구 이문로 29 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fencrypted-tbn0.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcQNOr-OJVPe5Q-7xdpSR6bcQLSxZGfAOLNevw%26s,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 21:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 17:00', '일': '10:00 ~ 17:00', '월': '10:00 ~ 21:00', '화': '10:00 ~ 21:00'}"
올치과의원,4.4,동대문구 이문로 29 2층,,"[{'작성자': '전선경', '별점': '5.0', '날짜': '2024.06.26.', '내용': '침착하고 차분하신 선생님 한분에 간호사 언니들도 전문적이고 믿음직스러운 곳이 동네에 있어서 넘 좋음', '좋아요': '0'}, {'작성자': 'pss', '별점': '5.0', '날짜': '2024.05.13.', '내용': '늦은시간에 스케일링 받고싶어서 예약안하고 갔는데 바로 해주셔서 감사했습니다 아프지않아서 좋았습니다', '좋아요': '0'}, {'작성자': 'ㅎㅅㅎ', '별점': '4.0', '날짜': '2024.03.16.', '내용': '여기 원장님 양심적이시고 실력 너무 좋으신데, 젊은 간호사인지 치위생사인지 보조 인력이 되게 별로예요... 이 사람 하는 말이랑 원장님 말이 달라요.', '좋아요': '0'}]","{'수': '10:00 ~ 18:30', '목': '10:00 ~ 20:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30'}"
경희채움정신건강의학과의원,0.0,동대문구 이문로 37 회기역베라체캠퍼스 2층 203호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA9899C70981941758A9ED202B0CD5C4C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 20:00', '휴무일': '공휴일'}"
경희믿음한의원,4.8,동대문구 회기로 171-1 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F96a7c4a038c60bc8da55d46169b6a8fc0c59c8b1%3Foriginal,"[{'작성자': '박카타리나', '별점': '5.0', '날짜': '2024.11.25.', '내용': '원장님께서 친절하게  진료 해 주시고 침치료의 효과 강추합니다 침치료와 물리치료로 많이 호전 되었습니다\n환자의 아픔을 잘 아시고 대해 주셔서 진심이 느껴지는 곳이네요', '좋아요': '1'}, {'작성자': '아나율', '별점': '5.0', '날짜': '2024.07.06.', '내용': '방아쇠 수지로 일년 이상 정형외과로 물치 다니고 스테로이드 맞고 기백 썼는데 또 도져서 친구 추천으로 방문했습니다. 침 진짜 아파요ㅋㅋㅋ 아프긴 한데 맞고 이틀만에 힘 안 들... 더보기', '좋아요': '1'}, {'작성자': '강쥐', '별점': '5.0', '날짜': '2024.06.02.', '내용': 'ㅜㅜ 개조아', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 14:00', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30'}"
