name,score,address,img_url,reviews,open_hour
삼육서울병원,2.5,동대문구 망우로 82,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB22CF91E9AE4440F83F5975A1E65458D,"[{'작성자': '양홍원', '별점': '2.0', '날짜': '2025.01.31.', '내용': '피부과 의사선생님 너무 불친절하셔서 다른 병원으로 옮김…', '좋아요': '0'}, {'작성자': '선녀날개', '별점': '5.0', '날짜': '2025.01.11.', '내용': '허리와 발가락골절로 응급실통해 입원하여 약1달여 치료받고 퇴원했어요. 통합간병 병실에 있으면서 움직이지 못할당시 감사하게도 도움을 받았답니다. 보호자도 없었기에 못움직이는 시기에 무척 암담했는데 세심하게... 더보기', '좋아요': '0'}, {'작성자': '김춘배요', '별점': '1.0', '날짜': '2025.01.07.', '내용': '후진적인 시스템, 실력 없고 어리버리한 간호사들', '좋아요': '0'}]","{'수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 12:00', '토': '휴무일', '일': '09:00 ~ 17:00', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '휴무일': '매주 토요일'}"
루트재활의학과의원,4.7,동대문구 망우로 60 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjAzMTNfODQg%2FMDAxNjQ3MTYwMDcxOTg4.L7IRfWK3i_VInOzIVdACeSHtEMQCXR7MO53TXTHasm4g.b24DuN-LlklmfPx3PfzBvVuY1xW7IDo_vI5s826okvUg.JPEG.kgjgpal%2FIMG_0015.jpg%3Ftype%3Dw966,"[{'작성자': '빨간우주복', '별점': '5.0', '날짜': '2025.01.11.', '내용': '여태 갔던 정형외과 통증 관련 병원중 단연 최고입니다\n젊은 의사선생님께서 환자 하나하나 꼼꼼히 문진하고 통증부위 확... 더보기', '좋아요': '0'}, {'작성자': '👋🏼', '별점': '5.0', '날짜': '2024.02.29.', '내용': '다른병원처럼 도수치료, 주사권유같은 과잉진료 절대없고 환자의 상태, 증상을\n복합적으로 고려하여 최적의 치료방법 추천해주심.', '좋아요': '0'}, {'작성자': '방문자', '별점': '2.0', '날짜': '2023.10.04.', '내용': '직원분들 모두 친절하시긴한데 잘하시는지는 모르겠어요..🥲', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '휴무일', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
고은산부인과의원,4.0,동대문구 이문로 32 2층,,"[{'작성자': '안녕?난핫플맨!', '별점': '1.0', '날짜': '2025.03.16.', '내용': '후기가 좋아서 일부러 연차내고 멀리 찾아갔는데\n웨이팅만 1시간 20분...\n전화로 데스크에서 아기집 보이면 임신확인서 발급해준... 더보기', '좋아요': '0'}, {'작성자': '링링링', '별점': '1.0', '날짜': '2025.02.17.', '내용': '데스크 통화받는분좀 바꿔주세요 ㅠㅠ\n너무 불친절합니다.', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2025.02.01.', '내용': '멀리서도 올만해요, 친절하시고 꼼꼼히 봐주세요\n원장쌤 있는지 전화로 확인하고 가세요\n초음파도 잘봐주셔서 다낭성 이... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 18:30', '목': '휴무일', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '휴무일': '매주 목요일, 일요일'}"
경남한의원,4.6,동대문구 이문로 12 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE2599A407AEA49DD9B9BB35DF93E24B4,"[{'작성자': 'planemo', '별점': '1.0', '날짜': '2025.03.16.', '내용': '한약 권유가 심한거 같아요', '좋아요': '0'}, {'작성자': '다영', '별점': '5.0', '날짜': '2024.10.25.', '내용': '운동하다가 발목 전거비인대 부분파열 되고 다음날 와서 3일에 한 번씩 도침? 침, 부항 그렇게 하는데 일주일만에 너무 좋아져서 이주만에 운동 복귀함.', '좋아요': '2'}, {'작성자': 'ㆍ', '별점': '2.0', '날짜': '2024.10.12.', '내용': '갈 때마다 한약을 너무 권해서 부담스러워요. 병원에서  피검사에 간수치 높아 먹으면 안된다고 말했는데 상관없다고 괜찮다고 하는데 어이가 없네요.\n침은 잘 놓네요.', '좋아요': '1'}]","{'수': '휴무일', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 19:00', '일': '09:00 ~ 19:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일'}"
고려척척마취통증의학과의원,,동대문구 이문로 30 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCAF07CE3A2F04F78A4A244641B7C6201,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00'}"
삼육치과병원,3.8,동대문구 망우로 82,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTJfMTQg%2FMDAxNzMzOTgzMTMxMDUy.8ZTlZErXNP-82mgJC4AzxLP6Z2v0vywfxjWy84cDd9gg.39_4J2i0OqdcBIgmxKgrKr8yBJqXNw0hDz_XUlNjCq4g.PNG%2Fimage.png%3Ftype%3Dw386,"[{'작성자': '백두산', '별점': '1.0', '날짜': '2024.12.11.', '내용': '최악이네요. 거짓말치고 헛걸음시켜서 교통비 시간낭비시키고 ,4시반까지가면 스켈링만 하고 검진은못한다고 하여 갔더니, 그런적 없다며 검진만 하라고 강요하고 검진만 가능하다고 했다며 거짓말치고 환자... 더보기', '좋아요': '0'}, {'작성자': 'ㅋㅎ', '별점': '1.0', '날짜': '2024.04.22.', '내용': '불친절하다는 후기가 괜히 많은게아닙니다.\n병원도 나름의 서비스업입니다.\n특히나 몸이 안좋은 환자들과 어르신분을... 더보기', '좋아요': '1'}, {'작성자': 'ㄱ박진억', '별점': '1.0', '날짜': '2023.05.28.', '내용': '교정 여기서했고 충치만 생기면 치료해야된다고 돈이너무많이들어 치과 옮겼습니다 옮기니까 충치있다한거 치료할정도는아니고 신경치료하라고했던것도 최대한 참아보고 아프면 오라고 레진으로 막아주심 벌써 몇년되었는데 멀쩡함 과잉진료있어요', '좋아요': '0'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 21:00', '금': '휴무일', '토': '휴무일', '일': '08:30 ~ 17:30', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '매주 금요일, 토요일'}"
참조은내과의원,4.4,동대문구 망우로 123 휘경메디컬프라자 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MzBfNzIg%2FMDAxNjkzMzU3OTc5Nzk2.ezXJFCCjOw1PQLWsqAtcN6QUCbwuR1ir2N3FpqJ85hog.8Y3OPB56eRgeS6sU49tvCUw6spoSs8o3Ztph1PL-5Kgg.JPEG.jkleecnu%2FSE-3a465b8a-83dc-414a-871c-6f53a747ceb8.jpg%3Ftype%3Dw580,"[{'작성자': '.', '별점': '5.0', '날짜': '2025.03.02.', '내용': 'ㄹㅈㄷ급 친절. 밑에 약국도 굿', '좋아요': '0'}, {'작성자': 'ㅌㄹ', '별점': '5.0', '날짜': '2023.12.04.', '내용': '토요일에 감기 비슷한 증상이라 생각하고 방치했다가 증상이 과도하게 심해져서 일요일에 갔습니다(대기 30명 이상, 1시간+a)\n증상 꼼꼼히 들어주셔서 관련 약 다 처방... 더보기', '좋아요': '0'}, {'작성자': '방문자', '별점': '4.0', '날짜': '2023.10.05.', '내용': '데스크는 조금 그런데 선생님은 질문하면 성실하게 대답해주시고 친절하셨어요 대기 적을때 갔습니다', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '일': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 토요일'}"
체감한의원,3.9,동대문구 망우로 35 휘경제이스카이아파트 상가 1층 B105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MjJfMTgx%2FMDAxNzEzNzc5MjM1MTQ5.hIugnU0NlrX99Ft4v4OTNL4opFh4pAUyT-8Sg9xmQEgg.oc-D7n6r-wz6MwAGUk5fV-Sp0Oon1bHp4gak0asrPnog.JPEG%2FIMG_1713.JPG%3Ftype%3Dw966,"[{'작성자': '점수짬', '별점': '3.0', '날짜': '2024.12.24.', '내용': '비싼편입니다. 그래도 침은 잘 놓으시구요. 마사지건 때문에 돈 더 받는 것 같아서 저는 빼달라고 해서 만삼천원까지는 안 나옵니다. 대기가 졀라 길어서 대기 많으면 다음에 방문하세요. 목요... 더보기', '좋아요': '0'}, {'작성자': '감', '별점': '5.0', '날짜': '2024.05.30.', '내용': '친절하고 진료 꼼꼼히 봐주십니다. 침 맞았는데 전 효과도  좋았어요.', '좋아요': '0'}, {'작성자': '소망이', '별점': '5.0', '날짜': '2023.07.12.', '내용': '친절하고꼼꼼하게잘치료해주십니다', '좋아요': '0'}]","{'수': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 14:00', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00'}"
다시봄의원,5.0,동대문구 망우로 123 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MTJfMjI4%2FMDAxNjgxMzAyOTg4MTMx.l8r4f4UPdLx8aRi0f1qMZAw1QmeeEXgpzxeR6OEWyVYg.UEf6U1orHGS3lyeWPdMhKNf2k2pJm1QD3XM9Ddi76Sog.JPEG.againsday%2F20220919%25EF%25BC%25BF160841.jpg%3Ftype%3Dw275,"[{'작성자': '조', '별점': '5.0', '날짜': '2025.03.15.', '내용': '감사한 곳 ^^', '좋아요': '0'}, {'작성자': '사랑', '별점': '5.0', '날짜': '2023.03.16.', '내용': '유방암 으로 작년에 모든치료 끝나고 통원으로 압노바 받으러 다니고 있어요\n여기 계시는 분들 다들 넘무 친절하시고... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
거북당한의원,,동대문구 망우로 93 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 12:00', '목': '휴무일', '금': '휴무일', '토': '09:00 ~ 12:00', '일': '09:00 ~ 12:00', '월': '휴무일', '화': '09:00 ~ 12:00', '휴무일': '매주 월요일, 목요일, 금요일'}"
