name,score,address,img_url,reviews,open_hour
청화병원,2.7,동작구 장승배기로 108,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA4MTFfMjgy%2FMDAxNjYwMjIyMzA3MzE1.Do4XoZCi7wk9poFBWXWb_6utVk0UbxNoGXQZIMQhKJ4g.7AJk67bHQf8OifFi6man6O66M0m4UXXWJf2aB-CqQaog.JPEG.fo0731%2F20220810%25EF%25BC%25BF065134.jpg%3Ftype%3Dw966,"[{'작성자': '져니', '별점': '1.0', '날짜': '2025.02.26.', '내용': '어쩌다 후기가....ㅡㅡ;;\n여성병원이라 1~2년에 적어도 한번은 방문하는데\n처음 다닐때만해도 이 만한 병원 없다고 생각했는데\n점점 의사샘들 매번... 더보기', '좋아요': '0'}, {'작성자': '크림브뤨레🍑', '별점': '1.0', '날짜': '2025.02.24.', '내용': '별1도아깝', '좋아요': '0'}, {'작성자': 'Purink', '별점': '1.0', '날짜': '2025.01.24.', '내용': '청화병원 소아과 새로오신 남자 선생님...\n아기 눈병인거 같아서 데리고 갔더니 눈물샘 막힌거라고 괜찮다고 하셨는데.. 다음날 심해진거 같아서 다른 병원 데려가보니 눈병이었어요..', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00'}"
색다른의원,4.7,동작구 장승배기로 98 장승빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB6BEF1EB0D454FD5B4A83EDB104D1F1A,"[{'작성자': '세영', '별점': '5.0', '날짜': '2025.03.19.', '내용': '원장님 실력이 좋으시고 인테리어도 편안해서 가기 좋은 곳이에요', '좋아요': '0'}, {'작성자': '하영', '별점': '5.0', '날짜': '2025.03.11.', '내용': '너무 친절하셔서 좋았습니다!', '좋아요': '0'}, {'작성자': '랑이', '별점': '1.0', '날짜': '2025.03.10.', '내용': '데스크 직원, 조무사, 간호사할 거 없이 원장님빼고 그냥 다 최악이에요 너무 불친절하고 의사 허가도 없이 환자한테 안내해서 혼선줬는데, 사과도 없었고 재방문 했을땐 말투는 물론 얼굴 표정에 불쾌한 감정이 다 들어... 더보기', '좋아요': '0'}]","{'화': '10:00 ~ 18:30', '수': '휴무일', '목': '14:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '09:00 ~ 14:30', '일': '휴무일', '월': '10:00 ~ 18:30', '휴무일': '매주 수요일, 일요일'}"
드림이비인후과의원,,동작구 만양로 112 서원빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDZfMjUz%2FMDAxNzMzNDU1MzExMTcy.4KSFee3vGrnIXsyR0SwBUebEq8ZmbNJkqWIhd2oXppEg.f0cZNVH03RMiwM8FU2S9phCO-A41tWXpzxyyjF71AHQg.JPEG%2FCK_ti436a44304_l.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:00 ~ 14:00', '일': '09:00 ~ 13:00', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
이용국내과의원,,동작구 장승배기로20길 4,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF5C8EC1FD861494A8AA564A8DB5BA5DE,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 17:20', '수': '09:00 ~ 17:20', '목': '휴무일', '금': '09:00 ~ 17:20', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:20', '휴무일': '공휴일'}"
기쁨준내과의원,3.7,동작구 장승배기로 168 드림타워 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3E08D23245DE4531836BA016E9F2816B,"[{'작성자': '털털포도', '별점': '5.0', '날짜': '2023.04.05.', '내용': '이틀 내내 골골대던게 수액 하나에 싹 나음..\n땀 흠뻑 흘리면서 개운하게 자고일어남...\n머리아픈것도 없어지고... 더보기', '좋아요': '0'}, {'작성자': '박세라', '별점': '5.0', '날짜': '2022.12.10.', '내용': '진짜 여기서 수액맞고 한달간 안 낫던 감기몸살 폭풍회복후 날라다님 ㅡㅡ신이 계시는 곳임 신성한 곳!!', '좋아요': '2'}, {'작성자': '시앗이', '별점': '5.0', '날짜': '2022.08.18.', '내용': '의사선생님 재치있으시고 설명 잘 해주시고 간호사님들도 적당히 친절하셔서 좋아요. 다들 얼마만큼의 친절을 바라고 가는지 모르겠지만... 바쁜 와중에 웃으면서 응대해주시는 것 자체만으로도 충분히 친절... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일, 2025년 5월 6일 휴무, 2025년 6월 7일 휴무, 2025년 8월 16일 휴무, 2025년 9월 29일 ~ 2025년 10월 11일 휴무'}"
김안과의원,3.4,동작구 노량진로 155 2-3층,,"[{'작성자': '장꾸르', '별점': '5.0', '날짜': '2025.03.24.', '내용': '눈시림이 낫지 않아 다녀갑니다~ 처음 방문인데 카운터 선생님이 안ㄴㅐ 잘 해주시고 의사 선생님 두분도 친절하게 맞아주셨어요:) 진료 봐주시고 계속 증상 안없어지면 지금 쓰고 있는... 더보기', '좋아요': '0'}, {'작성자': '곽웅', '별점': '4.0', '날짜': '2025.03.09.', '내용': '의사쌤은 친절하나 카운터 나이있으신 여자 직원분 심각하게 불친절. 6시 30분까지라 6시에 갔는데 문 열자마자 왜케 늦게 왔냐고 빨리 하라고 꼽 겁나 줌', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2025.03.04.', '내용': '전화는 받지도 않고 2시까지 밥 먹는다고 문닫아 놓고 사람 문적박대하네요 점심시간이라고 병원 내부로 들어가지도 못 하는 병원은 처음이에요', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
푸른정형외과의원,3.0,동작구 장승배기로 168 201호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F78B7CA6F25894FD3896753A111F22C7D,"[{'작성자': 'ㄱㅇㅅ', '별점': '5.0', '날짜': '2024.12.13.', '내용': '전 좋았어유', '좋아요': '0'}, {'작성자': 'Seba3', '별점': '4.0', '날짜': '2024.10.28.', '내용': '여타 정형외과. 통증의학과와 \n달리 급여항목 중심으로만 치료함.\n그게 환자입장에서 어떨지는.개별사... 더보기', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '1.0', '날짜': '2024.08.13.', '내용': '모두가 불친절한 병원', '좋아요': '1'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '추석당일, 설당일, 1월1일, 성탄절'}"
노량진튼튼의원,,동작구 만양로 84 삼익상가 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MjhfMTYx%2FMDAxNzE0Mjc5NzIyNjQw.cevOUnk1KQXdM0K23oLzFZlUJNxcLmoLPxzqRTqFZOUg.t9WhtuuVxRR-30t9y2oHrU4GYoEGzGBqHUkYYujsPyAg.JPEG%2F20649.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
경성의원,2.7,동작구 노량진로8길 3,,"[{'작성자': 'mj', '별점': '5.0', '날짜': '2025.01.09.', '내용': '독감 예방접종 맞으러 다녀왔는데 너무 친절하세요..💖', '좋아요': '0'}, {'작성자': '다람쥐맨', '별점': '4.0', '날짜': '2024.01.06.', '내용': '장염이 심하게 걸려서 링겔을 맞았는데 간호사분께서 위로해주시고 걱정해주셔서 마음이... 더보기', '좋아요': '0'}, {'작성자': '홍래균', '별점': '5.0', '날짜': '2023.11.06.', '내용': '건강검진 잘받고 갑니다.', '좋아요': '0'}]","{'화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:00', '월': '08:30 ~ 18:30'}"
박이비인후과의원,3.6,동작구 노량진로 152,,"[{'작성자': '동네주민', '별점': '5.0', '날짜': '2025.02.14.', '내용': '후기 보고 반신반의 하면서 갔는데..\n계단 턱이 좀 높아 어르신들이 힘들 수 도 있겠다라는거 빼고는 불편한이 전혀 ... 더보기', '좋아요': '0'}, {'작성자': '삘', '별점': '5.0', '날짜': '2025.02.14.', '내용': '제가 다녔던병원 중에서 제일 꼼꼼하게 진료해주시는것 같습니다..행동지침까지 써주시는 모습에 너무 감동받았어요ㅠㅜㅠ  앞으로 여기만 올것같아요🥰', '좋아요': '0'}, {'작성자': '윤윤', '별점': '2.0', '날짜': '2024.12.27.', '내용': '증상 말씀드려도 안들으시는건지, 계속 똑같은 말만 반복하셨어요.\n목이 아픈데 귀도 같이 간질거리며 아프다는 말을 했는데, 귀는 보지도 않으셨고요.\n기침은 잘 안한다고 3번을 말했는데 또 물으... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
허씨삼대한의원,5.0,동작구 노량진로 150 유니동화 2-3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F718A4ACBCC864307B508B902D307398E,"[{'작성자': '현재 지금은', '별점': '5.0', '날짜': '2023.10.13.', '내용': '원장님, 직원분들 다들 친절하시고 잘해주셔서 좋아요! \n현재 치료받고 있는데 아픈데 많이 좋아졌어요!', '좋아요': '0'}, {'작성자': '오영식', '별점': '5.0', '날짜': '2023.10.01.', '내용': '추석연휴 일요일에도 부원장님 친절한 진료와 \n침을 10여군데  맞고 사혈 및  부황을 뜨고\n물리치... 더보기', '좋아요': '0'}, {'작성자': '아스크라', '별점': '5.0', '날짜': '2023.10.01.', '내용': '명절 연휴에도 문 열어 갔는데 친절하게 응대해주셔서 좋았습니다.', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '09:00 ~ 14:00', '월': '09:00 ~ 19:00'}"
