name,score,address,img_url,reviews,open_hour
현성의원,4.1,동작구 매봉로 182 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fcf16acee5abb30695c24aec38283d9df1a341983%3Foriginal,"[{'작성자': '고양이', '별점': '5.0', '날짜': '2025.01.06.', '내용': '야매같아 보이긴한데 친절합니다 꼼꼼한 편', '좋아요': '0'}, {'작성자': '감자감자', '별점': '1.0', '날짜': '2024.08.18.', '내용': '일요일날 아프면 가끔 가는데 갈때마다 보지도 않고 코로나 얘기만 함 진짜 성의없음', '좋아요': '0'}, {'작성자': '55083', '별점': '5.0', '날짜': '2024.08.02.', '내용': '츤데레 느낌임', '좋아요': '0'}]","{'화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '휴무일', '일': '08:30 ~ 14:00', '월': '08:30 ~ 18:30', '휴무일': '매주 토요일'}"
현대치과의원,5.0,동작구 매봉로 182 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMjZfMjQx%2FMDAxNzI5OTI0NzUzMTE5.9VY792W0nCLUZrpSlNu5UWJUgdNHJRvrRlpfqtaOPYEg.RY7QvDNwy2vnJ2jfHn31uIvDU4PWse7gv514i8fQ5o8g.JPEG%2FKakaoTalk_20241026_150454197_24.jpg%3Ftype%3Dw773,"[{'작성자': '김희정', '별점': '5.0', '날짜': '2022.11.21.', '내용': '뼈이식 임플란트 걱정 걱정했는데\n친절하고 실력갖추신 원장샘이 집도하셨고 \n결과도 대만족입니다~^^', '좋아요': '0'}, {'작성자': '토닥토닥', '별점': '5.0', '날짜': '2022.11.04.', '내용': '의사 선생님이 정말 자상하고 친절하시며 세심하게 설명해주기고 치료실력도 좋으세요. 다니다가 사랑니가 좀 어려운 케이스라 다른 치과 추천주셔서 잘 뽑았고요... 더보기', '좋아요': '0'}, {'작성자': '갸갸겨', '별점': '5.0', '날짜': '2022.08.23.', '내용': '작년 말 다른데서 치료받았던 부분이 아파서 집 근처 치과 급하게 찾은건데 친절하게 설명해주시고 여기서 치료해도 되지만 원래 받았던 데서 치료해도 일부 금액 빼줄수 있다고 신경치료... 더보기', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:30', '월': '10:00 ~ 18:00'}"
미소를주는치과의원,5.0,동작구 매봉로 178 2층,,"[{'작성자': '냥냥이', '별점': '5.0', '날짜': '2024.02.29.', '내용': '원장님이 친절하셨습니다', '좋아요': '0'}, {'작성자': 'ㄴㄴㄱㅈㅈㅇ', '별점': '5.0', '날짜': '2019.10.16.', '내용': '선생님 설명이 자세하고 친절합니다', '좋아요': '0'}]","{'화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 15:00', '월': '10:00 ~ 18:30'}"
경희노들한의원,5.0,동작구 매봉로 182,,"[{'작성자': '냠냠', '별점': '5.0', '날짜': '2025.02.03.', '내용': '친절하시고 여자 선생님이 침을 아주 잘놔주십니다. 시원혀요~', '좋아요': '0'}, {'작성자': '세번부활한자', '별점': '5.0', '날짜': '2024.09.06.', '내용': '원장님이하 직원분들까지 모두 친절하시고 특히 원장님 침술솜씨가 대단하심..아플때만 가지만 어지간한 통증은 사람마다 편차는 있겠지만 일주일정도면 앵간하면 많이 호전되는걸 느낌....그리고 원장님이 솔직하셔서 으... 더보기', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:00', '월': '10:00 ~ 18:00'}"
사랑미소의원,0.0,동작구 노량진로 202 남강타워 1층 101호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '09:00 ~ 17:00', '월': '09:00 ~ 18:00'}"
중앙대학교병원,2.3,동작구 흑석로 102,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F93518204BB134A58802B044D074A4A30,"[{'작성자': 'GMAM', '별점': '3.0', '날짜': '2025.03.05.', '내용': '집이 숭실대고 여기 근처에서 태어난 사람이라 중대만 이용하고 살았습니다\n최근 부모님 모시고 자주 가는데 의료파업으로 서로 힘든건 알지만 의사분들 ... 더보기', '좋아요': '0'}, {'작성자': '사실후기1점주니까후기미제공ㅋㅋ', '별점': '1.0', '날짜': '2025.02.08.', '내용': '피부과 김씨ㅋ\n할말하않이다.실력1도없는.', '좋아요': '0'}, {'작성자': '진짜 리뷰', '별점': '5.0', '날짜': '2024.12.14.', '내용': '대학병원 긍정적인 후기 남긴 적은 처음\n전체적인 수납이 저렴한 편인데 진료의 질이나 서비스 등은 비싼 곳 보다 훨씬... 더보기', '좋아요': '0'}]","{'화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 12:00', '일': '휴무일', '월': '08:30 ~ 17:00', '휴무일': '공휴일'}"
이화사랑피부과,,동작구 양녕로38길 2 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDhfMTM4%2FMDAxNzMzNjYwODU2NzUx._JcHsDikGzlHJnaWhsFTHi4vIVSA-Khto8a3-zhp_IIg.vEszAWcrffNnSRDbFwMfMdYuo6CnmzOyrcWChycDgKEg.JPEG%2Foutput_560605231.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '08:30 ~ 15:30', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
김정훈한의원,5.0,동작구 만양로18길 31 1층,,"[{'작성자': '임보규(강산)', '별점': '5.0', '날짜': '2022.05.05.', '내용': '한의사님께서 아주 친절하시고, 아픈 곳을 정확하게 진맥하여 치료 해주시는 명의 이십니다ㅡ최고입니다!!!', '좋아요': '1'}]","{'화': '11:00 ~ 18:00', '수': '11:00 ~ 18:00', '목': '11:00 ~ 18:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:00'}"
흑석메트로정형외과의원,,"동작구 흑석로 110 1,2층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FCB9D50A72FEB44B3B0A0E00B2EC9F2A6,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00'}"
구나한의원,5.0,동작구 강남초등길 8,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F16B7DFB64E00425C8E1D172F50E8BE34,"[{'작성자': 'lit', '별점': '5.0', '날짜': '2021.07.02.', '내용': '친절하게 진료 잘봐주심', '좋아요': '0'}]","{'화': '09:30 ~ 20:00', '수': '09:30 ~ 18:00', '목': '휴무일', '금': '09:30 ~ 20:00', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '공휴일'}"
