name,score,address,img_url,reviews,open_hour
연세제일요양병원,4.5,동작구 성대로 43 우리빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDJfMjYy%2FMDAxNzMzMTA4NTMxMjYz.tyQW78kLYGIaf5ySSPV_0kUd4k6cSVQuFoSa6ftu8d4g.PGPtJI6socG3FsdXvXsyNqCh3SHMRqKGhfnhQ0y8ySEg.JPEG%2F%25EC%25B5%259C%25EC%25B2%25A8%25EB%258B%25A8%25ED%2598%2588%25EC%2595%25A1%25ED%2588%25AC%25EC%2584%259D%25EA%25B8%25B0_%25EB%25AF%25BF%25EC%259D%2584%25EC%2588%2598%25EC%259E%2588%25EB%258A%2594_%25EC%258B%25A0%25EC%259E%25A5%25ED%2588%25AC%25EC%2584%259D%25EB%25B3%2591%25EC%259B%2590_06.jpg%3Ftype%3Dw466,"[{'작성자': '동작주민', '별점': '5.0', '날짜': '2024.11.27.', '내용': '새로생겨서 그런지 시설이 대학병원급으로 크고 깔끔하네요. 신장내과 전문의 진료라 믿음이 가고 투석실은 침대마다 모니터도 있어서 넷플릭스도 나오네요..', '좋아요': '0'}, {'작성자': '☆시간여행자☆', '별점': '3.0', '날짜': '2024.09.16.', '내용': '흠..주차짱남. 그닥깨끗함잘모르겠음.친절은 쏘쏘', '좋아요': '0'}, {'작성자': '이시형', '별점': '5.0', '날짜': '2024.01.19.', '내용': '연세대 출신 원장님과 세브란스 교수출신 원장님 너무 실력 좋으시고 동작구에 암요양병원 찾으시는 분에게 강추해요. 저희 어머님이 항암 수술 후 항암치료 받으시면서 방사선 치료 받... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
상도바른정형외과의원,3.9,"동작구 상도로 246 일강빌딩 4, 5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F07AEAB997F7D465ABB84868CB4B8EB29,"[{'작성자': '유유', '별점': '5.0', '날짜': '2025.03.10.', '내용': '꾸준히 다니고 있는 곳. 상태에 따라 매번 그거에 맞는 치료를 해주셔서 만족스러워요', '좋아요': '0'}, {'작성자': '짱구', '별점': '5.0', '날짜': '2025.03.04.', '내용': '관절염때문에 엄마 모시고 다녀왔는데 너무 잘해주십니다. 감사합니다.', '좋아요': '0'}, {'작성자': '크런키', '별점': '5.0', '날짜': '2025.02.20.', '내용': '목디스크때문에 계속 힘들었는데 지인 추천으로 다녀옴, 도수치료 효과 좋고 증상 잘 봐주셔서 전반적으로 만족. 호전 많이 돼서 꾸준히 다닐 예정', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
상도제일정형외과의원,4.7,동작구 성대로 20,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fcc21aa506e029c6affad8350229ae6491dafd62b%3Foriginal,"[{'작성자': '예리', '별점': '5.0', '날짜': '2025.03.24.', '내용': '밑 후기들 다 근거가 있네요\n  \n의사선생님 엄청 진절하시고 1층 수납하시는 분이랑 2층... 더보기', '좋아요': '0'}, {'작성자': '칼발', '별점': '5.0', '날짜': '2025.02.18.', '내용': '다 다른 부위 다친 걸로 여러 번 갔는데 설명도 자세히 해주시고 \n진료 끝나고 이런 부분은 조심해야 한다 하는 것들을 명확히 알려주셔서 정말... 더보기', '좋아요': '0'}, {'작성자': '어쭈ㅡ구리', '별점': '5.0', '날짜': '2024.08.16.', '내용': '의사쌤 친절하시고 간호사 친절하시고 2층 물리치료실 친절하시고 , 소나기 오니까 우산드릴까요??  센스까지.  제일 좋았던건 베개에 티슈 교체해주고 소독해주시는거 별거 ... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 19:30', '수': '09:00 ~ 13:00', '목': '09:00 ~ 19:30', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
연세이비인후과의원,4.8,동작구 상도로 178 4층,,"[{'작성자': 'M', '별점': '5.0', '날짜': '2025.02.26.', '내용': '시원시원 친절하세요. 직원들은 그냥그래요.', '좋아요': '0'}, {'작성자': '김진호', '별점': '5.0', '날짜': '2025.01.24.', '내용': '젠틀하고 환자에 대한 배려가 확실히 있습니다.\n오랜만에 아주 만족스러운 진료를 받았네요\n감사합니다~', '좋아요': '1'}, {'작성자': '강', '별점': '5.0', '날짜': '2025.01.18.', '내용': '친절 + 빠른 진료', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
서울치항외과의원,3.8,동작구 등용로 2 덕신빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjZfMTc2%2FMDAxNzMyNjA2MDkzODk5.7_4_NeI_FaeSCOlfmOszJGI2IQeBb1s9icFXLUo5oSAg.HPMCz-6mKry0iLvVz5F8RxhiYi8Xj6SAXouvTgyu8wQg.PNG%2F001.png%3Ftype%3Dw966,"[{'작성자': '합격 또는 불합격', '별점': '5.0', '날짜': '2025.02.14.', '내용': '수술 받았는데 잘 치료 받았습니다.', '좋아요': '0'}, {'작성자': '24시 오치퀵서비스 1800-5574', '별점': '5.0', '날짜': '2024.11.12.', '내용': '의사선생님이 친절하게 치료방법에대해 알려주셨어요. 재방문 갑니다!', '좋아요': '0'}, {'작성자': '탐험가', '별점': '5.0', '날짜': '2024.10.13.', '내용': '무절제한 제 삶을 돌이켜보는 좋은 계기가 \n된 것 같습니다 감사합니다', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
주작나무한의원 상도점,4.8,동작구 상도로 94 세인트빌딩 1-2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDRfMTgg%2FMDAxNzMzMjgyMDI2ODg0.cpSJyssHivTMxdl0N-4UTxChGHSEenDbCX61LeTgCHQg.Ofg82maj9VVSuvvPS1EhSsp6jhrSHbeTuyyeHbxeAB4g.PNG%2F5_02.png%3Ftype%3Dw773,"[{'작성자': 'JH', '별점': '5.0', '날짜': '2024.06.06.', '내용': '후기가 오버하는 거라고 생각했는데 진짜 친절하시고 실력도 좋으십니다. 한의학에 대한 신뢰가 올라갈 정도로 만족했습니다.', '좋아요': '0'}, {'작성자': '하루', '별점': '5.0', '날짜': '2024.01.13.', '내용': '이렇게 친절한 병원 처음 봤어요\n일하시는 분들도 다 친근하고 분위기도 좋더라구요 침도 잘 놔주셔서 허리 통증이 많이 좋... 더보기', '좋아요': '1'}, {'작성자': '겹살이어터', '별점': '5.0', '날짜': '2023.05.03.', '내용': '여기 파스 진짜 좋다!!', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
연세좋은치과의원,5.0,동작구 상도로15길 120 2층,,"[{'작성자': '쀏쒥쭧', '별점': '5.0', '날짜': '2025.01.04.', '내용': '과잉진료없으시고 완전 친절', '좋아요': '1'}, {'작성자': '상도동절대미각', '별점': '5.0', '날짜': '2024.11.04.', '내용': '친절하고 과잉진료 절대 없고 잘봐주세요', '좋아요': '1'}, {'작성자': '히뿡', '별점': '5.0', '날짜': '2024.07.20.', '내용': '카카오맵 리뷰 보고 방문했는데 원장선생님과 간호사 분 정말 친절하세요! 치아에 거뭇거뭇한 게 몇 개 보여서 충치의심하고 방문했는데, 충치는 맞지만 작은 충치고 초기 진행 단계니 잘 관리하면 된다며 치료는 안 ... 더보기', '좋아요': '1'}]","{'화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '14:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 18:30', '휴무일': '매주 일요일'}"
상도시원마취통증의학과,4.0,"동작구 상도로 360 3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCBB45D336847465F968302BFA750B21B,"[{'작성자': '후', '별점': '5.0', '날짜': '2025.01.04.', '내용': '원래부터 불편한 곳이 여러군데 있었는데 우연히 척추정렬(?) 을 알게되서 올해엔 제대로 치료 좀 받아보자해서 방문하게됐는데 제가 가본 병원중에 선생님들이 다 엄청 친절하... 더보기', '좋아요': '0'}, {'작성자': ':)', '별점': '5.0', '날짜': '2024.12.18.', '내용': '언제부턴가 허리가 아파서 고생을 좀 했는데 우연한 기회에 알게 되어 방문했습니다~\n원인이 틀어진 척추라고 하더라구요ㅠㅠ \n척추 정렬하는 주사와 함께 ... 더보기', '좋아요': '0'}, {'작성자': 'dashjkw', '별점': '5.0', '날짜': '2024.12.17.', '내용': '통증의 원인을 설명해줘서 좋았고 직원들도 친절함', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '휴무일', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일, 5월 1일 휴무'}"
프라임의원,,동작구 상도로 174 동서남북 메디컬빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F764D4E29CCB6478DBF894DF75BA07AE9,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 21:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
한국한센복지협회 서울지부 복지피부과,3.5,동작구 상도로 170,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F5D3B4385FCCB4CE5B9BAF4DA511B64ED,"[{'작성자': 'Andrew Choi', '별점': '5.0', '날짜': '2024.12.01.', '내용': '여자 선생님 친절 합니다. 3층 간호사 선생님은 더 친절합니다.', '좋아요': '0'}, {'작성자': 'Rahael', '별점': '1.0', '날짜': '2024.10.12.', '내용': '성인 아토피 재발해서 다시 갔는데...\n그때 그 친절했던 여자선생님 안계시고 나이있는 남자선생님으로 바뀌셨어요.\n증상이 심했는데 그동안 회사다니고 거리도 있고 ... 더보기', '좋아요': '1'}, {'작성자': '브로콜리', '별점': '5.0', '날짜': '2024.08.20.', '내용': '비싼 시술만 하는 피부과 싫어서 피부관련 질병 잘 봐준다는 후기보고 다녀왔는데 엄청 친절하고 잘 설명해주셨어요 질문 여러 개 했는데 다 구체적으로 잘 대답해주심 굿', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
