name,score,address,img_url,reviews,open_hour
중앙대학교병원,2.3,동작구 흑석로 102,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F93518204BB134A58802B044D074A4A30,"[{'작성자': 'GMAM', '별점': '3.0', '날짜': '2025.03.05.', '내용': '집이 숭실대고 여기 근처에서 태어난 사람이라 중대만 이용하고 살았습니다\n최근 부모님 모시고 자주 가는데 의료파업으로 서로 힘든건 알지만 의사분들 ... 더보기', '좋아요': '0'}, {'작성자': '사실후기1점주니까후기미제공ㅋㅋ', '별점': '1.0', '날짜': '2025.02.08.', '내용': '피부과 김씨ㅋ\n할말하않이다.실력1도없는.', '좋아요': '0'}, {'작성자': '진짜 리뷰', '별점': '5.0', '날짜': '2024.12.14.', '내용': '대학병원 긍정적인 후기 남긴 적은 처음\n전체적인 수납이 저렴한 편인데 진료의 질이나 서비스 등은 비싼 곳 보다 훨씬... 더보기', '좋아요': '0'}]","{'화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 12:00', '일': '휴무일', '월': '08:30 ~ 17:00', '휴무일': '공휴일'}"
흑석메트로정형외과의원,,"동작구 흑석로 110 1,2층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FCB9D50A72FEB44B3B0A0E00B2EC9F2A6,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00'}"
더힐피부과의원,,동작구 현충로 75 원불교100년기념관 7층 1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMjFfMjQ2%2FMDAxNjc2OTU2MDQxOTYz.SD_I4URJnRlrSmlTI3boLOoo2pO4OHvuAc2I1gWLHZkg.8PeuxOrO4tMxMW0cQirqbBiEWF_yKtttGz7HggwF7lEg.JPEG.dermahill%2FA7_01514.JPG%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '14:00 ~ 20:30', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 20:30', '토': '09:30 ~ 15:00', '월': '09:30 ~ 19:00'}"
중앙내과의원,3.9,동작구 서달로 166 덕봉빌딩 2층,,"[{'작성자': '행복한사람', '별점': '4.0', '날짜': '2024.07.08.', '내용': '선생님이 환자를 걱정하시는게 대화에서 드러남', '좋아요': '0'}, {'작성자': '브레드뭉치', '별점': '1.0', '날짜': '2024.06.27.', '내용': '별로예요. 처방해준거 3일 먹고 안나서서 다른병원 가서 \n진료 받고 나섰어요. 실망이 커요.', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '5.0', '날짜': '2023.12.23.', '내용': '16년째 흑석거주 주민인데요 의사쌤이랑 간호사님들 모두 실력, 친절 모두 갖춘곳입니다 16년째 내과는 여기만 가요', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
오연상내과의원,4.5,동작구 서달로 166 덕봉빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5115878689AB46A584D1A73230890FA5,"[{'작성자': '엉', '별점': '1.0', '날짜': '2025.03.06.', '내용': '기침 가래 콧물 발열 구토 증상 있다하니꺼 네 기침 가래 약 지어드릴게요 하고 끝남… 가지마세요', '좋아요': '0'}, {'작성자': '무무', '별점': '5.0', '날짜': '2025.01.17.', '내용': '존경스러운 분', '좋아요': '0'}, {'작성자': 'ㄱㄴㄷ', '별점': '5.0', '날짜': '2024.08.12.', '내용': '오연상 선생님 존경합니다!', '좋아요': '1'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '10:00 ~ 18:00', '휴무일': '공휴일, 2025년 3월 29일 휴무, 2025년 4월 12일 휴무, 2025년 4월 26일 휴무'}"
흑석성모안과의원,4.1,"동작구 서달로 158 명수대아파트 2층 202,212호",//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMDVfMTUy%2FMDAxNzI4MDk4OTE2NjQx.xCtkbbhxex13-LEib2ukj44MQFBVz5AjKTjd6SGj3qUg.IiER9IrCVCH5_HwtkbjXMgHSwWUiU7z-BmmK5KXQNVYg.JPEG%2FSE-8499e86b-82c2-11ef-9cde-47db3f27d7ab.jpg%3Ftype%3Dw773,"[{'작성자': '알라뚤', '별점': '1.0', '날짜': '2025.02.04.', '내용': '눈에 이물감이 느껴져서 병원을 방문했는데 점점 심해져서 눈물이 줄줄 나는 상황이었다.\n가니까 처음왔으니 기초 검사를 진행하자고 함. 기초 검사가 정확히 어떤 검사인지 말을 ... 더보기', '좋아요': '0'}, {'작성자': '까망돌멩이', '별점': '1.0', '날짜': '2024.10.25.', '내용': '병원 처음방문했다고 기초검사 유도하면서 결막염 걸린 사람한테 시력검사하고 빛검사하는개 말이되나요.. 결막염과 관련된 검사인줄알았건만 가격도 2만원가까이 하는데 다들 피... 더보기', '좋아요': '0'}, {'작성자': 'mimimi', '별점': '5.0', '날짜': '2024.03.12.', '내용': '1년 째 정기적으로 방문하고 있는데 의사선생님을 비롯해 직원분들 모두 친절하십니다. 전 눈에 이상이 있단 걸 흑석성모안과에서 발견해 좋은 교수님 소개받아 수술도 잘하고 쭉 다니고 있습니다. 검사... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
삼성필의원,,"동작구 흑석로 106-7 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMjEwMjVfMjQ2%2FMDAxNjY2NjU2NDExNDAx.ndpS5eQ_Nnm6jbYSUrNWIGNCaL71J4JyiTcYR3XDL1Yg.2DAJoZgnKsc4FswjvybnlKUe4CC4EPFCFeTJpASX4oMg.JPEG.vitnetwork%2F%25EB%25B9%259B%25EB%2584%25A4%25ED%258A%25B8%25EC%259B%258C%25ED%2581%25AC.jpg%3Ftype%3Dw1,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '14:00 ~ 21:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
중앙대학교병원 응급의료센터,3.3,동작구 흑석로 102,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEyMDFfMTUw%2FMDAxNzAxNDA3MjQ1NzQ2.cgmyrKhdieWVcT8WA1GgXakeeEnKK4Y4zro5zeBmd8Qg.pUc9KGwZhTLlwWg0k5Y3WnVSr89h6_UmiAy4ZB2AcCMg.JPEG.jphair22%2F%25EC%25A4%2591%25EC%2595%2599%25EB%258C%2580%25ED%2595%2599%25EA%25B5%2590%25EB%25B3%2591%25EC%259B%2590_%25EC%259D%2591%25EA%25B8%2589%25EC%258B%25A4.jpeg%3Ftype%3Dw386,"[{'작성자': '찰스케이', '별점': '5.0', '날짜': '2025.03.05.', '내용': '아이가 팔이 다쳐서 늦은시간에 응급실에 갔는데 모든 직원과 간호사. 의사선생님까지 친절하시고 설명도 잘해주시고 오래 기다리지 않고 치료받고 왔네요', '좋아요': '0'}, {'작성자': '맛있는거옆에맛있는거', '별점': '5.0', '날짜': '2025.03.01.', '내용': '아파 죽을 것 같을 때마다 응급실 최고\n코로나, 의사 파업 등으로 다른 대학병원은 쳐내기 바쁜데 치료 잘 받고 외래까지 연결해주셔서 진료 잘 받고... 더보기', '좋아요': '0'}, {'작성자': '유넌', '별점': '1.0', '날짜': '2025.02.17.', '내용': '구급차에 실려서 응급실에 왔는데 간호사분이 계속 한숨 쉬면서 질문 물어보고 응급인데도 짜증내시는것 처럼 행동을 하시더라고요. 말투도 너무나도 무례하고, 약간 뭐 어쩌라는 식으로. 다시는 방문 안합니다. 병원인데 실망이네요..', '좋아요': '0'}]",{}
우소아청소년과,4.3,동작구 서달로 163,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMThfNSAg%2FMDAxNzEwNzM2NDMzOTIz.z6atLvz5sabXjpzio48BoJa11PKkXqNR9dChmUA2wJgg.RvMkGf4SK3oxp9gMYtjojojsHt_bpfJgZtqmYQ6U-Vsg.JPEG%2FIMG_3901.jpg%3Ftype%3Dw773,"[{'작성자': 'JY', '별점': '5.0', '날짜': '2025.01.23.', '내용': '청진으로도 정확해서 좀 심해졌다 싶으면 여기로 갑니다. 목요일은 대표원장님(남자선생님) 안계시니 참고하세요:)', '좋아요': '0'}, {'작성자': '정나라', '별점': '5.0', '날짜': '2024.12.16.', '내용': '진짜 애아픈데 어디가 아픈건지 모르겠고 방법이 없다고 생각이 들더라고.. 열은 나는데 단순감기는 아닌거 같고 독감은 아니래고ㅠ 다니는곳 주변에는 폐렴 검사나 폐사진 찍을 수이쏜 곳이 없... 더보기', '좋아요': '0'}, {'작성자': '맥주', '별점': '5.0', '날짜': '2024.10.18.', '내용': '저희 동네 병원에서 약 먹고도 효과가 없어서\n나름 알아 보고 여기로 갔습니다\n\n\n오픈 몇분전에 들어갔는데 이미 대기실은 만실 ... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
연세와이즈치과의원,,동작구 현충로 75 원불교100년기념관 2층 1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD4257D8FD0E34F9F89F4B8ACD4142AC8,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 21:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 19:00'}"
